# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T03:40:23.234
# DATE-END: 2025-12-21T03:40:23.378
# TSTART: 1766288423233.6
# TSTOP: 1766288423263.61
# DATE: 2025-12-21T03:40:24
# EXPOSURE: 30000.0
# RA0: -4.495259e-10
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.747491971734
# DEC: 38.2151148320241
# EQUINOX: 2000.0
# CRVAL1: 166.747491971734
# CRVAL2: 38.2151148320241
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000164059607801357
# CD1_2: 0.00181874885401946
# CD2_1: -0.00181867074935314
# CD2_2: 0.000165824318317278
# A_ORDER: 2
# A_0_2: 1.17875791205171e-07
# A_1_1: -3.96208542145022e-07
# A_2_0: 1.06116251873786e-07
# B_ORDER: 2
# B_0_2: -5.05749406252418e-07
# B_1_1: -4.59162187895425e-07
# B_2_0: -1.55594750886375e-07
# AP_ORDER: 2
# AP_0_0: 1.95988680296762e-06
# AP_0_1: -9.22550118396949e-08
# AP_0_2: -1.17872365362055e-07
# AP_1_0: 2.23736043841874e-07
# AP_1_1: 3.96199420280941e-07
# AP_2_0: -1.06120328317017e-07
# BP_ORDER: 2
# BP_0_0: 1.62229536496176e-05
# BP_0_1: 6.61523417512713e-07
# BP_0_2: 5.05714462587527e-07
# BP_1_0: 3.61225191902264e-07
# BP_1_1: 4.59122647694776e-07
# BP_2_0: 1.55586024151893e-07
# NOME_FILE_FITS: 20251221_034023.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000001_stelle_trovate_e_catalogate_immagine_003.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,246.3053324876233,350.8712598383086,164.8646494745965,40.43020168752422,27.0,30.0,NO,1316,267.64182277920634,255.9433726343861,257.85,3.52,255.9433726343861,258.63,3.55,233.0407620349017,235.16,3.56,3.771806168196804,run_00000001,3,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,261.75,263.32,3.39,4.1
RA_164.865__DEC_40.434,246.3053324876233,350.8712598383086,164.8646494745965,40.43020168752422,27.0,30.0,NO,1315,267.64182277920634,255.9433726343861,257.48,3.54,255.9433726343861,258.24,3.56,233.0407620349017,234.75,3.57,3.771806168196804,run_00000001,3,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,261.6,262.82,3.40,4.09
RA_164.865__DEC_40.434,246.3053324876233,350.8712598383086,164.8646494745965,40.43020168752422,27.0,30.0,NO,1314,267.64182277920634,255.9433726343861,257.85,3.52,255.9433726343861,258.63,3.55,233.0407620349017,235.16,3.56,3.771806168196804,run_00000001,3,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,261.75,263.32,3.39,4.1
RA_164.865__DEC_40.434,246.3053324876233,350.8712598383086,164.8646494745965,40.43020168752422,27.0,30.0,NO,1313,267.64182277920634,255.9433726343861,257.48,3.54,255.9433726343861,258.24,3.56,233.0407620349017,234.75,3.57,3.771806168196804,run_00000001,3,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,261.6,262.82,3.40,4.09
RA_164.865__DEC_40.434,246.3053324876233,350.8712598383086,164.8646494745965,40.43020168752422,27.0,30.0,NO,1308,267.64182277920634,255.9433726343861,257.76,3.52,255.9433726343861,258.52,3.54,233.0407620349017,235.07,3.56,3.771806168196804,run_00000001,3,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,261.75,263.20,3.39,4.1
RA_164.865__DEC_40.434,246.3053324876233,350.8712598383086,164.8646494745965,40.43020168752422,27.0,30.0,NO,1314,267.64182277920634,255.9433726343861,257.85,3.52,255.9433726343861,258.63,3.55,233.0407620349017,235.16,3.56,3.771806168196804,run_00000001,3,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,261.75,263.32,3.39,4.1
RA_164.865__DEC_40.434,246.3053324876233,350.8712598383086,164.8646494745965,40.43020168752422,27.0,30.0,NO,1315,267.64182277920634,255.9433726343861,257.76,3.52,255.9433726343861,258.52,3.54,233.0407620349017,235.07,3.56,3.771806168196804,run_00000001,3,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,261.75,263.20,3.39,4.1
RA_164.865__DEC_40.434,246.3053324876233,350.8712598383086,164.8646494745965,40.43020168752422,27.0,30.0,NO,1274,267.64182277920634,255.9433726343861,257.54,3.55,255.9433726343861,258.29,3.57,233.0407620349017,234.73,3.57,3.771806168196804,run_00000001,3,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,261.76,263.03,3.42,4.1
RA_164.889DEC36.087,2610.0484449395417,98.66047256504008,164.88791340891785,36.091288442355776,11.0,18.0,NO,1126,120.19991513625148,114.11481793033091,134.60,2.04,114.11481793033091,134.74,2.08,75.70468034247153,96.37,2.37,3.5,run_00000001,3,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,114.13,134.56,2.03,3.5
RA_164.889DEC36.087,2610.0484449395417,98.66047256504008,164.88791340891785,36.091288442355776,11.0,18.0,NO,1083,120.19991513625148,114.11481793033091,134.41,2.09,114.11481793033091,134.54,2.13,75.70468034247153,96.58,2.42,3.5,run_00000001,3,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,114.14,134.37,2.08,3.5
RA_164.889DEC36.087,2610.0484449395417,98.66047256504008,164.88791340891785,36.091288442355776,11.0,18.0,NO,1123,120.19991513625148,114.11481793033091,134.48,2.07,114.11481793033091,134.61,2.11,75.70468034247153,96.45,2.40,3.5,run_00000001,3,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,114.13,134.44,2.05,3.5
RA_164.889DEC36.087,2610.0484449395417,98.66047256504008,164.88791340891785,36.091288442355776,11.0,18.0,NO,1128,120.19991513625148,114.11481793033091,134.85,2.06,114.11481793033091,134.98,2.09,75.70468034247153,96.59,2.39,3.5,run_00000001,3,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,114.13,134.81,2.04,3.5
RA_164.889DEC36.087,2610.0484449395417,98.66047256504008,164.88791340891785,36.091288442355776,11.0,18.0,NO,1127,120.19991513625148,114.11481793033091,134.60,2.04,114.11481793033091,134.74,2.08,75.70468034247153,96.37,2.37,3.5,run_00000001,3,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,114.13,134.56,2.03,3.5
RA_165.211__DEC_39.212,926.5736339824978,423.3354307100098,165.2117586840225,39.21123703559349,28.0,51.0,NO,1798,287.08849812503223,275.2178116165285,268.83,3.08,275.2178116165285,268.98,3.11,268.3766835364023,253.96,3.26,3.5,run_00000001,3,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,276.21,270.27,3.09,3.59
RA_165.211__DEC_39.212,926.5736339824978,423.3354307100098,165.2117586840225,39.21123703559349,28.0,51.0,NO,1796,287.08849812503223,275.2178116165285,268.83,3.08,275.2178116165285,268.98,3.11,268.3766835364023,253.96,3.26,3.5,run_00000001,3,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,276.21,270.27,3.09,3.59
RA_165.211__DEC_39.212,926.5736339824978,423.3354307100098,165.2117586840225,39.21123703559349,28.0,51.0,NO,1796,287.08849812503223,275.2178116165285,268.83,3.08,275.2178116165285,268.98,3.11,268.3766835364023,253.96,3.26,3.5,run_00000001,3,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,276.21,270.27,3.09,3.59
RA_166.129__DEC_38.242,1495.2203604717731,759.9950067444214,166.13133138984972,38.24139689784837,10.0,19.0,NO,1807,106.27921532171824,102.72592376483829,115.42,1.75,102.72592376483829,115.42,1.75,81.6253085892383,91.80,1.97,3.5,run_00000001,3,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,102.73,115.41,1.75,3.5
RA_166.129__DEC_38.242,1495.2203604717731,759.9950067444214,166.13133138984972,38.24139689784837,10.0,19.0,NO,1807,106.27921532171824,102.72592376483829,115.42,1.75,102.72592376483829,115.42,1.75,81.6253085892383,91.80,1.97,3.5,run_00000001,3,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,102.73,115.41,1.75,3.5
RA_166.129__DEC_38.242,1495.2203604717731,759.9950067444214,166.13133138984972,38.24139689784837,10.0,19.0,NO,1807,106.27921532171824,102.72592376483829,115.42,1.75,102.72592376483829,115.42,1.75,81.6253085892383,91.80,1.97,3.5,run_00000001,3,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,102.73,115.41,1.75,3.5
RA_166.129__DEC_38.242,1495.2203604717731,759.9950067444214,166.13133138984972,38.24139689784837,10.0,19.0,NO,1807,106.27921532171824,102.72592376483829,115.42,1.75,102.72592376483829,115.42,1.75,81.6253085892383,91.80,1.97,3.5,run_00000001,3,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,102.73,115.41,1.75,3.5
RA_166.129__DEC_38.242,1495.2203604717731,759.9950067444214,166.13133138984972,38.24139689784837,10.0,19.0,NO,1807,106.27921532171824,102.72592376483829,115.42,1.75,102.72592376483829,115.42,1.75,81.6253085892383,91.80,1.97,3.5,run_00000001,3,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,102.73,115.41,1.75,3.5
