# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T03:47:28.136
# DATE-END: 2025-12-21T03:47:28.280
# TSTART: 1766288848135.72
# TSTOP: 1766288848165.73
# DATE: 2025-12-21T03:47:28
# EXPOSURE: 30000.0
# RA0: -4.495259e-10
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.749315382697
# DEC: 38.2113393440165
# EQUINOX: 2000.0
# CRVAL1: 166.749315382697
# CRVAL2: 38.2113393440165
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000205241835074187
# CD1_2: 0.00181368119101966
# CD2_1: -0.00181420202068609
# CD2_2: 0.00020629167952305
# A_ORDER: 2
# A_0_2: 3.48028538424077e-07
# A_1_1: 1.08283975282859e-06
# A_2_0: 3.23002193933381e-07
# B_ORDER: 2
# B_0_2: -2.67872686166662e-06
# B_1_1: -1.95714967630947e-06
# B_2_0: -3.75177103811254e-07
# AP_ORDER: 2
# AP_0_0: -8.96557043126596e-05
# AP_0_1: -2.02146620326949e-06
# AP_0_2: -3.47829409808944e-07
# AP_1_0: -1.28922910909457e-06
# AP_1_1: -1.08261116297486e-06
# AP_2_0: -3.22951530887883e-07
# BP_ORDER: 2
# BP_0_0: 0.000507491462205027
# BP_0_1: 1.2139819520408e-05
# BP_0_2: 2.67711187604849e-06
# BP_1_0: 5.3721813963454e-06
# BP_1_1: 1.95612825606456e-06
# BP_2_0: 3.75013816395697e-07
# NOME_FILE_FITS: 20251221_034728.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000001_stelle_trovate_e_catalogate_immagine_024.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,228.4386099916976,379.9863097731345,164.8603669959856,40.42814110209176,28.0,24.0,NO,1316,288.8257127559764,263.507066385514,257.85,3.52,264.3446081163583,258.63,3.55,241.60430331039143,235.16,3.56,3.989300404853832,run_00000001,24,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,266.25,263.32,3.39,4.1
RA_164.865__DEC_40.434,228.4386099916976,379.9863097731345,164.8603669959856,40.42814110209176,28.0,24.0,NO,1315,288.8257127559764,263.507066385514,257.48,3.54,264.3446081163583,258.24,3.56,241.60430331039143,234.75,3.57,3.989300404853832,run_00000001,24,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,266.07,262.82,3.40,4.09
RA_164.865__DEC_40.434,228.4386099916976,379.9863097731345,164.8603669959856,40.42814110209176,28.0,24.0,NO,1314,288.8257127559764,263.507066385514,257.85,3.52,264.3446081163583,258.63,3.55,241.60430331039143,235.16,3.56,3.989300404853832,run_00000001,24,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,266.25,263.32,3.39,4.1
RA_164.865__DEC_40.434,228.4386099916976,379.9863097731345,164.8603669959856,40.42814110209176,28.0,24.0,NO,1313,288.8257127559764,263.507066385514,257.48,3.54,264.3446081163583,258.24,3.56,241.60430331039143,234.75,3.57,3.989300404853832,run_00000001,24,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,266.07,262.82,3.40,4.09
RA_164.865__DEC_40.434,228.4386099916976,379.9863097731345,164.8603669959856,40.42814110209176,28.0,24.0,NO,1308,288.8257127559764,263.507066385514,257.76,3.52,264.3446081163583,258.52,3.54,241.60430331039143,235.07,3.56,3.989300404853832,run_00000001,24,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,266.25,263.20,3.39,4.1
RA_164.865__DEC_40.434,228.4386099916976,379.9863097731345,164.8603669959856,40.42814110209176,28.0,24.0,NO,1314,288.8257127559764,263.507066385514,257.85,3.52,264.3446081163583,258.63,3.55,241.60430331039143,235.16,3.56,3.989300404853832,run_00000001,24,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,266.25,263.32,3.39,4.1
RA_164.865__DEC_40.434,228.4386099916976,379.9863097731345,164.8603669959856,40.42814110209176,28.0,24.0,NO,1315,288.8257127559764,263.507066385514,257.76,3.52,264.3446081163583,258.52,3.54,241.60430331039143,235.07,3.56,3.989300404853832,run_00000001,24,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,266.25,263.20,3.39,4.1
RA_164.865__DEC_40.434,228.4386099916976,379.9863097731345,164.8603669959856,40.42814110209176,28.0,24.0,NO,1274,288.8257127559764,263.507066385514,257.54,3.55,264.3446081163583,258.29,3.57,241.60430331039143,234.73,3.57,3.989300404853832,run_00000001,24,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,266.27,263.03,3.42,4.1
RA_164.882__DEC_36.096,2586.075080647161,73.629153964229,164.8861421797108,36.09490786086772,11.0,13.0,NO,1126,138.84059891410834,125.38299683919593,134.60,2.04,125.38299683919593,134.74,2.08,81.52876264008883,96.37,2.37,3.5,run_00000001,24,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,125.4,134.56,2.03,3.5
RA_164.882__DEC_36.096,2586.075080647161,73.629153964229,164.8861421797108,36.09490786086772,11.0,13.0,NO,1083,138.84059891410834,125.38299683919593,134.41,2.09,125.38299683919593,134.54,2.13,81.52876264008883,96.58,2.42,3.5,run_00000001,24,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,125.42,134.37,2.08,3.5
