# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T03:48:28.804
# DATE-END: 2025-12-21T03:48:28.949
# TSTART: 1766288908804.1
# TSTOP: 1766288908834.1
# DATE: 2025-12-21T03:48:29
# EXPOSURE: 30000.0
# RA0: -4.495259e-10
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.749320401086
# DEC: 38.2085739427848
# EQUINOX: 2000.0
# CRVAL1: 166.749320401086
# CRVAL2: 38.2085739427848
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000213380545913223
# CD1_2: 0.00181531874190173
# CD2_1: -0.00181439640621852
# CD2_2: 0.000212939647803962
# A_ORDER: 2
# A_0_2: 1.62331329399848e-07
# A_1_1: -2.77701247394195e-07
# A_2_0: 2.62473665733586e-07
# B_ORDER: 2
# B_0_2: 2.69281028547568e-06
# B_1_1: 8.43732695942485e-07
# B_2_0: -1.0860785632827e-06
# AP_ORDER: 2
# AP_0_0: 4.0230247570013e-06
# AP_0_1: -1.24006274563067e-07
# AP_0_2: -1.62358439945664e-07
# AP_1_0: 5.38566497894449e-07
# AP_1_1: 2.77731621866982e-07
# AP_2_0: -2.62480130558368e-07
# BP_ORDER: 2
# BP_0_0: 7.01795040153996e-05
# BP_0_1: 5.97925542917357e-06
# BP_0_2: -2.69349533139037e-06
# BP_1_0: 5.73721557646198e-08
# BP_1_1: -8.43793049938046e-07
# BP_2_0: 1.08621178563181e-06
# NOME_FILE_FITS: 20251221_034828.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000001_stelle_trovate_e_catalogate_immagine_027.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,225.4307921784071,383.9644735248701,164.86118400655246,40.43074783692746,27.0,30.0,NO,1316,283.6429361197656,262.1183250591241,257.85,3.52,263.79837224305186,258.63,3.55,245.2726070418421,235.16,3.56,3.75255693510564,run_00000001,27,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,271.99,263.32,3.39,4.1
RA_164.865__DEC_40.434,225.4307921784071,383.9644735248701,164.86118400655246,40.43074783692746,27.0,30.0,NO,1315,283.6429361197656,262.1183250591241,257.48,3.54,263.79837224305186,258.24,3.56,245.2726070418421,234.75,3.57,3.75255693510564,run_00000001,27,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,271.79,262.82,3.40,4.09
RA_164.865__DEC_40.434,225.4307921784071,383.9644735248701,164.86118400655246,40.43074783692746,27.0,30.0,NO,1314,283.6429361197656,262.1183250591241,257.85,3.52,263.79837224305186,258.63,3.55,245.2726070418421,235.16,3.56,3.75255693510564,run_00000001,27,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,271.99,263.32,3.39,4.1
RA_164.865__DEC_40.434,225.4307921784071,383.9644735248701,164.86118400655246,40.43074783692746,27.0,30.0,NO,1313,283.6429361197656,262.1183250591241,257.48,3.54,263.79837224305186,258.24,3.56,245.2726070418421,234.75,3.57,3.75255693510564,run_00000001,27,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,271.79,262.82,3.40,4.09
RA_164.865__DEC_40.434,225.4307921784071,383.9644735248701,164.86118400655246,40.43074783692746,27.0,30.0,NO,1308,283.6429361197656,262.1183250591241,257.76,3.52,263.79837224305186,258.52,3.54,245.2726070418421,235.07,3.56,3.75255693510564,run_00000001,27,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,271.99,263.20,3.39,4.1
RA_164.865__DEC_40.434,225.4307921784071,383.9644735248701,164.86118400655246,40.43074783692746,27.0,30.0,NO,1314,283.6429361197656,262.1183250591241,257.85,3.52,263.79837224305186,258.63,3.55,245.2726070418421,235.16,3.56,3.75255693510564,run_00000001,27,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,271.99,263.32,3.39,4.1
RA_164.865__DEC_40.434,225.4307921784071,383.9644735248701,164.86118400655246,40.43074783692746,27.0,30.0,NO,1315,283.6429361197656,262.1183250591241,257.76,3.52,263.79837224305186,258.52,3.54,245.2726070418421,235.07,3.56,3.75255693510564,run_00000001,27,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,271.99,263.20,3.39,4.1
RA_164.865__DEC_40.434,225.4307921784071,383.9644735248701,164.86118400655246,40.43074783692746,27.0,30.0,NO,1274,283.6429361197656,262.1183250591241,257.54,3.55,263.79837224305186,258.29,3.57,245.2726070418421,234.73,3.57,3.75255693510564,run_00000001,27,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,272.01,263.03,3.42,4.1
RA_164.889DEC36.087,2581.972731108696,69.80551826104224,164.88842131226218,36.09052849106381,10.0,14.0,NO,1126,123.93756540132804,115.0204115581992,134.60,2.04,115.0204115581992,134.74,2.08,70.5341913413089,96.37,2.37,3.5,run_00000001,27,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,115.04,134.56,2.03,3.5
RA_164.889DEC36.087,2581.972731108696,69.80551826104224,164.88842131226218,36.09052849106381,10.0,14.0,NO,1083,123.93756540132804,115.0204115581992,134.41,2.09,115.0204115581992,134.54,2.13,70.5341913413089,96.58,2.42,3.5,run_00000001,27,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,115.05,134.37,2.08,3.5
