# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T03:51:31.217
# DATE-END: 2025-12-21T03:51:31.361
# TSTART: 1766289091217.44
# TSTOP: 1766289091247.45
# DATE: 2025-12-21T03:51:32
# EXPOSURE: 30000.0
# RA0: -4.495259e-10
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.752782928992
# DEC: 38.2092533767275
# EQUINOX: 2000.0
# CRVAL1: 166.752782928992
# CRVAL2: 38.2092533767275
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00023107072249127
# CD1_2: 0.00181469107674731
# CD2_1: -0.00181124312601528
# CD2_2: 0.000232030007839374
# A_ORDER: 2
# A_0_2: 9.1651948304688e-07
# A_1_1: 2.0810978136457e-07
# A_2_0: -5.04210524842604e-07
# B_ORDER: 2
# B_0_2: 6.27172411417779e-07
# B_1_1: 1.17695348170237e-06
# B_2_0: -7.81264606553729e-07
# AP_ORDER: 2
# AP_0_0: 4.14399209785069e-05
# AP_0_1: -3.09892811794295e-07
# AP_0_2: -9.16646544075588e-07
# AP_1_0: 9.97600998573795e-07
# AP_1_1: -2.0800793896978e-07
# AP_2_0: 5.04184718500031e-07
# BP_ORDER: 2
# BP_0_0: 2.01287216679447e-05
# BP_0_1: 8.07043555590588e-07
# BP_0_2: -6.27309311146607e-07
# BP_1_0: 1.86998454970349e-07
# BP_1_1: -1.17693753083758e-06
# BP_2_0: 7.81294727925459e-07
# NOME_FILE_FITS: 20251221_035131.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000001_stelle_trovate_e_catalogate_immagine_036.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,219.3275269647349,397.0325543749921,164.8636904110881,40.43029791196975,24.0,28.0,NO,1316,237.2322769754672,227.1492096405735,257.85,3.52,227.1492096405735,258.63,3.55,209.24892361331283,235.16,3.56,3.532435567526222,run_00000001,36,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,234.13,263.32,3.39,4.1
RA_164.865__DEC_40.434,219.3275269647349,397.0325543749921,164.8636904110881,40.43029791196975,24.0,28.0,NO,1315,237.2322769754672,227.1492096405735,257.48,3.54,227.1492096405735,258.24,3.56,209.24892361331283,234.75,3.57,3.532435567526222,run_00000001,36,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,234.03,262.82,3.40,4.09
RA_164.865__DEC_40.434,219.3275269647349,397.0325543749921,164.8636904110881,40.43029791196975,24.0,28.0,NO,1314,237.2322769754672,227.1492096405735,257.85,3.52,227.1492096405735,258.63,3.55,209.24892361331283,235.16,3.56,3.532435567526222,run_00000001,36,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,234.13,263.32,3.39,4.1
RA_164.865__DEC_40.434,219.3275269647349,397.0325543749921,164.8636904110881,40.43029791196975,24.0,28.0,NO,1313,237.2322769754672,227.1492096405735,257.48,3.54,227.1492096405735,258.24,3.56,209.24892361331283,234.75,3.57,3.532435567526222,run_00000001,36,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,234.03,262.82,3.40,4.09
RA_164.865__DEC_40.434,219.3275269647349,397.0325543749921,164.8636904110881,40.43029791196975,24.0,28.0,NO,1308,237.2322769754672,227.1492096405735,257.76,3.52,227.1492096405735,258.52,3.54,209.24892361331283,235.07,3.56,3.532435567526222,run_00000001,36,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,234.13,263.20,3.39,4.1
RA_164.865__DEC_40.434,219.3275269647349,397.0325543749921,164.8636904110881,40.43029791196975,24.0,28.0,NO,1314,237.2322769754672,227.1492096405735,257.85,3.52,227.1492096405735,258.63,3.55,209.24892361331283,235.16,3.56,3.532435567526222,run_00000001,36,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,234.13,263.32,3.39,4.1
RA_164.865__DEC_40.434,219.3275269647349,397.0325543749921,164.8636904110881,40.43029791196975,24.0,28.0,NO,1315,237.2322769754672,227.1492096405735,257.76,3.52,227.1492096405735,258.52,3.54,209.24892361331283,235.07,3.56,3.532435567526222,run_00000001,36,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,234.13,263.20,3.39,4.1
RA_164.865__DEC_40.434,219.3275269647349,397.0325543749921,164.8636904110881,40.43029791196975,24.0,28.0,NO,1274,237.2322769754672,227.1492096405735,257.54,3.55,227.1492096405735,258.29,3.57,209.24892361331283,234.73,3.57,3.532435567526222,run_00000001,36,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,234.14,263.03,3.42,4.1
RA_164.882__DEC_36.096,2572.479054776364,58.541995419600056,164.88322570010592,36.09146106899895,14.0,18.0,NO,1126,144.8778845133688,132.79382361775205,134.60,2.04,132.79382361775205,134.74,2.08,94.93386577399868,96.37,2.37,3.5,run_00000001,36,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,132.81,134.56,2.03,3.5
RA_164.882__DEC_36.096,2572.479054776364,58.541995419600056,164.88322570010592,36.09146106899895,14.0,18.0,NO,1083,144.8778845133688,132.79382361775205,134.41,2.09,132.79382361775205,134.54,2.13,94.93386577399868,96.58,2.42,3.5,run_00000001,36,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,132.83,134.37,2.08,3.5
