# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T03:52:11.519
# DATE-END: 2025-12-21T03:52:11.663
# TSTART: 1766289131519.25
# TSTOP: 1766289131549.26
# DATE: 2025-12-21T03:52:12
# EXPOSURE: 30000.0
# RA0: -4.495259e-10
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.750366190247
# DEC: 38.2097012198309
# EQUINOX: 2000.0
# CRVAL1: 166.750366190247
# CRVAL2: 38.2097012198309
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000235687642965784
# CD1_2: 0.00181254105654525
# CD2_1: -0.00181100818696031
# CD2_2: 0.000235493492981615
# A_ORDER: 2
# A_0_2: -5.24134910934502e-07
# A_1_1: -1.84506677219788e-07
# A_2_0: 2.17391934326522e-09
# B_ORDER: 2
# B_0_2: -1.52205186761147e-06
# B_1_1: 1.10538714678631e-07
# B_2_0: 6.5523851296084e-07
# AP_ORDER: 2
# AP_0_0: 6.30956625057369e-06
# AP_0_1: 5.22896919341746e-07
# AP_0_2: 5.24057377082335e-07
# AP_1_0: -1.06134790884454e-07
# AP_1_1: 1.84527692488441e-07
# AP_2_0: -2.15746331627233e-09
# BP_ORDER: 2
# BP_0_0: 1.28367779827461e-05
# BP_0_1: 1.16209124850854e-06
# BP_0_2: 1.52187429143752e-06
# BP_1_0: -3.27872292210538e-07
# BP_1_1: -1.1042012729332e-07
# BP_2_0: -6.55212209506269e-07
# NOME_FILE_FITS: 20251221_035211.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000001_stelle_trovate_e_catalogate_immagine_038.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,218.17086341854693,400.24166745936446,164.864153886082,40.43136298731493,21.0,26.0,NO,1316,205.95109417661092,196.90168530566507,257.85,3.52,196.90168530566507,258.63,3.55,169.34786313142854,235.16,3.56,3.5,run_00000001,38,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,204.09,263.32,3.39,4.1
RA_164.865__DEC_40.434,218.17086341854693,400.24166745936446,164.864153886082,40.43136298731493,21.0,26.0,NO,1315,205.95109417661092,196.90168530566507,257.48,3.54,196.90168530566507,258.24,3.56,169.34786313142854,234.75,3.57,3.5,run_00000001,38,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,204.01,262.82,3.40,4.09
RA_164.865__DEC_40.434,218.17086341854693,400.24166745936446,164.864153886082,40.43136298731493,21.0,26.0,NO,1314,205.95109417661092,196.90168530566507,257.85,3.52,196.90168530566507,258.63,3.55,169.34786313142854,235.16,3.56,3.5,run_00000001,38,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,204.09,263.32,3.39,4.1
RA_164.865__DEC_40.434,218.17086341854693,400.24166745936446,164.864153886082,40.43136298731493,21.0,26.0,NO,1313,205.95109417661092,196.90168530566507,257.48,3.54,196.90168530566507,258.24,3.56,169.34786313142854,234.75,3.57,3.5,run_00000001,38,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,204.01,262.82,3.40,4.09
RA_164.865__DEC_40.434,218.17086341854693,400.24166745936446,164.864153886082,40.43136298731493,21.0,26.0,NO,1308,205.95109417661092,196.90168530566507,257.76,3.52,196.90168530566507,258.52,3.54,169.34786313142854,235.07,3.56,3.5,run_00000001,38,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,204.09,263.20,3.39,4.1
RA_164.865__DEC_40.434,218.17086341854693,400.24166745936446,164.864153886082,40.43136298731493,21.0,26.0,NO,1314,205.95109417661092,196.90168530566507,257.85,3.52,196.90168530566507,258.63,3.55,169.34786313142854,235.16,3.56,3.5,run_00000001,38,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,204.09,263.32,3.39,4.1
RA_164.865__DEC_40.434,218.17086341854693,400.24166745936446,164.864153886082,40.43136298731493,21.0,26.0,NO,1315,205.95109417661092,196.90168530566507,257.76,3.52,196.90168530566507,258.52,3.54,169.34786313142854,235.07,3.56,3.5,run_00000001,38,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,204.09,263.20,3.39,4.1
RA_164.865__DEC_40.434,218.17086341854693,400.24166745936446,164.864153886082,40.43136298731493,21.0,26.0,NO,1274,205.95109417661092,196.90168530566507,257.54,3.55,196.90168530566507,258.29,3.57,169.34786313142854,234.73,3.57,3.5,run_00000001,38,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,204.09,263.03,3.42,4.1
RA_164.882__DEC_36.096,2570.509270097648,56.51786929643526,164.8854032211236,36.092841659465904,14.0,17.0,NO,1126,148.59636477431712,140.8242259776662,134.60,2.04,140.8242259776662,134.74,2.08,106.03600583719948,96.37,2.37,3.5,run_00000001,38,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,140.84,134.56,2.03,3.5
RA_164.882__DEC_36.096,2570.509270097648,56.51786929643526,164.8854032211236,36.092841659465904,14.0,17.0,NO,1083,148.59636477431712,140.8242259776662,134.41,2.09,140.8242259776662,134.54,2.13,106.03600583719948,96.58,2.42,3.5,run_00000001,38,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,140.85,134.37,2.08,3.5
RA_164.882__DEC_36.096,2570.509270097648,56.51786929643526,164.8854032211236,36.092841659465904,14.0,17.0,NO,1123,148.59636477431712,140.8242259776662,134.48,2.07,140.8242259776662,134.61,2.11,106.03600583719948,96.45,2.40,3.5,run_00000001,38,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,140.84,134.44,2.05,3.5
RA_164.882__DEC_36.096,2570.509270097648,56.51786929643526,164.8854032211236,36.092841659465904,14.0,17.0,NO,1128,148.59636477431712,140.8242259776662,134.85,2.06,140.8242259776662,134.98,2.09,106.03600583719948,96.59,2.39,3.5,run_00000001,38,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,140.84,134.81,2.04,3.5
RA_164.882__DEC_36.096,2570.509270097648,56.51786929643526,164.8854032211236,36.092841659465904,14.0,17.0,NO,1127,148.59636477431712,140.8242259776662,134.60,2.04,140.8242259776662,134.74,2.08,106.03600583719948,96.37,2.37,3.5,run_00000001,38,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,140.84,134.56,2.03,3.5
