# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T03:57:15.164
# DATE-END: 2025-12-21T03:57:15.308
# TSTART: 1766289435164.48
# TSTOP: 1766289435194.49
# DATE: 2025-12-21T03:57:16
# EXPOSURE: 30000.0
# RA0: -4.495259e-10
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.749801722494
# DEC: 38.20860616252
# EQUINOX: 2000.0
# CRVAL1: 166.749801722494
# CRVAL2: 38.20860616252
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000267721538473619
# CD1_2: 0.00180724558786243
# CD2_1: -0.00180549082409899
# CD2_2: 0.000266141666912308
# A_ORDER: 2
# A_0_2: -2.00865979685406e-06
# A_1_1: 2.40771705462095e-07
# A_2_0: 1.00198392312251e-07
# B_ORDER: 2
# B_0_2: 3.77542854823064e-07
# B_1_1: 1.3821264618884e-06
# B_2_0: -6.75559588903949e-08
# AP_ORDER: 2
# AP_0_0: -4.50630829611794e-05
# AP_0_1: -7.32835021998678e-07
# AP_0_2: 2.00884586140556e-06
# AP_1_0: -2.08244903011946e-06
# AP_1_1: -2.40578884093436e-07
# AP_2_0: -1.00208475742631e-07
# BP_ORDER: 2
# BP_0_0: 9.51104184476007e-06
# BP_0_1: 5.19934646323307e-09
# BP_0_2: -3.77435211041929e-07
# BP_1_0: 6.20912513413996e-07
# BP_1_1: -1.38227092305513e-06
# BP_2_0: 6.75242779698179e-08
# NOME_FILE_FITS: 20251221_035715.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000001_stelle_trovate_e_catalogate_immagine_053.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,207.1371377687592,423.5733448744016,164.86518227378926,40.43024013520737,27.0,28.0,NO,1316,272.9600929782917,250.77255652803208,257.85,3.52,250.9889198226869,258.63,3.55,229.61396899761004,235.16,3.56,3.7387139461618775,run_00000001,53,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,256.22,263.32,3.39,4.1
RA_164.865__DEC_40.434,207.1371377687592,423.5733448744016,164.86518227378926,40.43024013520737,27.0,28.0,NO,1315,272.9600929782917,250.77255652803208,257.48,3.54,250.9889198226869,258.24,3.56,229.61396899761004,234.75,3.57,3.7387139461618775,run_00000001,53,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,256.09,262.82,3.40,4.09
RA_164.865__DEC_40.434,207.1371377687592,423.5733448744016,164.86518227378926,40.43024013520737,27.0,28.0,NO,1314,272.9600929782917,250.77255652803208,257.85,3.52,250.9889198226869,258.63,3.55,229.61396899761004,235.16,3.56,3.7387139461618775,run_00000001,53,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,256.22,263.32,3.39,4.1
RA_164.865__DEC_40.434,207.1371377687592,423.5733448744016,164.86518227378926,40.43024013520737,27.0,28.0,NO,1313,272.9600929782917,250.77255652803208,257.48,3.54,250.9889198226869,258.24,3.56,229.61396899761004,234.75,3.57,3.7387139461618775,run_00000001,53,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,256.09,262.82,3.40,4.09
RA_164.865__DEC_40.434,207.1371377687592,423.5733448744016,164.86518227378926,40.43024013520737,27.0,28.0,NO,1308,272.9600929782917,250.77255652803208,257.76,3.52,250.9889198226869,258.52,3.54,229.61396899761004,235.07,3.56,3.7387139461618775,run_00000001,53,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,256.22,263.20,3.39,4.1
RA_164.865__DEC_40.434,207.1371377687592,423.5733448744016,164.86518227378926,40.43024013520737,27.0,28.0,NO,1314,272.9600929782917,250.77255652803208,257.85,3.52,250.9889198226869,258.63,3.55,229.61396899761004,235.16,3.56,3.7387139461618775,run_00000001,53,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,256.22,263.32,3.39,4.1
RA_164.865__DEC_40.434,207.1371377687592,423.5733448744016,164.86518227378926,40.43024013520737,27.0,28.0,NO,1315,272.9600929782917,250.77255652803208,257.76,3.52,250.9889198226869,258.52,3.54,229.61396899761004,235.07,3.56,3.7387139461618775,run_00000001,53,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,256.22,263.20,3.39,4.1
RA_164.865__DEC_40.434,207.1371377687592,423.5733448744016,164.86518227378926,40.43024013520737,27.0,28.0,NO,1274,272.9600929782917,250.77255652803208,257.54,3.55,250.9889198226869,258.29,3.57,229.61396899761004,234.73,3.57,3.7387139461618775,run_00000001,53,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,256.23,263.03,3.42,4.1
RA_164.882__DEC_36.096,2552.970738159608,38.47648864002612,164.88477068074815,36.09782857110121,12.0,13.0,NO,1126,131.4398835029634,124.91526862500722,134.60,2.04,124.91526862500722,134.74,2.08,78.28521065535415,96.37,2.37,3.5,run_00000001,53,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,124.93,134.56,2.03,3.5
RA_164.882__DEC_36.096,2552.970738159608,38.47648864002612,164.88477068074815,36.09782857110121,12.0,13.0,NO,1083,131.4398835029634,124.91526862500722,134.41,2.09,124.91526862500722,134.54,2.13,78.28521065535415,96.58,2.42,3.5,run_00000001,53,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,124.94,134.37,2.08,3.5
RA_164.882__DEC_36.096,2552.970738159608,38.47648864002612,164.88477068074815,36.09782857110121,12.0,13.0,NO,1123,131.4398835029634,124.91526862500722,134.48,2.07,124.91526862500722,134.61,2.11,78.28521065535415,96.45,2.40,3.5,run_00000001,53,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,124.94,134.44,2.05,3.5
RA_164.882__DEC_36.096,2552.970738159608,38.47648864002612,164.88477068074815,36.09782857110121,12.0,13.0,NO,1128,131.4398835029634,124.91526862500722,134.85,2.06,124.91526862500722,134.98,2.09,78.28521065535415,96.59,2.39,3.5,run_00000001,53,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,124.94,134.81,2.04,3.5
RA_164.882__DEC_36.096,2552.970738159608,38.47648864002612,164.88477068074815,36.09782857110121,12.0,13.0,NO,1127,131.4398835029634,124.91526862500722,134.60,2.04,124.91526862500722,134.74,2.08,78.28521065535415,96.37,2.37,3.5,run_00000001,53,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,124.93,134.56,2.03,3.5
RA_165.211__DEC_39.212,890.3217494138623,457.53768554044007,165.2110438988704,39.21215823366034,22.0,34.0,NO,1798,243.20355433640165,236.51288337465888,268.83,3.08,236.51288337465888,268.98,3.11,216.01797963836464,253.96,3.26,3.5,run_00000001,53,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,237.54,270.27,3.09,3.59
RA_165.211__DEC_39.212,890.3217494138623,457.53768554044007,165.2110438988704,39.21215823366034,22.0,34.0,NO,1796,243.20355433640165,236.51288337465888,268.83,3.08,236.51288337465888,268.98,3.11,216.01797963836464,253.96,3.26,3.5,run_00000001,53,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,237.54,270.27,3.09,3.59
