# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T04:16:47.945
# DATE-END: 2025-12-21T04:16:47.089
# TSTART: 1766290607945.37
# TSTOP: 1766290607975.37
# DATE: 2025-12-21T04:16:48
# EXPOSURE: 30000.0
# RA0: -4.495259e-10
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.7525437263
# DEC: 38.2074829216906
# EQUINOX: 2000.0
# CRVAL1: 166.7525437263
# CRVAL2: 38.2074829216906
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000402157049242948
# CD1_2: 0.00178427735667117
# CD2_1: -0.00178157655295268
# CD2_2: 0.000403568011192024
# A_ORDER: 2
# A_0_2: 5.83747729466848e-07
# A_1_1: -4.15929410139426e-07
# A_2_0: -9.1546985298687e-08
# B_ORDER: 2
# B_0_2: -2.89365107514891e-06
# B_1_1: -1.08518439208519e-06
# B_2_0: 1.7109758953068e-06
# AP_ORDER: 2
# AP_0_0: -2.72325645986745e-05
# AP_0_1: -1.41418025928296e-07
# AP_0_2: -5.83350161561683e-07
# AP_1_0: -1.0305348534645e-06
# AP_1_1: 4.15850051214631e-07
# AP_2_0: 9.14900262742188e-08
# BP_ORDER: 2
# BP_0_0: 0.000109540676914814
# BP_0_1: 1.73386203157571e-06
# BP_0_2: 2.89170365050424e-06
# BP_1_0: 9.18635815825997e-07
# BP_1_1: 1.08465740931577e-06
# BP_2_0: -1.71054204871578e-06
# NOME_FILE_FITS: 20251221_041647.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000001_stelle_trovate_e_catalogate_immagine_111.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,164.49615325198445,524.7236242735432,164.86751649571653,40.43217177268512,22.0,25.0,NO,1316,242.44912191787068,198.8418738653897,257.85,3.52,198.8418738653897,258.63,3.55,169.18586673692997,235.16,3.56,3.5,run_00000001,111,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,212.37,263.32,3.39,4.1
RA_164.865__DEC_40.434,164.49615325198445,524.7236242735432,164.86751649571653,40.43217177268512,22.0,25.0,NO,1315,242.44912191787068,198.8418738653897,257.48,3.54,198.8418738653897,258.24,3.56,169.18586673692997,234.75,3.57,3.5,run_00000001,111,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,212.17,262.82,3.40,4.09
RA_164.865__DEC_40.434,164.49615325198445,524.7236242735432,164.86751649571653,40.43217177268512,22.0,25.0,NO,1314,242.44912191787068,198.8418738653897,257.85,3.52,198.8418738653897,258.63,3.55,169.18586673692997,235.16,3.56,3.5,run_00000001,111,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,212.37,263.32,3.39,4.1
RA_164.865__DEC_40.434,164.49615325198445,524.7236242735432,164.86751649571653,40.43217177268512,22.0,25.0,NO,1313,242.44912191787068,198.8418738653897,257.48,3.54,198.8418738653897,258.24,3.56,169.18586673692997,234.75,3.57,3.5,run_00000001,111,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,212.17,262.82,3.40,4.09
RA_164.865__DEC_40.434,164.49615325198445,524.7236242735432,164.86751649571653,40.43217177268512,22.0,25.0,NO,1308,242.44912191787068,198.8418738653897,257.76,3.52,198.8418738653897,258.52,3.54,169.18586673692997,235.07,3.56,3.5,run_00000001,111,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,212.37,263.20,3.39,4.1
RA_164.865__DEC_40.434,164.49615325198445,524.7236242735432,164.86751649571653,40.43217177268512,22.0,25.0,NO,1314,242.44912191787068,198.8418738653897,257.85,3.52,198.8418738653897,258.63,3.55,169.18586673692997,235.16,3.56,3.5,run_00000001,111,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,212.37,263.32,3.39,4.1
RA_164.865__DEC_40.434,164.49615325198445,524.7236242735432,164.86751649571653,40.43217177268512,22.0,25.0,NO,1315,242.44912191787068,198.8418738653897,257.76,3.52,198.8418738653897,258.52,3.54,169.18586673692997,235.07,3.56,3.5,run_00000001,111,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,212.37,263.20,3.39,4.1
RA_164.865__DEC_40.434,164.49615325198445,524.7236242735432,164.86751649571653,40.43217177268512,22.0,25.0,NO,1274,242.44912191787068,198.8418738653897,257.54,3.55,198.8418738653897,258.29,3.57,169.18586673692997,234.73,3.57,3.5,run_00000001,111,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,212.39,263.03,3.42,4.1
RA_165.211__DEC_39.212,848.3785482184916,507.0614092268027,165.20902725059918,39.21147733090685,27.0,30.0,NO,1798,290.2437130590594,269.513527170364,268.83,3.08,269.513527170364,268.98,3.11,255.18156812251,253.96,3.26,3.5,run_00000001,111,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,271.42,270.27,3.09,3.59
RA_165.211__DEC_39.212,848.3785482184916,507.0614092268027,165.20902725059918,39.21147733090685,27.0,30.0,NO,1796,290.2437130590594,269.513527170364,268.83,3.08,269.513527170364,268.98,3.11,255.18156812251,253.96,3.26,3.5,run_00000001,111,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,271.42,270.27,3.09,3.59
RA_165.211__DEC_39.212,848.3785482184916,507.0614092268027,165.20902725059918,39.21147733090685,27.0,30.0,NO,1796,290.2437130590594,269.513527170364,268.83,3.08,269.513527170364,268.98,3.11,255.18156812251,253.96,3.26,3.5,run_00000001,111,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,271.42,270.27,3.09,3.59
RA_166.129__DEC_38.242,1456.488887679727,765.6718044025893,166.12871208273032,38.24103262286844,14.0,25.0,NO,1807,132.0147635790996,127.14396891867496,115.42,1.75,127.14396891867496,115.42,1.75,102.19530608988453,91.80,1.97,3.5,run_00000001,111,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,127.14,115.41,1.75,3.5
RA_166.129__DEC_38.242,1456.488887679727,765.6718044025893,166.12871208273032,38.24103262286844,14.0,25.0,NO,1807,132.0147635790996,127.14396891867496,115.42,1.75,127.14396891867496,115.42,1.75,102.19530608988453,91.80,1.97,3.5,run_00000001,111,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,127.14,115.41,1.75,3.5
RA_166.129__DEC_38.242,1456.488887679727,765.6718044025893,166.12871208273032,38.24103262286844,14.0,25.0,NO,1807,132.0147635790996,127.14396891867496,115.42,1.75,127.14396891867496,115.42,1.75,102.19530608988453,91.80,1.97,3.5,run_00000001,111,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,127.14,115.41,1.75,3.5
RA_166.129__DEC_38.242,1456.488887679727,765.6718044025893,166.12871208273032,38.24103262286844,14.0,25.0,NO,1807,132.0147635790996,127.14396891867496,115.42,1.75,127.14396891867496,115.42,1.75,102.19530608988453,91.80,1.97,3.5,run_00000001,111,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,127.14,115.41,1.75,3.5
RA_166.129__DEC_38.242,1456.488887679727,765.6718044025893,166.12871208273032,38.24103262286844,14.0,25.0,NO,1807,132.0147635790996,127.14396891867496,115.42,1.75,127.14396891867496,115.42,1.75,102.19530608988453,91.80,1.97,3.5,run_00000001,111,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,127.14,115.41,1.75,3.5
RA_166.129__DEC_38.242,1456.488887679727,765.6718044025893,166.12871208273032,38.24103262286844,14.0,25.0,NO,1807,132.0147635790996,127.14396891867496,115.42,1.75,127.14396891867496,115.42,1.75,102.19530608988453,91.80,1.97,3.5,run_00000001,111,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,127.14,115.41,1.75,3.5
RA_166.129__DEC_38.242,1456.488887679727,765.6718044025893,166.12871208273032,38.24103262286844,14.0,25.0,NO,1807,132.0147635790996,127.14396891867496,115.42,1.75,127.14396891867496,115.42,1.75,102.19530608988453,91.80,1.97,3.5,run_00000001,111,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,127.14,115.41,1.75,3.5
RA_166.129__DEC_38.242,1456.488887679727,765.6718044025893,166.12871208273032,38.24103262286844,14.0,25.0,NO,1807,132.0147635790996,127.14396891867496,115.42,1.75,127.14396891867496,115.42,1.75,102.19530608988453,91.80,1.97,3.5,run_00000001,111,SI (Rank 8),II/389/ps1_dr2,1.5389166128101078e+17,166.12835744,38.24191354,13.1504,127.14,115.41,1.75,3.5
RA_166.129__DEC_38.242,1456.488887679727,765.6718044025893,166.12871208273032,38.24103262286844,14.0,25.0,NO,1807,132.0147635790996,127.14396891867496,115.42,1.75,127.14396891867496,115.42,1.75,102.19530608988453,91.80,1.97,3.5,run_00000001,111,SI (Rank 9),II/389/ps1_dr2,1.5388166126503923e+17,166.12665345,38.24053532,14.6034,127.14,115.41,1.75,3.5
RA_166.449__DEC_38.392,1406.4712961177984,918.5111523273786,166.45007849137778,38.39321417012589,4.0,13.0,NO,190,60.4630738600408,62.82226047994152,65.65,1.57,62.82226047994152,65.65,1.57,15.511322400937992,22.86,2.55,3.5,run_00000001,111,SI (Rank 1),I/239/hip_main,54235.0,166.4514713491,38.394354851,6.92,62.82,65.65,1.57,3.5
RA_166.449__DEC_38.392,1406.4712961177984,918.5111523273786,166.45007849137778,38.39321417012589,4.0,13.0,NO,190,60.4630738600408,62.82226047994152,65.65,1.57,62.82226047994152,65.65,1.57,15.511322400937992,22.86,2.55,3.5,run_00000001,111,SI (Rank 2),II/389/ps1_dr2,1.5407166451460432e+17,166.45125573,38.39465392,8.8275,62.82,65.65,1.57,3.5
RA_166.449__DEC_38.392,1406.4712961177984,918.5111523273786,166.45007849137778,38.39321417012589,4.0,13.0,NO,190,60.4630738600408,62.82226047994152,65.65,1.57,62.82226047994152,65.65,1.57,15.511322400937992,22.86,2.55,3.5,run_00000001,111,SI (Rank 3),II/389/ps1_dr2,1.5407166450588474e+17,166.45038565,38.39515062,12.7468,62.82,65.65,1.57,3.5
RA_167.329__DEC_36.312,2603.5432347710966,1040.9155619615126,167.33074205065898,36.31061287829757,26.0,24.0,NO,1708,297.8199588726719,243.7974537017037,216.40,3.48,243.7974537017037,216.87,3.52,207.5114786479701,183.70,3.52,3.642530273614722,run_00000001,111,SI (Rank 1),I/239/hip_main,54522.0,167.3295003665,36.309378969,5.71,254.4,225.08,3.29,3.93
RA_167.329__DEC_36.312,2603.5432347710966,1040.9155619615126,167.33074205065898,36.31061287829757,26.0,24.0,NO,1705,297.8199588726719,243.7974537017037,216.40,3.48,243.7974537017037,216.87,3.52,207.5114786479701,183.70,3.52,3.642530273614722,run_00000001,111,SI (Rank 2),II/389/ps1_dr2,1.515716732746127e+17,167.32759079,36.31021643,7.0301,254.4,225.08,3.29,3.93
RA_167.329__DEC_36.312,2603.5432347710966,1040.9155619615126,167.33074205065898,36.31061287829757,26.0,24.0,NO,1702,297.8199588726719,243.7974537017037,216.40,3.48,243.7974537017037,216.87,3.52,207.5114786479701,183.70,3.52,3.642530273614722,run_00000001,111,SI (Rank 3),II/389/ps1_dr2,1.5156167327749856e+17,167.3279408,36.3066183,12.6978,254.4,225.08,3.29,3.93
RA_167.329__DEC_36.312,2603.5432347710966,1040.9155619615126,167.33074205065898,36.31061287829757,26.0,24.0,NO,1705,297.8199588726719,243.7974537017037,216.40,3.48,243.7974537017037,216.87,3.52,207.5114786479701,183.70,3.52,3.642530273614722,run_00000001,111,SI (Rank 4),II/389/ps1_dr2,1.515716733020705e+17,167.33020443,36.30815493,12.7953,254.4,225.08,3.29,3.93
RA_167.329__DEC_36.312,2603.5432347710966,1040.9155619615126,167.33074205065898,36.31061287829757,26.0,24.0,NO,1700,297.8199588726719,243.7974537017037,216.40,3.48,243.7974537017037,216.87,3.52,207.5114786479701,183.70,3.52,3.642530273614722,run_00000001,111,SI (Rank 5),II/389/ps1_dr2,1.515716732886958e+17,167.32895151,36.31250412,14.3866,254.4,225.08,3.29,3.93
