# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T04:20:46.802
# DATE-END: 2025-12-21T04:20:46.946
# TSTART: 1766290846802.4
# TSTOP: 1766290846832.4
# DATE: 2025-12-21T04:20:47
# EXPOSURE: 30000.0
# RA0: -4.495259e-10
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.115276663913
# DEC: 38.7059508244482
# EQUINOX: 2000.0
# CRVAL1: 166.115276663913
# CRVAL2: 38.7059508244482
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000483252648447372
# CD1_2: 0.00176822703857562
# CD2_1: -0.00176655122193239
# CD2_2: 0.000492141858572681
# A_ORDER: 2
# A_0_2: -5.15205484492648e-07
# A_1_1: 2.21370451260187e-06
# A_2_0: -2.63281477446373e-06
# B_ORDER: 2
# B_0_2: 6.59299903262448e-06
# B_1_1: -3.52654441043083e-06
# B_2_0: 1.20823442146553e-06
# AP_ORDER: 2
# AP_0_0: 0.000595053560596644
# AP_0_1: -2.67479268526923e-05
# AP_0_2: 5.14773701061104e-07
# AP_1_0: 3.35084760077744e-05
# AP_1_1: -2.21312471348076e-06
# AP_2_0: 2.63199428092102e-06
# BP_ORDER: 2
# BP_0_0: -0.00010096792030995
# BP_0_1: 9.26460532498531e-05
# BP_0_2: -6.59465787922631e-06
# BP_1_0: -4.40140090232435e-05
# BP_1_1: 3.52671131636684e-06
# BP_2_0: -1.20812563173329e-06
# NOME_FILE_FITS: 20251221_042046.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000002_stelle_trovate_e_catalogate_immagine_006.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,482.6972567889041,770.9077609086057,164.864014542674,40.43748802142073,25.0,31.0,NO,1316,267.85229256632834,255.0606324113715,269.82,3.47,255.0606324113715,269.91,3.49,239.1469959173949,250.45,3.67,3.5,run_00000002,6,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,256.73,271.61,3.44,3.59
RA_164.865__DEC_40.434,482.6972567889041,770.9077609086057,164.864014542674,40.43748802142073,25.0,31.0,NO,1315,267.85229256632834,255.0606324113715,269.65,3.43,255.0606324113715,269.74,3.45,239.1469959173949,250.28,3.62,3.5,run_00000002,6,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,256.72,271.42,3.40,3.59
RA_164.865__DEC_40.434,482.6972567889041,770.9077609086057,164.864014542674,40.43748802142073,25.0,31.0,NO,1314,267.85229256632834,255.0606324113715,269.67,3.43,255.0606324113715,269.76,3.44,239.1469959173949,250.35,3.62,3.5,run_00000002,6,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,256.72,271.44,3.40,3.59
RA_164.865__DEC_40.434,482.6972567889041,770.9077609086057,164.864014542674,40.43748802142073,25.0,31.0,NO,1313,267.85229256632834,255.0606324113715,269.65,3.43,255.0606324113715,269.74,3.45,239.1469959173949,250.28,3.62,3.5,run_00000002,6,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,256.72,271.42,3.40,3.59
RA_164.865__DEC_40.434,482.6972567889041,770.9077609086057,164.864014542674,40.43748802142073,25.0,31.0,NO,1308,267.85229256632834,255.0606324113715,269.08,3.58,255.0606324113715,269.17,3.60,239.1469959173949,249.82,3.77,3.5,run_00000002,6,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,256.74,270.86,3.56,3.59
RA_164.865__DEC_40.434,482.6972567889041,770.9077609086057,164.864014542674,40.43748802142073,25.0,31.0,NO,1314,267.85229256632834,255.0606324113715,269.67,3.43,255.0606324113715,269.76,3.44,239.1469959173949,250.35,3.62,3.5,run_00000002,6,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,256.72,271.44,3.40,3.59
RA_164.865__DEC_40.434,482.6972567889041,770.9077609086057,164.864014542674,40.43748802142073,25.0,31.0,NO,1315,267.85229256632834,255.0606324113715,269.13,3.49,255.0606324113715,269.23,3.51,239.1469959173949,249.85,3.68,3.5,run_00000002,6,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,256.72,270.91,3.47,3.59
RA_164.865__DEC_40.434,482.6972567889041,770.9077609086057,164.864014542674,40.43748802142073,25.0,31.0,NO,1274,267.85229256632834,255.0606324113715,270.13,3.45,255.0606324113715,270.22,3.47,239.1469959173949,250.83,3.64,3.5,run_00000002,6,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,256.73,271.92,3.42,3.59
RA_164.889DEC36.087,2767.976759851269,117.22394457891284,164.89365222041246,36.094713714356416,10.0,10.0,NO,1126,114.59588076551783,106.71027946721978,138.21,2.70,106.71027946721978,138.55,2.74,65.22905396733486,100.17,3.39,3.5,run_00000002,6,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,107.69,139.90,2.76,3.6
RA_164.889DEC36.087,2767.976759851269,117.22394457891284,164.89365222041246,36.094713714356416,10.0,10.0,NO,1083,114.59588076551783,106.71027946721978,138.39,2.70,106.71027946721978,138.73,2.74,65.22905396733486,100.44,3.38,3.5,run_00000002,6,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,107.71,140.11,2.76,3.6
