# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T04:22:28.720
# DATE-END: 2025-12-21T04:22:28.864
# TSTART: 1766290948720.28
# TSTOP: 1766290948750.29
# DATE: 2025-12-21T04:22:29
# EXPOSURE: 30000.0
# RA0: -4.495259e-10
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.11434776536
# DEC: 38.7087815017666
# EQUINOX: 2000.0
# CRVAL1: 166.11434776536
# CRVAL2: 38.7087815017666
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000499265063521447
# CD1_2: 0.00175688352331507
# CD2_1: -0.00175715402229228
# CD2_2: 0.000500772709617004
# A_ORDER: 2
# A_0_2: -2.66549417489703e-07
# A_1_1: 7.19240239381483e-07
# A_2_0: -3.27807825569815e-07
# B_ORDER: 2
# B_0_2: 2.18395661984457e-06
# B_1_1: -8.10400159509497e-07
# B_2_0: -6.54472556466632e-07
# AP_ORDER: 2
# AP_0_0: -6.94187442640271e-06
# AP_0_1: -1.64990460164972e-06
# AP_0_2: 2.66539885600015e-07
# AP_1_0: 6.04444783067605e-07
# AP_1_1: -7.19268784051108e-07
# AP_2_0: 3.27839006918914e-07
# BP_ORDER: 2
# BP_0_0: 3.46606225797075e-05
# BP_0_1: 4.02196783824864e-06
# BP_0_2: -2.18421882224616e-06
# BP_1_0: -6.07901419500019e-07
# BP_1_1: 8.10703307131092e-07
# BP_2_0: 6.54443194242595e-07
# NOME_FILE_FITS: 20251221_042228.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000002_stelle_trovate_e_catalogate_immagine_011.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,481.9733008331461,781.0471981673702,164.86537567521265,40.43001704085404,21.0,30.0,NO,1316,209.1756698922553,207.3147245395214,269.82,3.47,207.3147245395214,269.91,3.49,174.698970194476,250.45,3.67,3.5,run_00000002,11,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,207.77,271.61,3.44,3.59
RA_164.865__DEC_40.434,481.9733008331461,781.0471981673702,164.86537567521265,40.43001704085404,21.0,30.0,NO,1315,209.1756698922553,207.3147245395214,269.65,3.43,207.3147245395214,269.74,3.45,174.698970194476,250.28,3.62,3.5,run_00000002,11,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,207.77,271.42,3.40,3.59
RA_164.865__DEC_40.434,481.9733008331461,781.0471981673702,164.86537567521265,40.43001704085404,21.0,30.0,NO,1314,209.1756698922553,207.3147245395214,269.67,3.43,207.3147245395214,269.76,3.44,174.698970194476,250.35,3.62,3.5,run_00000002,11,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,207.77,271.44,3.40,3.59
RA_164.865__DEC_40.434,481.9733008331461,781.0471981673702,164.86537567521265,40.43001704085404,21.0,30.0,NO,1313,209.1756698922553,207.3147245395214,269.65,3.43,207.3147245395214,269.74,3.45,174.698970194476,250.28,3.62,3.5,run_00000002,11,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,207.77,271.42,3.40,3.59
RA_164.865__DEC_40.434,481.9733008331461,781.0471981673702,164.86537567521265,40.43001704085404,21.0,30.0,NO,1308,209.1756698922553,207.3147245395214,269.08,3.58,207.3147245395214,269.17,3.60,174.698970194476,249.82,3.77,3.5,run_00000002,11,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,207.77,270.86,3.56,3.59
RA_164.865__DEC_40.434,481.9733008331461,781.0471981673702,164.86537567521265,40.43001704085404,21.0,30.0,NO,1314,209.1756698922553,207.3147245395214,269.67,3.43,207.3147245395214,269.76,3.44,174.698970194476,250.35,3.62,3.5,run_00000002,11,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,207.77,271.44,3.40,3.59
RA_164.865__DEC_40.434,481.9733008331461,781.0471981673702,164.86537567521265,40.43001704085404,21.0,30.0,NO,1315,209.1756698922553,207.3147245395214,269.13,3.49,207.3147245395214,269.23,3.51,174.698970194476,249.85,3.68,3.5,run_00000002,11,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,207.77,270.91,3.47,3.59
RA_164.865__DEC_40.434,481.9733008331461,781.0471981673702,164.86537567521265,40.43001704085404,21.0,30.0,NO,1274,209.1756698922553,207.3147245395214,270.13,3.45,207.3147245395214,270.22,3.47,174.698970194476,250.83,3.64,3.5,run_00000002,11,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,207.77,271.92,3.42,3.59
RA_164.889DEC36.087,2761.834927305034,108.91225567381896,164.8905465582222,36.09379695966408,8.0,11.0,NO,1126,103.96885878726476,102.54265440836453,138.21,2.70,102.54265440836453,138.55,2.74,46.62073236636463,100.17,3.39,3.5,run_00000002,11,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,103.17,139.90,2.76,3.6
RA_164.889DEC36.087,2761.834927305034,108.91225567381896,164.8905465582222,36.09379695966408,8.0,11.0,NO,1083,103.96885878726476,102.54265440836453,138.39,2.70,102.54265440836453,138.73,2.74,46.62073236636463,100.44,3.38,3.5,run_00000002,11,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,103.18,140.11,2.76,3.6
