# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T04:23:08.541
# DATE-END: 2025-12-21T04:23:08.685
# TSTART: 1766290988540.59
# TSTOP: 1766290988570.59
# DATE: 2025-12-21T04:23:09
# EXPOSURE: 30000.0
# RA0: -4.495259e-10
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.11339155506
# DEC: 38.7055111959712
# EQUINOX: 2000.0
# CRVAL1: 166.11339155506
# CRVAL2: 38.7055111959712
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000505290729325145
# CD1_2: 0.00175585135509133
# CD2_1: -0.00175491355373996
# CD2_2: 0.000508038819361412
# A_ORDER: 2
# A_0_2: -3.90558870294657e-06
# A_1_1: -1.31589991724494e-06
# A_2_0: -3.49644885974981e-07
# B_ORDER: 2
# B_0_2: -1.71474924360187e-06
# B_1_1: 7.99520261751001e-07
# B_2_0: 2.59298815242723e-07
# AP_ORDER: 2
# AP_0_0: 0.000168548244830842
# AP_0_1: 1.06578644055766e-05
# AP_0_2: 3.90472520378085e-06
# AP_1_0: 2.95280408269513e-08
# AP_1_1: 1.31592041722203e-06
# AP_2_0: 3.49672808001388e-07
# BP_ORDER: 2
# BP_0_0: -2.79406813860443e-05
# BP_0_1: 7.9834439090639e-07
# BP_0_2: 1.71470812250842e-06
# BP_1_0: -2.56459291987187e-06
# BP_1_1: -7.99266840003457e-07
# BP_2_0: -2.5927292261822e-07
# NOME_FILE_FITS: 20251221_042308.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000002_stelle_trovate_e_catalogate_immagine_013.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,480.5663306003003,784.5140707454105,164.86576405852963,40.42878330672618,31.0,44.0,NO,1316,330.800848255126,308.36891776413967,269.82,3.47,308.36891776413967,269.91,3.49,288.4334789773729,250.45,3.67,3.531054157100359,run_00000002,13,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,310.16,271.61,3.44,3.59
RA_164.865__DEC_40.434,480.5663306003003,784.5140707454105,164.86576405852963,40.42878330672618,31.0,44.0,NO,1315,330.800848255126,308.36891776413967,269.65,3.43,308.36891776413967,269.74,3.45,288.4334789773729,250.28,3.62,3.531054157100359,run_00000002,13,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,310.15,271.42,3.40,3.59
RA_164.865__DEC_40.434,480.5663306003003,784.5140707454105,164.86576405852963,40.42878330672618,31.0,44.0,NO,1314,330.800848255126,308.36891776413967,269.67,3.43,308.36891776413967,269.76,3.44,288.4334789773729,250.35,3.62,3.531054157100359,run_00000002,13,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,310.15,271.44,3.40,3.59
RA_164.865__DEC_40.434,480.5663306003003,784.5140707454105,164.86576405852963,40.42878330672618,31.0,44.0,NO,1313,330.800848255126,308.36891776413967,269.65,3.43,308.36891776413967,269.74,3.45,288.4334789773729,250.28,3.62,3.531054157100359,run_00000002,13,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,310.15,271.42,3.40,3.59
RA_164.865__DEC_40.434,480.5663306003003,784.5140707454105,164.86576405852963,40.42878330672618,31.0,44.0,NO,1308,330.800848255126,308.36891776413967,269.08,3.58,308.36891776413967,269.17,3.60,288.4334789773729,249.82,3.77,3.531054157100359,run_00000002,13,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,310.17,270.86,3.56,3.59
RA_164.865__DEC_40.434,480.5663306003003,784.5140707454105,164.86576405852963,40.42878330672618,31.0,44.0,NO,1314,330.800848255126,308.36891776413967,269.67,3.43,308.36891776413967,269.76,3.44,288.4334789773729,250.35,3.62,3.531054157100359,run_00000002,13,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,310.15,271.44,3.40,3.59
RA_164.865__DEC_40.434,480.5663306003003,784.5140707454105,164.86576405852963,40.42878330672618,31.0,44.0,NO,1315,330.800848255126,308.36891776413967,269.13,3.49,308.36891776413967,269.23,3.51,288.4334789773729,249.85,3.68,3.531054157100359,run_00000002,13,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,310.15,270.91,3.47,3.59
RA_164.865__DEC_40.434,480.5663306003003,784.5140707454105,164.86576405852963,40.42878330672618,31.0,44.0,NO,1274,330.800848255126,308.36891776413967,270.13,3.45,308.36891776413967,270.22,3.47,288.4334789773729,250.83,3.64,3.531054157100359,run_00000002,13,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,310.16,271.92,3.42,3.59
RA_164.882__DEC_36.096,2757.924044123148,105.6954717772911,164.88197267322357,36.091336540523535,12.0,15.0,NO,1126,127.32374487310076,122.0512989035902,138.21,2.70,122.0512989035902,138.55,2.74,80.52617258550012,100.17,3.39,3.5,run_00000002,13,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,123.29,139.90,2.76,3.6
RA_164.882__DEC_36.096,2757.924044123148,105.6954717772911,164.88197267322357,36.091336540523535,12.0,15.0,NO,1083,127.32374487310076,122.0512989035902,138.39,2.70,122.0512989035902,138.73,2.74,80.52617258550012,100.44,3.38,3.5,run_00000002,13,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,123.32,140.11,2.76,3.6
