# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T04:28:12.163
# DATE-END: 2025-12-21T04:28:12.308
# TSTART: 1766291292163.5
# TSTOP: 1766291292193.51
# DATE: 2025-12-21T04:28:13
# EXPOSURE: 30000.0
# RA0: -4.495259e-10
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.111715563272
# DEC: 38.7093819157508
# EQUINOX: 2000.0
# CRVAL1: 166.111715563272
# CRVAL2: 38.7093819157508
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000549743158895059
# CD1_2: 0.00173119307067296
# CD2_1: -0.00173642261378738
# CD2_2: 0.000526957654233361
# A_ORDER: 2
# A_0_2: 9.17236709126836e-06
# A_1_1: -4.12769498241862e-06
# A_2_0: 1.58679155938417e-06
# B_ORDER: 2
# B_0_2: -1.04388273792154e-05
# B_1_1: 1.84462610695875e-06
# B_2_0: -9.63620737534672e-08
# AP_ORDER: 2
# AP_0_0: -0.00289122743860351
# AP_0_1: -0.00017314653084756
# AP_0_2: -9.16334022416952e-06
# AP_1_0: 5.2631451641831e-05
# AP_1_1: 4.12427872466345e-06
# AP_2_0: -1.58618116439082e-06
# BP_ORDER: 2
# BP_0_0: 0.00284419690377763
# BP_0_1: 0.000160338257596548
# BP_0_2: 1.04287150693637e-05
# BP_1_0: -2.5035588397035e-05
# BP_1_1: -1.84250361212969e-06
# BP_2_0: 9.6042774948551e-08
# NOME_FILE_FITS: 20251221_042812.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000002_stelle_trovate_e_catalogate_immagine_028.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,475.9828684781692,809.968541462871,164.8651379082983,40.425924399568494,21.0,33.0,NO,1316,211.27166861008536,200.64025609359365,269.82,3.47,200.64025609359365,269.91,3.49,164.5300687219966,250.45,3.67,3.5,run_00000002,28,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,202.15,271.61,3.44,3.59
RA_164.865__DEC_40.434,475.9828684781692,809.968541462871,164.8651379082983,40.425924399568494,21.0,33.0,NO,1315,211.27166861008536,200.64025609359365,269.65,3.43,200.64025609359365,269.74,3.45,164.5300687219966,250.28,3.62,3.5,run_00000002,28,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,202.15,271.42,3.40,3.59
RA_164.865__DEC_40.434,475.9828684781692,809.968541462871,164.8651379082983,40.425924399568494,21.0,33.0,NO,1314,211.27166861008536,200.64025609359365,269.67,3.43,200.64025609359365,269.76,3.44,164.5300687219966,250.35,3.62,3.5,run_00000002,28,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,202.15,271.44,3.40,3.59
RA_164.865__DEC_40.434,475.9828684781692,809.968541462871,164.8651379082983,40.425924399568494,21.0,33.0,NO,1313,211.27166861008536,200.64025609359365,269.65,3.43,200.64025609359365,269.74,3.45,164.5300687219966,250.28,3.62,3.5,run_00000002,28,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,202.15,271.42,3.40,3.59
RA_164.865__DEC_40.434,475.9828684781692,809.968541462871,164.8651379082983,40.425924399568494,21.0,33.0,NO,1308,211.27166861008536,200.64025609359365,269.08,3.58,200.64025609359365,269.17,3.60,164.5300687219966,249.82,3.77,3.5,run_00000002,28,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,202.16,270.86,3.56,3.59
RA_164.865__DEC_40.434,475.9828684781692,809.968541462871,164.8651379082983,40.425924399568494,21.0,33.0,NO,1314,211.27166861008536,200.64025609359365,269.67,3.43,200.64025609359365,269.76,3.44,164.5300687219966,250.35,3.62,3.5,run_00000002,28,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,202.15,271.44,3.40,3.59
RA_164.865__DEC_40.434,475.9828684781692,809.968541462871,164.8651379082983,40.425924399568494,21.0,33.0,NO,1315,211.27166861008536,200.64025609359365,269.13,3.49,200.64025609359365,269.23,3.51,164.5300687219966,249.85,3.68,3.5,run_00000002,28,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,202.15,270.91,3.47,3.59
RA_164.865__DEC_40.434,475.9828684781692,809.968541462871,164.8651379082983,40.425924399568494,21.0,33.0,NO,1274,211.27166861008536,200.64025609359365,270.13,3.45,200.64025609359365,270.22,3.47,164.5300687219966,250.83,3.64,3.5,run_00000002,28,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,202.15,271.92,3.42,3.59
RA_164.889DEC36.087,2735.993381949285,74.26708525817342,164.88455753221714,36.08637697658079,17.0,14.0,NO,1126,169.67059674740648,153.28492909760433,138.21,2.70,153.28492909760433,138.55,2.74,124.66933317197244,100.17,3.39,3.5,run_00000002,28,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,155.73,139.90,2.76,3.6
RA_164.889DEC36.087,2735.993381949285,74.26708525817342,164.88455753221714,36.08637697658079,17.0,14.0,NO,1083,169.67059674740648,153.28492909760433,138.39,2.70,153.28492909760433,138.73,2.74,124.66933317197244,100.44,3.38,3.5,run_00000002,28,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,155.79,140.11,2.76,3.6
