# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T04:31:14.038
# DATE-END: 2025-12-21T04:31:14.182
# TSTART: 1766291474037.53
# TSTOP: 1766291474067.54
# DATE: 2025-12-21T04:31:15
# EXPOSURE: 30000.0
# RA0: -4.495259e-10
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.114379874549
# DEC: 38.707875354416
# EQUINOX: 2000.0
# CRVAL1: 166.114379874549
# CRVAL2: 38.707875354416
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00057670842947715
# CD1_2: 0.00172953334213113
# CD2_1: -0.00173314294344936
# CD2_2: 0.000576228132181532
# A_ORDER: 2
# A_0_2: 1.07268284109912e-06
# A_1_1: 1.13061194232193e-06
# A_2_0: -1.6321393653477e-06
# B_ORDER: 2
# B_0_2: -2.09139391479673e-06
# B_1_1: 1.65107784398814e-06
# B_2_0: -7.89733220624944e-08
# AP_ORDER: 2
# AP_0_0: 4.31529980578678e-06
# AP_0_1: -5.25813266931675e-06
# AP_0_2: -1.07245721100248e-06
# AP_1_0: 7.38090535294957e-06
# AP_1_1: -1.13045489723898e-06
# AP_2_0: 1.63198122727671e-06
# BP_ORDER: 2
# BP_0_0: 0.000124047228129465
# BP_0_1: 6.89484600896612e-06
# BP_0_2: 2.09080172297145e-06
# BP_1_0: -2.90239517800934e-06
# BP_1_1: -1.65070401237809e-06
# BP_2_0: 7.89571969641208e-08
# NOME_FILE_FITS: 20251221_043113.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000002_stelle_trovate_e_catalogate_immagine_037.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,472.3759712788035,827.2311285497761,164.8658256265342,40.43173980288755,29.0,40.0,NO,1316,301.4857984250648,276.46387910715583,269.82,3.47,276.46387910715583,269.91,3.49,261.168295708182,250.45,3.67,3.5,run_00000002,37,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,278.72,271.61,3.44,3.59
RA_164.865__DEC_40.434,472.3759712788035,827.2311285497761,164.8658256265342,40.43173980288755,29.0,40.0,NO,1315,301.4857984250648,276.46387910715583,269.65,3.43,276.46387910715583,269.74,3.45,261.168295708182,250.28,3.62,3.5,run_00000002,37,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,278.71,271.42,3.40,3.59
RA_164.865__DEC_40.434,472.3759712788035,827.2311285497761,164.8658256265342,40.43173980288755,29.0,40.0,NO,1314,301.4857984250648,276.46387910715583,269.67,3.43,276.46387910715583,269.76,3.44,261.168295708182,250.35,3.62,3.5,run_00000002,37,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,278.71,271.44,3.40,3.59
RA_164.865__DEC_40.434,472.3759712788035,827.2311285497761,164.8658256265342,40.43173980288755,29.0,40.0,NO,1313,301.4857984250648,276.46387910715583,269.65,3.43,276.46387910715583,269.74,3.45,261.168295708182,250.28,3.62,3.5,run_00000002,37,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,278.71,271.42,3.40,3.59
RA_164.865__DEC_40.434,472.3759712788035,827.2311285497761,164.8658256265342,40.43173980288755,29.0,40.0,NO,1308,301.4857984250648,276.46387910715583,269.08,3.58,276.46387910715583,269.17,3.60,261.168295708182,249.82,3.77,3.5,run_00000002,37,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,278.73,270.86,3.56,3.59
RA_164.865__DEC_40.434,472.3759712788035,827.2311285497761,164.8658256265342,40.43173980288755,29.0,40.0,NO,1314,301.4857984250648,276.46387910715583,269.67,3.43,276.46387910715583,269.76,3.44,261.168295708182,250.35,3.62,3.5,run_00000002,37,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,278.71,271.44,3.40,3.59
RA_164.865__DEC_40.434,472.3759712788035,827.2311285497761,164.8658256265342,40.43173980288755,29.0,40.0,NO,1315,301.4857984250648,276.46387910715583,269.13,3.49,276.46387910715583,269.23,3.51,261.168295708182,249.85,3.68,3.5,run_00000002,37,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,278.71,270.91,3.47,3.59
RA_164.865__DEC_40.434,472.3759712788035,827.2311285497761,164.8658256265342,40.43173980288755,29.0,40.0,NO,1274,301.4857984250648,276.46387910715583,270.13,3.45,276.46387910715583,270.22,3.47,261.168295708182,250.83,3.64,3.5,run_00000002,37,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,278.72,271.92,3.42,3.59
RA_164.882__DEC_36.096,2720.6215487340096,56.41088418644526,164.88418989396914,36.09319642399236,13.0,13.0,NO,1126,123.56599467534356,117.89871797418012,138.21,2.70,117.89871797418012,138.55,2.74,77.05750116178572,100.17,3.39,3.5,run_00000002,37,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,118.75,139.90,2.76,3.6
RA_164.882__DEC_36.096,2720.6215487340096,56.41088418644526,164.88418989396914,36.09319642399236,13.0,13.0,NO,1083,123.56599467534356,117.89871797418012,138.39,2.70,117.89871797418012,138.73,2.74,77.05750116178572,100.44,3.38,3.5,run_00000002,37,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,118.77,140.11,2.76,3.6
