# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T04:35:37.276
# DATE-END: 2025-12-21T04:35:37.420
# TSTART: 1766291737276.46
# TSTOP: 1766291737306.46
# DATE: 2025-12-21T04:35:38
# EXPOSURE: 30000.0
# RA0: -4.495259e-10
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.115456413714
# DEC: 38.7071567178327
# EQUINOX: 2000.0
# CRVAL1: 166.115456413714
# CRVAL2: 38.7071567178327
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000617968152139597
# CD1_2: 0.00171591355934799
# CD2_1: -0.00171925970278939
# CD2_2: 0.000614992125022484
# A_ORDER: 2
# A_0_2: -1.2521520769406e-06
# A_1_1: 7.98766715858387e-08
# A_2_0: 5.11433962044893e-08
# B_ORDER: 2
# B_0_2: -2.97271150807377e-06
# B_1_1: 2.68757940090609e-07
# B_2_0: -6.93144055737755e-07
# AP_ORDER: 2
# AP_0_0: 0.000136914243505415
# AP_0_1: 6.15928317121778e-06
# AP_0_2: 1.25167120423104e-06
# AP_1_0: -4.4366542386496e-07
# AP_1_1: -7.9888934494888e-08
# AP_2_0: -5.11781714033092e-08
# BP_ORDER: 2
# BP_0_0: 0.000329244719466359
# BP_0_1: 1.44715744989992e-05
# BP_0_2: 2.97154712097608e-06
# BP_1_0: -6.11110379844404e-07
# BP_1_1: -2.68864596357513e-07
# BP_2_0: 6.93069843897861e-07
# NOME_FILE_FITS: 20251221_043537.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000002_stelle_trovate_e_catalogate_immagine_050.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,467.1022215040253,851.744338242355,164.8628028308137,40.429420595600966,30.0,42.0,NO,1316,341.7175101283888,318.3728971888099,269.82,3.47,318.3728971888099,269.91,3.49,303.45941104371616,250.45,3.67,3.5,run_00000002,50,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,321.43,271.61,3.44,3.59
RA_164.865__DEC_40.434,467.1022215040253,851.744338242355,164.8628028308137,40.429420595600966,30.0,42.0,NO,1315,341.7175101283888,318.3728971888099,269.65,3.43,318.3728971888099,269.74,3.45,303.45941104371616,250.28,3.62,3.5,run_00000002,50,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,321.42,271.42,3.40,3.59
RA_164.865__DEC_40.434,467.1022215040253,851.744338242355,164.8628028308137,40.429420595600966,30.0,42.0,NO,1314,341.7175101283888,318.3728971888099,269.67,3.43,318.3728971888099,269.76,3.44,303.45941104371616,250.35,3.62,3.5,run_00000002,50,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,321.42,271.44,3.40,3.59
RA_164.865__DEC_40.434,467.1022215040253,851.744338242355,164.8628028308137,40.429420595600966,30.0,42.0,NO,1313,341.7175101283888,318.3728971888099,269.65,3.43,318.3728971888099,269.74,3.45,303.45941104371616,250.28,3.62,3.5,run_00000002,50,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,321.42,271.42,3.40,3.59
RA_164.865__DEC_40.434,467.1022215040253,851.744338242355,164.8628028308137,40.429420595600966,30.0,42.0,NO,1308,341.7175101283888,318.3728971888099,269.08,3.58,318.3728971888099,269.17,3.60,303.45941104371616,249.82,3.77,3.5,run_00000002,50,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,321.45,270.86,3.56,3.59
RA_164.865__DEC_40.434,467.1022215040253,851.744338242355,164.8628028308137,40.429420595600966,30.0,42.0,NO,1314,341.7175101283888,318.3728971888099,269.67,3.43,318.3728971888099,269.76,3.44,303.45941104371616,250.35,3.62,3.5,run_00000002,50,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,321.42,271.44,3.40,3.59
RA_164.865__DEC_40.434,467.1022215040253,851.744338242355,164.8628028308137,40.429420595600966,30.0,42.0,NO,1315,341.7175101283888,318.3728971888099,269.13,3.49,318.3728971888099,269.23,3.51,303.45941104371616,249.85,3.68,3.5,run_00000002,50,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,321.42,270.91,3.47,3.59
RA_164.865__DEC_40.434,467.1022215040253,851.744338242355,164.8628028308137,40.429420595600966,30.0,42.0,NO,1274,341.7175101283888,318.3728971888099,270.13,3.45,318.3728971888099,270.22,3.47,303.45941104371616,250.83,3.64,3.5,run_00000002,50,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,321.43,271.92,3.42,3.59
RA_164.882__DEC_36.096,2696.6233406933843,28.191621219381105,164.88430608917523,36.092772834163,16.0,15.0,NO,1126,166.7309583280081,149.21380391074894,138.21,2.70,150.87776818773858,138.55,2.74,120.19168463855792,100.17,3.39,3.5751860773652018,run_00000002,50,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,151.45,139.90,2.76,3.6
RA_164.882__DEC_36.096,2696.6233406933843,28.191621219381105,164.88430608917523,36.092772834163,16.0,15.0,NO,1083,166.7309583280081,149.21380391074894,138.39,2.70,150.87776818773858,138.73,2.74,120.19168463855792,100.44,3.38,3.5751860773652018,run_00000002,50,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,151.51,140.11,2.76,3.6
RA_164.882__DEC_36.096,2696.6233406933843,28.191621219381105,164.88430608917523,36.092772834163,16.0,15.0,NO,1123,166.7309583280081,149.21380391074894,138.21,2.70,150.87776818773858,138.55,2.74,120.19168463855792,100.17,3.39,3.5751860773652018,run_00000002,50,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,151.45,139.90,2.76,3.6
RA_164.882__DEC_36.096,2696.6233406933843,28.191621219381105,164.88430608917523,36.092772834163,16.0,15.0,NO,1128,166.7309583280081,149.21380391074894,138.39,2.69,150.87776818773858,138.72,2.73,120.19168463855792,100.30,3.39,3.5751860773652018,run_00000002,50,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,151.45,140.07,2.75,3.6
RA_164.882__DEC_36.096,2696.6233406933843,28.191621219381105,164.88430608917523,36.092772834163,16.0,15.0,NO,1127,166.7309583280081,149.21380391074894,137.91,2.67,150.87776818773858,138.24,2.71,120.19168463855792,99.70,3.37,3.5751860773652018,run_00000002,50,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,151.4,139.55,2.73,3.6
RA_164.882__DEC_36.096,2696.6233406933843,28.191621219381105,164.88430608917523,36.092772834163,16.0,15.0,NO,262,166.7309583280081,149.21380391074894,145.44,3.30,150.87776818773858,145.59,3.32,120.19168463855792,107.49,4.16,3.5751860773652018,run_00000002,50,SI (Rank 6),II/389/ps1_dr2,1.513016487574839e+17,164.87577662,36.08615428,13.3087,150.36,146.40,3.35,3.55
RA_165.211__DEC_39.212,1143.5156626659875,755.4059379757227,165.2114777810787,39.21154049564856,24.0,51.0,NO,1798,265.570416661188,260.52901770756955,281.24,3.05,260.52901770756955,281.24,3.05,239.5124358987701,265.29,3.19,3.5,run_00000002,50,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,260.53,281.24,3.05,3.5
RA_165.211__DEC_39.212,1143.5156626659875,755.4059379757227,165.2114777810787,39.21154049564856,24.0,51.0,NO,1796,265.570416661188,260.52901770756955,281.24,3.05,260.52901770756955,281.24,3.05,239.5124358987701,265.29,3.19,3.5,run_00000002,50,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,260.53,281.24,3.05,3.5
RA_165.211__DEC_39.212,1143.5156626659875,755.4059379757227,165.2114777810787,39.21154049564856,24.0,51.0,NO,1796,265.570416661188,260.52901770756955,281.24,3.05,260.52901770756955,281.24,3.05,239.5124358987701,265.29,3.19,3.5,run_00000002,50,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,260.53,281.24,3.05,3.5
RA_166.129__DEC_38.242,1776.6380949181691,942.6134474886596,166.13129477729512,38.24170940498664,15.0,31.0,NO,1807,134.9352801480465,133.23474370560982,112.76,1.65,133.23474370560982,112.76,1.65,115.89779056192565,88.82,1.88,3.5,run_00000002,50,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,133.23,112.76,1.65,3.5
RA_166.129__DEC_38.242,1776.6380949181691,942.6134474886596,166.13129477729512,38.24170940498664,15.0,31.0,NO,1807,134.9352801480465,133.23474370560982,112.76,1.65,133.23474370560982,112.76,1.65,115.89779056192565,88.82,1.88,3.5,run_00000002,50,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,133.23,112.76,1.65,3.5
RA_166.129__DEC_38.242,1776.6380949181691,942.6134474886596,166.13129477729512,38.24170940498664,15.0,31.0,NO,1807,134.9352801480465,133.23474370560982,112.76,1.65,133.23474370560982,112.76,1.65,115.89779056192565,88.82,1.88,3.5,run_00000002,50,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,133.23,112.76,1.65,3.5
RA_166.129__DEC_38.242,1776.6380949181691,942.6134474886596,166.13129477729512,38.24170940498664,15.0,31.0,NO,1807,134.9352801480465,133.23474370560982,112.76,1.65,133.23474370560982,112.76,1.65,115.89779056192565,88.82,1.88,3.5,run_00000002,50,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,133.23,112.76,1.65,3.5
RA_166.129__DEC_38.242,1776.6380949181691,942.6134474886596,166.13129477729512,38.24170940498664,15.0,31.0,NO,1807,134.9352801480465,133.23474370560982,112.76,1.65,133.23474370560982,112.76,1.65,115.89779056192565,88.82,1.88,3.5,run_00000002,50,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,133.23,112.76,1.65,3.5
RA_166.129__DEC_38.242,1776.6380949181691,942.6134474886596,166.13129477729512,38.24170940498664,15.0,31.0,NO,1807,134.9352801480465,133.23474370560982,112.76,1.65,133.23474370560982,112.76,1.65,115.89779056192565,88.82,1.88,3.5,run_00000002,50,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,133.23,112.76,1.65,3.5
RA_166.129__DEC_38.242,1776.6380949181691,942.6134474886596,166.13129477729512,38.24170940498664,15.0,31.0,NO,1807,134.9352801480465,133.23474370560982,112.76,1.65,133.23474370560982,112.76,1.65,115.89779056192565,88.82,1.88,3.5,run_00000002,50,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,133.23,112.76,1.65,3.5
RA_166.129__DEC_38.242,1776.6380949181691,942.6134474886596,166.13129477729512,38.24170940498664,15.0,31.0,NO,1807,134.9352801480465,133.23474370560982,112.76,1.65,133.23474370560982,112.76,1.65,115.89779056192565,88.82,1.88,3.5,run_00000002,50,SI (Rank 8),II/389/ps1_dr2,1.5389166128101078e+17,166.12835744,38.24191354,13.1504,133.23,112.76,1.65,3.5
RA_166.129__DEC_38.242,1776.6380949181691,942.6134474886596,166.13129477729512,38.24170940498664,15.0,31.0,NO,1807,134.9352801480465,133.23474370560982,112.76,1.65,133.23474370560982,112.76,1.65,115.89779056192565,88.82,1.88,3.5,run_00000002,50,SI (Rank 9),II/389/ps1_dr2,1.5388166126503923e+17,166.12665345,38.24053532,14.6034,133.23,112.76,1.65,3.5
RA_167.329__DEC_36.312,2948.8917802314054,1084.723074857823,167.3285936862772,36.30795533851014,21.0,20.0,NO,1708,232.6883739516114,196.19502433464768,211.13,2.90,196.19502433464768,211.69,2.95,157.1592496849037,174.52,3.06,3.5,run_00000002,50,SI (Rank 1),I/239/hip_main,54522.0,167.3295003665,36.309378969,5.71,210.85,220.15,2.69,4.0
RA_167.329__DEC_36.312,2948.8917802314054,1084.723074857823,167.3285936862772,36.30795533851014,21.0,20.0,NO,1705,232.6883739516114,196.19502433464768,211.14,2.93,196.19502433464768,211.70,2.99,157.1592496849037,174.44,3.09,3.5,run_00000002,50,SI (Rank 2),II/389/ps1_dr2,1.515716732746127e+17,167.32759079,36.31021643,7.0301,210.86,220.11,2.72,4.0
RA_167.329__DEC_36.312,2948.8917802314054,1084.723074857823,167.3285936862772,36.30795533851014,21.0,20.0,NO,1702,232.6883739516114,196.19502433464768,211.05,2.93,196.19502433464768,211.61,2.99,157.1592496849037,174.43,3.09,3.5,run_00000002,50,SI (Rank 3),II/389/ps1_dr2,1.5156167327749856e+17,167.3279408,36.3066183,12.6978,210.86,220.13,2.72,4.0
RA_167.329__DEC_36.312,2948.8917802314054,1084.723074857823,167.3285936862772,36.30795533851014,21.0,20.0,NO,1705,232.6883739516114,196.19502433464768,211.05,2.93,196.19502433464768,211.61,2.99,157.1592496849037,174.43,3.09,3.5,run_00000002,50,SI (Rank 4),II/389/ps1_dr2,1.515716733020705e+17,167.33020443,36.30815493,12.7953,210.86,220.13,2.72,4.0
RA_167.329__DEC_36.312,2948.8917802314054,1084.723074857823,167.3285936862772,36.30795533851014,21.0,20.0,NO,1700,232.6883739516114,196.19502433464768,211.14,2.93,196.19502433464768,211.70,2.99,157.1592496849037,174.44,3.09,3.5,run_00000002,50,SI (Rank 5),II/389/ps1_dr2,1.515716732886958e+17,167.32895151,36.31250412,14.3866,210.86,220.11,2.72,4.0
