# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T04:36:17.802
# DATE-END: 2025-12-21T04:36:17.946
# TSTART: 1766291777802.36
# TSTOP: 1766291777832.37
# DATE: 2025-12-21T04:36:18
# EXPOSURE: 30000.0
# RA0: -4.495259e-10
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.113287525828
# DEC: 38.7095939791581
# EQUINOX: 2000.0
# CRVAL1: 166.113287525828
# CRVAL2: 38.7095939791581
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000613396682207255
# CD1_2: 0.00172550201902685
# CD2_1: -0.00172328070269988
# CD2_2: 0.000628026030986799
# A_ORDER: 2
# A_0_2: -7.28456212755125e-07
# A_1_1: 1.32295663917098e-06
# A_2_0: -7.32395635039488e-07
# B_ORDER: 2
# B_0_2: -5.20156818442952e-07
# B_1_1: -6.58284356757511e-06
# B_2_0: 4.39848342876303e-06
# AP_ORDER: 2
# AP_0_0: 0.000144775481305122
# AP_0_1: -1.4991236494347e-05
# AP_0_2: 7.27831329832989e-07
# AP_1_0: 1.44249024434078e-05
# AP_1_1: -1.32274488512567e-06
# AP_2_0: 7.32404194310738e-07
# BP_ORDER: 2
# BP_0_0: -0.000377469790376968
# BP_0_1: 4.89367214051325e-05
# BP_0_2: 5.20948335533925e-07
# BP_1_0: -5.41486710830286e-05
# BP_1_1: 6.58121304180158e-06
# BP_2_0: -4.39799999146804e-06
# NOME_FILE_FITS: 20251221_043617.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000002_stelle_trovate_e_catalogate_immagine_052.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.882__DEC_36.096,2693.6996564977235,24.21911323242545,164.888203761789,36.09434625045611,14.0,15.0,NO,1126,162.2803959851227,137.2987947685281,138.21,2.70,137.2987947685281,138.55,2.74,110.63382340738292,100.17,3.39,3.5,run_00000002,52,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,139.23,139.90,2.76,3.6
RA_164.882__DEC_36.096,2693.6996564977235,24.21911323242545,164.888203761789,36.09434625045611,14.0,15.0,NO,1083,162.2803959851227,137.2987947685281,138.39,2.70,137.2987947685281,138.73,2.74,110.63382340738292,100.44,3.38,3.5,run_00000002,52,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,139.28,140.11,2.76,3.6
RA_164.882__DEC_36.096,2693.6996564977235,24.21911323242545,164.888203761789,36.09434625045611,14.0,15.0,NO,1123,162.2803959851227,137.2987947685281,138.21,2.70,137.2987947685281,138.55,2.74,110.63382340738292,100.17,3.39,3.5,run_00000002,52,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,139.23,139.90,2.76,3.6
RA_164.882__DEC_36.096,2693.6996564977235,24.21911323242545,164.888203761789,36.09434625045611,14.0,15.0,NO,1128,162.2803959851227,137.2987947685281,138.39,2.69,137.2987947685281,138.72,2.73,110.63382340738292,100.30,3.39,3.5,run_00000002,52,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,139.23,140.07,2.75,3.6
RA_164.882__DEC_36.096,2693.6996564977235,24.21911323242545,164.888203761789,36.09434625045611,14.0,15.0,NO,1127,162.2803959851227,137.2987947685281,137.91,2.67,137.2987947685281,138.24,2.71,110.63382340738292,99.70,3.37,3.5,run_00000002,52,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,139.19,139.55,2.73,3.6
RA_164.885__DEC_40.440,467.5520875673122,856.1227030433566,164.8849792933602,40.44019099261565,28.0,45.0,NO,1,328.4955053981347,308.82473600331514,308.82,NaN,308.82473600331514,308.82,NaN,286.8783786712365,286.88,NaN,3.501996633601794,run_00000002,52,NO,,INT_11,,,,308.82,308.82,NaN,3.5
RA_165.211__DEC_39.212,1143.57397517906,757.090820523518,165.21266218430273,39.21311968092064,25.0,50.0,NO,1798,278.7132560158091,273.057328931804,281.24,3.05,273.057328931804,281.24,3.05,254.85951735768032,265.29,3.19,3.5,run_00000002,52,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,273.06,281.24,3.05,3.5
RA_165.211__DEC_39.212,1143.57397517906,757.090820523518,165.21266218430273,39.21311968092064,25.0,50.0,NO,1796,278.7132560158091,273.057328931804,281.24,3.05,273.057328931804,281.24,3.05,254.85951735768032,265.29,3.19,3.5,run_00000002,52,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,273.06,281.24,3.05,3.5
RA_165.211__DEC_39.212,1143.57397517906,757.090820523518,165.21266218430273,39.21311968092064,25.0,50.0,NO,1796,278.7132560158091,273.057328931804,281.24,3.05,273.057328931804,281.24,3.05,254.85951735768032,265.29,3.19,3.5,run_00000002,52,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,273.06,281.24,3.05,3.5
RA_166.129__DEC_38.242,1777.625838280643,942.055903812133,166.12722327720496,38.240477929669225,11.0,22.0,NO,1807,107.12943414266584,106.31323886420785,112.76,1.65,106.31323886420785,112.76,1.65,84.68555820553122,88.82,1.88,3.5,run_00000002,52,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,106.31,112.76,1.65,3.5
