# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T04:37:38.681
# DATE-END: 2025-12-21T04:37:38.824
# TSTART: 1766291858680.55
# TSTOP: 1766291858710.56
# DATE: 2025-12-21T04:37:39
# EXPOSURE: 30000.0
# RA0: -4.495259e-10
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.114785527427
# DEC: 38.7093231665426
# EQUINOX: 2000.0
# CRVAL1: 166.114785527427
# CRVAL2: 38.7093231665426
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000635805141744871
# CD1_2: 0.00171610432773118
# CD2_1: -0.00171232453141774
# CD2_2: 0.000637404868955068
# A_ORDER: 2
# A_0_2: -1.13079777075369e-06
# A_1_1: 3.78657785040268e-07
# A_2_0: -5.34545372386192e-08
# B_ORDER: 2
# B_0_2: 3.10257556681635e-06
# B_1_1: 1.02068583590964e-06
# B_2_0: -6.7308586455896e-07
# AP_ORDER: 2
# AP_0_0: -6.00034271636056e-05
# AP_0_1: -3.30283909911416e-06
# AP_0_2: 1.13117304224013e-06
# AP_1_0: -6.83394160738886e-07
# AP_1_1: -3.78681207572431e-07
# AP_2_0: 5.34332555673232e-08
# BP_ORDER: 2
# BP_0_0: 0.000177891548521695
# BP_0_1: 8.67834248889965e-06
# BP_0_2: -3.10361754700744e-06
# BP_1_0: 3.2073731765354e-06
# BP_1_1: -1.02095892749532e-06
# BP_2_0: 6.73177237677886e-07
# NOME_FILE_FITS: 20251221_043738.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000002_stelle_trovate_e_catalogate_immagine_056.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,466.3052923685333,863.4293752460727,164.86340300476505,40.42947131429707,29.0,42.0,NO,1316,323.641650373614,300.2114576475184,269.82,3.47,300.2114576475184,269.91,3.49,286.6865784471726,250.45,3.67,3.522900398081121,run_00000002,56,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,301.7,271.61,3.44,3.59
RA_164.865__DEC_40.434,466.3052923685333,863.4293752460727,164.86340300476505,40.42947131429707,29.0,42.0,NO,1315,323.641650373614,300.2114576475184,269.65,3.43,300.2114576475184,269.74,3.45,286.6865784471726,250.28,3.62,3.522900398081121,run_00000002,56,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,301.7,271.42,3.40,3.59
RA_164.865__DEC_40.434,466.3052923685333,863.4293752460727,164.86340300476505,40.42947131429707,29.0,42.0,NO,1314,323.641650373614,300.2114576475184,269.67,3.43,300.2114576475184,269.76,3.44,286.6865784471726,250.35,3.62,3.522900398081121,run_00000002,56,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,301.7,271.44,3.40,3.59
RA_164.865__DEC_40.434,466.3052923685333,863.4293752460727,164.86340300476505,40.42947131429707,29.0,42.0,NO,1313,323.641650373614,300.2114576475184,269.65,3.43,300.2114576475184,269.74,3.45,286.6865784471726,250.28,3.62,3.522900398081121,run_00000002,56,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,301.7,271.42,3.40,3.59
RA_164.865__DEC_40.434,466.3052923685333,863.4293752460727,164.86340300476505,40.42947131429707,29.0,42.0,NO,1308,323.641650373614,300.2114576475184,269.08,3.58,300.2114576475184,269.17,3.60,286.6865784471726,249.82,3.77,3.522900398081121,run_00000002,56,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,301.71,270.86,3.56,3.59
RA_164.865__DEC_40.434,466.3052923685333,863.4293752460727,164.86340300476505,40.42947131429707,29.0,42.0,NO,1314,323.641650373614,300.2114576475184,269.67,3.43,300.2114576475184,269.76,3.44,286.6865784471726,250.35,3.62,3.522900398081121,run_00000002,56,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,301.7,271.44,3.40,3.59
RA_164.865__DEC_40.434,466.3052923685333,863.4293752460727,164.86340300476505,40.42947131429707,29.0,42.0,NO,1315,323.641650373614,300.2114576475184,269.13,3.49,300.2114576475184,269.23,3.51,286.6865784471726,249.85,3.68,3.522900398081121,run_00000002,56,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,301.7,270.91,3.47,3.59
RA_164.865__DEC_40.434,466.3052923685333,863.4293752460727,164.86340300476505,40.42947131429707,29.0,42.0,NO,1274,323.641650373614,300.2114576475184,270.13,3.45,300.2114576475184,270.22,3.47,286.6865784471726,250.83,3.64,3.522900398081121,run_00000002,56,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,301.7,271.92,3.42,3.59
RA_164.882__DEC_36.096,2686.4373033281854,14.52266585685916,164.88283001841637,36.09336976705775,14.0,17.0,NO,1126,154.739016135484,140.57467886435992,138.21,2.70,140.57467886435992,138.55,2.74,99.19752361553095,100.17,3.39,3.5,run_00000002,56,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,141.73,139.90,2.76,3.6
RA_164.882__DEC_36.096,2686.4373033281854,14.52266585685916,164.88283001841637,36.09336976705775,14.0,17.0,NO,1083,154.739016135484,140.57467886435992,138.39,2.70,140.57467886435992,138.73,2.74,99.19752361553095,100.44,3.38,3.5,run_00000002,56,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,141.76,140.11,2.76,3.6
