# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T04:40:40.954
# DATE-END: 2025-12-21T04:40:40.097
# TSTART: 1766292040953.95
# TSTOP: 1766292040983.96
# DATE: 2025-12-21T04:40:41
# EXPOSURE: 30000.0
# RA0: -4.495259e-10
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.111550204405
# DEC: 38.706301268831
# EQUINOX: 2000.0
# CRVAL1: 166.111550204405
# CRVAL2: 38.706301268831
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000660185565267779
# CD1_2: 0.00170727939044559
# CD2_1: -0.001701470073445
# CD2_2: 0.000668880590153233
# A_ORDER: 2
# A_0_2: -9.44265114709961e-08
# A_1_1: 1.03645607378877e-06
# A_2_0: 5.23052446341043e-07
# B_ORDER: 2
# B_0_2: -2.69701994008697e-06
# B_1_1: 1.72775731755851e-06
# B_2_0: 2.5129520706522e-06
# AP_ORDER: 2
# AP_0_0: 9.95931970175334e-05
# AP_0_1: 2.69216940747144e-06
# AP_0_2: 9.44622335848507e-08
# AP_1_0: 3.89805158838276e-06
# AP_1_1: -1.03644404633866e-06
# AP_2_0: -5.2325183837516e-07
# BP_ORDER: 2
# BP_0_0: 0.000232881906428399
# BP_0_1: 5.58039216285279e-06
# BP_0_2: 2.69624303773001e-06
# BP_1_0: 5.79176931172462e-06
# BP_1_1: -1.72711426681799e-06
# BP_2_0: -2.51319786451758e-06
# NOME_FILE_FITS: 20251221_044040.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000002_stelle_trovate_e_catalogate_immagine_065.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.885__DEC_40.428,463.0119973022169,883.179161292716,164.87799139830642,40.42992048685916,23.0,41.0,NO,1316,252.18246837804216,245.36929192398264,269.82,3.47,245.36929192398264,269.91,3.49,225.20275657783924,250.45,3.67,3.5,run_00000002,65,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,246.87,271.61,3.44,3.59
RA_164.885__DEC_40.428,463.0119973022169,883.179161292716,164.87799139830642,40.42992048685916,23.0,41.0,NO,1315,252.18246837804216,245.36929192398264,269.65,3.43,245.36929192398264,269.74,3.45,225.20275657783924,250.28,3.62,3.5,run_00000002,65,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,246.86,271.42,3.40,3.59
RA_164.885__DEC_40.428,463.0119973022169,883.179161292716,164.87799139830642,40.42992048685916,23.0,41.0,NO,1313,252.18246837804216,245.36929192398264,269.65,3.43,245.36929192398264,269.74,3.45,225.20275657783924,250.28,3.62,3.5,run_00000002,65,SI (Rank 3),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,246.86,271.42,3.40,3.59
RA_165.211__DEC_39.212,1136.267213574745,767.3170291579069,165.21107101218112,39.20967271180373,29.0,55.0,NO,1798,353.952174264847,334.95590692493363,281.24,3.05,334.95590692493363,281.24,3.05,317.42737720751245,265.29,3.19,3.5,run_00000002,65,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,334.96,281.24,3.05,3.5
RA_165.211__DEC_39.212,1136.267213574745,767.3170291579069,165.21107101218112,39.20967271180373,29.0,55.0,NO,1796,353.952174264847,334.95590692493363,281.24,3.05,334.95590692493363,281.24,3.05,317.42737720751245,265.29,3.19,3.5,run_00000002,65,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,334.96,281.24,3.05,3.5
RA_165.211__DEC_39.212,1136.267213574745,767.3170291579069,165.21107101218112,39.20967271180373,29.0,55.0,NO,1796,353.952174264847,334.95590692493363,281.24,3.05,334.95590692493363,281.24,3.05,317.42737720751245,265.29,3.19,3.5,run_00000002,65,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,334.96,281.24,3.05,3.5
RA_166.129__DEC_38.242,1774.6523594048513,936.261453030079,166.12615228403024,38.24006129387977,13.0,28.0,NO,1807,124.5938476779786,125.45284341069352,112.76,1.65,125.45284341069352,112.76,1.65,100.90170172170164,88.82,1.88,3.5,run_00000002,65,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,125.45,112.76,1.65,3.5
RA_166.129__DEC_38.242,1774.6523594048513,936.261453030079,166.12615228403024,38.24006129387977,13.0,28.0,NO,1807,124.5938476779786,125.45284341069352,112.76,1.65,125.45284341069352,112.76,1.65,100.90170172170164,88.82,1.88,3.5,run_00000002,65,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,125.45,112.76,1.65,3.5
RA_166.129__DEC_38.242,1774.6523594048513,936.261453030079,166.12615228403024,38.24006129387977,13.0,28.0,NO,1807,124.5938476779786,125.45284341069352,112.76,1.65,125.45284341069352,112.76,1.65,100.90170172170164,88.82,1.88,3.5,run_00000002,65,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,125.45,112.76,1.65,3.5
RA_166.129__DEC_38.242,1774.6523594048513,936.261453030079,166.12615228403024,38.24006129387977,13.0,28.0,NO,1807,124.5938476779786,125.45284341069352,112.76,1.65,125.45284341069352,112.76,1.65,100.90170172170164,88.82,1.88,3.5,run_00000002,65,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,125.45,112.76,1.65,3.5
