# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T04:42:22.068
# DATE-END: 2025-12-21T04:42:22.211
# TSTART: 1766292142067.51
# TSTOP: 1766292142097.52
# DATE: 2025-12-21T04:42:23
# EXPOSURE: 30000.0
# RA0: -4.495259e-10
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.113436118382
# DEC: 38.7087374899117
# EQUINOX: 2000.0
# CRVAL1: 166.113436118382
# CRVAL2: 38.7087374899117
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000687722321880318
# CD1_2: 0.00168628659584806
# CD2_1: -0.00168211981848271
# CD2_2: 0.000665487268740413
# A_ORDER: 2
# A_0_2: 4.95052635530829e-06
# A_1_1: -1.18304487987412e-05
# A_2_0: 3.58144398031936e-06
# B_ORDER: 2
# B_0_2: -7.68532575238049e-06
# B_1_1: 1.15432834016165e-05
# B_2_0: -2.79803963744964e-06
# AP_ORDER: 2
# AP_0_0: -0.0107185532041115
# AP_0_1: -0.000326429800720413
# AP_0_2: -4.93758394071239e-06
# AP_1_0: 0.000223717059852144
# AP_1_1: 1.18217689581336e-05
# AP_2_0: -3.57526692684143e-06
# BP_ORDER: 2
# BP_0_0: 0.0114295030853716
# BP_0_1: 0.000346325251406698
# BP_0_2: 7.66964818754422e-06
# BP_1_0: -0.000232056284712293
# BP_1_1: -1.15323142195801e-05
# BP_2_0: 2.79170328301957e-06
# NOME_FILE_FITS: 20251221_044221.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000002_stelle_trovate_e_catalogate_immagine_070.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.864__DEC_40.420,462.4242393854799,893.713868116829,164.85892582870576,40.41362360446927,29.0,42.0,NO,2,328.4477877873549,309.4263527319239,309.43,NaN,309.4263527319239,309.43,NaN,292.7455383069495,292.75,NaN,3.5,run_00000002,70,NO,,INT_13,,,,309.43,309.43,NaN,3.5
RA_165.211__DEC_39.212,1134.4467460306553,771.124315072968,165.21155599587917,39.21155964184542,29.0,50.0,NO,1798,331.9492858601537,319.67988907617945,281.24,3.05,319.67988907617945,281.24,3.05,306.91778192558115,265.29,3.19,3.5,run_00000002,70,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,319.68,281.24,3.05,3.5
RA_165.211__DEC_39.212,1134.4467460306553,771.124315072968,165.21155599587917,39.21155964184542,29.0,50.0,NO,1796,331.9492858601537,319.67988907617945,281.24,3.05,319.67988907617945,281.24,3.05,306.91778192558115,265.29,3.19,3.5,run_00000002,70,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,319.68,281.24,3.05,3.5
RA_165.211__DEC_39.212,1134.4467460306553,771.124315072968,165.21155599587917,39.21155964184542,29.0,50.0,NO,1796,331.9492858601537,319.67988907617945,281.24,3.05,319.67988907617945,281.24,3.05,306.91778192558115,265.29,3.19,3.5,run_00000002,70,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,319.68,281.24,3.05,3.5
RA_166.129__DEC_38.242,1774.5617270792338,933.33914955534,166.13163906025187,38.24444652315065,13.0,29.0,NO,1807,120.53833265317104,118.85716331112808,112.76,1.65,118.85716331112808,112.76,1.65,99.16021479954844,88.82,1.88,3.5,run_00000002,70,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,118.86,112.76,1.65,3.5
RA_166.129__DEC_38.242,1774.5617270792338,933.33914955534,166.13163906025187,38.24444652315065,13.0,29.0,NO,1807,120.53833265317104,118.85716331112808,112.76,1.65,118.85716331112808,112.76,1.65,99.16021479954844,88.82,1.88,3.5,run_00000002,70,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,118.86,112.76,1.65,3.5
RA_166.129__DEC_38.242,1774.5617270792338,933.33914955534,166.13163906025187,38.24444652315065,13.0,29.0,NO,1807,120.53833265317104,118.85716331112808,112.76,1.65,118.85716331112808,112.76,1.65,99.16021479954844,88.82,1.88,3.5,run_00000002,70,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,118.86,112.76,1.65,3.5
RA_166.129__DEC_38.242,1774.5617270792338,933.33914955534,166.13163906025187,38.24444652315065,13.0,29.0,NO,1807,120.53833265317104,118.85716331112808,112.76,1.65,118.85716331112808,112.76,1.65,99.16021479954844,88.82,1.88,3.5,run_00000002,70,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,118.86,112.76,1.65,3.5
RA_166.129__DEC_38.242,1774.5617270792338,933.33914955534,166.13163906025187,38.24444652315065,13.0,29.0,NO,1807,120.53833265317104,118.85716331112808,112.76,1.65,118.85716331112808,112.76,1.65,99.16021479954844,88.82,1.88,3.5,run_00000002,70,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,118.86,112.76,1.65,3.5
RA_166.129__DEC_38.242,1774.5617270792338,933.33914955534,166.13163906025187,38.24444652315065,13.0,29.0,NO,1807,120.53833265317104,118.85716331112808,112.76,1.65,118.85716331112808,112.76,1.65,99.16021479954844,88.82,1.88,3.5,run_00000002,70,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,118.86,112.76,1.65,3.5
