# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T04:53:30.846
# DATE-END: 2025-12-21T04:53:30.990
# TSTART: 1766292810845.5
# TSTOP: 1766292810875.51
# DATE: 2025-12-21T04:53:31
# EXPOSURE: 30000.0
# RA0: -4.495259e-10
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.119949943309
# DEC: 38.7108714726188
# EQUINOX: 2000.0
# CRVAL1: 166.119949943309
# CRVAL2: 38.7108714726188
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000803122580040191
# CD1_2: 0.00164205290265703
# CD2_1: -0.00164021787954223
# CD2_2: 0.000806053626422991
# A_ORDER: 2
# A_0_2: -3.36524335482315e-07
# A_1_1: -1.61422781356626e-07
# A_2_0: 4.93415817245586e-07
# B_ORDER: 2
# B_0_2: 4.30065906656301e-07
# B_1_1: -1.45387970081569e-06
# B_2_0: -7.31030451094664e-07
# AP_ORDER: 2
# AP_0_0: 2.4377413053441e-05
# AP_0_1: 2.54760221723705e-07
# AP_0_2: 3.36536232311539e-07
# AP_1_0: 1.10681589521415e-06
# AP_1_1: 1.61368797089004e-07
# AP_2_0: -4.93456781067285e-07
# BP_ORDER: 2
# BP_0_0: 4.60560569271943e-05
# BP_0_1: 1.3662328623109e-06
# BP_0_2: -4.30135847521048e-07
# BP_1_0: 1.04999635628894e-07
# BP_1_1: 1.45393146819252e-06
# BP_2_0: 7.30985834494129e-07
# NOME_FILE_FITS: 20251221_045330.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000002_stelle_trovate_e_catalogate_immagine_087.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,455.05786681652495,970.272329602718,164.86761160701977,40.43033566331813,24.0,41.0,NO,1316,261.39940944220217,249.17767351677804,269.82,3.47,249.17767351677804,269.91,3.49,225.92280729991265,250.45,3.67,3.5,run_00000002,87,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,251.02,271.61,3.44,3.59
RA_164.865__DEC_40.434,455.05786681652495,970.272329602718,164.86761160701977,40.43033566331813,24.0,41.0,NO,1315,261.39940944220217,249.17767351677804,269.65,3.43,249.17767351677804,269.74,3.45,225.92280729991265,250.28,3.62,3.5,run_00000002,87,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,251.01,271.42,3.40,3.59
RA_164.865__DEC_40.434,455.05786681652495,970.272329602718,164.86761160701977,40.43033566331813,24.0,41.0,NO,1314,261.39940944220217,249.17767351677804,269.67,3.43,249.17767351677804,269.76,3.44,225.92280729991265,250.35,3.62,3.5,run_00000002,87,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,251.01,271.44,3.40,3.59
RA_164.865__DEC_40.434,455.05786681652495,970.272329602718,164.86761160701977,40.43033566331813,24.0,41.0,NO,1313,261.39940944220217,249.17767351677804,269.65,3.43,249.17767351677804,269.74,3.45,225.92280729991265,250.28,3.62,3.5,run_00000002,87,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,251.01,271.42,3.40,3.59
RA_164.865__DEC_40.434,455.05786681652495,970.272329602718,164.86761160701977,40.43033566331813,24.0,41.0,NO,1308,261.39940944220217,249.17767351677804,269.08,3.58,249.17767351677804,269.17,3.60,225.92280729991265,249.82,3.77,3.5,run_00000002,87,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,251.02,270.86,3.56,3.59
RA_164.865__DEC_40.434,455.05786681652495,970.272329602718,164.86761160701977,40.43033566331813,24.0,41.0,NO,1314,261.39940944220217,249.17767351677804,269.67,3.43,249.17767351677804,269.76,3.44,225.92280729991265,250.35,3.62,3.5,run_00000002,87,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,251.01,271.44,3.40,3.59
RA_164.865__DEC_40.434,455.05786681652495,970.272329602718,164.86761160701977,40.43033566331813,24.0,41.0,NO,1315,261.39940944220217,249.17767351677804,269.13,3.49,249.17767351677804,269.23,3.51,225.92280729991265,249.85,3.68,3.5,run_00000002,87,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,251.01,270.91,3.47,3.59
RA_164.865__DEC_40.434,455.05786681652495,970.272329602718,164.86761160701977,40.43033566331813,24.0,41.0,NO,1274,261.39940944220217,249.17767351677804,270.13,3.45,249.17767351677804,270.22,3.47,225.92280729991265,250.83,3.64,3.5,run_00000002,87,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,251.02,271.92,3.42,3.59
RA_165.211__DEC_39.212,1116.4682270693518,799.365932029829,165.21335576897025,39.212865709337485,31.0,56.0,NO,1798,339.0858263432241,318.4038530902116,281.24,3.05,318.4038530902116,281.24,3.05,304.1429628693119,265.29,3.19,3.5,run_00000002,87,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,318.4,281.24,3.05,3.5
RA_165.211__DEC_39.212,1116.4682270693518,799.365932029829,165.21335576897025,39.212865709337485,31.0,56.0,NO,1796,339.0858263432241,318.4038530902116,281.24,3.05,318.4038530902116,281.24,3.05,304.1429628693119,265.29,3.19,3.5,run_00000002,87,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,318.4,281.24,3.05,3.5
RA_165.211__DEC_39.212,1116.4682270693518,799.365932029829,165.21335576897025,39.212865709337485,31.0,56.0,NO,1796,339.0858263432241,318.4038530902116,281.24,3.05,318.4038530902116,281.24,3.05,304.1429628693119,265.29,3.19,3.5,run_00000002,87,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,318.4,281.24,3.05,3.5
RA_166.129__DEC_38.242,1766.6783730748944,914.679888582652,166.13197678942777,38.243107104681165,13.0,23.0,NO,1807,127.56718200232076,119.66173720504509,112.76,1.65,119.66173720504509,112.76,1.65,97.01501771586794,88.82,1.88,3.5,run_00000002,87,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,119.66,112.76,1.65,3.5
RA_166.129__DEC_38.242,1766.6783730748944,914.679888582652,166.13197678942777,38.243107104681165,13.0,23.0,NO,1807,127.56718200232076,119.66173720504509,112.76,1.65,119.66173720504509,112.76,1.65,97.01501771586794,88.82,1.88,3.5,run_00000002,87,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,119.66,112.76,1.65,3.5
RA_166.129__DEC_38.242,1766.6783730748944,914.679888582652,166.13197678942777,38.243107104681165,13.0,23.0,NO,1807,127.56718200232076,119.66173720504509,112.76,1.65,119.66173720504509,112.76,1.65,97.01501771586794,88.82,1.88,3.5,run_00000002,87,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,119.66,112.76,1.65,3.5
RA_166.129__DEC_38.242,1766.6783730748944,914.679888582652,166.13197678942777,38.243107104681165,13.0,23.0,NO,1807,127.56718200232076,119.66173720504509,112.76,1.65,119.66173720504509,112.76,1.65,97.01501771586794,88.82,1.88,3.5,run_00000002,87,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,119.66,112.76,1.65,3.5
RA_166.129__DEC_38.242,1766.6783730748944,914.679888582652,166.13197678942777,38.243107104681165,13.0,23.0,NO,1807,127.56718200232076,119.66173720504509,112.76,1.65,119.66173720504509,112.76,1.65,97.01501771586794,88.82,1.88,3.5,run_00000002,87,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,119.66,112.76,1.65,3.5
RA_166.129__DEC_38.242,1766.6783730748944,914.679888582652,166.13197678942777,38.243107104681165,13.0,23.0,NO,1807,127.56718200232076,119.66173720504509,112.76,1.65,119.66173720504509,112.76,1.65,97.01501771586794,88.82,1.88,3.5,run_00000002,87,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,119.66,112.76,1.65,3.5
RA_166.129__DEC_38.242,1766.6783730748944,914.679888582652,166.13197678942777,38.243107104681165,13.0,23.0,NO,1807,127.56718200232076,119.66173720504509,112.76,1.65,119.66173720504509,112.76,1.65,97.01501771586794,88.82,1.88,3.5,run_00000002,87,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,119.66,112.76,1.65,3.5
RA_166.129__DEC_38.242,1766.6783730748944,914.679888582652,166.13197678942777,38.243107104681165,13.0,23.0,NO,1807,127.56718200232076,119.66173720504509,112.76,1.65,119.66173720504509,112.76,1.65,97.01501771586794,88.82,1.88,3.5,run_00000002,87,SI (Rank 8),II/389/ps1_dr2,1.5389166128101078e+17,166.12835744,38.24191354,13.1504,119.66,112.76,1.65,3.5
RA_166.129__DEC_38.242,1766.6783730748944,914.679888582652,166.13197678942777,38.243107104681165,13.0,23.0,NO,1807,127.56718200232076,119.66173720504509,112.76,1.65,119.66173720504509,112.76,1.65,97.01501771586794,88.82,1.88,3.5,run_00000002,87,SI (Rank 9),II/389/ps1_dr2,1.5388166126503923e+17,166.12665345,38.24053532,14.6034,119.66,112.76,1.65,3.5
