# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T05:04:13.045
# DATE-END: 2025-12-21T05:04:13.188
# TSTART: 1766293453044.6
# TSTOP: 1766293453074.6
# DATE: 2025-12-21T05:04:13
# EXPOSURE: 30000.0
# RA0: -3.079599e+16
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.474025966337
# DEC: 38.2128204595158
# EQUINOX: 2000.0
# CRVAL1: 165.474025966337
# CRVAL2: 38.2128204595158
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000930896037460098
# CD1_2: 0.0015724091951207
# CD2_1: -0.00157054509378051
# CD2_2: 0.000928680105093381
# A_ORDER: 2
# A_0_2: 3.39862971823186e-06
# A_1_1: -1.59928400358374e-06
# A_2_0: 9.91892355914438e-07
# B_ORDER: 2
# B_0_2: -1.94497874789094e-06
# B_1_1: 5.16543830820346e-07
# B_2_0: 2.37942030327065e-07
# AP_ORDER: 2
# AP_0_0: -0.000154478143239463
# AP_0_1: -1.53983084951882e-05
# AP_0_2: -3.39798790508586e-06
# AP_1_0: 8.11097817607889e-06
# AP_1_1: 1.59888424719025e-06
# AP_2_0: -9.91877546242707e-07
# BP_ORDER: 2
# BP_0_0: 8.85775528049137e-05
# BP_0_1: 5.31107181585307e-06
# BP_0_2: 1.94457065395457e-06
# BP_1_0: 7.7033008648113e-08
# BP_1_1: -5.16444965642006e-07
# BP_2_0: -2.37955265504794e-07
# NOME_FILE_FITS: 20251221_050412.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000003_stelle_trovate_e_catalogate_immagine_017.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.864__DEC_40.420,357.8098594471618,1424.022445194993,164.8677312449695,40.426646891066966,25.0,36.0,NO,1316,261.24055879462105,234.409149752288,241.09,2.95,234.409149752288,241.44,2.99,216.4843803780898,223.73,3.15,3.5,run_00000003,17,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,238.03,244.02,2.96,3.65
RA_164.864__DEC_40.420,357.8098594471618,1424.022445194993,164.8677312449695,40.426646891066966,25.0,36.0,NO,1315,261.24055879462105,234.409149752288,241.09,2.97,234.409149752288,241.44,3.01,216.4843803780898,223.78,3.18,3.5,run_00000003,17,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,238.03,244.01,2.99,3.65
RA_164.864__DEC_40.420,357.8098594471618,1424.022445194993,164.8677312449695,40.426646891066966,25.0,36.0,NO,1314,261.24055879462105,234.409149752288,240.82,2.96,234.409149752288,241.17,3.00,216.4843803780898,223.51,3.16,3.5,run_00000003,17,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,238.03,243.76,2.97,3.65
RA_164.864__DEC_40.420,357.8098594471618,1424.022445194993,164.8677312449695,40.426646891066966,25.0,36.0,NO,1313,261.24055879462105,234.409149752288,241.09,2.97,234.409149752288,241.44,3.01,216.4843803780898,223.78,3.18,3.5,run_00000003,17,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,238.03,244.01,2.99,3.65
RA_164.864__DEC_40.420,357.8098594471618,1424.022445194993,164.8677312449695,40.426646891066966,25.0,36.0,NO,1308,261.24055879462105,234.409149752288,241.04,2.97,234.409149752288,241.40,3.01,216.4843803780898,223.72,3.18,3.5,run_00000003,17,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,238.03,243.96,2.99,3.65
RA_164.864__DEC_40.420,357.8098594471618,1424.022445194993,164.8677312449695,40.426646891066966,25.0,36.0,NO,1314,261.24055879462105,234.409149752288,241.09,2.97,234.409149752288,241.44,3.01,216.4843803780898,223.78,3.18,3.5,run_00000003,17,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,238.03,244.01,2.99,3.65
RA_164.864__DEC_40.420,357.8098594471618,1424.022445194993,164.8677312449695,40.426646891066966,25.0,36.0,NO,1315,261.24055879462105,234.409149752288,240.64,3.00,234.409149752288,240.99,3.04,216.4843803780898,223.32,3.20,3.5,run_00000003,17,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,238.03,243.54,3.01,3.65
RA_164.864__DEC_40.420,357.8098594471618,1424.022445194993,164.8677312449695,40.426646891066966,25.0,36.0,NO,1274,261.24055879462105,234.409149752288,240.13,3.11,234.409149752288,240.50,3.15,216.4843803780898,222.80,3.32,3.5,run_00000003,17,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,238.03,243.03,3.12,3.65
RA_164.889DEC36.087,2398.7788694229635,207.8301143914929,164.88672312556037,36.090553868025175,19.0,22.0,NO,1126,184.99358556063729,172.4086406776328,154.66,2.29,172.4086406776328,154.68,2.30,142.36240931571066,122.97,2.52,3.5,run_00000003,17,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,172.41,154.63,2.28,3.5
RA_164.889DEC36.087,2398.7788694229635,207.8301143914929,164.88672312556037,36.090553868025175,19.0,22.0,NO,1083,184.99358556063729,172.4086406776328,155.03,2.21,172.4086406776328,155.06,2.22,142.36240931571066,122.98,2.46,3.5,run_00000003,17,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,172.41,155.00,2.20,3.5
RA_164.889DEC36.087,2398.7788694229635,207.8301143914929,164.88672312556037,36.090553868025175,19.0,22.0,NO,1123,184.99358556063729,172.4086406776328,154.66,2.29,172.4086406776328,154.68,2.30,142.36240931571066,122.97,2.52,3.5,run_00000003,17,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,172.41,154.63,2.28,3.5
RA_164.889DEC36.087,2398.7788694229635,207.8301143914929,164.88672312556037,36.090553868025175,19.0,22.0,NO,1128,184.99358556063729,172.4086406776328,154.66,2.29,172.4086406776328,154.68,2.30,142.36240931571066,122.97,2.52,3.5,run_00000003,17,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,172.41,154.63,2.28,3.5
RA_164.889DEC36.087,2398.7788694229635,207.8301143914929,164.88672312556037,36.090553868025175,19.0,22.0,NO,1127,184.99358556063729,172.4086406776328,154.90,2.28,172.4086406776328,154.93,2.28,142.36240931571066,123.19,2.50,3.5,run_00000003,17,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,172.41,154.87,2.27,3.5
RA_165.211__DEC_39.212,1005.8048224515014,1205.3226694140883,165.21044729874166,39.211643999443616,24.0,57.0,NO,1798,252.2859316391116,242.57158412926745,272.03,2.50,242.57158412926745,272.03,2.50,228.41309577392008,256.27,2.58,3.5,run_00000003,17,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,242.57,272.03,2.50,3.5
RA_165.211__DEC_39.212,1005.8048224515014,1205.3226694140883,165.21044729874166,39.211643999443616,24.0,57.0,NO,1796,252.2859316391116,242.57158412926745,272.03,2.50,242.57158412926745,272.03,2.50,228.41309577392008,256.27,2.58,3.5,run_00000003,17,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,242.57,272.03,2.50,3.5
RA_165.211__DEC_39.212,1005.8048224515014,1205.3226694140883,165.21044729874166,39.211643999443616,24.0,57.0,NO,1796,252.2859316391116,242.57158412926745,272.03,2.50,242.57158412926745,272.03,2.50,228.41309577392008,256.27,2.58,3.5,run_00000003,17,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,242.57,272.03,2.50,3.5
RA_166.129__DEC_38.242,1662.5224279446122,1273.4578484166534,166.12819302174424,38.24262372880981,12.0,29.0,NO,1807,102.46802196324612,101.89117794282636,112.74,1.56,101.89117794282636,112.74,1.56,78.8779552513779,91.53,1.64,3.5,run_00000003,17,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,101.89,112.74,1.56,3.5
RA_166.129__DEC_38.242,1662.5224279446122,1273.4578484166534,166.12819302174424,38.24262372880981,12.0,29.0,NO,1807,102.46802196324612,101.89117794282636,112.74,1.56,101.89117794282636,112.74,1.56,78.8779552513779,91.53,1.64,3.5,run_00000003,17,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,101.89,112.74,1.56,3.5
RA_166.129__DEC_38.242,1662.5224279446122,1273.4578484166534,166.12819302174424,38.24262372880981,12.0,29.0,NO,1807,102.46802196324612,101.89117794282636,112.74,1.56,101.89117794282636,112.74,1.56,78.8779552513779,91.53,1.64,3.5,run_00000003,17,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,101.89,112.74,1.56,3.5
RA_166.129__DEC_38.242,1662.5224279446122,1273.4578484166534,166.12819302174424,38.24262372880981,12.0,29.0,NO,1807,102.46802196324612,101.89117794282636,112.74,1.56,101.89117794282636,112.74,1.56,78.8779552513779,91.53,1.64,3.5,run_00000003,17,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,101.89,112.74,1.56,3.5
