# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T05:04:33.218
# DATE-END: 2025-12-21T05:04:33.362
# TSTART: 1766293473218.06
# TSTOP: 1766293473248.07
# DATE: 2025-12-21T05:04:34
# EXPOSURE: 30000.0
# RA0: -3.079599e+16
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.479749767271
# DEC: 38.2054049381134
# EQUINOX: 2000.0
# CRVAL1: 165.479749767271
# CRVAL2: 38.2054049381134
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00093510319023961
# CD1_2: 0.00156871474630955
# CD2_1: -0.0015686284467545
# CD2_2: 0.00093610807764369
# A_ORDER: 2
# A_0_2: -8.12840713195931e-07
# A_1_1: 1.98863120368169e-07
# A_2_0: -4.73014997494858e-08
# B_ORDER: 2
# B_0_2: -1.16152114363782e-06
# B_1_1: 9.44922164029553e-08
# B_2_0: 1.11931485882182e-07
# AP_ORDER: 2
# AP_0_0: 2.36649968671824e-05
# AP_0_1: 9.40251453647504e-07
# AP_0_2: 8.12711674068389e-07
# AP_1_0: -5.52466788241981e-08
# AP_1_1: -1.98843969184944e-07
# AP_2_0: 4.73051922918088e-08
# BP_ORDER: 2
# BP_0_0: 3.62493097113485e-05
# BP_0_1: 1.49316315089423e-06
# BP_0_2: 1.16132651594308e-06
# BP_1_0: -1.74286027400517e-07
# BP_1_1: -9.44610793327227e-08
# BP_2_0: -1.11926111030779e-07
# NOME_FILE_FITS: 20251221_050433.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000003_stelle_trovate_e_catalogate_immagine_018.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,356.0563490704662,1426.937890761809,164.86550896493577,40.43018187942019,23.0,31.0,NO,1316,269.2312746631236,246.6157202905218,241.09,2.95,246.6157202905218,241.44,2.99,228.4695481050261,223.73,3.15,3.5,run_00000003,18,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,250.19,244.02,2.96,3.65
RA_164.865__DEC_40.434,356.0563490704662,1426.937890761809,164.86550896493577,40.43018187942019,23.0,31.0,NO,1315,269.2312746631236,246.6157202905218,241.09,2.97,246.6157202905218,241.44,3.01,228.4695481050261,223.78,3.18,3.5,run_00000003,18,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,250.19,244.01,2.99,3.65
RA_164.865__DEC_40.434,356.0563490704662,1426.937890761809,164.86550896493577,40.43018187942019,23.0,31.0,NO,1314,269.2312746631236,246.6157202905218,240.82,2.96,246.6157202905218,241.17,3.00,228.4695481050261,223.51,3.16,3.5,run_00000003,18,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,250.19,243.76,2.97,3.65
RA_164.865__DEC_40.434,356.0563490704662,1426.937890761809,164.86550896493577,40.43018187942019,23.0,31.0,NO,1313,269.2312746631236,246.6157202905218,241.09,2.97,246.6157202905218,241.44,3.01,228.4695481050261,223.78,3.18,3.5,run_00000003,18,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,250.19,244.01,2.99,3.65
RA_164.865__DEC_40.434,356.0563490704662,1426.937890761809,164.86550896493577,40.43018187942019,23.0,31.0,NO,1308,269.2312746631236,246.6157202905218,241.04,2.97,246.6157202905218,241.40,3.01,228.4695481050261,223.72,3.18,3.5,run_00000003,18,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,250.19,243.96,2.99,3.65
RA_164.865__DEC_40.434,356.0563490704662,1426.937890761809,164.86550896493577,40.43018187942019,23.0,31.0,NO,1314,269.2312746631236,246.6157202905218,241.09,2.97,246.6157202905218,241.44,3.01,228.4695481050261,223.78,3.18,3.5,run_00000003,18,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,250.19,244.01,2.99,3.65
RA_164.865__DEC_40.434,356.0563490704662,1426.937890761809,164.86550896493577,40.43018187942019,23.0,31.0,NO,1315,269.2312746631236,246.6157202905218,240.64,3.00,246.6157202905218,240.99,3.04,228.4695481050261,223.32,3.20,3.5,run_00000003,18,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,250.19,243.54,3.01,3.65
RA_164.865__DEC_40.434,356.0563490704662,1426.937890761809,164.86550896493577,40.43018187942019,23.0,31.0,NO,1274,269.2312746631236,246.6157202905218,240.13,3.11,246.6157202905218,240.50,3.15,228.4695481050261,222.80,3.32,3.5,run_00000003,18,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,250.19,243.03,3.12,3.65
RA_164.882__DEC_36.096,2393.6665472047125,205.41801760247424,164.88587837988155,36.09272005405301,13.0,18.0,NO,1126,131.27481736938682,124.54506127434723,154.66,2.29,124.54506127434723,154.68,2.30,92.35953102804238,122.97,2.52,3.5,run_00000003,18,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,124.55,154.63,2.28,3.5
RA_164.882__DEC_36.096,2393.6665472047125,205.41801760247424,164.88587837988155,36.09272005405301,13.0,18.0,NO,1083,131.27481736938682,124.54506127434723,155.03,2.21,124.54506127434723,155.06,2.22,92.35953102804238,122.98,2.46,3.5,run_00000003,18,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,124.55,155.00,2.20,3.5
