# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T05:08:15.220
# DATE-END: 2025-12-21T05:08:15.365
# TSTART: 1766293695220.25
# TSTOP: 1766293695250.25
# DATE: 2025-12-21T05:08:16
# EXPOSURE: 30000.0
# RA0: -3.079599e+16
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.474438512856
# DEC: 38.2075311412035
# EQUINOX: 2000.0
# CRVAL1: 165.474438512856
# CRVAL2: 38.2075311412035
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000987082225577581
# CD1_2: 0.0015400418854383
# CD2_1: -0.00153714064628236
# CD2_2: 0.000988385995256705
# A_ORDER: 2
# A_0_2: -3.25343642238498e-07
# A_1_1: 5.81275522201104e-07
# A_2_0: -3.32699398085461e-07
# B_ORDER: 2
# B_0_2: 1.87796156508118e-06
# B_1_1: 1.9625575460753e-07
# B_2_0: 1.95038763264732e-07
# AP_ORDER: 2
# AP_0_0: -7.17567131018152e-06
# AP_0_1: -1.40512318240907e-06
# AP_0_2: 3.25391753393984e-07
# AP_1_0: 1.04457581095927e-06
# AP_1_1: -5.81307596871206e-07
# AP_2_0: 3.32694737121441e-07
# BP_ORDER: 2
# BP_0_0: 8.68144116210464e-05
# BP_0_1: 5.30321758677777e-06
# BP_0_2: -1.87831725999482e-06
# BP_1_0: 2.58659715205878e-07
# BP_1_1: -1.96317582622879e-07
# BP_2_0: -1.95050248076044e-07
# NOME_FILE_FITS: 20251221_050815.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000003_stelle_trovate_e_catalogate_immagine_029.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,372.3525456016968,1466.3245937492125,164.86583926582136,40.43164534984594,28.0,41.0,NO,1316,309.4207445271335,270.44546779688073,241.09,2.95,270.44546779688073,241.44,2.99,251.56031635550937,223.73,3.15,3.5,run_00000003,29,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,275.38,244.02,2.96,3.65
RA_164.865__DEC_40.434,372.3525456016968,1466.3245937492125,164.86583926582136,40.43164534984594,28.0,41.0,NO,1315,309.4207445271335,270.44546779688073,241.09,2.97,270.44546779688073,241.44,3.01,251.56031635550937,223.78,3.18,3.5,run_00000003,29,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,275.39,244.01,2.99,3.65
RA_164.865__DEC_40.434,372.3525456016968,1466.3245937492125,164.86583926582136,40.43164534984594,28.0,41.0,NO,1314,309.4207445271335,270.44546779688073,240.82,2.96,270.44546779688073,241.17,3.00,251.56031635550937,223.51,3.16,3.5,run_00000003,29,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,275.38,243.76,2.97,3.65
RA_164.865__DEC_40.434,372.3525456016968,1466.3245937492125,164.86583926582136,40.43164534984594,28.0,41.0,NO,1313,309.4207445271335,270.44546779688073,241.09,2.97,270.44546779688073,241.44,3.01,251.56031635550937,223.78,3.18,3.5,run_00000003,29,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,275.39,244.01,2.99,3.65
RA_164.865__DEC_40.434,372.3525456016968,1466.3245937492125,164.86583926582136,40.43164534984594,28.0,41.0,NO,1308,309.4207445271335,270.44546779688073,241.04,2.97,270.44546779688073,241.40,3.01,251.56031635550937,223.72,3.18,3.5,run_00000003,29,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,275.39,243.96,2.99,3.65
RA_164.865__DEC_40.434,372.3525456016968,1466.3245937492125,164.86583926582136,40.43164534984594,28.0,41.0,NO,1314,309.4207445271335,270.44546779688073,241.09,2.97,270.44546779688073,241.44,3.01,251.56031635550937,223.78,3.18,3.5,run_00000003,29,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,275.39,244.01,2.99,3.65
RA_164.865__DEC_40.434,372.3525456016968,1466.3245937492125,164.86583926582136,40.43164534984594,28.0,41.0,NO,1315,309.4207445271335,270.44546779688073,240.64,3.00,270.44546779688073,240.99,3.04,251.56031635550937,223.32,3.20,3.5,run_00000003,29,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,275.38,243.54,3.01,3.65
RA_164.865__DEC_40.434,372.3525456016968,1466.3245937492125,164.86583926582136,40.43164534984594,28.0,41.0,NO,1274,309.4207445271335,270.44546779688073,240.13,3.11,270.44546779688073,240.50,3.15,251.56031635550937,222.80,3.32,3.5,run_00000003,29,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,275.39,243.03,3.12,3.65
RA_164.882__DEC_36.096,2368.5041033374778,178.24350111224436,164.88607542658815,36.09328015754698,14.0,17.0,NO,1126,150.24078166676702,139.23558589633947,154.66,2.29,139.23558589633947,154.68,2.30,88.91746966639727,122.97,2.52,3.5,run_00000003,29,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,139.24,154.63,2.28,3.5
RA_164.882__DEC_36.096,2368.5041033374778,178.24350111224436,164.88607542658815,36.09328015754698,14.0,17.0,NO,1083,150.24078166676702,139.23558589633947,155.03,2.21,139.23558589633947,155.06,2.22,88.91746966639727,122.98,2.46,3.5,run_00000003,29,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,139.24,155.00,2.20,3.5
