# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T05:10:37.371
# DATE-END: 2025-12-21T05:10:37.515
# TSTART: 1766293837371.31
# TSTOP: 1766293837401.32
# DATE: 2025-12-21T05:10:38
# EXPOSURE: 30000.0
# RA0: -3.079599e+16
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.476978255688
# DEC: 38.2061644286929
# EQUINOX: 2000.0
# CRVAL1: 165.476978255688
# CRVAL2: 38.2061644286929
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00102441321783968
# CD1_2: 0.00152147968339068
# CD2_1: -0.00151426188910827
# CD2_2: 0.00102020097004773
# A_ORDER: 2
# A_0_2: -1.53828027250635e-05
# A_1_1: -1.21428499963828e-05
# A_2_0: -6.22394816906304e-07
# B_ORDER: 2
# B_0_2: -5.53375530199667e-06
# B_1_1: -6.47914930133587e-06
# B_2_0: -1.40597842508777e-06
# AP_ORDER: 2
# AP_0_0: 0.0139833104314301
# AP_0_1: 0.000350089801762863
# AP_0_2: 1.53549511951134e-05
# AP_1_0: 0.000182440737936183
# AP_1_1: 1.21233226742757e-05
# AP_2_0: 6.15711472535714e-07
# BP_ORDER: 2
# BP_0_0: 0.00756439518707831
# BP_0_1: 0.000182904519417044
# BP_0_2: 5.52016443843589e-06
# BP_1_0: 9.87300498530873e-05
# BP_1_1: 6.46816655127558e-06
# BP_2_0: 1.40190416089514e-06
# NOME_FILE_FITS: 20251221_051037.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000003_stelle_trovate_e_catalogate_immagine_036.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.864__DEC_40.420,382.2967283610084,1492.836756550283,164.87097614185993,40.42491434156159,24.0,30.0,NO,1316,270.83658697449454,251.1575710872256,241.09,2.95,251.1575710872256,241.44,2.99,226.753397533236,223.73,3.15,3.5,run_00000003,36,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,254.98,244.02,2.96,3.65
RA_164.864__DEC_40.420,382.2967283610084,1492.836756550283,164.87097614185993,40.42491434156159,24.0,30.0,NO,1315,270.83658697449454,251.1575710872256,241.09,2.97,251.1575710872256,241.44,3.01,226.753397533236,223.78,3.18,3.5,run_00000003,36,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,254.98,244.01,2.99,3.65
RA_164.864__DEC_40.420,382.2967283610084,1492.836756550283,164.87097614185993,40.42491434156159,24.0,30.0,NO,1314,270.83658697449454,251.1575710872256,240.82,2.96,251.1575710872256,241.17,3.00,226.753397533236,223.51,3.16,3.5,run_00000003,36,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,254.98,243.76,2.97,3.65
RA_164.864__DEC_40.420,382.2967283610084,1492.836756550283,164.87097614185993,40.42491434156159,24.0,30.0,NO,1313,270.83658697449454,251.1575710872256,241.09,2.97,251.1575710872256,241.44,3.01,226.753397533236,223.78,3.18,3.5,run_00000003,36,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,254.98,244.01,2.99,3.65
RA_164.864__DEC_40.420,382.2967283610084,1492.836756550283,164.87097614185993,40.42491434156159,24.0,30.0,NO,1308,270.83658697449454,251.1575710872256,241.04,2.97,251.1575710872256,241.40,3.01,226.753397533236,223.72,3.18,3.5,run_00000003,36,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,254.98,243.96,2.99,3.65
RA_164.864__DEC_40.420,382.2967283610084,1492.836756550283,164.87097614185993,40.42491434156159,24.0,30.0,NO,1314,270.83658697449454,251.1575710872256,241.09,2.97,251.1575710872256,241.44,3.01,226.753397533236,223.78,3.18,3.5,run_00000003,36,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,254.98,244.01,2.99,3.65
RA_164.864__DEC_40.420,382.2967283610084,1492.836756550283,164.87097614185993,40.42491434156159,24.0,30.0,NO,1315,270.83658697449454,251.1575710872256,240.64,3.00,251.1575710872256,240.99,3.04,226.753397533236,223.32,3.20,3.5,run_00000003,36,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,254.98,243.54,3.01,3.65
RA_164.882__DEC_36.096,2349.4968548036454,160.6196904939288,164.88262815070252,36.09674874629567,15.0,19.0,NO,1126,158.43829692043374,145.39744856487982,154.66,2.29,145.39744856487982,154.68,2.30,111.36554125299872,122.97,2.52,3.5,run_00000003,36,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,145.4,154.63,2.28,3.5
RA_164.882__DEC_36.096,2349.4968548036454,160.6196904939288,164.88262815070252,36.09674874629567,15.0,19.0,NO,1083,158.43829692043374,145.39744856487982,155.03,2.21,145.39744856487982,155.06,2.22,111.36554125299872,122.98,2.46,3.5,run_00000003,36,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,145.4,155.00,2.20,3.5
RA_164.882__DEC_36.096,2349.4968548036454,160.6196904939288,164.88262815070252,36.09674874629567,15.0,19.0,NO,1123,158.43829692043374,145.39744856487982,154.66,2.29,145.39744856487982,154.68,2.30,111.36554125299872,122.97,2.52,3.5,run_00000003,36,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,145.4,154.63,2.28,3.5
RA_164.882__DEC_36.096,2349.4968548036454,160.6196904939288,164.88262815070252,36.09674874629567,15.0,19.0,NO,1128,158.43829692043374,145.39744856487982,154.66,2.29,145.39744856487982,154.68,2.30,111.36554125299872,122.97,2.52,3.5,run_00000003,36,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,145.4,154.63,2.28,3.5
RA_164.882__DEC_36.096,2349.4968548036454,160.6196904939288,164.88262815070252,36.09674874629567,15.0,19.0,NO,1127,158.43829692043374,145.39744856487982,154.90,2.28,145.39744856487982,154.93,2.28,111.36554125299872,123.19,2.50,3.5,run_00000003,36,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,145.4,154.87,2.27,3.5
RA_165.211__DEC_39.212,1016.2290011084503,1237.0812066421856,165.21397100639888,39.20885095905914,25.0,50.0,NO,1798,280.3262567138854,268.22121981798216,272.03,2.50,268.22121981798216,272.03,2.50,255.0605942332684,256.27,2.58,3.5,run_00000003,36,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,268.22,272.03,2.50,3.5
RA_165.211__DEC_39.212,1016.2290011084503,1237.0812066421856,165.21397100639888,39.20885095905914,25.0,50.0,NO,1796,280.3262567138854,268.22121981798216,272.03,2.50,268.22121981798216,272.03,2.50,255.0605942332684,256.27,2.58,3.5,run_00000003,36,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,268.22,272.03,2.50,3.5
RA_165.211__DEC_39.212,1016.2290011084503,1237.0812066421856,165.21397100639888,39.20885095905914,25.0,50.0,NO,1796,280.3262567138854,268.22121981798216,272.03,2.50,268.22121981798216,272.03,2.50,255.0605942332684,256.27,2.58,3.5,run_00000003,36,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,268.22,272.03,2.50,3.5
RA_166.129__DEC_38.242,1676.0161114233065,1267.1609288787324,166.13259899472027,38.24110598278124,10.0,26.0,NO,1807,100.626377076465,102.5546810404172,112.74,1.56,102.5546810404172,112.74,1.56,81.16517655358801,91.53,1.64,3.5,run_00000003,36,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,102.55,112.74,1.56,3.5
RA_166.129__DEC_38.242,1676.0161114233065,1267.1609288787324,166.13259899472027,38.24110598278124,10.0,26.0,NO,1807,100.626377076465,102.5546810404172,112.74,1.56,102.5546810404172,112.74,1.56,81.16517655358801,91.53,1.64,3.5,run_00000003,36,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,102.55,112.74,1.56,3.5
RA_166.129__DEC_38.242,1676.0161114233065,1267.1609288787324,166.13259899472027,38.24110598278124,10.0,26.0,NO,1807,100.626377076465,102.5546810404172,112.74,1.56,102.5546810404172,112.74,1.56,81.16517655358801,91.53,1.64,3.5,run_00000003,36,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,102.55,112.74,1.56,3.5
RA_166.129__DEC_38.242,1676.0161114233065,1267.1609288787324,166.13259899472027,38.24110598278124,10.0,26.0,NO,1807,100.626377076465,102.5546810404172,112.74,1.56,102.5546810404172,112.74,1.56,81.16517655358801,91.53,1.64,3.5,run_00000003,36,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,102.55,112.74,1.56,3.5
RA_166.129__DEC_38.242,1676.0161114233065,1267.1609288787324,166.13259899472027,38.24110598278124,10.0,26.0,NO,1807,100.626377076465,102.5546810404172,112.74,1.56,102.5546810404172,112.74,1.56,81.16517655358801,91.53,1.64,3.5,run_00000003,36,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,102.55,112.74,1.56,3.5
RA_166.129__DEC_38.242,1676.0161114233065,1267.1609288787324,166.13259899472027,38.24110598278124,10.0,26.0,NO,1807,100.626377076465,102.5546810404172,112.74,1.56,102.5546810404172,112.74,1.56,81.16517655358801,91.53,1.64,3.5,run_00000003,36,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,102.55,112.74,1.56,3.5
RA_166.129__DEC_38.242,1676.0161114233065,1267.1609288787324,166.13259899472027,38.24110598278124,10.0,26.0,NO,1807,100.626377076465,102.5546810404172,112.74,1.56,102.5546810404172,112.74,1.56,81.16517655358801,91.53,1.64,3.5,run_00000003,36,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,102.55,112.74,1.56,3.5
RA_166.129__DEC_38.242,1676.0161114233065,1267.1609288787324,166.13259899472027,38.24110598278124,10.0,26.0,NO,1807,100.626377076465,102.5546810404172,112.74,1.56,102.5546810404172,112.74,1.56,81.16517655358801,91.53,1.64,3.5,run_00000003,36,SI (Rank 8),II/389/ps1_dr2,1.5389166128101078e+17,166.12835744,38.24191354,13.1504,102.55,112.74,1.56,3.5
RA_166.129__DEC_38.242,1676.0161114233065,1267.1609288787324,166.13259899472027,38.24110598278124,10.0,26.0,NO,1807,100.626377076465,102.5546810404172,112.74,1.56,102.5546810404172,112.74,1.56,81.16517655358801,91.53,1.64,3.5,run_00000003,36,SI (Rank 9),II/389/ps1_dr2,1.5388166126503923e+17,166.12665345,38.24053532,14.6034,102.55,112.74,1.56,3.5
RA_167.329__DEC_36.312,2847.9232259122773,1124.7474103551351,167.32842917238543,36.30892885607569,21.0,18.0,NO,1708,214.23100850521044,183.7860654969613,212.53,2.72,185.2604009585663,212.80,2.75,149.96213108503582,177.64,2.73,3.5757753269485586,run_00000003,36,SI (Rank 1),I/239/hip_main,54522.0,167.3295003665,36.309378969,5.71,193.53,221.37,2.50,3.97
RA_167.329__DEC_36.312,2847.9232259122773,1124.7474103551351,167.32842917238543,36.30892885607569,21.0,18.0,NO,1705,214.23100850521044,183.7860654969613,212.53,2.72,185.2604009585663,212.80,2.75,149.96213108503582,177.64,2.73,3.5757753269485586,run_00000003,36,SI (Rank 2),II/389/ps1_dr2,1.515716732746127e+17,167.32759079,36.31021643,7.0301,193.53,221.37,2.50,3.97
RA_167.329__DEC_36.312,2847.9232259122773,1124.7474103551351,167.32842917238543,36.30892885607569,21.0,18.0,NO,1702,214.23100850521044,183.7860654969613,212.54,2.75,185.2604009585663,212.80,2.78,149.96213108503582,177.57,2.75,3.5757753269485586,run_00000003,36,SI (Rank 3),II/389/ps1_dr2,1.5156167327749856e+17,167.3279408,36.3066183,12.6978,193.57,221.38,2.52,3.97
RA_167.329__DEC_36.312,2847.9232259122773,1124.7474103551351,167.32842917238543,36.30892885607569,21.0,18.0,NO,1705,214.23100850521044,183.7860654969613,212.53,2.72,185.2604009585663,212.80,2.75,149.96213108503582,177.64,2.73,3.5757753269485586,run_00000003,36,SI (Rank 4),II/389/ps1_dr2,1.515716733020705e+17,167.33020443,36.30815493,12.7953,193.53,221.37,2.50,3.97
RA_167.329__DEC_36.312,2847.9232259122773,1124.7474103551351,167.32842917238543,36.30892885607569,21.0,18.0,NO,1700,214.23100850521044,183.7860654969613,212.53,2.72,185.2604009585663,212.80,2.75,149.96213108503582,177.64,2.73,3.5757753269485586,run_00000003,36,SI (Rank 5),II/389/ps1_dr2,1.515716732886958e+17,167.32895151,36.31250412,14.3866,193.53,221.37,2.50,3.97
