# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T05:15:41.504
# DATE-END: 2025-12-21T05:15:41.646
# TSTART: 1766294141503.55
# TSTOP: 1766294141533.56
# DATE: 2025-12-21T05:15:42
# EXPOSURE: 30000.0
# RA0: -3.079599e+16
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.473071240794
# DEC: 38.2087407925761
# EQUINOX: 2000.0
# CRVAL1: 165.473071240794
# CRVAL2: 38.2087407925761
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00109719406638794
# CD1_2: 0.00146202218906049
# CD2_1: -0.00146055135650039
# CD2_2: 0.00109616151561028
# A_ORDER: 2
# A_0_2: -2.31023965909246e-07
# A_1_1: -8.43641267059078e-07
# A_2_0: 1.07461955679124e-07
# B_ORDER: 2
# B_0_2: 3.39353297108688e-07
# B_1_1: -1.11453327405664e-06
# B_2_0: 7.08404804756065e-07
# AP_ORDER: 2
# AP_0_0: -2.53828423923963e-06
# AP_0_1: 3.05215041811281e-07
# AP_0_2: 2.3100720521529e-07
# AP_1_0: -5.27499236091297e-07
# AP_1_1: 8.43605845803774e-07
# AP_2_0: -1.07442303117156e-07
# BP_ORDER: 2
# BP_0_0: -8.14388001811513e-06
# BP_0_1: 6.54029937176191e-07
# BP_0_2: -3.39364769034401e-07
# BP_1_0: -1.13251292640513e-06
# BP_1_1: 1.11453545240957e-06
# BP_2_0: -7.08382430081233e-07
# NOME_FILE_FITS: 20251221_051541.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000003_stelle_trovate_e_catalogate_immagine_051.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,407.9648931637651,1550.1371499416184,164.8671699380179,40.43075769074596,22.0,40.0,NO,1316,226.22663920311584,217.2495102213473,241.09,2.95,217.2495102213473,241.44,2.99,197.8304421701133,223.73,3.15,3.5,run_00000003,51,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,219.98,244.02,2.96,3.65
RA_164.865__DEC_40.434,407.9648931637651,1550.1371499416184,164.8671699380179,40.43075769074596,22.0,40.0,NO,1315,226.22663920311584,217.2495102213473,241.09,2.97,217.2495102213473,241.44,3.01,197.8304421701133,223.78,3.18,3.5,run_00000003,51,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,219.98,244.01,2.99,3.65
RA_164.865__DEC_40.434,407.9648931637651,1550.1371499416184,164.8671699380179,40.43075769074596,22.0,40.0,NO,1314,226.22663920311584,217.2495102213473,240.82,2.96,217.2495102213473,241.17,3.00,197.8304421701133,223.51,3.16,3.5,run_00000003,51,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,219.98,243.76,2.97,3.65
RA_164.865__DEC_40.434,407.9648931637651,1550.1371499416184,164.8671699380179,40.43075769074596,22.0,40.0,NO,1313,226.22663920311584,217.2495102213473,241.09,2.97,217.2495102213473,241.44,3.01,197.8304421701133,223.78,3.18,3.5,run_00000003,51,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,219.98,244.01,2.99,3.65
RA_164.865__DEC_40.434,407.9648931637651,1550.1371499416184,164.8671699380179,40.43075769074596,22.0,40.0,NO,1308,226.22663920311584,217.2495102213473,241.04,2.97,217.2495102213473,241.40,3.01,197.8304421701133,223.72,3.18,3.5,run_00000003,51,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,219.98,243.96,2.99,3.65
RA_164.865__DEC_40.434,407.9648931637651,1550.1371499416184,164.8671699380179,40.43075769074596,22.0,40.0,NO,1314,226.22663920311584,217.2495102213473,241.09,2.97,217.2495102213473,241.44,3.01,197.8304421701133,223.78,3.18,3.5,run_00000003,51,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,219.98,244.01,2.99,3.65
RA_164.865__DEC_40.434,407.9648931637651,1550.1371499416184,164.8671699380179,40.43075769074596,22.0,40.0,NO,1315,226.22663920311584,217.2495102213473,240.64,3.00,217.2495102213473,240.99,3.04,197.8304421701133,223.32,3.20,3.5,run_00000003,51,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,219.98,243.54,3.01,3.65
RA_164.865__DEC_40.434,407.9648931637651,1550.1371499416184,164.8671699380179,40.43075769074596,22.0,40.0,NO,1274,226.22663920311584,217.2495102213473,240.13,3.11,217.2495102213473,240.50,3.15,197.8304421701133,222.80,3.32,3.5,run_00000003,51,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,219.98,243.03,3.12,3.65
RA_164.882__DEC_36.096,2304.5268359931574,119.59258356939448,164.88867857967549,36.0948221265224,17.0,19.0,NO,1126,178.99461597924062,173.22487565002007,154.66,2.29,173.22487565002007,154.68,2.30,145.22373047754093,122.97,2.52,3.5,run_00000003,51,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,173.22,154.63,2.28,3.5
RA_164.882__DEC_36.096,2304.5268359931574,119.59258356939448,164.88867857967549,36.0948221265224,17.0,19.0,NO,1083,178.99461597924062,173.22487565002007,155.03,2.21,173.22487565002007,155.06,2.22,145.22373047754093,122.98,2.46,3.5,run_00000003,51,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,173.22,155.00,2.20,3.5
