# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T05:18:50.481
# DATE-END: 2025-12-21T05:18:50.626
# TSTART: 1766294330481.43
# TSTOP: 1766294330511.43
# DATE: 2025-12-21T05:18:51
# EXPOSURE: 30000.0
# RA0: -3.079599e+16
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.477980650093
# DEC: 38.2109672738048
# EQUINOX: 2000.0
# CRVAL1: 165.477980650093
# CRVAL2: 38.2109672738048
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00114328125109084
# CD1_2: 0.00142004586092923
# CD2_1: -0.00142153028536809
# CD2_2: 0.001144809727
# A_ORDER: 2
# A_0_2: -6.28380022131381e-07
# A_1_1: 1.95812040463796e-06
# A_2_0: 4.50071502021208e-07
# B_ORDER: 2
# B_0_2: 1.16086001061525e-06
# B_1_1: 2.08829193296837e-06
# B_2_0: 6.18132986289224e-07
# AP_ORDER: 2
# AP_0_0: 7.87286766978331e-05
# AP_0_1: 3.1570055677134e-06
# AP_0_2: 6.28478410805021e-07
# AP_1_0: 3.44860212625441e-06
# AP_1_1: -1.95837370518735e-06
# AP_2_0: -4.50219825790792e-07
# BP_ORDER: 2
# BP_0_0: 0.000180913263886732
# BP_0_1: 8.44644525719457e-06
# BP_0_2: -1.16100604638696e-06
# BP_1_0: 6.57164911258003e-06
# BP_1_1: -2.08885230572041e-06
# BP_2_0: -6.18333601059968e-07
# NOME_FILE_FITS: 20251221_051850.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000003_stelle_trovate_e_catalogate_immagine_056.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,426.2034361236313,1586.7508619134794,164.8648320228934,40.43070752545419,24.0,35.0,NO,1316,295.69462397992675,277.572144344254,241.09,2.95,277.572144344254,241.44,2.99,255.0530401717425,223.73,3.15,3.5,run_00000003,56,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,282.15,244.02,2.96,3.65
RA_164.865__DEC_40.434,426.2034361236313,1586.7508619134794,164.8648320228934,40.43070752545419,24.0,35.0,NO,1315,295.69462397992675,277.572144344254,241.09,2.97,277.572144344254,241.44,3.01,255.0530401717425,223.78,3.18,3.5,run_00000003,56,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,282.15,244.01,2.99,3.65
RA_164.865__DEC_40.434,426.2034361236313,1586.7508619134794,164.8648320228934,40.43070752545419,24.0,35.0,NO,1314,295.69462397992675,277.572144344254,240.82,2.96,277.572144344254,241.17,3.00,255.0530401717425,223.51,3.16,3.5,run_00000003,56,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,282.15,243.76,2.97,3.65
RA_164.865__DEC_40.434,426.2034361236313,1586.7508619134794,164.8648320228934,40.43070752545419,24.0,35.0,NO,1313,295.69462397992675,277.572144344254,241.09,2.97,277.572144344254,241.44,3.01,255.0530401717425,223.78,3.18,3.5,run_00000003,56,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,282.15,244.01,2.99,3.65
RA_164.865__DEC_40.434,426.2034361236313,1586.7508619134794,164.8648320228934,40.43070752545419,24.0,35.0,NO,1308,295.69462397992675,277.572144344254,241.04,2.97,277.572144344254,241.40,3.01,255.0530401717425,223.72,3.18,3.5,run_00000003,56,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,282.15,243.96,2.99,3.65
RA_164.865__DEC_40.434,426.2034361236313,1586.7508619134794,164.8648320228934,40.43070752545419,24.0,35.0,NO,1314,295.69462397992675,277.572144344254,241.09,2.97,277.572144344254,241.44,3.01,255.0530401717425,223.78,3.18,3.5,run_00000003,56,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,282.15,244.01,2.99,3.65
RA_164.865__DEC_40.434,426.2034361236313,1586.7508619134794,164.8648320228934,40.43070752545419,24.0,35.0,NO,1315,295.69462397992675,277.572144344254,240.64,3.00,277.572144344254,240.99,3.04,255.0530401717425,223.32,3.20,3.5,run_00000003,56,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,282.15,243.54,3.01,3.65
RA_164.865__DEC_40.434,426.2034361236313,1586.7508619134794,164.8648320228934,40.43070752545419,24.0,35.0,NO,1274,295.69462397992675,277.572144344254,240.13,3.11,277.572144344254,240.50,3.15,255.0530401717425,222.80,3.32,3.5,run_00000003,56,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,282.16,243.03,3.12,3.65
RA_164.882__DEC_36.096,2272.988897002324,92.1326698445342,164.88573520311135,36.09781927109972,20.0,23.0,NO,1126,185.731367230672,181.4908232908681,154.66,2.29,181.4908232908681,154.68,2.30,141.93800068020315,122.97,2.52,3.5,run_00000003,56,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,181.49,154.63,2.28,3.5
RA_164.882__DEC_36.096,2272.988897002324,92.1326698445342,164.88573520311135,36.09781927109972,20.0,23.0,NO,1083,185.731367230672,181.4908232908681,155.03,2.21,181.4908232908681,155.06,2.22,141.93800068020315,122.98,2.46,3.5,run_00000003,56,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,181.49,155.00,2.20,3.5
