# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T05:25:55.639
# DATE-END: 2025-12-21T05:25:55.782
# TSTART: 1766294755638.61
# TSTOP: 1766294755668.62
# DATE: 2025-12-21T05:25:56
# EXPOSURE: 30000.0
# RA0: -3.079599e+16
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.476707168148
# DEC: 38.2091476971948
# EQUINOX: 2000.0
# CRVAL1: 165.476707168148
# CRVAL2: 38.2091476971948
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00126025232656771
# CD1_2: 0.00132553900063664
# CD2_1: -0.00132061069823276
# CD2_2: 0.00126537093651067
# A_ORDER: 2
# A_0_2: -3.24070866431551e-06
# A_1_1: -5.55443860823031e-07
# A_2_0: -7.34527860650511e-07
# B_ORDER: 2
# B_0_2: 2.05027222062661e-06
# B_1_1: -5.82745021867297e-06
# B_2_0: -7.78698947701107e-07
# AP_ORDER: 2
# AP_0_0: 0.000491421161153246
# AP_0_1: 3.05066921235661e-07
# AP_0_2: 3.24009742500482e-06
# AP_1_0: 1.7362102193964e-05
# AP_1_1: 5.53985806536982e-07
# AP_2_0: 7.34249645787831e-07
# BP_ORDER: 2
# BP_0_0: 0.000550865752209854
# BP_0_1: 4.74024800073537e-05
# BP_0_2: -2.05086520218834e-06
# BP_1_0: -1.60932004164348e-06
# BP_1_1: 5.8271603098863e-06
# BP_2_0: 7.78000890737762e-07
# NOME_FILE_FITS: 20251221_052555.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000003_stelle_trovate_e_catalogate_immagine_077.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.882__DEC_36.096,2192.292922337673,33.86035480639086,164.8852793448405,36.09999200386029,20.0,22.0,NO,1126,188.1851518017264,179.21469047749022,154.66,2.29,179.21469047749022,154.68,2.30,148.3991662781785,122.97,2.52,3.5,run_00000003,77,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,179.21,154.63,2.28,3.5
RA_164.882__DEC_36.096,2192.292922337673,33.86035480639086,164.8852793448405,36.09999200386029,20.0,22.0,NO,1083,188.1851518017264,179.21469047749022,155.03,2.21,179.21469047749022,155.06,2.22,148.3991662781785,122.98,2.46,3.5,run_00000003,77,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,179.21,155.00,2.20,3.5
RA_164.882__DEC_36.096,2192.292922337673,33.86035480639086,164.8852793448405,36.09999200386029,20.0,22.0,NO,1123,188.1851518017264,179.21469047749022,154.66,2.29,179.21469047749022,154.68,2.30,148.3991662781785,122.97,2.52,3.5,run_00000003,77,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,179.21,154.63,2.28,3.5
RA_164.882__DEC_36.096,2192.292922337673,33.86035480639086,164.8852793448405,36.09999200386029,20.0,22.0,NO,1128,188.1851518017264,179.21469047749022,154.66,2.29,179.21469047749022,154.68,2.30,148.3991662781785,122.97,2.52,3.5,run_00000003,77,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,179.21,154.63,2.28,3.5
RA_164.882__DEC_36.096,2192.292922337673,33.86035480639086,164.8852793448405,36.09999200386029,20.0,22.0,NO,1127,188.1851518017264,179.21469047749022,154.90,2.28,179.21469047749022,154.93,2.28,148.3991662781785,123.19,2.50,3.5,run_00000003,77,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,179.21,154.87,2.27,3.5
RA_164.885__DEC_40.440,478.5070932598144,1679.1191585977178,164.87622647538495,40.43943805823092,23.0,36.0,NO,2,235.40618117657783,223.28582096473232,223.29,NaN,223.28582096473232,223.29,NaN,201.0713707606625,201.07,NaN,3.5,run_00000003,77,NO,,INT_8,,,,223.29,223.29,NaN,3.5
RA_165.211__DEC_39.212,1060.2385213166467,1319.9000641509167,165.21494343147702,39.21292931792922,24.0,61.0,NO,1798,297.93472353228674,290.74671781895114,272.03,2.50,290.74671781895114,272.03,2.50,277.8491119594777,256.27,2.58,3.5,run_00000003,77,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,290.75,272.03,2.50,3.5
RA_165.211__DEC_39.212,1060.2385213166467,1319.9000641509167,165.21494343147702,39.21292931792922,24.0,61.0,NO,1796,297.93472353228674,290.74671781895114,272.03,2.50,290.74671781895114,272.03,2.50,277.8491119594777,256.27,2.58,3.5,run_00000003,77,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,290.75,272.03,2.50,3.5
RA_165.211__DEC_39.212,1060.2385213166467,1319.9000641509167,165.21494343147702,39.21292931792922,24.0,61.0,NO,1796,297.93472353228674,290.74671781895114,272.03,2.50,290.74671781895114,272.03,2.50,277.8491119594777,256.27,2.58,3.5,run_00000003,77,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,290.75,272.03,2.50,3.5
RA_166.129__DEC_38.242,1715.649925118552,1237.883758265253,166.13028109834758,38.24070656722623,9.0,21.0,NO,1807,88.51118046704512,89.0,112.74,1.56,89.0,112.74,1.56,72.42728917030873,91.53,1.64,3.5,run_00000003,77,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,89.0,112.74,1.56,3.5
RA_166.129__DEC_38.242,1715.649925118552,1237.883758265253,166.13028109834758,38.24070656722623,9.0,21.0,NO,1807,88.51118046704512,89.0,112.74,1.56,89.0,112.74,1.56,72.42728917030873,91.53,1.64,3.5,run_00000003,77,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,89.0,112.74,1.56,3.5
RA_166.129__DEC_38.242,1715.649925118552,1237.883758265253,166.13028109834758,38.24070656722623,9.0,21.0,NO,1807,88.51118046704512,89.0,112.74,1.56,89.0,112.74,1.56,72.42728917030873,91.53,1.64,3.5,run_00000003,77,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,89.0,112.74,1.56,3.5
RA_166.129__DEC_38.242,1715.649925118552,1237.883758265253,166.13028109834758,38.24070656722623,9.0,21.0,NO,1807,88.51118046704512,89.0,112.74,1.56,89.0,112.74,1.56,72.42728917030873,91.53,1.64,3.5,run_00000003,77,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,89.0,112.74,1.56,3.5
RA_166.129__DEC_38.242,1715.649925118552,1237.883758265253,166.13028109834758,38.24070656722623,9.0,21.0,NO,1807,88.51118046704512,89.0,112.74,1.56,89.0,112.74,1.56,72.42728917030873,91.53,1.64,3.5,run_00000003,77,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,89.0,112.74,1.56,3.5
RA_166.129__DEC_38.242,1715.649925118552,1237.883758265253,166.13028109834758,38.24070656722623,9.0,21.0,NO,1807,88.51118046704512,89.0,112.74,1.56,89.0,112.74,1.56,72.42728917030873,91.53,1.64,3.5,run_00000003,77,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,89.0,112.74,1.56,3.5
RA_166.129__DEC_38.242,1715.649925118552,1237.883758265253,166.13028109834758,38.24070656722623,9.0,21.0,NO,1807,88.51118046704512,89.0,112.74,1.56,89.0,112.74,1.56,72.42728917030873,91.53,1.64,3.5,run_00000003,77,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,89.0,112.74,1.56,3.5
RA_166.129__DEC_38.242,1715.649925118552,1237.883758265253,166.13028109834758,38.24070656722623,9.0,21.0,NO,1807,88.51118046704512,89.0,112.74,1.56,89.0,112.74,1.56,72.42728917030873,91.53,1.64,3.5,run_00000003,77,SI (Rank 8),II/389/ps1_dr2,1.5389166128101078e+17,166.12835744,38.24191354,13.1504,89.0,112.74,1.56,3.5
RA_166.129__DEC_38.242,1715.649925118552,1237.883758265253,166.13028109834758,38.24070656722623,9.0,21.0,NO,1807,88.51118046704512,89.0,112.74,1.56,89.0,112.74,1.56,72.42728917030873,91.53,1.64,3.5,run_00000003,77,SI (Rank 9),II/389/ps1_dr2,1.5388166126503923e+17,166.12665345,38.24053532,14.6034,89.0,112.74,1.56,3.5
RA_167.329__DEC_36.312,2846.550219598158,899.9455017108788,167.32320886350314,36.30898806176914,26.0,26.0,NO,1708,247.4479213086563,221.6338603782152,212.53,2.72,221.6338603782152,212.80,2.75,190.3031270071685,177.64,2.73,3.626316687866393,run_00000003,77,SI (Rank 1),I/239/hip_main,54522.0,167.3295003665,36.309378969,5.71,229.7,221.37,2.50,3.97
RA_167.329__DEC_36.312,2846.550219598158,899.9455017108788,167.32320886350314,36.30898806176914,26.0,26.0,NO,1705,247.4479213086563,221.6338603782152,212.53,2.72,221.6338603782152,212.80,2.75,190.3031270071685,177.64,2.73,3.626316687866393,run_00000003,77,SI (Rank 2),II/389/ps1_dr2,1.515716732746127e+17,167.32759079,36.31021643,7.0301,229.7,221.37,2.50,3.97
RA_167.329__DEC_36.312,2846.550219598158,899.9455017108788,167.32320886350314,36.30898806176914,26.0,26.0,NO,1702,247.4479213086563,221.6338603782152,212.54,2.75,221.6338603782152,212.80,2.78,190.3031270071685,177.57,2.75,3.626316687866393,run_00000003,77,SI (Rank 3),II/389/ps1_dr2,1.5156167327749856e+17,167.3279408,36.3066183,12.6978,229.75,221.38,2.52,3.97
RA_167.329__DEC_36.312,2846.550219598158,899.9455017108788,167.32320886350314,36.30898806176914,26.0,26.0,NO,1705,247.4479213086563,221.6338603782152,212.53,2.72,221.6338603782152,212.80,2.75,190.3031270071685,177.64,2.73,3.626316687866393,run_00000003,77,SI (Rank 4),II/389/ps1_dr2,1.515716733020705e+17,167.33020443,36.30815493,12.7953,229.7,221.37,2.50,3.97
RA_167.329__DEC_36.312,2846.550219598158,899.9455017108788,167.32320886350314,36.30898806176914,26.0,26.0,NO,1700,247.4479213086563,221.6338603782152,212.53,2.72,221.6338603782152,212.80,2.75,190.3031270071685,177.64,2.73,3.626316687866393,run_00000003,77,SI (Rank 5),II/389/ps1_dr2,1.515716732886958e+17,167.32895151,36.31250412,14.3866,229.7,221.37,2.50,3.97
