# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T05:29:18.142
# DATE-END: 2025-12-21T05:29:18.287
# TSTART: 1766294958141.68
# TSTOP: 1766294958171.69
# DATE: 2025-12-21T05:29:19
# EXPOSURE: 30000.0
# RA0: -3.079599e+16
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.476182127498
# DEC: 38.2090827474378
# EQUINOX: 2000.0
# CRVAL1: 165.476182127498
# CRVAL2: 38.2090827474378
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00132023365044731
# CD1_2: 0.00126480845291292
# CD2_1: -0.00126248141007284
# CD2_2: 0.00132101019908149
# A_ORDER: 2
# A_0_2: -7.69988752610761e-07
# A_1_1: -6.96860413437756e-07
# A_2_0: 9.9712009270668e-09
# B_ORDER: 2
# B_0_2: -1.70319150349251e-06
# B_1_1: -1.36152906819954e-06
# B_2_0: 5.2847239899079e-07
# AP_ORDER: 2
# AP_0_0: 4.64192972066161e-05
# AP_0_1: 2.1541567434573e-06
# AP_0_2: 7.69796251440003e-07
# AP_1_0: 8.18409468795983e-07
# AP_1_1: 6.96754790055026e-07
# AP_2_0: -9.95947666583755e-09
# BP_ORDER: 2
# BP_0_0: 8.56253435152018e-05
# BP_0_1: 3.89311898326925e-06
# BP_0_2: 1.70278891404089e-06
# BP_1_0: 1.52630676021616e-06
# BP_1_1: 1.36135653916864e-06
# BP_2_0: -5.2843686148103e-07
# NOME_FILE_FITS: 20251221_052918.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000003_stelle_trovate_e_catalogate_immagine_087.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,508.5469647955726,1725.6547221272697,164.86696079923578,40.43124035568864,27.0,38.0,NO,1316,295.63093590253834,267.3222274058502,241.09,2.95,268.3195149113184,241.44,2.99,252.5008707974627,223.73,3.15,3.5504383919945504,run_00000003,87,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,270.7,244.02,2.96,3.65
RA_164.865__DEC_40.434,508.5469647955726,1725.6547221272697,164.86696079923578,40.43124035568864,27.0,38.0,NO,1315,295.63093590253834,267.3222274058502,241.09,2.97,268.3195149113184,241.44,3.01,252.5008707974627,223.78,3.18,3.5504383919945504,run_00000003,87,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,270.7,244.01,2.99,3.65
RA_164.865__DEC_40.434,508.5469647955726,1725.6547221272697,164.86696079923578,40.43124035568864,27.0,38.0,NO,1314,295.63093590253834,267.3222274058502,240.82,2.96,268.3195149113184,241.17,3.00,252.5008707974627,223.51,3.16,3.5504383919945504,run_00000003,87,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,270.7,243.76,2.97,3.65
RA_164.865__DEC_40.434,508.5469647955726,1725.6547221272697,164.86696079923578,40.43124035568864,27.0,38.0,NO,1313,295.63093590253834,267.3222274058502,241.09,2.97,268.3195149113184,241.44,3.01,252.5008707974627,223.78,3.18,3.5504383919945504,run_00000003,87,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,270.7,244.01,2.99,3.65
RA_164.865__DEC_40.434,508.5469647955726,1725.6547221272697,164.86696079923578,40.43124035568864,27.0,38.0,NO,1308,295.63093590253834,267.3222274058502,241.04,2.97,268.3195149113184,241.40,3.01,252.5008707974627,223.72,3.18,3.5504383919945504,run_00000003,87,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,270.7,243.96,2.99,3.65
RA_164.865__DEC_40.434,508.5469647955726,1725.6547221272697,164.86696079923578,40.43124035568864,27.0,38.0,NO,1314,295.63093590253834,267.3222274058502,241.09,2.97,268.3195149113184,241.44,3.01,252.5008707974627,223.78,3.18,3.5504383919945504,run_00000003,87,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,270.7,244.01,2.99,3.65
RA_164.865__DEC_40.434,508.5469647955726,1725.6547221272697,164.86696079923578,40.43124035568864,27.0,38.0,NO,1315,295.63093590253834,267.3222274058502,240.64,3.00,268.3195149113184,240.99,3.04,252.5008707974627,223.32,3.20,3.5504383919945504,run_00000003,87,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,270.7,243.54,3.01,3.65
RA_164.865__DEC_40.434,508.5469647955726,1725.6547221272697,164.86696079923578,40.43124035568864,27.0,38.0,NO,1274,295.63093590253834,267.3222274058502,240.13,3.11,268.3195149113184,240.50,3.15,252.5008707974627,222.80,3.32,3.5504383919945504,run_00000003,87,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,270.71,243.03,3.12,3.65
RA_165.211__DEC_39.212,1073.6242001889066,1341.030730719318,165.2111645302816,39.21146047446941,25.0,63.0,NO,1798,321.43708151457486,301.7434273822211,272.03,2.50,301.7434273822211,272.03,2.50,281.5825157251607,256.27,2.58,3.5,run_00000003,87,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,301.74,272.03,2.50,3.5
RA_165.211__DEC_39.212,1073.6242001889066,1341.030730719318,165.2111645302816,39.21146047446941,25.0,63.0,NO,1796,321.43708151457486,301.7434273822211,272.03,2.50,301.7434273822211,272.03,2.50,281.5825157251607,256.27,2.58,3.5,run_00000003,87,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,301.74,272.03,2.50,3.5
RA_165.211__DEC_39.212,1073.6242001889066,1341.030730719318,165.2111645302816,39.21146047446941,25.0,63.0,NO,1796,321.43708151457486,301.7434273822211,272.03,2.50,301.7434273822211,272.03,2.50,281.5825157251607,256.27,2.58,3.5,run_00000003,87,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,301.74,272.03,2.50,3.5
RA_166.129__DEC_38.242,1724.6977814217362,1230.2869348341512,166.13022426232766,38.24156869900516,13.0,36.0,NO,1807,132.7061965849718,131.6178682060836,112.74,1.56,131.6178682060836,112.74,1.56,104.61181354509938,91.53,1.64,3.5,run_00000003,87,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,131.62,112.74,1.56,3.5
RA_166.129__DEC_38.242,1724.6977814217362,1230.2869348341512,166.13022426232766,38.24156869900516,13.0,36.0,NO,1807,132.7061965849718,131.6178682060836,112.74,1.56,131.6178682060836,112.74,1.56,104.61181354509938,91.53,1.64,3.5,run_00000003,87,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,131.62,112.74,1.56,3.5
RA_166.129__DEC_38.242,1724.6977814217362,1230.2869348341512,166.13022426232766,38.24156869900516,13.0,36.0,NO,1807,132.7061965849718,131.6178682060836,112.74,1.56,131.6178682060836,112.74,1.56,104.61181354509938,91.53,1.64,3.5,run_00000003,87,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,131.62,112.74,1.56,3.5
RA_166.129__DEC_38.242,1724.6977814217362,1230.2869348341512,166.13022426232766,38.24156869900516,13.0,36.0,NO,1807,132.7061965849718,131.6178682060836,112.74,1.56,131.6178682060836,112.74,1.56,104.61181354509938,91.53,1.64,3.5,run_00000003,87,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,131.62,112.74,1.56,3.5
