# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-21T05:33:41.318
# DATE-END: 2025-12-21T05:33:41.462
# TSTART: 1766295221318.47
# TSTOP: 1766295221348.48
# DATE: 2025-12-21T05:33:42
# EXPOSURE: 30000.0
# RA0: -3.079599e+16
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.480404828369
# DEC: 38.2057308630461
# EQUINOX: 2000.0
# CRVAL1: 165.480404828369
# CRVAL2: 38.2057308630461
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00139607089129189
# CD1_2: 0.00118132287691982
# CD2_1: -0.00118150387737777
# CD2_2: 0.00138861773514986
# A_ORDER: 2
# A_0_2: -3.79240195735109e-06
# A_1_1: -2.78080305482407e-06
# A_2_0: -8.19263862827948e-07
# B_ORDER: 2
# B_0_2: 4.73078113191493e-06
# B_1_1: 3.88034137196402e-06
# B_2_0: 1.23496769676376e-06
# AP_ORDER: 2
# AP_0_0: -0.000911372300251045
# AP_0_1: -2.69443621759513e-05
# AP_0_2: 3.79475947921068e-06
# AP_1_0: -1.31431900076995e-05
# AP_1_1: 2.7828446142863e-06
# AP_2_0: 8.1980678382504e-07
# BP_ORDER: 2
# BP_0_0: 0.00111305559924055
# BP_0_1: 3.26901485979067e-05
# BP_0_2: -4.7335827474873e-06
# BP_1_0: 1.63454444656731e-05
# BP_1_1: -3.88284443297321e-06
# BP_2_0: -1.23565450126793e-06
# NOME_FILE_FITS: 20251221_053341.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000003_stelle_trovate_e_catalogate_immagine_100.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,552.4481298603008,1787.8531652713866,164.86746644344535,40.428615775339416,23.0,36.0,NO,1316,249.06017520229403,224.60531252854287,241.09,2.95,224.60531252854287,241.44,2.99,203.9933043146429,223.73,3.15,3.5,run_00000003,100,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,227.71,244.02,2.96,3.65
RA_164.865__DEC_40.434,552.4481298603008,1787.8531652713866,164.86746644344535,40.428615775339416,23.0,36.0,NO,1315,249.06017520229403,224.60531252854287,241.09,2.97,224.60531252854287,241.44,3.01,203.9933043146429,223.78,3.18,3.5,run_00000003,100,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,227.71,244.01,2.99,3.65
RA_164.865__DEC_40.434,552.4481298603008,1787.8531652713866,164.86746644344535,40.428615775339416,23.0,36.0,NO,1314,249.06017520229403,224.60531252854287,240.82,2.96,224.60531252854287,241.17,3.00,203.9933043146429,223.51,3.16,3.5,run_00000003,100,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,227.71,243.76,2.97,3.65
RA_164.865__DEC_40.434,552.4481298603008,1787.8531652713866,164.86746644344535,40.428615775339416,23.0,36.0,NO,1313,249.06017520229403,224.60531252854287,241.09,2.97,224.60531252854287,241.44,3.01,203.9933043146429,223.78,3.18,3.5,run_00000003,100,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,227.71,244.01,2.99,3.65
RA_164.865__DEC_40.434,552.4481298603008,1787.8531652713866,164.86746644344535,40.428615775339416,23.0,36.0,NO,1308,249.06017520229403,224.60531252854287,241.04,2.97,224.60531252854287,241.40,3.01,203.9933043146429,223.72,3.18,3.5,run_00000003,100,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,227.71,243.96,2.99,3.65
RA_164.865__DEC_40.434,552.4481298603008,1787.8531652713866,164.86746644344535,40.428615775339416,23.0,36.0,NO,1314,249.06017520229403,224.60531252854287,241.09,2.97,224.60531252854287,241.44,3.01,203.9933043146429,223.78,3.18,3.5,run_00000003,100,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,227.71,244.01,2.99,3.65
RA_164.865__DEC_40.434,552.4481298603008,1787.8531652713866,164.86746644344535,40.428615775339416,23.0,36.0,NO,1315,249.06017520229403,224.60531252854287,240.64,3.00,224.60531252854287,240.99,3.04,203.9933043146429,223.32,3.20,3.5,run_00000003,100,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,227.71,243.54,3.01,3.65
RA_164.865__DEC_40.434,552.4481298603008,1787.8531652713866,164.86746644344535,40.428615775339416,23.0,36.0,NO,1274,249.06017520229403,224.60531252854287,240.13,3.11,224.60531252854287,240.50,3.15,203.9933043146429,222.80,3.32,3.5,run_00000003,100,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,227.71,243.03,3.12,3.65
RA_165.211__DEC_39.212,1092.564907399128,1368.7977690641294,165.21214359713437,39.20886556223509,25.0,51.0,NO,1798,296.48511239101225,274.6115477018901,272.03,2.50,274.6115477018901,272.03,2.50,255.46670953395304,256.27,2.58,3.5,run_00000003,100,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,274.61,272.03,2.50,3.5
RA_165.211__DEC_39.212,1092.564907399128,1368.7977690641294,165.21214359713437,39.20886556223509,25.0,51.0,NO,1796,296.48511239101225,274.6115477018901,272.03,2.50,274.6115477018901,272.03,2.50,255.46670953395304,256.27,2.58,3.5,run_00000003,100,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,274.61,272.03,2.50,3.5
