# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-23T04:20:22.468
# DATE-END: 2025-12-23T04:20:22.611
# TSTART: 1766463622467.78
# TSTOP: 1766463622497.79
# DATE: 2025-12-23T04:20:23
# EXPOSURE: 30000.0
# RA0: 1.791231e-33
# DEC0: 4.591635e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.160582110797
# DEC: 38.7108925315901
# EQUINOX: 2000.0
# CRVAL1: 166.160582110797
# CRVAL2: 38.7108925315901
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000546937086365136
# CD1_2: 0.00174409435893255
# CD2_1: -0.0017427896612451
# CD2_2: 0.000548758827281055
# A_ORDER: 2
# A_0_2: -3.24423410925077e-07
# A_1_1: 3.65792103832145e-07
# A_2_0: -4.35007326711728e-07
# B_ORDER: 2
# B_0_2: 1.2701483227122e-06
# B_1_1: 2.45997256845744e-07
# B_2_0: 1.19616337618307e-07
# AP_ORDER: 2
# AP_0_0: -1.37231906910766e-06
# AP_0_1: -9.95278032804901e-07
# AP_0_2: 3.24457400622055e-07
# AP_1_0: 8.85246747797228e-07
# AP_1_1: -3.65800187273916e-07
# AP_2_0: 4.34994811255289e-07
# BP_ORDER: 2
# BP_0_0: 3.9522795700897e-05
# BP_0_1: 2.32690920677925e-06
# BP_0_2: -1.27031209792829e-06
# BP_1_0: 2.32756372368715e-07
# BP_1_1: -2.46038114879889e-07
# BP_2_0: -1.19618328253145e-07
# NOME_FILE_FITS: 20251223_042022.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000005_stelle_trovate_e_catalogate_immagine_003.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,470.62949902009706,790.5823841971678,164.8657464865633,40.43085764663809,24.0,34.0,NO,1316,249.47918786280223,239.63333845288915,274.82,6.99,239.63333845288915,275.03,7.03,223.94918662398428,255.89,7.35,3.5,run_00000005,3,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,243.15,278.99,7.03,3.74
RA_164.865__DEC_40.434,470.62949902009706,790.5823841971678,164.8657464865633,40.43085764663809,24.0,34.0,NO,1315,249.47918786280223,239.63333845288915,275.76,6.98,239.63333845288915,275.97,7.02,223.94918662398428,256.90,7.33,3.5,run_00000005,3,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,243.15,279.87,7.02,3.74
RA_164.865__DEC_40.434,470.62949902009706,790.5823841971678,164.8657464865633,40.43085764663809,24.0,34.0,NO,1314,249.47918786280223,239.63333845288915,276.53,6.92,239.63333845288915,276.74,6.96,223.94918662398428,257.76,7.28,3.5,run_00000005,3,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,243.12,280.64,6.96,3.74
RA_164.865__DEC_40.434,470.62949902009706,790.5823841971678,164.8657464865633,40.43085764663809,24.0,34.0,NO,1313,249.47918786280223,239.63333845288915,275.76,6.98,239.63333845288915,275.97,7.02,223.94918662398428,256.90,7.33,3.5,run_00000005,3,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,243.15,279.87,7.02,3.74
RA_164.865__DEC_40.434,470.62949902009706,790.5823841971678,164.8657464865633,40.43085764663809,24.0,34.0,NO,1308,249.47918786280223,239.63333845288915,273.86,7.11,239.63333845288915,274.07,7.15,223.94918662398428,255.09,7.49,3.5,run_00000005,3,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,243.18,278.01,7.14,3.74
RA_164.865__DEC_40.434,470.62949902009706,790.5823841971678,164.8657464865633,40.43085764663809,24.0,34.0,NO,1314,249.47918786280223,239.63333845288915,275.97,6.85,239.63333845288915,276.18,6.89,223.94918662398428,257.12,7.20,3.5,run_00000005,3,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,243.09,280.08,6.89,3.74
RA_164.865__DEC_40.434,470.62949902009706,790.5823841971678,164.8657464865633,40.43085764663809,24.0,34.0,NO,1315,249.47918786280223,239.63333845288915,276.37,7.20,239.63333845288915,276.59,7.24,223.94918662398428,257.73,7.57,3.5,run_00000005,3,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,243.09,280.46,7.24,3.74
RA_164.865__DEC_40.434,470.62949902009706,790.5823841971678,164.8657464865633,40.43085764663809,24.0,34.0,NO,1274,249.47918786280223,239.63333845288915,278.13,7.35,239.63333845288915,278.36,7.39,223.94918662398428,259.77,7.77,3.5,run_00000005,3,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,243.23,282.38,7.40,3.75
RA_164.882__DEC_36.096,2730.681931430144,55.401570660334485,164.88568845845126,36.09349133310727,13.0,16.0,NO,1126,144.2484594214687,126.77104048191818,138.59,7.01,126.77104048191818,139.16,7.17,78.97394848930179,97.25,8.33,3.5,run_00000005,3,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,135.17,144.19,6.93,3.98
RA_164.882__DEC_36.096,2730.681931430144,55.401570660334485,164.88568845845126,36.09349133310727,13.0,16.0,NO,1083,144.2484594214687,126.77104048191818,139.59,7.40,126.77104048191818,140.20,7.57,78.97394848930179,97.87,8.81,3.5,run_00000005,3,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,135.36,145.52,7.31,4.0
