# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-23T04:26:50.252
# DATE-END: 2025-12-23T04:26:50.396
# TSTART: 1766464010252.34
# TSTOP: 1766464010282.35
# DATE: 2025-12-23T04:26:51
# EXPOSURE: 30000.0
# RA0: 1.791231e-33
# DEC0: 4.591635e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.115540856489
# DEC: 38.7088541294229
# EQUINOX: 2000.0
# CRVAL1: 166.115540856489
# CRVAL2: 38.7088541294229
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000606763413565862
# CD1_2: 0.00172220932624523
# CD2_1: -0.00172222779939284
# CD2_2: 0.000607557378455711
# A_ORDER: 2
# A_0_2: -1.82877064147102e-06
# A_1_1: -4.49825147450072e-07
# A_2_0: 4.84311968982815e-07
# B_ORDER: 2
# B_0_2: -8.70652703403028e-08
# B_1_1: -5.18591701268999e-07
# B_2_0: -8.0671207559823e-07
# AP_ORDER: 2
# AP_0_0: 8.11596366685781e-05
# AP_0_1: 2.79427586014288e-06
# AP_0_2: 1.82870428255349e-06
# AP_1_0: 1.34310551361676e-06
# AP_1_1: 4.49681083763511e-07
# AP_2_0: -4.84416450657085e-07
# BP_ORDER: 2
# BP_0_0: 4.18122166120583e-05
# BP_0_1: 1.34100520973902e-06
# BP_0_2: 8.69292464234888e-08
# BP_1_0: 6.72078863253125e-07
# BP_1_1: 5.18445902977504e-07
# BP_2_0: 8.06725475345951e-07
# NOME_FILE_FITS: 20251223_042650.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000005_stelle_trovate_e_catalogate_immagine_022.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,468.52931873553865,846.9256609280609,164.8672801653609,40.42946721929911,26.0,36.0,NO,1316,290.68429394642544,279.04491904084824,274.82,6.99,279.04491904084824,275.03,7.03,257.9388603546314,255.89,7.35,3.5,run_00000005,22,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,282.77,278.99,7.03,3.74
RA_164.865__DEC_40.434,468.52931873553865,846.9256609280609,164.8672801653609,40.42946721929911,26.0,36.0,NO,1315,290.68429394642544,279.04491904084824,275.76,6.98,279.04491904084824,275.97,7.02,257.9388603546314,256.90,7.33,3.5,run_00000005,22,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,282.77,279.87,7.02,3.74
RA_164.865__DEC_40.434,468.52931873553865,846.9256609280609,164.8672801653609,40.42946721929911,26.0,36.0,NO,1314,290.68429394642544,279.04491904084824,276.53,6.92,279.04491904084824,276.74,6.96,257.9388603546314,257.76,7.28,3.5,run_00000005,22,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,282.74,280.64,6.96,3.74
RA_164.865__DEC_40.434,468.52931873553865,846.9256609280609,164.8672801653609,40.42946721929911,26.0,36.0,NO,1313,290.68429394642544,279.04491904084824,275.76,6.98,279.04491904084824,275.97,7.02,257.9388603546314,256.90,7.33,3.5,run_00000005,22,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,282.77,279.87,7.02,3.74
RA_164.865__DEC_40.434,468.52931873553865,846.9256609280609,164.8672801653609,40.42946721929911,26.0,36.0,NO,1308,290.68429394642544,279.04491904084824,273.86,7.11,279.04491904084824,274.07,7.15,257.9388603546314,255.09,7.49,3.5,run_00000005,22,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,282.79,278.01,7.14,3.74
RA_164.865__DEC_40.434,468.52931873553865,846.9256609280609,164.8672801653609,40.42946721929911,26.0,36.0,NO,1314,290.68429394642544,279.04491904084824,275.97,6.85,279.04491904084824,276.18,6.89,257.9388603546314,257.12,7.20,3.5,run_00000005,22,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,282.71,280.08,6.89,3.74
RA_164.865__DEC_40.434,468.52931873553865,846.9256609280609,164.8672801653609,40.42946721929911,26.0,36.0,NO,1315,290.68429394642544,279.04491904084824,276.37,7.20,279.04491904084824,276.59,7.24,257.9388603546314,257.73,7.57,3.5,run_00000005,22,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,282.71,280.46,7.24,3.74
RA_164.865__DEC_40.434,468.52931873553865,846.9256609280609,164.8672801653609,40.42946721929911,26.0,36.0,NO,1274,290.68429394642544,279.04491904084824,278.13,7.35,279.04491904084824,278.36,7.39,257.9388603546314,259.77,7.77,3.5,run_00000005,22,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,282.85,282.38,7.40,3.75
RA_164.882__DEC_36.096,2702.035841231589,34.49945235691985,164.88616350624434,36.09403652958351,6.0,11.0,NO,1126,91.00142431480955,89.76962824408825,138.59,7.01,89.76962824408825,139.16,7.17,31.642704639138863,97.25,8.33,3.5,run_00000005,22,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,92.22,144.19,6.93,3.98
RA_164.882__DEC_36.096,2702.035841231589,34.49945235691985,164.88616350624434,36.09403652958351,6.0,11.0,NO,1083,91.00142431480955,89.76962824408825,139.59,7.40,89.76962824408825,140.20,7.57,31.642704639138863,97.87,8.81,3.5,run_00000005,22,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,92.26,145.52,7.31,4.0
