# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-23T04:30:13.943
# DATE-END: 2025-12-23T04:30:13.086
# TSTART: 1766464213942.52
# TSTOP: 1766464213972.53
# DATE: 2025-12-23T04:30:14
# EXPOSURE: 30000.0
# RA0: 1.791231e-33
# DEC0: 4.591635e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.112679535684
# DEC: 38.7100675555428
# EQUINOX: 2000.0
# CRVAL1: 166.112679535684
# CRVAL2: 38.7100675555428
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000640347566226049
# CD1_2: 0.0017083470380544
# CD2_1: -0.001709414035005
# CD2_2: 0.000642156539594129
# A_ORDER: 2
# A_0_2: -1.4624473263224e-06
# A_1_1: 6.8211334784388e-08
# A_2_0: 2.36928211613952e-07
# B_ORDER: 2
# B_0_2: -4.8568714920341e-06
# B_1_1: 1.42928130388365e-06
# B_2_0: 1.84048713581786e-06
# AP_ORDER: 2
# AP_0_0: 0.000108361399559964
# AP_0_1: 4.73137377340524e-06
# AP_0_2: 1.4615358105294e-06
# AP_1_0: -1.5019111631138e-06
# AP_1_1: -6.7841238544534e-08
# AP_2_0: -2.36834396381407e-07
# BP_ORDER: 2
# BP_0_0: 0.000382639320915246
# BP_0_1: 1.63608394758346e-05
# BP_0_2: 4.85409460384171e-06
# BP_1_0: -4.13049035351736e-06
# BP_1_1: -1.42771595528265e-06
# BP_2_0: -1.8403368105719e-06
# NOME_FILE_FITS: 20251223_043013.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000005_stelle_trovate_e_catalogate_immagine_032.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,465.8137079000483,866.470799300493,164.86931040072855,40.43052164433197,18.0,29.0,NO,1316,181.05007299522808,178.06646092421855,274.82,6.99,178.06646092421855,275.03,7.03,157.24070558615483,255.89,7.35,3.5,run_00000005,32,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,179.51,278.99,7.03,3.74
RA_164.865__DEC_40.434,465.8137079000483,866.470799300493,164.86931040072855,40.43052164433197,18.0,29.0,NO,1315,181.05007299522808,178.06646092421855,275.76,6.98,178.06646092421855,275.97,7.02,157.24070558615483,256.90,7.33,3.5,run_00000005,32,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,179.51,279.87,7.02,3.74
RA_164.865__DEC_40.434,465.8137079000483,866.470799300493,164.86931040072855,40.43052164433197,18.0,29.0,NO,1314,181.05007299522808,178.06646092421855,276.53,6.92,178.06646092421855,276.74,6.96,157.24070558615483,257.76,7.28,3.5,run_00000005,32,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,179.5,280.64,6.96,3.74
RA_164.865__DEC_40.434,465.8137079000483,866.470799300493,164.86931040072855,40.43052164433197,18.0,29.0,NO,1313,181.05007299522808,178.06646092421855,275.76,6.98,178.06646092421855,275.97,7.02,157.24070558615483,256.90,7.33,3.5,run_00000005,32,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,179.51,279.87,7.02,3.74
RA_164.865__DEC_40.434,465.8137079000483,866.470799300493,164.86931040072855,40.43052164433197,18.0,29.0,NO,1308,181.05007299522808,178.06646092421855,273.86,7.11,178.06646092421855,274.07,7.15,157.24070558615483,255.09,7.49,3.5,run_00000005,32,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,179.53,278.01,7.14,3.74
RA_164.865__DEC_40.434,465.8137079000483,866.470799300493,164.86931040072855,40.43052164433197,18.0,29.0,NO,1314,181.05007299522808,178.06646092421855,275.97,6.85,178.06646092421855,276.18,6.89,157.24070558615483,257.12,7.20,3.5,run_00000005,32,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,179.49,280.08,6.89,3.74
RA_164.865__DEC_40.434,465.8137079000483,866.470799300493,164.86931040072855,40.43052164433197,18.0,29.0,NO,1315,181.05007299522808,178.06646092421855,276.37,7.20,178.06646092421855,276.59,7.24,157.24070558615483,257.73,7.57,3.5,run_00000005,32,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,179.49,280.46,7.24,3.74
RA_164.865__DEC_40.434,465.8137079000483,866.470799300493,164.86931040072855,40.43052164433197,18.0,29.0,NO,1274,181.05007299522808,178.06646092421855,278.13,7.35,178.06646092421855,278.36,7.39,157.24070558615483,259.77,7.77,3.5,run_00000005,32,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,179.55,282.38,7.40,3.75
RA_164.882__DEC_36.096,2683.501939632504,12.345819284760294,164.87914917756777,36.09222293410849,12.0,12.0,NO,1126,140.41459144011495,114.96133304034616,138.59,7.01,114.96133304034616,139.16,7.17,76.00787224127026,97.25,8.33,3.5,run_00000005,32,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,125.43,144.19,6.93,3.98
RA_164.882__DEC_36.096,2683.501939632504,12.345819284760294,164.87914917756777,36.09222293410849,12.0,12.0,NO,1083,140.41459144011495,114.96133304034616,139.59,7.40,114.96133304034616,140.20,7.57,76.00787224127026,97.87,8.81,3.5,run_00000005,32,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,125.73,145.52,7.31,4.0
RA_164.882__DEC_36.096,2683.501939632504,12.345819284760294,164.87914917756777,36.09222293410849,12.0,12.0,NO,1123,140.41459144011495,114.96133304034616,138.78,7.22,114.96133304034616,139.37,7.39,76.00787224127026,97.01,8.58,3.5,run_00000005,32,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,125.58,144.50,7.14,3.99
RA_164.882__DEC_36.096,2683.501939632504,12.345819284760294,164.87914917756777,36.09222293410849,12.0,12.0,NO,1128,140.41459144011495,114.96133304034616,138.59,7.01,114.96133304034616,139.16,7.17,76.00787224127026,97.25,8.33,3.5,run_00000005,32,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,125.43,144.19,6.93,3.98
RA_164.882__DEC_36.096,2683.501939632504,12.345819284760294,164.87914917756777,36.09222293410849,12.0,12.0,NO,1127,140.41459144011495,114.96133304034616,138.78,7.22,114.96133304034616,139.37,7.39,76.00787224127026,97.01,8.58,3.5,run_00000005,32,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,125.58,144.50,7.14,3.99
RA_164.882__DEC_36.096,2683.501939632504,12.345819284760294,164.87914917756777,36.09222293410849,12.0,12.0,NO,262,140.41459144011495,114.96133304034616,123.46,7.02,114.96133304034616,123.46,7.02,76.00787224127026,74.34,9.36,3.5,run_00000005,32,SI (Rank 6),II/389/ps1_dr2,1.513016487574839e+17,164.87577662,36.08615428,13.3087,114.96,123.46,7.02,3.5
RA_165.211__DEC_39.212,1141.0093305136331,760.9124459891755,165.21096079048164,39.21139740233294,21.0,41.0,NO,1798,238.6004391882206,233.83080870984008,301.80,7.42,233.83080870984008,301.84,7.44,201.29011696328527,287.70,7.89,3.5,run_00000005,32,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,233.83,301.63,7.37,3.5
RA_165.211__DEC_39.212,1141.0093305136331,760.9124459891755,165.21096079048164,39.21139740233294,21.0,41.0,NO,1796,238.6004391882206,233.83080870984008,301.80,7.42,233.83080870984008,301.84,7.44,201.29011696328527,287.70,7.89,3.5,run_00000005,32,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,233.83,301.63,7.37,3.5
RA_165.211__DEC_39.212,1141.0093305136331,760.9124459891755,165.21096079048164,39.21139740233294,21.0,41.0,NO,1796,238.6004391882206,233.83080870984008,301.80,7.42,233.83080870984008,301.84,7.44,201.29011696328527,287.70,7.89,3.5,run_00000005,32,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,233.83,301.63,7.37,3.5
RA_166.129__DEC_38.242,1776.818221942348,939.0043976543168,166.12873105194183,38.24226253195867,10.0,30.0,NO,1807,101.99032225691622,102.00977243969405,118.54,3.42,102.00977243969405,118.54,3.42,85.70583968791777,94.87,3.74,3.5,run_00000005,32,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,102.01,118.54,3.42,3.5
RA_166.129__DEC_38.242,1776.818221942348,939.0043976543168,166.12873105194183,38.24226253195867,10.0,30.0,NO,1807,101.99032225691622,102.00977243969405,118.54,3.42,102.00977243969405,118.54,3.42,85.70583968791777,94.87,3.74,3.5,run_00000005,32,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,102.01,118.54,3.42,3.5
RA_166.129__DEC_38.242,1776.818221942348,939.0043976543168,166.12873105194183,38.24226253195867,10.0,30.0,NO,1807,101.99032225691622,102.00977243969405,118.54,3.42,102.00977243969405,118.54,3.42,85.70583968791777,94.87,3.74,3.5,run_00000005,32,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,102.01,118.54,3.42,3.5
RA_166.129__DEC_38.242,1776.818221942348,939.0043976543168,166.12873105194183,38.24226253195867,10.0,30.0,NO,1807,101.99032225691622,102.00977243969405,118.54,3.42,102.00977243969405,118.54,3.42,85.70583968791777,94.87,3.74,3.5,run_00000005,32,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,102.01,118.54,3.42,3.5
RA_166.129__DEC_38.242,1776.818221942348,939.0043976543168,166.12873105194183,38.24226253195867,10.0,30.0,NO,1807,101.99032225691622,102.00977243969405,118.54,3.42,102.00977243969405,118.54,3.42,85.70583968791777,94.87,3.74,3.5,run_00000005,32,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,102.01,118.54,3.42,3.5
