# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-23T04:32:36.467
# DATE-END: 2025-12-23T04:32:36.611
# TSTART: 1766464356467.39
# TSTOP: 1766464356497.4
# DATE: 2025-12-23T04:32:37
# EXPOSURE: 30000.0
# RA0: 1.791231e-33
# DEC0: 4.591635e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.114377802342
# DEC: 38.7087579898192
# EQUINOX: 2000.0
# CRVAL1: 166.114377802342
# CRVAL2: 38.7087579898192
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00068016312493392
# CD1_2: 0.00168072918203449
# CD2_1: -0.00170609598133766
# CD2_2: 0.000671792599422827
# A_ORDER: 2
# A_0_2: -5.97286424122637e-06
# A_1_1: 1.15954152204202e-05
# A_2_0: -4.90606338069574e-06
# B_ORDER: 2
# B_0_2: -3.01615982725401e-06
# B_1_1: 1.03520050168658e-05
# B_2_0: -5.34908889656978e-06
# AP_ORDER: 2
# AP_0_0: -0.000669030533797847
# AP_0_1: -1.01618343484336e-05
# AP_0_2: 5.97532085482608e-06
# AP_1_0: -8.40385749532962e-06
# AP_1_1: -1.15972780960276e-05
# AP_2_0: 4.90643171589374e-06
# BP_ORDER: 2
# BP_0_0: -0.00163863541466185
# BP_0_1: -5.68415201179571e-05
# BP_0_2: 3.02076214148426e-06
# BP_1_0: 2.76725136832201e-05
# BP_1_1: -1.03555934460887e-05
# BP_2_0: 5.34972278980562e-06
# NOME_FILE_FITS: 20251223_043236.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000005_stelle_trovate_e_catalogate_immagine_039.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.837__DEC_40.440,464.0458526310365,881.0438193792511,164.83232955579084,40.43610899549049,21.0,32.0,NO,1,213.4532753921887,203.32633589639988,203.33,NaN,203.32633589639988,203.33,NaN,165.1182091824658,165.12,NaN,3.5,run_00000005,39,NO,,INT_25,,,,203.33,203.33,NaN,3.5
RA_165.211__DEC_39.212,1137.423821902333,766.3076722786853,165.2101940764233,39.2105760031849,30.0,50.0,NO,1798,361.4847673147975,330.00907068139315,301.80,7.42,330.00907068139315,301.84,7.44,313.3848359668331,287.70,7.89,3.5,run_00000005,39,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,330.01,301.63,7.37,3.5
RA_165.211__DEC_39.212,1137.423821902333,766.3076722786853,165.2101940764233,39.2105760031849,30.0,50.0,NO,1796,361.4847673147975,330.00907068139315,301.80,7.42,330.00907068139315,301.84,7.44,313.3848359668331,287.70,7.89,3.5,run_00000005,39,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,330.01,301.63,7.37,3.5
RA_165.211__DEC_39.212,1137.423821902333,766.3076722786853,165.2101940764233,39.2105760031849,30.0,50.0,NO,1796,361.4847673147975,330.00907068139315,301.80,7.42,330.00907068139315,301.84,7.44,313.3848359668331,287.70,7.89,3.5,run_00000005,39,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,330.01,301.63,7.37,3.5
RA_166.129__DEC_38.242,1775.3601562342228,935.9123187142806,166.13599958346776,38.24027280899604,11.0,17.0,NO,1807,102.81752970187756,102.19943153828774,118.54,3.42,102.19943153828774,118.54,3.42,81.85590162284628,94.87,3.74,3.5,run_00000005,39,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,102.2,118.54,3.42,3.5
RA_166.129__DEC_38.242,1775.3601562342228,935.9123187142806,166.13599958346776,38.24027280899604,11.0,17.0,NO,1807,102.81752970187756,102.19943153828774,118.54,3.42,102.19943153828774,118.54,3.42,81.85590162284628,94.87,3.74,3.5,run_00000005,39,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,102.2,118.54,3.42,3.5
RA_166.129__DEC_38.242,1775.3601562342228,935.9123187142806,166.13599958346776,38.24027280899604,11.0,17.0,NO,1807,102.81752970187756,102.19943153828774,118.54,3.42,102.19943153828774,118.54,3.42,81.85590162284628,94.87,3.74,3.5,run_00000005,39,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,102.2,118.54,3.42,3.5
RA_166.129__DEC_38.242,1775.3601562342228,935.9123187142806,166.13599958346776,38.24027280899604,11.0,17.0,NO,1807,102.81752970187756,102.19943153828774,118.54,3.42,102.19943153828774,118.54,3.42,81.85590162284628,94.87,3.74,3.5,run_00000005,39,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,102.2,118.54,3.42,3.5
RA_166.129__DEC_38.242,1775.3601562342228,935.9123187142806,166.13599958346776,38.24027280899604,11.0,17.0,NO,1807,102.81752970187756,102.19943153828774,118.54,3.42,102.19943153828774,118.54,3.42,81.85590162284628,94.87,3.74,3.5,run_00000005,39,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,102.2,118.54,3.42,3.5
RA_166.129__DEC_38.242,1775.3601562342228,935.9123187142806,166.13599958346776,38.24027280899604,11.0,17.0,NO,1807,102.81752970187756,102.19943153828774,118.54,3.42,102.19943153828774,118.54,3.42,81.85590162284628,94.87,3.74,3.5,run_00000005,39,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,102.2,118.54,3.42,3.5
