# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-23T04:33:17.081
# DATE-END: 2025-12-23T04:33:17.226
# TSTART: 1766464397081.37
# TSTOP: 1766464397111.38
# DATE: 2025-12-23T04:33:17
# EXPOSURE: 30000.0
# RA0: 1.791231e-33
# DEC0: 4.591635e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.113976303246
# DEC: 38.7094557552106
# EQUINOX: 2000.0
# CRVAL1: 166.113976303246
# CRVAL2: 38.7094557552106
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000671715596027127
# CD1_2: 0.00170007753511044
# CD2_1: -0.00169875960877496
# CD2_2: 0.000671459634220274
# A_ORDER: 2
# A_0_2: 1.52965468013074e-07
# A_1_1: -1.72991654090609e-08
# A_2_0: 3.03756777658261e-08
# B_ORDER: 2
# B_0_2: 1.72300360459509e-06
# B_1_1: 1.38462074665066e-06
# B_2_0: -7.14509521921745e-07
# AP_ORDER: 2
# AP_0_0: 4.72451404850786e-06
# AP_0_1: 1.35088011461921e-07
# AP_0_2: -1.53004181910306e-07
# AP_1_0: 1.65170167489932e-07
# AP_1_1: 1.72887792278951e-08
# AP_2_0: -3.037071607569e-08
# BP_ORDER: 2
# BP_0_0: 8.37039024991289e-05
# BP_0_1: 3.54463704168516e-06
# BP_0_2: -1.72349601477213e-06
# BP_1_0: 9.41194075917749e-07
# BP_1_1: -1.3849107440862e-06
# BP_2_0: 7.14572290541833e-07
# NOME_FILE_FITS: 20251223_043316.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000005_stelle_trovate_e_catalogate_immagine_041.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,463.4718816798056,885.9218131933451,164.86319345275447,40.42945265698344,26.0,37.0,NO,1316,332.4695912909114,313.8817033462665,274.82,6.99,313.8817033462665,275.03,7.03,286.170542312888,255.89,7.35,3.5,run_00000005,41,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,319.08,278.99,7.03,3.74
RA_164.865__DEC_40.434,463.4718816798056,885.9218131933451,164.86319345275447,40.42945265698344,26.0,37.0,NO,1315,332.4695912909114,313.8817033462665,275.76,6.98,313.8817033462665,275.97,7.02,286.170542312888,256.90,7.33,3.5,run_00000005,41,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,319.08,279.87,7.02,3.74
RA_164.865__DEC_40.434,463.4718816798056,885.9218131933451,164.86319345275447,40.42945265698344,26.0,37.0,NO,1314,332.4695912909114,313.8817033462665,276.53,6.92,313.8817033462665,276.74,6.96,286.170542312888,257.76,7.28,3.5,run_00000005,41,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,319.04,280.64,6.96,3.74
RA_164.865__DEC_40.434,463.4718816798056,885.9218131933451,164.86319345275447,40.42945265698344,26.0,37.0,NO,1313,332.4695912909114,313.8817033462665,275.76,6.98,313.8817033462665,275.97,7.02,286.170542312888,256.90,7.33,3.5,run_00000005,41,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,319.08,279.87,7.02,3.74
RA_164.865__DEC_40.434,463.4718816798056,885.9218131933451,164.86319345275447,40.42945265698344,26.0,37.0,NO,1308,332.4695912909114,313.8817033462665,273.86,7.11,313.8817033462665,274.07,7.15,286.170542312888,255.09,7.49,3.5,run_00000005,41,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,319.12,278.01,7.14,3.74
RA_164.865__DEC_40.434,463.4718816798056,885.9218131933451,164.86319345275447,40.42945265698344,26.0,37.0,NO,1314,332.4695912909114,313.8817033462665,275.97,6.85,313.8817033462665,276.18,6.89,286.170542312888,257.12,7.20,3.5,run_00000005,41,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,319.01,280.08,6.89,3.74
RA_164.865__DEC_40.434,463.4718816798056,885.9218131933451,164.86319345275447,40.42945265698344,26.0,37.0,NO,1315,332.4695912909114,313.8817033462665,276.37,7.20,313.8817033462665,276.59,7.24,286.170542312888,257.73,7.57,3.5,run_00000005,41,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,319.01,280.46,7.24,3.74
RA_164.865__DEC_40.434,463.4718816798056,885.9218131933451,164.86319345275447,40.42945265698344,26.0,37.0,NO,1274,332.4695912909114,313.8817033462665,278.13,7.35,313.8817033462665,278.36,7.39,286.170542312888,259.77,7.77,3.5,run_00000005,41,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,319.19,282.38,7.40,3.75
RA_165.211__DEC_39.212,1136.3668145809263,768.1450804077394,165.21110370416193,39.21157236390528,26.0,39.0,NO,1798,282.40469037115986,267.1902745138141,301.80,7.42,267.1902745138141,301.84,7.44,253.7583077691904,287.70,7.89,3.5,run_00000005,41,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,267.19,301.63,7.37,3.5
RA_165.211__DEC_39.212,1136.3668145809263,768.1450804077394,165.21110370416193,39.21157236390528,26.0,39.0,NO,1796,282.40469037115986,267.1902745138141,301.80,7.42,267.1902745138141,301.84,7.44,253.7583077691904,287.70,7.89,3.5,run_00000005,41,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,267.19,301.63,7.37,3.5
RA_165.211__DEC_39.212,1136.3668145809263,768.1450804077394,165.21110370416193,39.21157236390528,26.0,39.0,NO,1796,282.40469037115986,267.1902745138141,301.80,7.42,267.1902745138141,301.84,7.44,253.7583077691904,287.70,7.89,3.5,run_00000005,41,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,267.19,301.63,7.37,3.5
RA_166.129__DEC_38.242,1775.186234966778,935.1300188746012,166.13058076805763,38.24188739228512,19.0,26.0,NO,1807,154.02930485213568,149.90015143230343,118.54,3.42,149.90015143230343,118.54,3.42,130.38163896277908,94.87,3.74,3.5,run_00000005,41,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,149.9,118.54,3.42,3.5
RA_166.129__DEC_38.242,1775.186234966778,935.1300188746012,166.13058076805763,38.24188739228512,19.0,26.0,NO,1807,154.02930485213568,149.90015143230343,118.54,3.42,149.90015143230343,118.54,3.42,130.38163896277908,94.87,3.74,3.5,run_00000005,41,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,149.9,118.54,3.42,3.5
RA_166.129__DEC_38.242,1775.186234966778,935.1300188746012,166.13058076805763,38.24188739228512,19.0,26.0,NO,1807,154.02930485213568,149.90015143230343,118.54,3.42,149.90015143230343,118.54,3.42,130.38163896277908,94.87,3.74,3.5,run_00000005,41,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,149.9,118.54,3.42,3.5
RA_166.129__DEC_38.242,1775.186234966778,935.1300188746012,166.13058076805763,38.24188739228512,19.0,26.0,NO,1807,154.02930485213568,149.90015143230343,118.54,3.42,149.90015143230343,118.54,3.42,130.38163896277908,94.87,3.74,3.5,run_00000005,41,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,149.9,118.54,3.42,3.5
