# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-23T04:48:09.331
# DATE-END: 2025-12-23T04:48:09.476
# TSTART: 1766465289331.23
# TSTOP: 1766465289361.24
# DATE: 2025-12-23T04:48:10
# EXPOSURE: 30000.0
# RA0: 1.791231e-33
# DEC0: 4.591635e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.112397997105
# DEC: 38.7063449931692
# EQUINOX: 2000.0
# CRVAL1: 166.112397997105
# CRVAL2: 38.7063449931692
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000834008600420195
# CD1_2: 0.00162703795657811
# CD2_1: -0.00162272019056601
# CD2_2: 0.000828525317188414
# A_ORDER: 2
# A_0_2: -1.49288292624329e-05
# A_1_1: 6.78808180655331e-06
# A_2_0: 2.83590919131621e-07
# B_ORDER: 2
# B_0_2: 6.76505080511023e-06
# B_1_1: -3.4781842635153e-06
# B_2_0: 1.10723443894686e-06
# AP_ORDER: 2
# AP_0_0: -0.000170410005078588
# AP_0_1: -0.000239756139639965
# AP_0_2: 1.49379406914211e-05
# AP_1_0: 7.93317928336666e-05
# AP_1_1: -6.79102940903137e-06
# AP_2_0: -2.8435661770437e-07
# BP_ORDER: 2
# BP_0_0: -0.000280870186747251
# BP_0_1: 0.000127459223141698
# BP_0_2: -6.76849236276186e-06
# BP_1_0: -5.09243043485513e-05
# BP_1_1: 3.47999312246468e-06
# BP_2_0: -1.10686372523031e-06
# NOME_FILE_FITS: 20251223_044809.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000005_stelle_trovate_e_catalogate_immagine_058.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.864__DEC_40.420,454.8094982272267,990.9711433408278,164.86588937437267,40.42513177734746,24.0,39.0,NO,1316,279.2630800832752,267.4992505189944,274.82,6.99,267.4992505189944,275.03,7.03,248.6439892646967,255.89,7.35,3.5,run_00000005,58,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,270.56,278.99,7.03,3.74
RA_164.864__DEC_40.420,454.8094982272267,990.9711433408278,164.86588937437267,40.42513177734746,24.0,39.0,NO,1315,279.2630800832752,267.4992505189944,275.76,6.98,267.4992505189944,275.97,7.02,248.6439892646967,256.90,7.33,3.5,run_00000005,58,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,270.56,279.87,7.02,3.74
RA_164.864__DEC_40.420,454.8094982272267,990.9711433408278,164.86588937437267,40.42513177734746,24.0,39.0,NO,1314,279.2630800832752,267.4992505189944,276.53,6.92,267.4992505189944,276.74,6.96,248.6439892646967,257.76,7.28,3.5,run_00000005,58,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,270.54,280.64,6.96,3.74
RA_164.864__DEC_40.420,454.8094982272267,990.9711433408278,164.86588937437267,40.42513177734746,24.0,39.0,NO,1313,279.2630800832752,267.4992505189944,275.76,6.98,267.4992505189944,275.97,7.02,248.6439892646967,256.90,7.33,3.5,run_00000005,58,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,270.56,279.87,7.02,3.74
RA_164.864__DEC_40.420,454.8094982272267,990.9711433408278,164.86588937437267,40.42513177734746,24.0,39.0,NO,1308,279.2630800832752,267.4992505189944,273.86,7.11,267.4992505189944,274.07,7.15,248.6439892646967,255.09,7.49,3.5,run_00000005,58,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,270.59,278.01,7.14,3.74
RA_164.864__DEC_40.420,454.8094982272267,990.9711433408278,164.86588937437267,40.42513177734746,24.0,39.0,NO,1314,279.2630800832752,267.4992505189944,275.97,6.85,267.4992505189944,276.18,6.89,248.6439892646967,257.12,7.20,3.5,run_00000005,58,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,270.52,280.08,6.89,3.74
RA_164.864__DEC_40.420,454.8094982272267,990.9711433408278,164.86588937437267,40.42513177734746,24.0,39.0,NO,1315,279.2630800832752,267.4992505189944,276.37,7.20,267.4992505189944,276.59,7.24,248.6439892646967,257.73,7.57,3.5,run_00000005,58,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,270.52,280.46,7.24,3.74
RA_164.864__DEC_40.420,454.8094982272267,990.9711433408278,164.86588937437267,40.42513177734746,24.0,39.0,NO,1274,279.2630800832752,267.4992505189944,278.13,7.35,267.4992505189944,278.36,7.39,248.6439892646967,259.77,7.77,3.5,run_00000005,58,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,270.63,282.38,7.40,3.75
RA_165.211__DEC_39.212,1112.979815782954,807.8923239276381,165.2084984504749,39.20923861319656,32.0,62.0,NO,1798,397.1937701332714,370.3124028528313,301.80,7.42,370.3124028528313,301.84,7.44,360.68055604001,287.70,7.89,3.5,run_00000005,58,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,370.31,301.63,7.37,3.5
RA_165.211__DEC_39.212,1112.979815782954,807.8923239276381,165.2084984504749,39.20923861319656,32.0,62.0,NO,1796,397.1937701332714,370.3124028528313,301.80,7.42,370.3124028528313,301.84,7.44,360.68055604001,287.70,7.89,3.5,run_00000005,58,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,370.31,301.63,7.37,3.5
