# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-23T04:53:54.065
# DATE-END: 2025-12-23T04:53:54.209
# TSTART: 1766465634065.05
# TSTOP: 1766465634095.06
# DATE: 2025-12-23T04:53:54
# EXPOSURE: 30000.0
# RA0: 1.791231e-33
# DEC0: 4.591635e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.111774655577
# DEC: 38.7101981351383
# EQUINOX: 2000.0
# CRVAL1: 166.111774655577
# CRVAL2: 38.7101981351383
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000904131307713182
# CD1_2: 0.00158652869353551
# CD2_1: -0.00158763004238859
# CD2_2: 0.000906978803261501
# A_ORDER: 2
# A_0_2: 5.93648691281424e-06
# A_1_1: -3.665537741732e-06
# A_2_0: 5.55975228914368e-07
# B_ORDER: 2
# B_0_2: -2.94500988193472e-06
# B_1_1: 2.10054221196698e-06
# B_2_0: -1.93501772692413e-07
# AP_ORDER: 2
# AP_0_0: -0.000680261107935702
# AP_0_1: -5.0118132836459e-05
# AP_0_2: -5.9345590731846e-06
# AP_1_0: 2.21419615040237e-05
# AP_1_1: 3.66422020391557e-06
# AP_2_0: -5.5563255898112e-07
# BP_ORDER: 2
# BP_0_0: 0.00035621986567896
# BP_0_1: 2.60714198496948e-05
# BP_0_2: 2.94398657480967e-06
# BP_1_0: -1.12508549907221e-05
# BP_1_1: -2.09986429556979e-06
# BP_2_0: 1.93325545678531e-07
# NOME_FILE_FITS: 20251223_045353.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000005_stelle_trovate_e_catalogate_immagine_070.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,454.2018595912122,1039.4943872362535,164.86494722023787,40.43212279152032,26.0,42.0,NO,1316,269.81398290144904,262.82922069347296,274.82,6.99,262.82922069347296,275.03,7.03,249.17487540924304,255.89,7.35,3.5,run_00000005,70,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,265.33,278.99,7.03,3.74
RA_164.865__DEC_40.434,454.2018595912122,1039.4943872362535,164.86494722023787,40.43212279152032,26.0,42.0,NO,1315,269.81398290144904,262.82922069347296,275.76,6.98,262.82922069347296,275.97,7.02,249.17487540924304,256.90,7.33,3.5,run_00000005,70,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,265.33,279.87,7.02,3.74
RA_164.865__DEC_40.434,454.2018595912122,1039.4943872362535,164.86494722023787,40.43212279152032,26.0,42.0,NO,1314,269.81398290144904,262.82922069347296,276.53,6.92,262.82922069347296,276.74,6.96,249.17487540924304,257.76,7.28,3.5,run_00000005,70,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,265.31,280.64,6.96,3.74
RA_164.865__DEC_40.434,454.2018595912122,1039.4943872362535,164.86494722023787,40.43212279152032,26.0,42.0,NO,1313,269.81398290144904,262.82922069347296,275.76,6.98,262.82922069347296,275.97,7.02,249.17487540924304,256.90,7.33,3.5,run_00000005,70,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,265.33,279.87,7.02,3.74
RA_164.865__DEC_40.434,454.2018595912122,1039.4943872362535,164.86494722023787,40.43212279152032,26.0,42.0,NO,1308,269.81398290144904,262.82922069347296,273.86,7.11,262.82922069347296,274.07,7.15,249.17487540924304,255.09,7.49,3.5,run_00000005,70,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,265.34,278.01,7.14,3.74
RA_164.865__DEC_40.434,454.2018595912122,1039.4943872362535,164.86494722023787,40.43212279152032,26.0,42.0,NO,1314,269.81398290144904,262.82922069347296,275.97,6.85,262.82922069347296,276.18,6.89,249.17487540924304,257.12,7.20,3.5,run_00000005,70,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,265.29,280.08,6.89,3.74
RA_164.865__DEC_40.434,454.2018595912122,1039.4943872362535,164.86494722023787,40.43212279152032,26.0,42.0,NO,1315,269.81398290144904,262.82922069347296,276.37,7.20,262.82922069347296,276.59,7.24,249.17487540924304,257.73,7.57,3.5,run_00000005,70,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,265.29,280.46,7.24,3.74
RA_164.865__DEC_40.434,454.2018595912122,1039.4943872362535,164.86494722023787,40.43212279152032,26.0,42.0,NO,1274,269.81398290144904,262.82922069347296,278.13,7.35,262.82922069347296,278.36,7.39,249.17487540924304,259.77,7.77,3.5,run_00000005,70,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,265.38,282.38,7.40,3.75
RA_165.211__DEC_39.212,1103.8861694528582,827.7949402406873,165.21073085944113,39.21376920146258,25.0,67.0,NO,1798,317.799355974118,308.0815746510821,301.80,7.42,308.0815746510821,301.84,7.44,296.5634909272892,287.70,7.89,3.5,run_00000005,70,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,308.08,301.63,7.37,3.5
RA_165.211__DEC_39.212,1103.8861694528582,827.7949402406873,165.21073085944113,39.21376920146258,25.0,67.0,NO,1796,317.799355974118,308.0815746510821,301.80,7.42,308.0815746510821,301.84,7.44,296.5634909272892,287.70,7.89,3.5,run_00000005,70,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,308.08,301.63,7.37,3.5
