# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-23T04:59:40.098
# DATE-END: 2025-12-23T04:59:40.242
# TSTART: 1766465980097.54
# TSTOP: 1766465980127.55
# DATE: 2025-12-23T04:59:40
# EXPOSURE: 30000.0
# RA0: 1.791231e-33
# DEC0: 4.591635e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.485499497583
# DEC: 38.1977444153293
# EQUINOX: 2000.0
# CRVAL1: 165.485499497583
# CRVAL2: 38.1977444153293
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000975163497422542
# CD1_2: 0.00154562281218005
# CD2_1: -0.00154438281588239
# CD2_2: 0.000976230037156245
# A_ORDER: 2
# A_0_2: -5.63808675657193e-07
# A_1_1: -5.91026810432347e-07
# A_2_0: -1.36488947874754e-08
# B_ORDER: 2
# B_0_2: -1.02130170673613e-07
# B_1_1: -3.38906464040318e-07
# B_2_0: 4.14611393048072e-07
# AP_ORDER: 2
# AP_0_0: 6.75130843016033e-07
# AP_0_1: 8.84909034159271e-08
# AP_0_2: 5.63756239304351e-07
# AP_1_0: -6.90235883870096e-08
# AP_1_1: 5.91002129833827e-07
# AP_2_0: 1.36729302576989e-08
# BP_ORDER: 2
# BP_0_0: -1.25224135194557e-05
# BP_0_1: -2.33872331778801e-07
# BP_0_2: 1.02119140925953e-07
# BP_1_0: -2.79062498587871e-07
# BP_1_1: 3.38937294752206e-07
# BP_2_0: -4.14588965072835e-07
# NOME_FILE_FITS: 20251223_045939.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000006_stelle_trovate_e_catalogate_immagine_001.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,361.6237677324103,1457.2013853269057,164.86777060202556,40.4311393925409,24.0,37.0,NO,1316,242.94650885943489,232.8857709788664,235.82,4.24,232.8857709788664,236.18,4.31,212.1290377240933,219.23,4.54,3.5,run_00000006,1,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,235.44,238.77,4.18,3.68
RA_164.865__DEC_40.434,361.6237677324103,1457.2013853269057,164.86777060202556,40.4311393925409,24.0,37.0,NO,1315,242.94650885943489,232.8857709788664,236.08,4.28,232.8857709788664,236.46,4.36,212.1290377240933,219.50,4.59,3.5,run_00000006,1,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,235.48,239.09,4.23,3.68
RA_164.865__DEC_40.434,361.6237677324103,1457.2013853269057,164.86777060202556,40.4311393925409,24.0,37.0,NO,1314,242.94650885943489,232.8857709788664,236.42,4.35,232.8857709788664,236.79,4.42,212.1290377240933,219.93,4.66,3.5,run_00000006,1,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,235.58,239.57,4.29,3.69
RA_164.865__DEC_40.434,361.6237677324103,1457.2013853269057,164.86777060202556,40.4311393925409,24.0,37.0,NO,1313,242.94650885943489,232.8857709788664,236.08,4.28,232.8857709788664,236.46,4.36,212.1290377240933,219.50,4.59,3.5,run_00000006,1,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,235.48,239.09,4.23,3.68
RA_164.865__DEC_40.434,361.6237677324103,1457.2013853269057,164.86777060202556,40.4311393925409,24.0,37.0,NO,1308,242.94650885943489,232.8857709788664,236.24,4.20,232.8857709788664,236.63,4.28,212.1290377240933,219.61,4.50,3.5,run_00000006,1,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,235.49,239.28,4.14,3.69
RA_164.865__DEC_40.434,361.6237677324103,1457.2013853269057,164.86777060202556,40.4311393925409,24.0,37.0,NO,1314,242.94650885943489,232.8857709788664,236.14,4.31,232.8857709788664,236.51,4.39,212.1290377240933,219.59,4.62,3.5,run_00000006,1,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,235.53,239.22,4.26,3.69
RA_164.865__DEC_40.434,361.6237677324103,1457.2013853269057,164.86777060202556,40.4311393925409,24.0,37.0,NO,1315,242.94650885943489,232.8857709788664,236.35,4.24,232.8857709788664,236.74,4.32,212.1290377240933,219.74,4.54,3.5,run_00000006,1,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,235.51,239.41,4.18,3.69
RA_164.865__DEC_40.434,361.6237677324103,1457.2013853269057,164.86777060202556,40.4311393925409,24.0,37.0,NO,1274,242.94650885943489,232.8857709788664,235.71,4.31,232.8857709788664,236.07,4.38,212.1290377240933,219.09,4.62,3.5,run_00000006,1,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,235.48,238.72,4.25,3.68
RA_164.889DEC36.087,2367.490239152072,183.7579864011801,164.88773238726213,36.09237646670558,14.0,17.0,NO,1126,132.0655971614855,125.39991454707034,157.95,4.41,125.39991454707034,158.13,4.46,89.9090788365877,126.85,4.89,3.5,run_00000006,1,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,126.7,159.59,4.44,3.65
RA_164.889DEC36.087,2367.490239152072,183.7579864011801,164.88773238726213,36.09237646670558,14.0,17.0,NO,1083,132.0655971614855,125.39991454707034,159.21,4.40,125.39991454707034,159.40,4.45,89.9090788365877,128.05,4.86,3.5,run_00000006,1,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,126.75,160.92,4.43,3.65
