# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-23T05:08:27.259
# DATE-END: 2025-12-23T05:08:27.402
# TSTART: 1766466507258.59
# TSTOP: 1766466507288.6
# DATE: 2025-12-23T05:08:28
# EXPOSURE: 30000.0
# RA0: 1.791231e-33
# DEC0: 4.591635e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.475069725858
# DEC: 38.2110749141754
# EQUINOX: 2000.0
# CRVAL1: 165.475069725858
# CRVAL2: 38.2110749141754
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00110720716018282
# CD1_2: 0.00145755505202711
# CD2_1: -0.00145327226047178
# CD2_2: 0.00110847457485839
# A_ORDER: 2
# A_0_2: 6.7404191009171e-07
# A_1_1: -3.21656339807591e-07
# A_2_0: -2.80984160153098e-07
# B_ORDER: 2
# B_0_2: -5.06114924844069e-06
# B_1_1: -1.71827750404922e-06
# B_2_0: 9.01925381164479e-07
# AP_ORDER: 2
# AP_0_0: -8.01723588313171e-05
# AP_0_1: -2.82438664950492e-06
# AP_0_2: -6.73536684593226e-07
# AP_1_0: -5.40830440630278e-07
# AP_1_1: 3.21641057090199e-07
# AP_2_0: 2.80945959399191e-07
# BP_ORDER: 2
# BP_0_0: 0.000770534018117056
# BP_0_1: 2.68666497062479e-05
# BP_0_2: 5.05727223499029e-06
# BP_1_0: 6.89160547761657e-06
# BP_1_1: 1.71720248798852e-06
# BP_2_0: -9.01716635320961e-07
# NOME_FILE_FITS: 20251223_050827.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000006_stelle_trovate_e_catalogate_immagine_027.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,411.9401003025402,1556.506680015,164.86664099391848,40.43243886270756,25.0,44.0,NO,1316,268.50090407259256,246.8999284103803,235.82,4.24,246.8999284103803,236.18,4.31,234.72505036598392,219.23,4.54,3.5,run_00000006,27,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,250.61,238.77,4.18,3.68
RA_164.865__DEC_40.434,411.9401003025402,1556.506680015,164.86664099391848,40.43243886270756,25.0,44.0,NO,1315,268.50090407259256,246.8999284103803,236.08,4.28,246.8999284103803,236.46,4.36,234.72505036598392,219.50,4.59,3.5,run_00000006,27,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,250.68,239.09,4.23,3.68
RA_164.865__DEC_40.434,411.9401003025402,1556.506680015,164.86664099391848,40.43243886270756,25.0,44.0,NO,1314,268.50090407259256,246.8999284103803,236.42,4.35,246.8999284103803,236.79,4.42,234.72505036598392,219.93,4.66,3.5,run_00000006,27,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,250.82,239.57,4.29,3.69
RA_164.865__DEC_40.434,411.9401003025402,1556.506680015,164.86664099391848,40.43243886270756,25.0,44.0,NO,1313,268.50090407259256,246.8999284103803,236.08,4.28,246.8999284103803,236.46,4.36,234.72505036598392,219.50,4.59,3.5,run_00000006,27,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,250.68,239.09,4.23,3.68
RA_164.865__DEC_40.434,411.9401003025402,1556.506680015,164.86664099391848,40.43243886270756,25.0,44.0,NO,1308,268.50090407259256,246.8999284103803,236.24,4.20,246.8999284103803,236.63,4.28,234.72505036598392,219.61,4.50,3.5,run_00000006,27,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,250.69,239.28,4.14,3.69
RA_164.865__DEC_40.434,411.9401003025402,1556.506680015,164.86664099391848,40.43243886270756,25.0,44.0,NO,1314,268.50090407259256,246.8999284103803,236.14,4.31,246.8999284103803,236.51,4.39,234.72505036598392,219.59,4.62,3.5,run_00000006,27,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,250.75,239.22,4.26,3.69
RA_164.865__DEC_40.434,411.9401003025402,1556.506680015,164.86664099391848,40.43243886270756,25.0,44.0,NO,1315,268.50090407259256,246.8999284103803,236.35,4.24,246.8999284103803,236.74,4.32,234.72505036598392,219.74,4.54,3.5,run_00000006,27,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,250.72,239.41,4.18,3.69
RA_164.865__DEC_40.434,411.9401003025402,1556.506680015,164.86664099391848,40.43243886270756,25.0,44.0,NO,1274,268.50090407259256,246.8999284103803,235.71,4.31,246.8999284103803,236.07,4.38,234.72505036598392,219.09,4.62,3.5,run_00000006,27,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,250.68,238.72,4.25,3.68
RA_164.877__DEC_36.087,2299.255752629256,113.38514741735304,164.87997128636135,36.08782166168788,24.0,23.0,NO,1126,248.5374266036592,223.53061934418264,157.95,4.41,226.75751466713632,158.13,4.46,203.4180310588441,126.85,4.89,3.829629435182509,run_00000006,27,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,223.25,159.59,4.44,3.65
RA_164.877__DEC_36.087,2299.255752629256,113.38514741735304,164.87997128636135,36.08782166168788,24.0,23.0,NO,1083,248.5374266036592,223.53061934418264,159.21,4.40,226.75751466713632,159.40,4.45,203.4180310588441,128.05,4.86,3.829629435182509,run_00000006,27,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,223.37,160.92,4.43,3.65
