# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-23T05:09:07.075
# DATE-END: 2025-12-23T05:09:07.219
# TSTART: 1766466547074.82
# TSTOP: 1766466547104.83
# DATE: 2025-12-23T05:09:08
# EXPOSURE: 30000.0
# RA0: 1.791231e-33
# DEC0: 4.591635e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.475988225598
# DEC: 38.2083642328245
# EQUINOX: 2000.0
# CRVAL1: 165.475988225598
# CRVAL2: 38.2083642328245
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00111647821197573
# CD1_2: 0.00144898097340916
# CD2_1: -0.00144590430055618
# CD2_2: 0.00111741707487147
# A_ORDER: 2
# A_0_2: 2.71199503941183e-07
# A_1_1: -4.7285250761834e-07
# A_2_0: -2.53450341474051e-07
# B_ORDER: 2
# B_0_2: 1.77006149184492e-06
# B_1_1: -1.05979374068742e-06
# B_2_0: -2.13790401708625e-07
# AP_ORDER: 2
# AP_0_0: 2.26345451737645e-05
# AP_0_1: 1.14746789231301e-06
# AP_0_2: -2.71233384965858e-07
# AP_1_0: -1.33976953716312e-07
# AP_1_1: 4.72888048325863e-07
# AP_2_0: 2.53423368870581e-07
# BP_ORDER: 2
# BP_0_0: 7.38859183506987e-05
# BP_0_1: 4.52592313824928e-06
# BP_0_2: -1.77036575623009e-06
# BP_1_0: -1.37626520014585e-06
# BP_1_1: 1.05999794999943e-06
# BP_2_0: 2.13756945803457e-07
# NOME_FILE_FITS: 20251223_050906.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000006_stelle_trovate_e_catalogate_immagine_029.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,414.371394647155,1564.693215733269,164.86737331640427,40.43203387488235,22.0,32.0,NO,1316,229.7751229572585,207.93544201082784,235.82,4.24,207.93544201082784,236.18,4.31,185.7679168671055,219.23,4.54,3.5,run_00000006,29,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,211.61,238.77,4.18,3.68
RA_164.865__DEC_40.434,414.371394647155,1564.693215733269,164.86737331640427,40.43203387488235,22.0,32.0,NO,1315,229.7751229572585,207.93544201082784,236.08,4.28,207.93544201082784,236.46,4.36,185.7679168671055,219.50,4.59,3.5,run_00000006,29,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,211.68,239.09,4.23,3.68
RA_164.865__DEC_40.434,414.371394647155,1564.693215733269,164.86737331640427,40.43203387488235,22.0,32.0,NO,1314,229.7751229572585,207.93544201082784,236.42,4.35,207.93544201082784,236.79,4.42,185.7679168671055,219.93,4.66,3.5,run_00000006,29,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,211.82,239.57,4.29,3.69
RA_164.865__DEC_40.434,414.371394647155,1564.693215733269,164.86737331640427,40.43203387488235,22.0,32.0,NO,1313,229.7751229572585,207.93544201082784,236.08,4.28,207.93544201082784,236.46,4.36,185.7679168671055,219.50,4.59,3.5,run_00000006,29,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,211.68,239.09,4.23,3.68
RA_164.865__DEC_40.434,414.371394647155,1564.693215733269,164.86737331640427,40.43203387488235,22.0,32.0,NO,1308,229.7751229572585,207.93544201082784,236.24,4.20,207.93544201082784,236.63,4.28,185.7679168671055,219.61,4.50,3.5,run_00000006,29,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,211.69,239.28,4.14,3.69
RA_164.865__DEC_40.434,414.371394647155,1564.693215733269,164.86737331640427,40.43203387488235,22.0,32.0,NO,1314,229.7751229572585,207.93544201082784,236.14,4.31,207.93544201082784,236.51,4.39,185.7679168671055,219.59,4.62,3.5,run_00000006,29,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,211.75,239.22,4.26,3.69
RA_164.865__DEC_40.434,414.371394647155,1564.693215733269,164.86737331640427,40.43203387488235,22.0,32.0,NO,1315,229.7751229572585,207.93544201082784,236.35,4.24,207.93544201082784,236.74,4.32,185.7679168671055,219.74,4.54,3.5,run_00000006,29,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,211.72,239.41,4.18,3.69
RA_164.865__DEC_40.434,414.371394647155,1564.693215733269,164.86737331640427,40.43203387488235,22.0,32.0,NO,1274,229.7751229572585,207.93544201082784,235.71,4.31,207.93544201082784,236.07,4.38,185.7679168671055,219.09,4.62,3.5,run_00000006,29,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,211.68,238.72,4.25,3.68
RA_164.882__DEC_36.096,2291.626459274142,108.45779792999164,164.8877879795636,36.09353155203481,26.0,22.0,NO,1126,254.27869681822483,220.52075725221027,157.95,4.41,221.9181478589609,158.13,4.46,198.6001630518846,126.85,4.89,3.8267324757977934,run_00000006,29,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,218.75,159.59,4.44,3.65
RA_164.882__DEC_36.096,2291.626459274142,108.45779792999164,164.8877879795636,36.09353155203481,26.0,22.0,NO,1083,254.27869681822483,220.52075725221027,159.21,4.40,221.9181478589609,159.40,4.45,198.6001630518846,128.05,4.86,3.8267324757977934,run_00000006,29,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,218.86,160.92,4.43,3.65
RA_164.882__DEC_36.096,2291.626459274142,108.45779792999164,164.8877879795636,36.09353155203481,26.0,22.0,NO,1123,254.27869681822483,220.52075725221027,157.95,4.41,221.9181478589609,158.13,4.46,198.6001630518846,126.85,4.89,3.8267324757977934,run_00000006,29,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,218.75,159.59,4.44,3.65
RA_164.882__DEC_36.096,2291.626459274142,108.45779792999164,164.8877879795636,36.09353155203481,26.0,22.0,NO,1128,254.27869681822483,220.52075725221027,157.95,4.41,221.9181478589609,158.13,4.46,198.6001630518846,126.85,4.89,3.8267324757977934,run_00000006,29,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,218.75,159.59,4.44,3.65
RA_164.882__DEC_36.096,2291.626459274142,108.45779792999164,164.8877879795636,36.09353155203481,26.0,22.0,NO,1127,254.27869681822483,220.52075725221027,157.95,4.41,221.9181478589609,158.13,4.46,198.6001630518846,126.85,4.89,3.8267324757977934,run_00000006,29,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,218.75,159.59,4.44,3.65
RA_165.211__DEC_39.212,1030.6801524492937,1268.4299964180311,165.2103192780157,39.21143192347607,17.0,42.0,NO,1798,177.67566094054575,173.8830395299559,277.75,4.77,173.8830395299559,277.75,4.78,155.45166507583596,262.83,4.92,3.5,run_00000006,29,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,173.88,277.75,4.77,3.5
RA_165.211__DEC_39.212,1030.6801524492937,1268.4299964180311,165.2103192780157,39.21143192347607,17.0,42.0,NO,1796,177.67566094054575,173.8830395299559,277.75,4.77,173.8830395299559,277.75,4.78,155.45166507583596,262.83,4.92,3.5,run_00000006,29,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,173.88,277.75,4.77,3.5
RA_165.211__DEC_39.212,1030.6801524492937,1268.4299964180311,165.2103192780157,39.21143192347607,17.0,42.0,NO,1796,177.67566094054575,173.8830395299559,277.75,4.77,173.8830395299559,277.75,4.78,155.45166507583596,262.83,4.92,3.5,run_00000006,29,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,173.88,277.75,4.77,3.5
RA_166.129__DEC_38.242,1690.9847344289135,1255.9340680391151,166.12916156705904,38.241206709560494,9.0,20.0,NO,1807,89.10016980743498,90.15780270058542,119.59,2.27,90.15780270058542,119.59,2.27,67.11511761554745,97.74,2.51,3.5,run_00000006,29,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,90.16,119.59,2.27,3.5
RA_166.129__DEC_38.242,1690.9847344289135,1255.9340680391151,166.12916156705904,38.241206709560494,9.0,20.0,NO,1807,89.10016980743498,90.15780270058542,119.59,2.27,90.15780270058542,119.59,2.27,67.11511761554745,97.74,2.51,3.5,run_00000006,29,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,90.16,119.59,2.27,3.5
RA_166.129__DEC_38.242,1690.9847344289135,1255.9340680391151,166.12916156705904,38.241206709560494,9.0,20.0,NO,1807,89.10016980743498,90.15780270058542,119.59,2.27,90.15780270058542,119.59,2.27,67.11511761554745,97.74,2.51,3.5,run_00000006,29,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,90.16,119.59,2.27,3.5
RA_166.129__DEC_38.242,1690.9847344289135,1255.9340680391151,166.12916156705904,38.241206709560494,9.0,20.0,NO,1807,89.10016980743498,90.15780270058542,119.59,2.27,90.15780270058542,119.59,2.27,67.11511761554745,97.74,2.51,3.5,run_00000006,29,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,90.16,119.59,2.27,3.5
RA_166.129__DEC_38.242,1690.9847344289135,1255.9340680391151,166.12916156705904,38.241206709560494,9.0,20.0,NO,1807,89.10016980743498,90.15780270058542,119.59,2.27,90.15780270058542,119.59,2.27,67.11511761554745,97.74,2.51,3.5,run_00000006,29,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,90.16,119.59,2.27,3.5
RA_166.129__DEC_38.242,1690.9847344289135,1255.9340680391151,166.12916156705904,38.241206709560494,9.0,20.0,NO,1807,89.10016980743498,90.15780270058542,119.59,2.27,90.15780270058542,119.59,2.27,67.11511761554745,97.74,2.51,3.5,run_00000006,29,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,90.16,119.59,2.27,3.5
RA_166.129__DEC_38.242,1690.9847344289135,1255.9340680391151,166.12916156705904,38.241206709560494,9.0,20.0,NO,1807,89.10016980743498,90.15780270058542,119.59,2.27,90.15780270058542,119.59,2.27,67.11511761554745,97.74,2.51,3.5,run_00000006,29,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,90.16,119.59,2.27,3.5
RA_166.129__DEC_38.242,1690.9847344289135,1255.9340680391151,166.12916156705904,38.241206709560494,9.0,20.0,NO,1807,89.10016980743498,90.15780270058542,119.59,2.27,90.15780270058542,119.59,2.27,67.11511761554745,97.74,2.51,3.5,run_00000006,29,SI (Rank 8),II/389/ps1_dr2,1.5389166128101078e+17,166.12835744,38.24191354,13.1504,90.16,119.59,2.27,3.5
RA_166.129__DEC_38.242,1690.9847344289135,1255.9340680391151,166.12916156705904,38.241206709560494,9.0,20.0,NO,1807,89.10016980743498,90.15780270058542,119.59,2.27,90.15780270058542,119.59,2.27,67.11511761554745,97.74,2.51,3.5,run_00000006,29,SI (Rank 9),II/389/ps1_dr2,1.5388166126503923e+17,166.12665345,38.24053532,14.6034,90.16,119.59,2.27,3.5
RA_167.329__DEC_36.312,2851.322789080774,1038.5439233026682,167.32664613091927,36.30891863858713,21.0,23.0,NO,1708,221.4553511067195,197.9579961276367,223.43,4.61,197.9579961276367,224.28,4.66,167.02249914043358,189.88,4.56,3.5,run_00000006,29,SI (Rank 1),I/239/hip_main,54522.0,167.3295003665,36.309378969,5.71,207.14,232.56,4.43,4.09
