# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-23T05:22:57.569
# DATE-END: 2025-12-23T05:22:57.713
# TSTART: 1766467377568.65
# TSTOP: 1766467377598.66
# DATE: 2025-12-23T05:22:58
# EXPOSURE: 30000.0
# RA0: 1.791231e-33
# DEC0: 4.591635e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.471140800939
# DEC: 38.2076103732308
# EQUINOX: 2000.0
# CRVAL1: 165.471140800939
# CRVAL2: 38.2076103732308
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00134509221622322
# CD1_2: 0.00123273977334848
# CD2_1: -0.00123510055980707
# CD2_2: 0.00134334112302794
# A_ORDER: 2
# A_0_2: 2.64260584114337e-08
# A_1_1: 6.39037359119649e-07
# A_2_0: 7.8172109730067e-08
# B_ORDER: 2
# B_0_2: -6.62072392432883e-06
# B_1_1: 1.67577030719538e-06
# B_2_0: -3.81710369880387e-07
# AP_ORDER: 2
# AP_0_0: -1.48134918322995e-06
# AP_0_1: 7.80089697982587e-07
# AP_0_2: -2.63570148424448e-08
# AP_1_0: -1.67220100354389e-06
# AP_1_1: -6.38892874723251e-07
# AP_2_0: -7.81892361952917e-08
# BP_ORDER: 2
# BP_0_0: 0.00145440869897158
# BP_0_1: 6.22342485174561e-05
# BP_0_2: 6.61479953068324e-06
# BP_1_0: -1.2510859147714e-05
# BP_1_1: -1.67442166721742e-06
# BP_2_0: 3.81573564879107e-07
# NOME_FILE_FITS: 20251223_052257.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000006_stelle_trovate_e_catalogate_immagine_070.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.864__DEC_40.420,524.3891659693079,1750.9201030442257,164.85739608612198,40.424549655929006,24.0,39.0,NO,1316,265.18272555258244,243.4162640470797,235.82,4.24,243.4162640470797,236.18,4.31,235.16315531158807,219.23,4.54,3.5,run_00000006,70,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,247.29,238.77,4.18,3.68
RA_164.864__DEC_40.420,524.3891659693079,1750.9201030442257,164.85739608612198,40.424549655929006,24.0,39.0,NO,1314,265.18272555258244,243.4162640470797,236.42,4.35,243.4162640470797,236.79,4.42,235.16315531158807,219.93,4.66,3.5,run_00000006,70,SI (Rank 2),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,247.5,239.57,4.29,3.69
RA_164.864__DEC_40.420,524.3891659693079,1750.9201030442257,164.85739608612198,40.424549655929006,24.0,39.0,NO,1308,265.18272555258244,243.4162640470797,236.24,4.20,243.4162640470797,236.63,4.28,235.16315531158807,219.61,4.50,3.5,run_00000006,70,SI (Rank 3),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,247.37,239.28,4.14,3.69
RA_164.864__DEC_40.420,524.3891659693079,1750.9201030442257,164.85739608612198,40.424549655929006,24.0,39.0,NO,1314,265.18272555258244,243.4162640470797,236.14,4.31,243.4162640470797,236.51,4.39,235.16315531158807,219.59,4.62,3.5,run_00000006,70,SI (Rank 4),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,247.43,239.22,4.26,3.69
RA_164.864__DEC_40.420,524.3891659693079,1750.9201030442257,164.85739608612198,40.424549655929006,24.0,39.0,NO,1315,265.18272555258244,243.4162640470797,236.35,4.24,243.4162640470797,236.74,4.32,235.16315531158807,219.74,4.54,3.5,run_00000006,70,SI (Rank 5),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,247.4,239.41,4.18,3.69
RA_164.864__DEC_40.420,524.3891659693079,1750.9201030442257,164.85739608612198,40.424549655929006,24.0,39.0,NO,1274,265.18272555258244,243.4162640470797,235.71,4.31,243.4162640470797,236.07,4.38,235.16315531158807,219.09,4.62,3.5,run_00000006,70,SI (Rank 6),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,247.36,238.72,4.25,3.68
RA_165.211__DEC_39.212,1081.413841927712,1354.2580984202418,165.21063063149603,39.21116150682314,29.0,60.0,NO,1798,343.22354197039465,324.92589920158946,277.75,4.77,324.92589920158946,277.75,4.78,307.6455355967494,262.83,4.92,3.5,run_00000006,70,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,324.93,277.75,4.77,3.5
RA_165.211__DEC_39.212,1081.413841927712,1354.2580984202418,165.21063063149603,39.21116150682314,29.0,60.0,NO,1796,343.22354197039465,324.92589920158946,277.75,4.77,324.92589920158946,277.75,4.78,307.6455355967494,262.83,4.92,3.5,run_00000006,70,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,324.93,277.75,4.77,3.5
RA_165.211__DEC_39.212,1081.413841927712,1354.2580984202418,165.21063063149603,39.21116150682314,29.0,60.0,NO,1796,343.22354197039465,324.92589920158946,277.75,4.77,324.92589920158946,277.75,4.78,307.6455355967494,262.83,4.92,3.5,run_00000006,70,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,324.93,277.75,4.77,3.5
RA_166.129__DEC_38.242,1729.692271844315,1229.6645817390574,166.13026952557658,38.24263056964227,15.0,25.0,NO,1807,150.68477939140968,141.91558904050123,119.59,2.27,141.91558904050123,119.59,2.27,112.02816840191431,97.74,2.51,3.5,run_00000006,70,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,141.92,119.59,2.27,3.5
