# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-23T05:23:17.631
# DATE-END: 2025-12-23T05:23:17.775
# TSTART: 1766467397630.9
# TSTOP: 1766467397660.91
# DATE: 2025-12-23T05:23:18
# EXPOSURE: 30000.0
# RA0: 1.791231e-33
# DEC0: 4.591635e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.472389537723
# DEC: 38.201382909305
# EQUINOX: 2000.0
# CRVAL1: 165.472389537723
# CRVAL2: 38.201382909305
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00135324178756129
# CD1_2: 0.00123320782475146
# CD2_1: -0.00122574306919667
# CD2_2: 0.00136007382236637
# A_ORDER: 2
# A_0_2: -1.60178610310125e-06
# A_1_1: -3.81995516807759e-06
# A_2_0: -2.14040147641069e-06
# B_ORDER: 2
# B_0_2: 6.60149161880853e-06
# B_1_1: 7.83399741862827e-06
# B_2_0: 2.65838963178245e-06
# AP_ORDER: 2
# AP_0_0: -0.000452908968116124
# AP_0_1: -2.11439880867543e-05
# AP_0_2: 1.60266019113593e-06
# AP_1_0: -1.1776584633916e-05
# AP_1_1: 3.82160369092682e-06
# AP_2_0: 2.14082823991003e-06
# BP_ORDER: 2
# BP_0_0: 0.00208865528830178
# BP_0_1: 9.69606847401319e-05
# BP_0_2: -6.60564877195072e-06
# BP_1_0: 5.56750716413005e-05
# BP_1_1: -7.84046437231376e-06
# BP_2_0: -2.66030707011431e-06
# NOME_FILE_FITS: 20251223_052317.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000006_stelle_trovate_e_catalogate_immagine_071.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,526.6687737581217,1753.1436705219562,164.86523037918076,40.4286261405941,24.0,36.0,NO,1316,247.74492399753896,213.7276701209172,235.82,4.24,213.7276701209172,236.18,4.31,199.134429139036,219.23,4.54,3.5,run_00000006,71,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,216.52,238.77,4.18,3.68
RA_164.865__DEC_40.434,526.6687737581217,1753.1436705219562,164.86523037918076,40.4286261405941,24.0,36.0,NO,1315,247.74492399753896,213.7276701209172,236.08,4.28,213.7276701209172,236.46,4.36,199.134429139036,219.50,4.59,3.5,run_00000006,71,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,216.58,239.09,4.23,3.68
RA_164.865__DEC_40.434,526.6687737581217,1753.1436705219562,164.86523037918076,40.4286261405941,24.0,36.0,NO,1314,247.74492399753896,213.7276701209172,236.42,4.35,213.7276701209172,236.79,4.42,199.134429139036,219.93,4.66,3.5,run_00000006,71,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,216.7,239.57,4.29,3.69
RA_164.865__DEC_40.434,526.6687737581217,1753.1436705219562,164.86523037918076,40.4286261405941,24.0,36.0,NO,1313,247.74492399753896,213.7276701209172,236.08,4.28,213.7276701209172,236.46,4.36,199.134429139036,219.50,4.59,3.5,run_00000006,71,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,216.58,239.09,4.23,3.68
RA_164.865__DEC_40.434,526.6687737581217,1753.1436705219562,164.86523037918076,40.4286261405941,24.0,36.0,NO,1308,247.74492399753896,213.7276701209172,236.24,4.20,213.7276701209172,236.63,4.28,199.134429139036,219.61,4.50,3.5,run_00000006,71,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,216.59,239.28,4.14,3.69
RA_164.865__DEC_40.434,526.6687737581217,1753.1436705219562,164.86523037918076,40.4286261405941,24.0,36.0,NO,1314,247.74492399753896,213.7276701209172,236.14,4.31,213.7276701209172,236.51,4.39,199.134429139036,219.59,4.62,3.5,run_00000006,71,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,216.64,239.22,4.26,3.69
RA_164.865__DEC_40.434,526.6687737581217,1753.1436705219562,164.86523037918076,40.4286261405941,24.0,36.0,NO,1315,247.74492399753896,213.7276701209172,236.35,4.24,213.7276701209172,236.74,4.32,199.134429139036,219.74,4.54,3.5,run_00000006,71,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,216.61,239.41,4.18,3.69
RA_164.865__DEC_40.434,526.6687737581217,1753.1436705219562,164.86523037918076,40.4286261405941,24.0,36.0,NO,1274,247.74492399753896,213.7276701209172,235.71,4.31,213.7276701209172,236.07,4.38,199.134429139036,219.09,4.62,3.5,run_00000006,71,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,216.58,238.72,4.25,3.68
RA_165.211__DEC_39.212,1081.894864626316,1354.1020293941665,165.20981948051272,39.20694512880841,22.0,68.0,NO,1798,275.8055803761417,262.1950142685132,277.75,4.77,262.1950142685132,277.75,4.78,247.9598947115925,262.83,4.92,3.5,run_00000006,71,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,262.2,277.75,4.77,3.5
RA_165.211__DEC_39.212,1081.894864626316,1354.1020293941665,165.20981948051272,39.20694512880841,22.0,68.0,NO,1796,275.8055803761417,262.1950142685132,277.75,4.77,262.1950142685132,277.75,4.78,247.9598947115925,262.83,4.92,3.5,run_00000006,71,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,262.2,277.75,4.77,3.5
RA_165.211__DEC_39.212,1081.894864626316,1354.1020293941665,165.20981948051272,39.20694512880841,22.0,68.0,NO,1796,275.8055803761417,262.1950142685132,277.75,4.77,262.1950142685132,277.75,4.78,247.9598947115925,262.83,4.92,3.5,run_00000006,71,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,262.2,277.75,4.77,3.5
RA_166.129__DEC_38.242,1729.648369781409,1226.4091361012263,166.12932048309068,38.23898459518279,13.0,26.0,NO,1807,114.38056661428048,111.583661267897,119.59,2.27,111.583661267897,119.59,2.27,87.90680415172741,97.74,2.51,3.5,run_00000006,71,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,111.58,119.59,2.27,3.5
RA_166.129__DEC_38.242,1729.648369781409,1226.4091361012263,166.12932048309068,38.23898459518279,13.0,26.0,NO,1807,114.38056661428048,111.583661267897,119.59,2.27,111.583661267897,119.59,2.27,87.90680415172741,97.74,2.51,3.5,run_00000006,71,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,111.58,119.59,2.27,3.5
RA_166.129__DEC_38.242,1729.648369781409,1226.4091361012263,166.12932048309068,38.23898459518279,13.0,26.0,NO,1807,114.38056661428048,111.583661267897,119.59,2.27,111.583661267897,119.59,2.27,87.90680415172741,97.74,2.51,3.5,run_00000006,71,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,111.58,119.59,2.27,3.5
RA_166.129__DEC_38.242,1729.648369781409,1226.4091361012263,166.12932048309068,38.23898459518279,13.0,26.0,NO,1807,114.38056661428048,111.583661267897,119.59,2.27,111.583661267897,119.59,2.27,87.90680415172741,97.74,2.51,3.5,run_00000006,71,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,111.58,119.59,2.27,3.5
RA_166.129__DEC_38.242,1729.648369781409,1226.4091361012263,166.12932048309068,38.23898459518279,13.0,26.0,NO,1807,114.38056661428048,111.583661267897,119.59,2.27,111.583661267897,119.59,2.27,87.90680415172741,97.74,2.51,3.5,run_00000006,71,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,111.58,119.59,2.27,3.5
RA_166.129__DEC_38.242,1729.648369781409,1226.4091361012263,166.12932048309068,38.23898459518279,13.0,26.0,NO,1807,114.38056661428048,111.583661267897,119.59,2.27,111.583661267897,119.59,2.27,87.90680415172741,97.74,2.51,3.5,run_00000006,71,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,111.58,119.59,2.27,3.5
RA_166.129__DEC_38.242,1729.648369781409,1226.4091361012263,166.12932048309068,38.23898459518279,13.0,26.0,NO,1807,114.38056661428048,111.583661267897,119.59,2.27,111.583661267897,119.59,2.27,87.90680415172741,97.74,2.51,3.5,run_00000006,71,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,111.58,119.59,2.27,3.5
RA_166.129__DEC_38.242,1729.648369781409,1226.4091361012263,166.12932048309068,38.23898459518279,13.0,26.0,NO,1807,114.38056661428048,111.583661267897,119.59,2.27,111.583661267897,119.59,2.27,87.90680415172741,97.74,2.51,3.5,run_00000006,71,SI (Rank 8),II/389/ps1_dr2,1.5389166128101078e+17,166.12835744,38.24191354,13.1504,111.58,119.59,2.27,3.5
RA_166.129__DEC_38.242,1729.648369781409,1226.4091361012263,166.12932048309068,38.23898459518279,13.0,26.0,NO,1807,114.38056661428048,111.583661267897,119.59,2.27,111.583661267897,119.59,2.27,87.90680415172741,97.74,2.51,3.5,run_00000006,71,SI (Rank 9),II/389/ps1_dr2,1.5388166126503923e+17,166.12665345,38.24053532,14.6034,111.58,119.59,2.27,3.5
RA_166.449__DEC_38.392,1774.4644825065566,1381.4914085807975,166.45303464494015,38.39450749530495,4.0,15.0,NO,190,61.96489724094064,65.36179153573205,64.94,1.69,65.36179153573205,64.94,1.69,16.260826020847354,24.11,2.33,3.5,run_00000006,71,SI (Rank 1),I/239/hip_main,54235.0,166.4514713491,38.394354851,6.92,65.36,64.94,1.69,3.5
RA_166.449__DEC_38.392,1774.4644825065566,1381.4914085807975,166.45303464494015,38.39450749530495,4.0,15.0,NO,190,61.96489724094064,65.36179153573205,64.94,1.69,65.36179153573205,64.94,1.69,16.260826020847354,24.11,2.33,3.5,run_00000006,71,SI (Rank 2),II/389/ps1_dr2,1.5407166451460432e+17,166.45125573,38.39465392,8.8275,65.36,64.94,1.69,3.5
RA_166.449__DEC_38.392,1774.4644825065566,1381.4914085807975,166.45303464494015,38.39450749530495,4.0,15.0,NO,190,61.96489724094064,65.36179153573205,64.94,1.69,65.36179153573205,64.94,1.69,16.260826020847354,24.11,2.33,3.5,run_00000006,71,SI (Rank 3),II/389/ps1_dr2,1.5407166450588474e+17,166.45038565,38.39515062,12.7468,65.36,64.94,1.69,3.5
RA_167.329__DEC_36.312,2834.133495777867,810.067722431902,167.32815275002088,36.312564715792384,32.0,35.0,NO,1708,366.2166107493903,310.7617435556256,223.43,4.61,314.4583763847116,224.28,4.66,272.0418738535164,189.88,4.56,4.059161126374385,run_00000006,71,SI (Rank 1),I/239/hip_main,54522.0,167.3295003665,36.309378969,5.71,315.62,232.56,4.43,4.09
RA_167.329__DEC_36.312,2834.133495777867,810.067722431902,167.32815275002088,36.312564715792384,32.0,35.0,NO,1705,366.2166107493903,310.7617435556256,222.73,4.60,314.4583763847116,223.52,4.64,272.0418738535164,189.17,4.55,4.059161126374385,run_00000006,71,SI (Rank 2),II/389/ps1_dr2,1.515716732746127e+17,167.32759079,36.31021643,7.0301,314.96,231.61,4.42,4.07
RA_167.329__DEC_36.312,2834.133495777867,810.067722431902,167.32815275002088,36.312564715792384,32.0,35.0,NO,1702,366.2166107493903,310.7617435556256,223.43,4.61,314.4583763847116,224.28,4.66,272.0418738535164,189.88,4.56,4.059161126374385,run_00000006,71,SI (Rank 3),II/389/ps1_dr2,1.5156167327749856e+17,167.3279408,36.3066183,12.6978,315.62,232.56,4.43,4.09
RA_167.329__DEC_36.312,2834.133495777867,810.067722431902,167.32815275002088,36.312564715792384,32.0,35.0,NO,1705,366.2166107493903,310.7617435556256,223.43,4.61,314.4583763847116,224.28,4.66,272.0418738535164,189.88,4.56,4.059161126374385,run_00000006,71,SI (Rank 4),II/389/ps1_dr2,1.515716733020705e+17,167.33020443,36.30815493,12.7953,315.62,232.56,4.43,4.09
RA_167.329__DEC_36.312,2834.133495777867,810.067722431902,167.32815275002088,36.312564715792384,32.0,35.0,NO,1700,366.2166107493903,310.7617435556256,222.73,4.60,314.4583763847116,223.52,4.64,272.0418738535164,189.17,4.55,4.059161126374385,run_00000006,71,SI (Rank 5),II/389/ps1_dr2,1.515716732886958e+17,167.32895151,36.31250412,14.3866,314.96,231.61,4.42,4.07
