# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-23T05:26:28.984
# DATE-END: 2025-12-23T05:26:28.129
# TSTART: 1766467588984.3
# TSTOP: 1766467589014.3
# DATE: 2025-12-23T05:26:29
# EXPOSURE: 30000.0
# RA0: 1.791231e-33
# DEC0: 4.591635e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.477042088162
# DEC: 38.2087550079068
# EQUINOX: 2000.0
# CRVAL1: 165.477042088162
# CRVAL2: 38.2087550079068
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00140498816299435
# CD1_2: 0.00115969555893146
# CD2_1: -0.00116468748186607
# CD2_2: 0.00140517704609883
# A_ORDER: 2
# A_0_2: 1.01634938748606e-06
# A_1_1: 2.28870737512896e-06
# A_2_0: 4.44066659854451e-07
# B_ORDER: 2
# B_0_2: 1.05219292614824e-06
# B_1_1: 2.45923392041571e-06
# B_2_0: 7.72007537452505e-07
# AP_ORDER: 2
# AP_0_0: 0.00023665013506875
# AP_0_1: 1.13387700140757e-05
# AP_0_2: -1.01666811647341e-06
# AP_1_0: 8.10211222250433e-06
# AP_1_1: -2.28941430024363e-06
# AP_2_0: -4.44298035594595e-07
# BP_ORDER: 2
# BP_0_0: 0.00027323707840227
# BP_0_1: 1.31893521116607e-05
# BP_0_2: -1.05253269389584e-06
# BP_1_0: 9.23878154602453e-06
# BP_1_1: -2.46004475999451e-06
# BP_2_0: -7.72285637828717e-07
# NOME_FILE_FITS: 20251223_052628.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000006_stelle_trovate_e_catalogate_immagine_078.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,561.4780207654208,1798.474609445779,164.86172646262042,40.4297749552865,28.0,37.0,NO,1316,289.55083834946663,260.4435068002528,235.82,4.24,260.4435068002528,236.18,4.31,239.39146433527125,219.23,4.54,3.573723539243703,run_00000006,78,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,263.55,238.77,4.18,3.68
RA_164.865__DEC_40.434,561.4780207654208,1798.474609445779,164.86172646262042,40.4297749552865,28.0,37.0,NO,1315,289.55083834946663,260.4435068002528,236.08,4.28,260.4435068002528,236.46,4.36,239.39146433527125,219.50,4.59,3.573723539243703,run_00000006,78,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,263.65,239.09,4.23,3.68
RA_164.865__DEC_40.434,561.4780207654208,1798.474609445779,164.86172646262042,40.4297749552865,28.0,37.0,NO,1314,289.55083834946663,260.4435068002528,236.42,4.35,260.4435068002528,236.79,4.42,239.39146433527125,219.93,4.66,3.573723539243703,run_00000006,78,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,263.85,239.57,4.29,3.69
RA_164.865__DEC_40.434,561.4780207654208,1798.474609445779,164.86172646262042,40.4297749552865,28.0,37.0,NO,1313,289.55083834946663,260.4435068002528,236.08,4.28,260.4435068002528,236.46,4.36,239.39146433527125,219.50,4.59,3.573723539243703,run_00000006,78,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,263.65,239.09,4.23,3.68
RA_164.865__DEC_40.434,561.4780207654208,1798.474609445779,164.86172646262042,40.4297749552865,28.0,37.0,NO,1308,289.55083834946663,260.4435068002528,236.24,4.20,260.4435068002528,236.63,4.28,239.39146433527125,219.61,4.50,3.573723539243703,run_00000006,78,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,263.66,239.28,4.14,3.69
RA_164.865__DEC_40.434,561.4780207654208,1798.474609445779,164.86172646262042,40.4297749552865,28.0,37.0,NO,1314,289.55083834946663,260.4435068002528,236.14,4.31,260.4435068002528,236.51,4.39,239.39146433527125,219.59,4.62,3.573723539243703,run_00000006,78,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,263.75,239.22,4.26,3.69
RA_164.865__DEC_40.434,561.4780207654208,1798.474609445779,164.86172646262042,40.4297749552865,28.0,37.0,NO,1315,289.55083834946663,260.4435068002528,236.35,4.24,260.4435068002528,236.74,4.32,239.39146433527125,219.74,4.54,3.573723539243703,run_00000006,78,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,263.71,239.41,4.18,3.69
RA_164.865__DEC_40.434,561.4780207654208,1798.474609445779,164.86172646262042,40.4297749552865,28.0,37.0,NO,1274,289.55083834946663,260.4435068002528,235.71,4.31,260.4435068002528,236.07,4.38,239.39146433527125,219.09,4.62,3.573723539243703,run_00000006,78,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,263.65,238.72,4.25,3.68
RA_165.211__DEC_39.212,1097.5010792273042,1374.1412536356129,165.2105742643514,39.21145785639416,25.0,51.0,NO,1798,290.1942228013502,282.7967822458473,277.75,4.77,282.7967822458473,277.75,4.78,271.84513940764936,262.83,4.92,3.5,run_00000006,78,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,282.8,277.75,4.77,3.5
RA_165.211__DEC_39.212,1097.5010792273042,1374.1412536356129,165.2105742643514,39.21145785639416,25.0,51.0,NO,1796,290.1942228013502,282.7967822458473,277.75,4.77,282.7967822458473,277.75,4.78,271.84513940764936,262.83,4.92,3.5,run_00000006,78,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,282.8,277.75,4.77,3.5
