# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-23T05:29:31.084
# DATE-END: 2025-12-23T05:29:31.228
# TSTART: 1766467771084.36
# TSTOP: 1766467771114.36
# DATE: 2025-12-23T05:29:32
# EXPOSURE: 30000.0
# RA0: 1.791231e-33
# DEC0: 4.591635e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.475013918296
# DEC: 38.2094241159774
# EQUINOX: 2000.0
# CRVAL1: 165.475013918296
# CRVAL2: 38.2094241159774
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00145925542216601
# CD1_2: 0.00109557172904881
# CD2_1: -0.00109549079412274
# CD2_2: 0.00146768846153999
# A_ORDER: 2
# A_0_2: 8.68218944368249e-06
# A_1_1: 4.76117624008501e-06
# A_2_0: 2.93155715628979e-08
# B_ORDER: 2
# B_0_2: -6.90873459720408e-06
# B_1_1: -2.71134243349512e-06
# B_2_0: -1.43001904659076e-07
# AP_ORDER: 2
# AP_0_0: -0.00165914289934505
# AP_0_1: -6.30266551742877e-05
# AP_0_2: -8.67635530585119e-06
# AP_1_0: -2.14814205323625e-05
# AP_1_1: -4.75854139494418e-06
# AP_2_0: -2.92280005579055e-08
# BP_ORDER: 2
# BP_0_0: 0.00135729663444373
# BP_0_1: 5.29525670880698e-05
# BP_0_2: 6.9036837353946e-06
# BP_1_0: 1.52755345864216e-05
# BP_1_1: 2.7095910206546e-06
# BP_2_0: 1.42979221205749e-07
# NOME_FILE_FITS: 20251223_052930.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000006_stelle_trovate_e_catalogate_immagine_087.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,599.0630454886976,1843.2353577820431,164.86383910511935,40.42965764298108,20.0,44.0,NO,1316,219.96815493977465,209.62293989024727,235.82,4.24,209.62293989024727,236.18,4.31,194.9179366354748,219.23,4.54,3.5,run_00000006,87,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,212.2,238.77,4.18,3.68
RA_164.865__DEC_40.434,599.0630454886976,1843.2353577820431,164.86383910511935,40.42965764298108,20.0,44.0,NO,1315,219.96815493977465,209.62293989024727,236.08,4.28,209.62293989024727,236.46,4.36,194.9179366354748,219.50,4.59,3.5,run_00000006,87,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,212.26,239.09,4.23,3.68
RA_164.865__DEC_40.434,599.0630454886976,1843.2353577820431,164.86383910511935,40.42965764298108,20.0,44.0,NO,1314,219.96815493977465,209.62293989024727,236.42,4.35,209.62293989024727,236.79,4.42,194.9179366354748,219.93,4.66,3.5,run_00000006,87,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,212.36,239.57,4.29,3.69
RA_164.865__DEC_40.434,599.0630454886976,1843.2353577820431,164.86383910511935,40.42965764298108,20.0,44.0,NO,1313,219.96815493977465,209.62293989024727,236.08,4.28,209.62293989024727,236.46,4.36,194.9179366354748,219.50,4.59,3.5,run_00000006,87,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,212.26,239.09,4.23,3.68
RA_164.865__DEC_40.434,599.0630454886976,1843.2353577820431,164.86383910511935,40.42965764298108,20.0,44.0,NO,1308,219.96815493977465,209.62293989024727,236.24,4.20,209.62293989024727,236.63,4.28,194.9179366354748,219.61,4.50,3.5,run_00000006,87,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,212.26,239.28,4.14,3.69
RA_164.865__DEC_40.434,599.0630454886976,1843.2353577820431,164.86383910511935,40.42965764298108,20.0,44.0,NO,1314,219.96815493977465,209.62293989024727,236.14,4.31,209.62293989024727,236.51,4.39,194.9179366354748,219.59,4.62,3.5,run_00000006,87,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,212.31,239.22,4.26,3.69
RA_164.865__DEC_40.434,599.0630454886976,1843.2353577820431,164.86383910511935,40.42965764298108,20.0,44.0,NO,1315,219.96815493977465,209.62293989024727,236.35,4.24,209.62293989024727,236.74,4.32,194.9179366354748,219.74,4.54,3.5,run_00000006,87,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,212.29,239.41,4.18,3.69
RA_164.865__DEC_40.434,599.0630454886976,1843.2353577820431,164.86383910511935,40.42965764298108,20.0,44.0,NO,1274,219.96815493977465,209.62293989024727,235.71,4.31,209.62293989024727,236.07,4.38,194.9179366354748,219.09,4.62,3.5,run_00000006,87,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,212.26,238.72,4.25,3.68
RA_165.211__DEC_39.212,1114.346406427056,1394.063778981689,165.2092138555081,39.21331330151818,22.0,42.0,NO,1798,232.96877120289096,231.50500729280267,277.75,4.77,231.50500729280267,277.75,4.78,220.0349655900085,262.83,4.92,3.5,run_00000006,87,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,231.51,277.75,4.77,3.5
RA_165.211__DEC_39.212,1114.346406427056,1394.063778981689,165.2092138555081,39.21331330151818,22.0,42.0,NO,1796,232.96877120289096,231.50500729280267,277.75,4.77,231.50500729280267,277.75,4.78,220.0349655900085,262.83,4.92,3.5,run_00000006,87,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,231.51,277.75,4.77,3.5
