# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-23T05:33:58.823
# DATE-END: 2025-12-23T05:33:58.968
# TSTART: 1766468038823.18
# TSTOP: 1766468038853.19
# DATE: 2025-12-23T05:33:59
# EXPOSURE: 30000.0
# RA0: 1.791231e-33
# DEC0: 4.591635e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.475814163955
# DEC: 38.2055126989386
# EQUINOX: 2000.0
# CRVAL1: 165.475814163955
# CRVAL2: 38.2055126989386
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00153775579009289
# CD1_2: 0.000988825074572771
# CD2_1: -0.000986075600733105
# CD2_2: 0.00153941183226115
# A_ORDER: 2
# A_0_2: -1.55906932934376e-06
# A_1_1: -1.54660935642256e-06
# A_2_0: -4.25086524587496e-07
# B_ORDER: 2
# B_0_2: -1.80482585171372e-06
# B_1_1: -1.54700420814207e-06
# B_2_0: 5.71420846834362e-08
# AP_ORDER: 2
# AP_0_0: 0.000274930848277736
# AP_0_1: 8.59601655017709e-06
# AP_0_2: 1.55835566183351e-06
# AP_1_0: 4.44844420548524e-06
# AP_1_1: 1.54598978906019e-06
# AP_2_0: 4.24972223795515e-07
# BP_ORDER: 2
# BP_0_0: 0.00024507878474996
# BP_0_1: 7.91453519037733e-06
# BP_0_2: 1.80406515702552e-06
# BP_1_0: 3.57737554837026e-06
# BP_1_1: 1.54646230881098e-06
# BP_2_0: -5.72033419231835e-08
# NOME_FILE_FITS: 20251223_053358.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000006_stelle_trovate_e_catalogate_immagine_094.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,661.9851549901063,1910.9073695268607,164.86676116480075,40.43085341488359,23.0,34.0,NO,1316,235.34273979325943,214.3894779620952,235.82,4.24,214.3894779620952,236.18,4.31,201.14162729642965,219.23,4.54,3.5,run_00000006,94,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,217.41,238.77,4.18,3.68
RA_164.865__DEC_40.434,661.9851549901063,1910.9073695268607,164.86676116480075,40.43085341488359,23.0,34.0,NO,1315,235.34273979325943,214.3894779620952,236.08,4.28,214.3894779620952,236.46,4.36,201.14162729642965,219.50,4.59,3.5,run_00000006,94,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,217.47,239.09,4.23,3.68
RA_164.865__DEC_40.434,661.9851549901063,1910.9073695268607,164.86676116480075,40.43085341488359,23.0,34.0,NO,1314,235.34273979325943,214.3894779620952,236.42,4.35,214.3894779620952,236.79,4.42,201.14162729642965,219.93,4.66,3.5,run_00000006,94,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,217.58,239.57,4.29,3.69
RA_164.865__DEC_40.434,661.9851549901063,1910.9073695268607,164.86676116480075,40.43085341488359,23.0,34.0,NO,1313,235.34273979325943,214.3894779620952,236.08,4.28,214.3894779620952,236.46,4.36,201.14162729642965,219.50,4.59,3.5,run_00000006,94,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,217.47,239.09,4.23,3.68
RA_164.865__DEC_40.434,661.9851549901063,1910.9073695268607,164.86676116480075,40.43085341488359,23.0,34.0,NO,1308,235.34273979325943,214.3894779620952,236.24,4.20,214.3894779620952,236.63,4.28,201.14162729642965,219.61,4.50,3.5,run_00000006,94,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,217.47,239.28,4.14,3.69
RA_164.865__DEC_40.434,661.9851549901063,1910.9073695268607,164.86676116480075,40.43085341488359,23.0,34.0,NO,1314,235.34273979325943,214.3894779620952,236.14,4.31,214.3894779620952,236.51,4.39,201.14162729642965,219.59,4.62,3.5,run_00000006,94,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,217.52,239.22,4.26,3.69
RA_164.865__DEC_40.434,661.9851549901063,1910.9073695268607,164.86676116480075,40.43085341488359,23.0,34.0,NO,1315,235.34273979325943,214.3894779620952,236.35,4.24,214.3894779620952,236.74,4.32,201.14162729642965,219.74,4.54,3.5,run_00000006,94,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,217.5,239.41,4.18,3.69
RA_164.865__DEC_40.434,661.9851549901063,1910.9073695268607,164.86676116480075,40.43085341488359,23.0,34.0,NO,1274,235.34273979325943,214.3894779620952,235.71,4.31,214.3894779620952,236.07,4.38,201.14162729642965,219.09,4.62,3.5,run_00000006,94,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,217.47,238.72,4.25,3.68
RA_165.211__DEC_39.212,1143.0380608825674,1424.9592165745007,165.21235871088987,39.2106859549139,23.0,55.0,NO,1798,265.1683759295878,257.5601202104544,277.75,4.77,257.5601202104544,277.75,4.78,246.46274590114484,262.83,4.92,3.5,run_00000006,94,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,257.56,277.75,4.77,3.5
RA_165.211__DEC_39.212,1143.0380608825674,1424.9592165745007,165.21235871088987,39.2106859549139,23.0,55.0,NO,1796,265.1683759295878,257.5601202104544,277.75,4.77,257.5601202104544,277.75,4.78,246.46274590114484,262.83,4.92,3.5,run_00000006,94,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,257.56,277.75,4.77,3.5
RA_165.211__DEC_39.212,1143.0380608825674,1424.9592165745007,165.21235871088987,39.2106859549139,23.0,55.0,NO,1796,265.1683759295878,257.5601202104544,277.75,4.77,257.5601202104544,277.75,4.78,246.46274590114484,262.83,4.92,3.5,run_00000006,94,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,257.56,277.75,4.77,3.5
RA_166.129__DEC_38.242,1760.8184118972551,1191.512305633706,166.1313083887421,38.240660029941374,10.0,30.0,NO,1807,104.65451856143864,106.28703680018506,119.59,2.27,106.28703680018506,119.59,2.27,79.6986853771904,97.74,2.51,3.5,run_00000006,94,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,106.29,119.59,2.27,3.5
RA_166.129__DEC_38.242,1760.8184118972551,1191.512305633706,166.1313083887421,38.240660029941374,10.0,30.0,NO,1807,104.65451856143864,106.28703680018506,119.59,2.27,106.28703680018506,119.59,2.27,79.6986853771904,97.74,2.51,3.5,run_00000006,94,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,106.29,119.59,2.27,3.5
RA_166.129__DEC_38.242,1760.8184118972551,1191.512305633706,166.1313083887421,38.240660029941374,10.0,30.0,NO,1807,104.65451856143864,106.28703680018506,119.59,2.27,106.28703680018506,119.59,2.27,79.6986853771904,97.74,2.51,3.5,run_00000006,94,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,106.29,119.59,2.27,3.5
RA_166.129__DEC_38.242,1760.8184118972551,1191.512305633706,166.1313083887421,38.240660029941374,10.0,30.0,NO,1807,104.65451856143864,106.28703680018506,119.59,2.27,106.28703680018506,119.59,2.27,79.6986853771904,97.74,2.51,3.5,run_00000006,94,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,106.29,119.59,2.27,3.5
RA_166.129__DEC_38.242,1760.8184118972551,1191.512305633706,166.1313083887421,38.240660029941374,10.0,30.0,NO,1807,104.65451856143864,106.28703680018506,119.59,2.27,106.28703680018506,119.59,2.27,79.6986853771904,97.74,2.51,3.5,run_00000006,94,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,106.29,119.59,2.27,3.5
RA_166.129__DEC_38.242,1760.8184118972551,1191.512305633706,166.1313083887421,38.240660029941374,10.0,30.0,NO,1807,104.65451856143864,106.28703680018506,119.59,2.27,106.28703680018506,119.59,2.27,79.6986853771904,97.74,2.51,3.5,run_00000006,94,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,106.29,119.59,2.27,3.5
RA_166.129__DEC_38.242,1760.8184118972551,1191.512305633706,166.1313083887421,38.240660029941374,10.0,30.0,NO,1807,104.65451856143864,106.28703680018506,119.59,2.27,106.28703680018506,119.59,2.27,79.6986853771904,97.74,2.51,3.5,run_00000006,94,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,106.29,119.59,2.27,3.5
RA_166.129__DEC_38.242,1760.8184118972551,1191.512305633706,166.1313083887421,38.240660029941374,10.0,30.0,NO,1807,104.65451856143864,106.28703680018506,119.59,2.27,106.28703680018506,119.59,2.27,79.6986853771904,97.74,2.51,3.5,run_00000006,94,SI (Rank 8),II/389/ps1_dr2,1.5389166128101078e+17,166.12835744,38.24191354,13.1504,106.29,119.59,2.27,3.5
RA_166.129__DEC_38.242,1760.8184118972551,1191.512305633706,166.1313083887421,38.240660029941374,10.0,30.0,NO,1807,104.65451856143864,106.28703680018506,119.59,2.27,106.28703680018506,119.59,2.27,79.6986853771904,97.74,2.51,3.5,run_00000006,94,SI (Rank 9),II/389/ps1_dr2,1.5388166126503923e+17,166.12665345,38.24053532,14.6034,106.29,119.59,2.27,3.5
RA_166.449__DEC_38.392,1830.6659927979983,1336.6779685110191,166.45216363292366,38.39291200069971,3.0,10.0,NO,190,53.629907308763386,57.10607955373294,64.94,1.69,57.10607955373294,64.94,1.69,15.40145371879922,24.11,2.33,3.5,run_00000006,94,SI (Rank 1),I/239/hip_main,54235.0,166.4514713491,38.394354851,6.92,57.11,64.94,1.69,3.5
RA_166.449__DEC_38.392,1830.6659927979983,1336.6779685110191,166.45216363292366,38.39291200069971,3.0,10.0,NO,190,53.629907308763386,57.10607955373294,64.94,1.69,57.10607955373294,64.94,1.69,15.40145371879922,24.11,2.33,3.5,run_00000006,94,SI (Rank 2),II/389/ps1_dr2,1.5407166451460432e+17,166.45125573,38.39465392,8.8275,57.11,64.94,1.69,3.5
RA_166.449__DEC_38.392,1830.6659927979983,1336.6779685110191,166.45216363292366,38.39291200069971,3.0,10.0,NO,190,53.629907308763386,57.10607955373294,64.94,1.69,57.10607955373294,64.94,1.69,15.40145371879922,24.11,2.33,3.5,run_00000006,94,SI (Rank 3),II/389/ps1_dr2,1.5407166450588474e+17,166.45038565,38.39515062,12.7468,57.11,64.94,1.69,3.5
RA_167.329__DEC_36.312,2780.709609392595,596.9543210954026,167.3309169971423,36.30892633341402,41.0,37.0,NO,1708,473.1007214519374,421.9572808456272,223.43,4.61,421.9572808456272,224.28,4.66,375.6225286882107,189.88,4.56,4.378392245868498,run_00000006,94,SI (Rank 1),I/239/hip_main,54522.0,167.3295003665,36.309378969,5.71,409.03,232.56,4.43,4.09
RA_167.329__DEC_36.312,2780.709609392595,596.9543210954026,167.3309169971423,36.30892633341402,41.0,37.0,NO,1705,473.1007214519374,421.9572808456272,222.73,4.60,421.9572808456272,223.52,4.64,375.6225286882107,189.17,4.55,4.378392245868498,run_00000006,94,SI (Rank 2),II/389/ps1_dr2,1.515716732746127e+17,167.32759079,36.31021643,7.0301,408.35,231.61,4.42,4.07
RA_167.329__DEC_36.312,2780.709609392595,596.9543210954026,167.3309169971423,36.30892633341402,41.0,37.0,NO,1702,473.1007214519374,421.9572808456272,223.43,4.61,421.9572808456272,224.28,4.66,375.6225286882107,189.88,4.56,4.378392245868498,run_00000006,94,SI (Rank 3),II/389/ps1_dr2,1.5156167327749856e+17,167.3279408,36.3066183,12.6978,409.03,232.56,4.43,4.09
RA_167.329__DEC_36.312,2780.709609392595,596.9543210954026,167.3309169971423,36.30892633341402,41.0,37.0,NO,1705,473.1007214519374,421.9572808456272,223.43,4.61,421.9572808456272,224.28,4.66,375.6225286882107,189.88,4.56,4.378392245868498,run_00000006,94,SI (Rank 4),II/389/ps1_dr2,1.515716733020705e+17,167.33020443,36.30815493,12.7953,409.03,232.56,4.43,4.09
RA_167.329__DEC_36.312,2780.709609392595,596.9543210954026,167.3309169971423,36.30892633341402,41.0,37.0,NO,1700,473.1007214519374,421.9572808456272,222.73,4.60,421.9572808456272,223.52,4.64,375.6225286882107,189.17,4.55,4.378392245868498,run_00000006,94,SI (Rank 5),II/389/ps1_dr2,1.515716732886958e+17,167.32895151,36.31250412,14.3866,408.35,231.61,4.42,4.07
