# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-23T05:36:00.165
# DATE-END: 2025-12-23T05:36:00.309
# TSTART: 1766468160165.24
# TSTOP: 1766468160195.24
# DATE: 2025-12-23T05:36:01
# EXPOSURE: 30000.0
# RA0: 1.791231e-33
# DEC0: 4.591635e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.475959788507
# DEC: 38.207205616034
# EQUINOX: 2000.0
# CRVAL1: 165.475959788507
# CRVAL2: 38.207205616034
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.0015731097025306
# CD1_2: 0.00093777784746118
# CD2_1: -0.000932193679128967
# CD2_2: 0.00157161994404889
# A_ORDER: 2
# A_0_2: 4.79997849569087e-06
# A_1_1: 4.07943572897993e-07
# A_2_0: -1.09205460800231e-06
# B_ORDER: 2
# B_0_2: 3.28021699821907e-06
# B_1_1: 1.39341109657002e-07
# B_2_0: -4.62073223743975e-07
# AP_ORDER: 2
# AP_0_0: 0.000304055563096028
# AP_0_1: 1.71596229685725e-05
# AP_0_2: -4.80134721459172e-06
# AP_1_0: 3.61434969302586e-07
# AP_1_1: -4.07141531730635e-07
# AP_2_0: 1.09184104054621e-06
# BP_ORDER: 2
# BP_0_0: 0.000202727424798432
# BP_0_1: 1.15778270235787e-05
# BP_0_2: -3.28121763290669e-06
# BP_1_0: 2.57724690825274e-07
# BP_1_1: -1.38901695430237e-07
# BP_2_0: 4.62001713181683e-07
# NOME_FILE_FITS: 20251223_053600.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000006_stelle_trovate_e_catalogate_immagine_100.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.885__DEC_40.428,693.7852952283283,1940.249865138892,164.8785896001532,40.43151484617368,23.0,34.0,NO,1316,221.5626663741089,210.6921398512307,235.82,4.24,210.6921398512307,236.18,4.31,193.6545027840725,219.23,4.54,3.5,run_00000006,100,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,213.78,238.77,4.18,3.68
RA_164.885__DEC_40.428,693.7852952283283,1940.249865138892,164.8785896001532,40.43151484617368,23.0,34.0,NO,1315,221.5626663741089,210.6921398512307,236.08,4.28,210.6921398512307,236.46,4.36,193.6545027840725,219.50,4.59,3.5,run_00000006,100,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,213.84,239.09,4.23,3.68
RA_164.885__DEC_40.428,693.7852952283283,1940.249865138892,164.8785896001532,40.43151484617368,23.0,34.0,NO,1313,221.5626663741089,210.6921398512307,236.08,4.28,210.6921398512307,236.46,4.36,193.6545027840725,219.50,4.59,3.5,run_00000006,100,SI (Rank 3),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,213.84,239.09,4.23,3.68
RA_165.211__DEC_39.212,1157.1104449566217,1437.8291139396913,165.21428349150392,39.211533894955686,22.0,48.0,NO,1798,264.09061060180204,256.8463226702455,277.75,4.77,256.8463226702455,277.75,4.78,242.28973032354736,262.83,4.92,3.5,run_00000006,100,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,256.85,277.75,4.77,3.5
RA_165.211__DEC_39.212,1157.1104449566217,1437.8291139396913,165.21428349150392,39.211533894955686,22.0,48.0,NO,1796,264.09061060180204,256.8463226702455,277.75,4.77,256.8463226702455,277.75,4.78,242.28973032354736,262.83,4.92,3.5,run_00000006,100,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,256.85,277.75,4.77,3.5
RA_165.211__DEC_39.212,1157.1104449566217,1437.8291139396913,165.21428349150392,39.211533894955686,22.0,48.0,NO,1796,264.09061060180204,256.8463226702455,277.75,4.77,256.8463226702455,277.75,4.78,242.28973032354736,262.83,4.92,3.5,run_00000006,100,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,256.85,277.75,4.77,3.5
RA_166.129__DEC_38.242,1766.2870570933194,1182.4452008053363,166.13140095223525,38.24071274584865,14.0,24.0,NO,1807,125.50377878127956,124.0577363050091,119.59,2.27,124.0577363050091,119.59,2.27,102.06606525402012,97.74,2.51,3.5,run_00000006,100,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,124.06,119.59,2.27,3.5
RA_166.129__DEC_38.242,1766.2870570933194,1182.4452008053363,166.13140095223525,38.24071274584865,14.0,24.0,NO,1807,125.50377878127956,124.0577363050091,119.59,2.27,124.0577363050091,119.59,2.27,102.06606525402012,97.74,2.51,3.5,run_00000006,100,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,124.06,119.59,2.27,3.5
RA_166.129__DEC_38.242,1766.2870570933194,1182.4452008053363,166.13140095223525,38.24071274584865,14.0,24.0,NO,1807,125.50377878127956,124.0577363050091,119.59,2.27,124.0577363050091,119.59,2.27,102.06606525402012,97.74,2.51,3.5,run_00000006,100,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,124.06,119.59,2.27,3.5
RA_166.129__DEC_38.242,1766.2870570933194,1182.4452008053363,166.13140095223525,38.24071274584865,14.0,24.0,NO,1807,125.50377878127956,124.0577363050091,119.59,2.27,124.0577363050091,119.59,2.27,102.06606525402012,97.74,2.51,3.5,run_00000006,100,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,124.06,119.59,2.27,3.5
