# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-23T05:38:21.969
# DATE-END: 2025-12-23T05:38:21.114
# TSTART: 1766468301969.28
# TSTOP: 1766468301999.29
# DATE: 2025-12-23T05:38:23
# EXPOSURE: 30000.0
# RA0: 1.791231e-33
# DEC0: 4.591635e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.480173825794
# DEC: 38.2072334600772
# EQUINOX: 2000.0
# CRVAL1: 165.480173825794
# CRVAL2: 38.2072334600772
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00161014818700894
# CD1_2: 0.000866111623093453
# CD2_1: -0.000862755181185275
# CD2_2: 0.00161332464993018
# A_ORDER: 2
# A_0_2: 5.04403208058885e-07
# A_1_1: -2.26716392822137e-07
# A_2_0: -4.54064144253634e-07
# B_ORDER: 2
# B_0_2: 2.05382927183516e-06
# B_1_1: 1.63094360024177e-06
# B_2_0: -3.83188884616539e-07
# AP_ORDER: 2
# AP_0_0: 2.44432263963053e-05
# AP_0_1: 9.10358317803689e-07
# AP_0_2: -5.04485662476138e-07
# AP_1_0: 1.02068563500006e-06
# AP_1_1: 2.26709329307355e-07
# AP_2_0: 4.54049237708545e-07
# BP_ORDER: 2
# BP_0_0: 0.00011207753351344
# BP_0_1: 6.47682338230831e-06
# BP_0_2: -2.0542956607766e-06
# BP_1_0: 2.96975825729504e-06
# BP_1_1: -1.63120035778193e-06
# BP_2_0: 3.83200646119727e-07
# NOME_FILE_FITS: 20251223_053821.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000006_stelle_trovate_e_catalogate_immagine_107.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,731.94210864126,1974.763123599555,164.86762454102464,40.43351781234209,21.0,37.0,NO,1316,229.69337113066808,211.8408534247261,235.82,4.24,211.8408534247261,236.18,4.31,188.7114098581195,219.23,4.54,3.5,run_00000006,107,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,215.88,238.77,4.18,3.68
RA_164.865__DEC_40.434,731.94210864126,1974.763123599555,164.86762454102464,40.43351781234209,21.0,37.0,NO,1315,229.69337113066808,211.8408534247261,236.08,4.28,211.8408534247261,236.46,4.36,188.7114098581195,219.50,4.59,3.5,run_00000006,107,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,215.95,239.09,4.23,3.68
RA_164.865__DEC_40.434,731.94210864126,1974.763123599555,164.86762454102464,40.43351781234209,21.0,37.0,NO,1314,229.69337113066808,211.8408534247261,236.42,4.35,211.8408534247261,236.79,4.42,188.7114098581195,219.93,4.66,3.5,run_00000006,107,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,216.08,239.57,4.29,3.69
RA_164.865__DEC_40.434,731.94210864126,1974.763123599555,164.86762454102464,40.43351781234209,21.0,37.0,NO,1313,229.69337113066808,211.8408534247261,236.08,4.28,211.8408534247261,236.46,4.36,188.7114098581195,219.50,4.59,3.5,run_00000006,107,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,215.95,239.09,4.23,3.68
RA_164.865__DEC_40.434,731.94210864126,1974.763123599555,164.86762454102464,40.43351781234209,21.0,37.0,NO,1308,229.69337113066808,211.8408534247261,236.24,4.20,211.8408534247261,236.63,4.28,188.7114098581195,219.61,4.50,3.5,run_00000006,107,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,215.95,239.28,4.14,3.69
RA_164.865__DEC_40.434,731.94210864126,1974.763123599555,164.86762454102464,40.43351781234209,21.0,37.0,NO,1314,229.69337113066808,211.8408534247261,236.14,4.31,211.8408534247261,236.51,4.39,188.7114098581195,219.59,4.62,3.5,run_00000006,107,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,216.01,239.22,4.26,3.69
RA_164.865__DEC_40.434,731.94210864126,1974.763123599555,164.86762454102464,40.43351781234209,21.0,37.0,NO,1315,229.69337113066808,211.8408534247261,236.35,4.24,211.8408534247261,236.74,4.32,188.7114098581195,219.74,4.54,3.5,run_00000006,107,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,215.99,239.41,4.18,3.69
RA_164.865__DEC_40.434,731.94210864126,1974.763123599555,164.86762454102464,40.43351781234209,21.0,37.0,NO,1274,229.69337113066808,211.8408534247261,235.71,4.31,211.8408534247261,236.07,4.38,188.7114098581195,219.09,4.62,3.5,run_00000006,107,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,215.95,238.72,4.25,3.68
RA_165.211__DEC_39.212,1173.615173015984,1452.699380053787,165.21137690431496,39.21229226181724,29.0,58.0,NO,1798,313.660780856665,291.7207035810277,277.75,4.77,291.7207035810277,277.75,4.78,276.1623192991116,262.83,4.92,3.5,run_00000006,107,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,291.72,277.75,4.77,3.5
RA_165.211__DEC_39.212,1173.615173015984,1452.699380053787,165.21137690431496,39.21229226181724,29.0,58.0,NO,1796,313.660780856665,291.7207035810277,277.75,4.77,291.7207035810277,277.75,4.78,276.1623192991116,262.83,4.92,3.5,run_00000006,107,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,291.72,277.75,4.77,3.5
