# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-23T05:39:02.581
# DATE-END: 2025-12-23T05:39:02.724
# TSTART: 1766468342580.56
# TSTOP: 1766468342610.56
# DATE: 2025-12-23T05:39:03
# EXPOSURE: 30000.0
# RA0: 1.791231e-33
# DEC0: 4.591635e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.477513009041
# DEC: 38.2098113470741
# EQUINOX: 2000.0
# CRVAL1: 165.477513009041
# CRVAL2: 38.2098113470741
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00162036547222352
# CD1_2: 0.000844220395378071
# CD2_1: -0.000843313255788669
# CD2_2: 0.00161947408962767
# A_ORDER: 2
# A_0_2: 1.43174785190437e-06
# A_1_1: -1.37121112486602e-07
# A_2_0: -9.26909172814607e-08
# B_ORDER: 2
# B_0_2: -8.22685224288572e-07
# B_1_1: -6.06862208896936e-08
# B_2_0: -1.67607687193363e-07
# AP_ORDER: 2
# AP_0_0: -5.09983024606845e-05
# AP_0_1: -1.98172025314894e-06
# AP_0_2: -1.43155104574676e-06
# AP_1_0: -4.92436254111997e-08
# AP_1_1: 1.3714842506318e-07
# AP_2_0: 9.26998685894903e-08
# BP_ORDER: 2
# BP_0_0: 2.68391647271808e-05
# BP_0_1: 1.07953158384296e-06
# BP_0_2: 8.22594049438764e-07
# BP_1_0: -5.32372335615955e-08
# BP_1_1: 6.06932713928215e-08
# BP_2_0: 1.67597559861255e-07
# NOME_FILE_FITS: 20251223_053902.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000006_stelle_trovate_e_catalogate_immagine_109.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,745.4401541670612,1984.596148496828,164.86736313570646,40.42812612731919,28.0,42.0,NO,1316,313.9523292264413,276.81058700493054,235.82,4.24,276.8281318856985,236.18,4.31,258.9143856380639,219.23,4.54,3.500498430209029,run_00000006,109,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,283.04,238.77,4.18,3.68
RA_164.865__DEC_40.434,745.4401541670612,1984.596148496828,164.86736313570646,40.42812612731919,28.0,42.0,NO,1315,313.9523292264413,276.81058700493054,236.08,4.28,276.8281318856985,236.46,4.36,258.9143856380639,219.50,4.59,3.500498430209029,run_00000006,109,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,283.16,239.09,4.23,3.68
RA_164.865__DEC_40.434,745.4401541670612,1984.596148496828,164.86736313570646,40.42812612731919,28.0,42.0,NO,1314,313.9523292264413,276.81058700493054,236.42,4.35,276.8281318856985,236.79,4.42,258.9143856380639,219.93,4.66,3.500498430209029,run_00000006,109,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,283.4,239.57,4.29,3.69
RA_164.865__DEC_40.434,745.4401541670612,1984.596148496828,164.86736313570646,40.42812612731919,28.0,42.0,NO,1313,313.9523292264413,276.81058700493054,236.08,4.28,276.8281318856985,236.46,4.36,258.9143856380639,219.50,4.59,3.500498430209029,run_00000006,109,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,283.16,239.09,4.23,3.68
RA_164.865__DEC_40.434,745.4401541670612,1984.596148496828,164.86736313570646,40.42812612731919,28.0,42.0,NO,1308,313.9523292264413,276.81058700493054,236.24,4.20,276.8281318856985,236.63,4.28,258.9143856380639,219.61,4.50,3.500498430209029,run_00000006,109,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,283.17,239.28,4.14,3.69
RA_164.865__DEC_40.434,745.4401541670612,1984.596148496828,164.86736313570646,40.42812612731919,28.0,42.0,NO,1314,313.9523292264413,276.81058700493054,236.14,4.31,276.8281318856985,236.51,4.39,258.9143856380639,219.59,4.62,3.500498430209029,run_00000006,109,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,283.28,239.22,4.26,3.69
RA_164.865__DEC_40.434,745.4401541670612,1984.596148496828,164.86736313570646,40.42812612731919,28.0,42.0,NO,1315,313.9523292264413,276.81058700493054,236.35,4.24,276.8281318856985,236.74,4.32,258.9143856380639,219.74,4.54,3.500498430209029,run_00000006,109,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,283.23,239.41,4.18,3.69
RA_164.865__DEC_40.434,745.4401541670612,1984.596148496828,164.86736313570646,40.42812612731919,28.0,42.0,NO,1274,313.9523292264413,276.81058700493054,235.71,4.31,276.8281318856985,236.07,4.38,258.9143856380639,219.09,4.62,3.500498430209029,run_00000006,109,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,283.16,238.72,4.25,3.68
RA_165.211__DEC_39.212,1180.251292948106,1457.263797245126,165.21082879474935,39.2117294566052,29.0,71.0,NO,1798,382.90391267320894,349.9036570306787,277.75,4.77,349.9036570306787,277.75,4.78,335.0270491144527,262.83,4.92,3.5,run_00000006,109,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,349.9,277.75,4.77,3.5
RA_165.211__DEC_39.212,1180.251292948106,1457.263797245126,165.21082879474935,39.2117294566052,29.0,71.0,NO,1796,382.90391267320894,349.9036570306787,277.75,4.77,349.9036570306787,277.75,4.78,335.0270491144527,262.83,4.92,3.5,run_00000006,109,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,349.9,277.75,4.77,3.5
