# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-15T02:06:28.614
# DATE-END: 2026-01-15T02:06:28.757
# TSTART: 1768442788613.6
# TSTOP: 1768442788643.61
# DATE: 2026-01-15T02:06:29
# EXPOSURE: 30000.0
# RA0: -3.130456e-06
# DEC0: 4.591354e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.750820353717
# DEC: 38.2086757692978
# EQUINOX: 2000.0
# CRVAL1: 166.750820353717
# CRVAL2: 38.2086757692978
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000190350850583811
# CD1_2: 0.0018175571285089
# CD2_1: -0.00181579777284623
# CD2_2: 0.000190867606990136
# A_ORDER: 2
# A_0_2: -8.93776391320169e-07
# A_1_1: -7.0782024265999e-07
# A_2_0: -3.14687551058094e-07
# B_ORDER: 2
# B_0_2: -1.02335343367901e-06
# B_1_1: -7.12810486865651e-07
# B_2_0: 8.41415618227362e-09
# AP_ORDER: 2
# AP_0_0: 6.5501981367729e-05
# AP_0_1: 2.55028033674014e-06
# AP_0_2: 8.93609032833002e-07
# AP_1_0: 1.3909199030837e-06
# AP_1_1: 7.07686415729216e-07
# AP_2_0: 3.14658711723115e-07
# BP_ORDER: 2
# BP_0_0: 5.48327013048744e-05
# BP_0_1: 2.35205489311329e-06
# BP_0_2: 1.02317970582194e-06
# BP_1_0: 9.51603757904283e-07
# BP_1_1: 7.1270348175849e-07
# BP_2_0: -8.4257361844805e-09
# NOME_FILE_FITS: 20260115_020628.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000007_stelle_trovate_e_catalogate_immagine_019.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,233.9505630531225,368.00709707548737,164.86164285498637,40.43133055171424,24.0,28.0,NO,1316,246.47665377405588,229.01057843039132,263.91,2.79,232.3800535913965,264.50,2.80,219.23721653263232,244.41,2.71,3.654121577904703,run_00000007,19,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,238.03,268.63,2.70,3.98
RA_164.865__DEC_40.434,233.9505630531225,368.00709707548737,164.86164285498637,40.43133055171424,24.0,28.0,NO,1315,246.47665377405588,229.01057843039132,263.98,2.79,232.3800535913965,264.57,2.80,219.23721653263232,244.51,2.72,3.654121577904703,run_00000007,19,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,238.06,268.74,2.69,3.98
RA_164.865__DEC_40.434,233.9505630531225,368.00709707548737,164.86164285498637,40.43133055171424,24.0,28.0,NO,1314,246.47665377405588,229.01057843039132,264.18,2.81,232.3800535913965,264.78,2.82,219.23721653263232,244.75,2.73,3.654121577904703,run_00000007,19,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,238.07,268.96,2.71,3.98
RA_164.865__DEC_40.434,233.9505630531225,368.00709707548737,164.86164285498637,40.43133055171424,24.0,28.0,NO,1313,246.47665377405588,229.01057843039132,263.98,2.79,232.3800535913965,264.57,2.80,219.23721653263232,244.51,2.72,3.654121577904703,run_00000007,19,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,238.06,268.74,2.69,3.98
RA_164.865__DEC_40.434,233.9505630531225,368.00709707548737,164.86164285498637,40.43133055171424,24.0,28.0,NO,1308,246.47665377405588,229.01057843039132,264.03,2.81,232.3800535913965,264.64,2.82,219.23721653263232,244.59,2.74,3.654121577904703,run_00000007,19,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,238.04,268.73,2.71,3.98
RA_164.865__DEC_40.434,233.9505630531225,368.00709707548737,164.86164285498637,40.43133055171424,24.0,28.0,NO,1314,246.47665377405588,229.01057843039132,264.18,2.81,232.3800535913965,264.78,2.82,219.23721653263232,244.75,2.73,3.654121577904703,run_00000007,19,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,238.07,268.96,2.71,3.98
RA_164.865__DEC_40.434,233.9505630531225,368.00709707548737,164.86164285498637,40.43133055171424,24.0,28.0,NO,1315,246.47665377405588,229.01057843039132,263.85,2.78,232.3800535913965,264.46,2.79,219.23721653263232,244.41,2.71,3.654121577904703,run_00000007,19,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,238.04,268.57,2.68,3.98
RA_164.865__DEC_40.434,233.9505630531225,368.00709707548737,164.86164285498637,40.43133055171424,24.0,28.0,NO,1274,246.47665377405588,229.01057843039132,263.59,2.72,232.3800535913965,264.20,2.73,219.23721653263232,244.19,2.62,3.654121577904703,run_00000007,19,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,238.12,268.50,2.63,3.99
RA_164.889DEC36.087,2594.2979290695325,82.68021126055952,164.88762456786367,36.09219481558564,16.0,18.0,NO,1126,160.8743252972537,149.57933796011008,139.68,1.88,149.57933796011008,139.77,1.90,120.68480355797426,106.34,2.14,3.5,run_00000007,19,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,149.71,139.77,1.88,3.51
RA_164.889DEC36.087,2594.2979290695325,82.68021126055952,164.88762456786367,36.09219481558564,16.0,18.0,NO,1083,160.8743252972537,149.57933796011008,139.87,1.94,149.57933796011008,139.96,1.96,120.68480355797426,106.43,2.22,3.5,run_00000007,19,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,149.84,140.06,1.95,3.52
