# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-15T02:07:49.727
# DATE-END: 2026-01-15T02:07:49.872
# TSTART: 1768442869726.75
# TSTOP: 1768442869756.76
# DATE: 2026-01-15T02:07:51
# EXPOSURE: 30000.0
# RA0: -3.130456e-06
# DEC0: 4.591354e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.749267681114
# DEC: 38.2099955903591
# EQUINOX: 2000.0
# CRVAL1: 166.749267681114
# CRVAL2: 38.2099955903591
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000198762225504434
# CD1_2: 0.00181588856154799
# CD2_1: -0.00181536466539181
# CD2_2: 0.000197901089080743
# A_ORDER: 2
# A_0_2: 7.61695475788874e-07
# A_1_1: 5.44126034483706e-07
# A_2_0: 2.47613585594363e-08
# B_ORDER: 2
# B_0_2: 2.00491366682516e-06
# B_1_1: 1.40810048452563e-06
# B_2_0: 5.22602421452777e-08
# AP_ORDER: 2
# AP_0_0: 5.56174291093225e-05
# AP_0_1: 2.98992845096551e-06
# AP_0_2: -7.61885669471021e-07
# AP_1_0: 1.33822734560847e-06
# AP_1_1: -5.44251806272917e-07
# AP_2_0: -2.4773644304235e-08
# BP_ORDER: 2
# BP_0_0: 0.000145310952261646
# BP_0_1: 7.81793922531093e-06
# BP_0_2: -2.00541250401582e-06
# BP_1_0: 3.49020300640042e-06
# BP_1_1: -1.40842788078155e-06
# BP_2_0: -5.22918398278486e-08
# NOME_FILE_FITS: 20260115_020749.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000007_stelle_trovate_e_catalogate_immagine_023.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,231.02113577808325,373.3558457042756,164.86729018626912,40.43034778533141,32.0,32.0,NO,1316,353.3261207780819,324.3767407420266,263.91,2.79,325.2701504861327,264.50,2.80,303.75883828445075,244.41,2.71,4.064183137669725,run_00000007,23,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,323.43,268.63,2.70,3.98
RA_164.865__DEC_40.434,231.02113577808325,373.3558457042756,164.86729018626912,40.43034778533141,32.0,32.0,NO,1315,353.3261207780819,324.3767407420266,263.98,2.79,325.2701504861327,264.57,2.80,303.75883828445075,244.51,2.72,4.064183137669725,run_00000007,23,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,323.47,268.74,2.69,3.98
RA_164.865__DEC_40.434,231.02113577808325,373.3558457042756,164.86729018626912,40.43034778533141,32.0,32.0,NO,1314,353.3261207780819,324.3767407420266,264.18,2.81,325.2701504861327,264.78,2.82,303.75883828445075,244.75,2.73,4.064183137669725,run_00000007,23,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,323.48,268.96,2.71,3.98
RA_164.865__DEC_40.434,231.02113577808325,373.3558457042756,164.86729018626912,40.43034778533141,32.0,32.0,NO,1313,353.3261207780819,324.3767407420266,263.98,2.79,325.2701504861327,264.57,2.80,303.75883828445075,244.51,2.72,4.064183137669725,run_00000007,23,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,323.47,268.74,2.69,3.98
RA_164.865__DEC_40.434,231.02113577808325,373.3558457042756,164.86729018626912,40.43034778533141,32.0,32.0,NO,1308,353.3261207780819,324.3767407420266,264.03,2.81,325.2701504861327,264.64,2.82,303.75883828445075,244.59,2.74,4.064183137669725,run_00000007,23,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,323.44,268.73,2.71,3.98
RA_164.865__DEC_40.434,231.02113577808325,373.3558457042756,164.86729018626912,40.43034778533141,32.0,32.0,NO,1314,353.3261207780819,324.3767407420266,264.18,2.81,325.2701504861327,264.78,2.82,303.75883828445075,244.75,2.73,4.064183137669725,run_00000007,23,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,323.48,268.96,2.71,3.98
RA_164.865__DEC_40.434,231.02113577808325,373.3558457042756,164.86729018626912,40.43034778533141,32.0,32.0,NO,1315,353.3261207780819,324.3767407420266,263.85,2.78,325.2701504861327,264.46,2.79,303.75883828445075,244.41,2.71,4.064183137669725,run_00000007,23,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,323.44,268.57,2.68,3.98
RA_164.865__DEC_40.434,231.02113577808325,373.3558457042756,164.86729018626912,40.43034778533141,32.0,32.0,NO,1274,353.3261207780819,324.3767407420266,263.59,2.72,325.2701504861327,264.20,2.73,303.75883828445075,244.19,2.62,4.064183137669725,run_00000007,23,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,323.56,268.50,2.63,3.99
RA_164.882__DEC_36.096,2590.2587899593686,77.4666569959535,164.8878773545678,36.09272161801234,16.0,18.0,NO,1126,164.84301653123248,150.34694312356436,139.68,1.88,150.34694312356436,139.77,1.90,119.00113094234068,106.34,2.14,3.5,run_00000007,23,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,150.46,139.77,1.88,3.51
RA_164.882__DEC_36.096,2590.2587899593686,77.4666569959535,164.8878773545678,36.09272161801234,16.0,18.0,NO,1083,164.84301653123248,150.34694312356436,139.87,1.94,150.34694312356436,139.96,1.96,119.00113094234068,106.43,2.22,3.5,run_00000007,23,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,150.58,140.06,1.95,3.52
