# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-15T02:12:13.200
# DATE-END: 2026-01-15T02:12:13.344
# TSTART: 1768443133199.81
# TSTOP: 1768443133229.82
# DATE: 2026-01-15T02:12:13
# EXPOSURE: 30000.0
# RA0: -3.130456e-06
# DEC0: 4.591354e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.748196858904
# DEC: 38.2093898801509
# EQUINOX: 2000.0
# CRVAL1: 166.748196858904
# CRVAL2: 38.2093898801509
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000224895813343973
# CD1_2: 0.00181167041470124
# CD2_1: -0.00181115074990896
# CD2_2: 0.000224186379673527
# A_ORDER: 2
# A_0_2: 7.26133989764202e-06
# A_1_1: 4.63014204917275e-06
# A_2_0: -1.10011046473425e-06
# B_ORDER: 2
# B_0_2: 5.63945941177369e-06
# B_1_1: 2.25037477906165e-06
# B_2_0: -5.89463322518698e-08
# AP_ORDER: 2
# AP_0_0: 0.00121387697609225
# AP_0_1: 7.02645454490671e-05
# AP_0_2: -7.26770702531192e-06
# AP_1_0: 2.63981381056892e-05
# AP_1_1: -4.63189966455851e-06
# AP_2_0: 1.10027458181274e-06
# BP_ORDER: 2
# BP_0_0: 0.00086634965675354
# BP_0_1: 5.30152719522875e-05
# BP_0_2: -5.64390453618542e-06
# BP_1_0: 1.7211139147889e-05
# BP_1_1: -2.2518503972409e-06
# BP_2_0: 5.90724050898077e-08
# NOME_FILE_FITS: 20260115_021213.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000007_stelle_trovate_e_catalogate_immagine_036.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.864__DEC_40.420,220.92320307055823,392.650259658074,164.87383693347294,40.42318790791548,30.0,32.0,NO,1316,313.4645281058639,302.36325547784634,263.91,2.79,302.67577900525885,264.50,2.80,275.96052703646285,244.41,2.71,3.9140625801978968,run_00000007,36,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,304.1,268.63,2.70,3.98
RA_164.864__DEC_40.420,220.92320307055823,392.650259658074,164.87383693347294,40.42318790791548,30.0,32.0,NO,1308,313.4645281058639,302.36325547784634,264.03,2.81,302.67577900525885,264.64,2.82,275.96052703646285,244.59,2.74,3.9140625801978968,run_00000007,36,SI (Rank 2),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,304.1,268.73,2.71,3.98
RA_164.864__DEC_40.420,220.92320307055823,392.650259658074,164.87383693347294,40.42318790791548,30.0,32.0,NO,1315,313.4645281058639,302.36325547784634,263.85,2.78,302.67577900525885,264.46,2.79,275.96052703646285,244.41,2.71,3.9140625801978968,run_00000007,36,SI (Rank 3),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,304.1,268.57,2.68,3.98
RA_164.896__DEC_36.095,2575.473412713855,62.44598487186309,164.893712661746,36.09451531290284,14.0,17.0,NO,1126,133.1229868089847,131.12462652385702,139.68,1.88,131.12462652385702,139.77,1.90,107.04921194870067,106.34,2.14,3.5,run_00000007,36,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,131.17,139.77,1.88,3.51
RA_164.896__DEC_36.095,2575.473412713855,62.44598487186309,164.893712661746,36.09451531290284,14.0,17.0,NO,1083,133.1229868089847,131.12462652385702,139.87,1.94,131.12462652385702,139.96,1.96,107.04921194870067,106.43,2.22,3.5,run_00000007,36,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,131.22,140.06,1.95,3.52
RA_164.896__DEC_36.095,2575.473412713855,62.44598487186309,164.893712661746,36.09451531290284,14.0,17.0,NO,1123,133.1229868089847,131.12462652385702,139.68,1.88,131.12462652385702,139.77,1.90,107.04921194870067,106.34,2.14,3.5,run_00000007,36,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,131.17,139.77,1.88,3.51
RA_164.896__DEC_36.095,2575.473412713855,62.44598487186309,164.893712661746,36.09451531290284,14.0,17.0,NO,1128,133.1229868089847,131.12462652385702,139.41,1.88,131.12462652385702,139.49,1.89,107.04921194870067,106.09,2.13,3.5,run_00000007,36,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,131.16,139.46,1.87,3.51
RA_164.896__DEC_36.095,2575.473412713855,62.44598487186309,164.893712661746,36.09451531290284,14.0,17.0,NO,1127,133.1229868089847,131.12462652385702,139.68,1.88,131.12462652385702,139.77,1.90,107.04921194870067,106.34,2.14,3.5,run_00000007,36,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,131.17,139.77,1.88,3.51
RA_165.211__DEC_39.212,903.394620182008,442.7002155138561,165.2172066196093,39.20621791173256,27.0,45.0,NO,1798,304.5223766216487,297.7211243369242,277.86,2.73,297.7211243369242,277.87,2.73,281.7785325538025,264.23,2.77,3.5,run_00000007,36,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,297.72,277.86,2.73,3.5
RA_165.211__DEC_39.212,903.394620182008,442.7002155138561,165.2172066196093,39.20621791173256,27.0,45.0,NO,1796,304.5223766216487,297.7211243369242,277.86,2.73,297.7211243369242,277.87,2.73,281.7785325538025,264.23,2.77,3.5,run_00000007,36,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,297.72,277.86,2.73,3.5
