# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-15T02:21:19.038
# DATE-END: 2026-01-15T02:21:19.182
# TSTART: 1768443679037.53
# TSTOP: 1768443679067.53
# DATE: 2026-01-15T02:21:20
# EXPOSURE: 30000.0
# RA0: -3.130456e-06
# DEC0: 4.591354e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.751502884941
# DEC: 38.2099328437712
# EQUINOX: 2000.0
# CRVAL1: 166.751502884941
# CRVAL2: 38.2099328437712
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000282105179702225
# CD1_2: 0.00180775012873953
# CD2_1: -0.00180467982610349
# CD2_2: 0.0002838565872174
# A_ORDER: 2
# A_0_2: -2.06881636152467e-07
# A_1_1: -2.90311858038224e-07
# A_2_0: 3.03890893537917e-07
# B_ORDER: 2
# B_0_2: 2.57323074506653e-06
# B_1_1: 2.20300886346966e-06
# B_2_0: -7.07798789797955e-07
# AP_ORDER: 2
# AP_0_0: -1.60160886670369e-05
# AP_0_1: -1.154391295477e-06
# AP_0_2: 2.06953907140582e-07
# AP_1_0: -4.08203158322278e-08
# AP_1_1: 2.90384831523026e-07
# AP_2_0: -3.03903947890644e-07
# BP_ORDER: 2
# BP_0_0: 0.000183101540444852
# BP_0_1: 1.01943814041007e-05
# BP_0_2: -2.57404996092751e-06
# BP_1_0: 3.10361225812611e-06
# BP_1_1: -2.20359062311856e-06
# BP_2_0: 7.07881732032512e-07
# NOME_FILE_FITS: 20260115_022118.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000007_stelle_trovate_e_catalogate_immagine_063.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,201.7440729665794,434.3163909251136,164.865676103947,40.4316611033327,30.0,32.0,NO,1316,290.9800351991845,275.12689187706746,263.91,2.79,275.12689187706746,264.50,2.80,251.66574829698752,244.41,2.71,3.901936411694936,run_00000007,63,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,276.66,268.63,2.70,3.98
RA_164.865__DEC_40.434,201.7440729665794,434.3163909251136,164.865676103947,40.4316611033327,30.0,32.0,NO,1315,290.9800351991845,275.12689187706746,263.98,2.79,275.12689187706746,264.57,2.80,251.66574829698752,244.51,2.72,3.901936411694936,run_00000007,63,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,276.69,268.74,2.69,3.98
RA_164.865__DEC_40.434,201.7440729665794,434.3163909251136,164.865676103947,40.4316611033327,30.0,32.0,NO,1314,290.9800351991845,275.12689187706746,264.18,2.81,275.12689187706746,264.78,2.82,251.66574829698752,244.75,2.73,3.901936411694936,run_00000007,63,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,276.7,268.96,2.71,3.98
RA_164.865__DEC_40.434,201.7440729665794,434.3163909251136,164.865676103947,40.4316611033327,30.0,32.0,NO,1313,290.9800351991845,275.12689187706746,263.98,2.79,275.12689187706746,264.57,2.80,251.66574829698752,244.51,2.72,3.901936411694936,run_00000007,63,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,276.69,268.74,2.69,3.98
RA_164.865__DEC_40.434,201.7440729665794,434.3163909251136,164.865676103947,40.4316611033327,30.0,32.0,NO,1308,290.9800351991845,275.12689187706746,264.03,2.81,275.12689187706746,264.64,2.82,251.66574829698752,244.59,2.74,3.901936411694936,run_00000007,63,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,276.67,268.73,2.71,3.98
RA_164.865__DEC_40.434,201.7440729665794,434.3163909251136,164.865676103947,40.4316611033327,30.0,32.0,NO,1314,290.9800351991845,275.12689187706746,264.18,2.81,275.12689187706746,264.78,2.82,251.66574829698752,244.75,2.73,3.901936411694936,run_00000007,63,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,276.7,268.96,2.71,3.98
RA_164.865__DEC_40.434,201.7440729665794,434.3163909251136,164.865676103947,40.4316611033327,30.0,32.0,NO,1315,290.9800351991845,275.12689187706746,263.85,2.78,275.12689187706746,264.46,2.79,251.66574829698752,244.41,2.71,3.901936411694936,run_00000007,63,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,276.67,268.57,2.68,3.98
RA_164.865__DEC_40.434,201.7440729665794,434.3163909251136,164.865676103947,40.4316611033327,30.0,32.0,NO,1274,290.9800351991845,275.12689187706746,263.59,2.72,275.12689187706746,264.20,2.73,251.66574829698752,244.19,2.62,3.901936411694936,run_00000007,63,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,276.77,268.50,2.63,3.99
RA_164.882__DEC_36.096,2544.5808397665446,28.989776268404484,164.8824063827046,36.09064897362512,16.0,18.0,NO,1126,144.52575469448533,139.25436926851862,139.68,1.88,139.25436926851862,139.77,1.90,115.03184394446662,106.34,2.14,3.5,run_00000007,63,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,139.35,139.77,1.88,3.51
RA_164.882__DEC_36.096,2544.5808397665446,28.989776268404484,164.8824063827046,36.09064897362512,16.0,18.0,NO,1083,144.52575469448533,139.25436926851862,139.87,1.94,139.25436926851862,139.96,1.96,115.03184394446662,106.43,2.22,3.5,run_00000007,63,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,139.44,140.06,1.95,3.52
RA_164.882__DEC_36.096,2544.5808397665446,28.989776268404484,164.8824063827046,36.09064897362512,16.0,18.0,NO,1123,144.52575469448533,139.25436926851862,139.68,1.88,139.25436926851862,139.77,1.90,115.03184394446662,106.34,2.14,3.5,run_00000007,63,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,139.35,139.77,1.88,3.51
RA_164.882__DEC_36.096,2544.5808397665446,28.989776268404484,164.8824063827046,36.09064897362512,16.0,18.0,NO,1128,144.52575469448533,139.25436926851862,139.41,1.88,139.25436926851862,139.49,1.89,115.03184394446662,106.09,2.13,3.5,run_00000007,63,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,139.32,139.46,1.87,3.51
RA_164.882__DEC_36.096,2544.5808397665446,28.989776268404484,164.8824063827046,36.09064897362512,16.0,18.0,NO,1127,144.52575469448533,139.25436926851862,139.68,1.88,139.25436926851862,139.77,1.90,115.03184394446662,106.34,2.14,3.5,run_00000007,63,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,139.35,139.77,1.88,3.51
RA_164.882__DEC_36.096,2544.5808397665446,28.989776268404484,164.8824063827046,36.09064897362512,16.0,18.0,NO,262,144.52575469448533,139.25436926851862,139.55,2.84,139.25436926851862,139.64,2.87,115.03184394446662,106.38,3.27,3.5,run_00000007,63,SI (Rank 6),II/389/ps1_dr2,1.513016487574839e+17,164.87577662,36.08615428,13.3087,139.56,139.88,2.86,3.53
RA_165.211__DEC_39.212,885.6280485006578,462.6107767219031,165.21237058291518,39.21222561885976,27.0,50.0,NO,1798,289.5741878946351,280.4538146382301,277.86,2.73,280.4538146382301,277.87,2.73,269.3098464220648,264.23,2.77,3.5,run_00000007,63,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,280.45,277.86,2.73,3.5
RA_165.211__DEC_39.212,885.6280485006578,462.6107767219031,165.21237058291518,39.21222561885976,27.0,50.0,NO,1796,289.5741878946351,280.4538146382301,277.86,2.73,280.4538146382301,277.87,2.73,269.3098464220648,264.23,2.77,3.5,run_00000007,63,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,280.45,277.86,2.73,3.5
RA_165.211__DEC_39.212,885.6280485006578,462.6107767219031,165.21237058291518,39.21222561885976,27.0,50.0,NO,1796,289.5741878946351,280.4538146382301,277.86,2.73,280.4538146382301,277.87,2.73,269.3098464220648,264.23,2.77,3.5,run_00000007,63,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,280.45,277.86,2.73,3.5
RA_166.129__DEC_38.242,1474.9291468219171,761.3714613425788,166.12955377764837,38.24176546514936,11.0,32.0,NO,1807,101.07923961961872,102.50218163013788,114.82,1.33,102.50218163013788,114.82,1.33,90.06314238312913,95.07,1.42,3.5,run_00000007,63,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,102.5,114.82,1.33,3.5
RA_166.129__DEC_38.242,1474.9291468219171,761.3714613425788,166.12955377764837,38.24176546514936,11.0,32.0,NO,1807,101.07923961961872,102.50218163013788,114.82,1.33,102.50218163013788,114.82,1.33,90.06314238312913,95.07,1.42,3.5,run_00000007,63,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,102.5,114.82,1.33,3.5
RA_166.129__DEC_38.242,1474.9291468219171,761.3714613425788,166.12955377764837,38.24176546514936,11.0,32.0,NO,1807,101.07923961961872,102.50218163013788,114.82,1.33,102.50218163013788,114.82,1.33,90.06314238312913,95.07,1.42,3.5,run_00000007,63,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,102.5,114.82,1.33,3.5
RA_166.129__DEC_38.242,1474.9291468219171,761.3714613425788,166.12955377764837,38.24176546514936,11.0,32.0,NO,1807,101.07923961961872,102.50218163013788,114.82,1.33,102.50218163013788,114.82,1.33,90.06314238312913,95.07,1.42,3.5,run_00000007,63,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,102.5,114.82,1.33,3.5
RA_166.129__DEC_38.242,1474.9291468219171,761.3714613425788,166.12955377764837,38.24176546514936,11.0,32.0,NO,1807,101.07923961961872,102.50218163013788,114.82,1.33,102.50218163013788,114.82,1.33,90.06314238312913,95.07,1.42,3.5,run_00000007,63,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,102.5,114.82,1.33,3.5
RA_166.129__DEC_38.242,1474.9291468219171,761.3714613425788,166.12955377764837,38.24176546514936,11.0,32.0,NO,1807,101.07923961961872,102.50218163013788,114.82,1.33,102.50218163013788,114.82,1.33,90.06314238312913,95.07,1.42,3.5,run_00000007,63,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,102.5,114.82,1.33,3.5
RA_166.129__DEC_38.242,1474.9291468219171,761.3714613425788,166.12955377764837,38.24176546514936,11.0,32.0,NO,1807,101.07923961961872,102.50218163013788,114.82,1.33,102.50218163013788,114.82,1.33,90.06314238312913,95.07,1.42,3.5,run_00000007,63,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,102.5,114.82,1.33,3.5
RA_166.129__DEC_38.242,1474.9291468219171,761.3714613425788,166.12955377764837,38.24176546514936,11.0,32.0,NO,1807,101.07923961961872,102.50218163013788,114.82,1.33,102.50218163013788,114.82,1.33,90.06314238312913,95.07,1.42,3.5,run_00000007,63,SI (Rank 8),II/389/ps1_dr2,1.5389166128101078e+17,166.12835744,38.24191354,13.1504,102.5,114.82,1.33,3.5
RA_166.129__DEC_38.242,1474.9291468219171,761.3714613425788,166.12955377764837,38.24176546514936,11.0,32.0,NO,1807,101.07923961961872,102.50218163013788,114.82,1.33,102.50218163013788,114.82,1.33,90.06314238312913,95.07,1.42,3.5,run_00000007,63,SI (Rank 9),II/389/ps1_dr2,1.5388166126503923e+17,166.12665345,38.24053532,14.6034,102.5,114.82,1.33,3.5
