# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-15T02:23:00.392
# DATE-END: 2026-01-15T02:23:00.536
# TSTART: 1768443780392.03
# TSTOP: 1768443780422.03
# DATE: 2026-01-15T02:23:01
# EXPOSURE: 30000.0
# RA0: -3.130456e-06
# DEC0: 4.591354e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.748626775087
# DEC: 38.2081909848327
# EQUINOX: 2000.0
# CRVAL1: 166.748626775087
# CRVAL2: 38.2081909848327
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000294912045166416
# CD1_2: 0.00180361552635618
# CD2_1: -0.00180190392518113
# CD2_2: 0.000295181443616672
# A_ORDER: 2
# A_0_2: 1.49263362733248e-06
# A_1_1: 1.45053546831288e-07
# A_2_0: -1.86280303830563e-07
# B_ORDER: 2
# B_0_2: -4.40074527547919e-07
# B_1_1: 1.67988918096438e-07
# B_2_0: -4.8271251609259e-07
# AP_ORDER: 2
# AP_0_0: -3.30215170083174e-05
# AP_0_1: -1.92641781199684e-06
# AP_0_2: -1.49257594557552e-06
# AP_1_0: -3.48139922196729e-08
# AP_1_1: -1.44971394981534e-07
# AP_2_0: 1.86304157916897e-07
# BP_ORDER: 2
# BP_0_0: -3.65501821638266e-07
# BP_0_1: 6.44063933728239e-07
# BP_0_2: 4.40085959800818e-07
# BP_1_0: -4.48620182245174e-07
# BP_1_1: -1.67951245119862e-07
# BP_2_0: 4.82699368814447e-07
# NOME_FILE_FITS: 20260115_022300.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000007_stelle_trovate_e_catalogate_immagine_068.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,197.7172600020969,443.7535889165595,164.85915913845025,40.42882794187007,24.0,28.0,NO,1316,260.57210914976724,252.40752649157795,263.91,2.79,252.40752649157795,264.50,2.80,234.4374775553388,244.41,2.71,3.632900454106624,run_00000007,68,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,256.1,268.63,2.70,3.98
RA_164.865__DEC_40.434,197.7172600020969,443.7535889165595,164.85915913845025,40.42882794187007,24.0,28.0,NO,1315,260.57210914976724,252.40752649157795,263.98,2.79,252.40752649157795,264.57,2.80,234.4374775553388,244.51,2.72,3.632900454106624,run_00000007,68,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,256.11,268.74,2.69,3.98
RA_164.865__DEC_40.434,197.7172600020969,443.7535889165595,164.85915913845025,40.42882794187007,24.0,28.0,NO,1314,260.57210914976724,252.40752649157795,264.18,2.81,252.40752649157795,264.78,2.82,234.4374775553388,244.75,2.73,3.632900454106624,run_00000007,68,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,256.12,268.96,2.71,3.98
RA_164.865__DEC_40.434,197.7172600020969,443.7535889165595,164.85915913845025,40.42882794187007,24.0,28.0,NO,1313,260.57210914976724,252.40752649157795,263.98,2.79,252.40752649157795,264.57,2.80,234.4374775553388,244.51,2.72,3.632900454106624,run_00000007,68,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,256.11,268.74,2.69,3.98
RA_164.865__DEC_40.434,197.7172600020969,443.7535889165595,164.85915913845025,40.42882794187007,24.0,28.0,NO,1308,260.57210914976724,252.40752649157795,264.03,2.81,252.40752649157795,264.64,2.82,234.4374775553388,244.59,2.74,3.632900454106624,run_00000007,68,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,256.1,268.73,2.71,3.98
RA_164.865__DEC_40.434,197.7172600020969,443.7535889165595,164.85915913845025,40.42882794187007,24.0,28.0,NO,1314,260.57210914976724,252.40752649157795,264.18,2.81,252.40752649157795,264.78,2.82,234.4374775553388,244.75,2.73,3.632900454106624,run_00000007,68,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,256.12,268.96,2.71,3.98
RA_164.865__DEC_40.434,197.7172600020969,443.7535889165595,164.85915913845025,40.42882794187007,24.0,28.0,NO,1315,260.57210914976724,252.40752649157795,263.85,2.78,252.40752649157795,264.46,2.79,234.4374775553388,244.41,2.71,3.632900454106624,run_00000007,68,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,256.1,268.57,2.68,3.98
RA_164.865__DEC_40.434,197.7172600020969,443.7535889165595,164.85915913845025,40.42882794187007,24.0,28.0,NO,1274,260.57210914976724,252.40752649157795,263.59,2.72,252.40752649157795,264.20,2.73,234.4374775553388,244.19,2.62,3.632900454106624,run_00000007,68,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,256.14,268.50,2.63,3.99
RA_164.889DEC36.087,2537.835432755972,24.147037630099824,164.8860876743408,36.08971036206096,16.0,17.0,NO,1126,162.56354169133192,148.6285479691659,139.68,1.88,148.6285479691659,139.77,1.90,119.9419073720098,106.34,2.14,3.5,run_00000007,68,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,148.75,139.77,1.88,3.51
RA_164.889DEC36.087,2537.835432755972,24.147037630099824,164.8860876743408,36.08971036206096,16.0,17.0,NO,1083,162.56354169133192,148.6285479691659,139.87,1.94,148.6285479691659,139.96,1.96,119.9419073720098,106.43,2.22,3.5,run_00000007,68,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,148.87,140.06,1.95,3.52
