# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-15T02:28:45.104
# DATE-END: 2026-01-15T02:28:45.248
# TSTART: 1768444125104.36
# TSTOP: 1768444125134.37
# DATE: 2026-01-15T02:28:45
# EXPOSURE: 30000.0
# RA0: -3.130456e-06
# DEC0: 4.591354e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.751129022813
# DEC: 38.20743595697
# EQUINOX: 2000.0
# CRVAL1: 166.751129022813
# CRVAL2: 38.20743595697
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000332084638912645
# CD1_2: 0.00179553856765763
# CD2_1: -0.00179572001228438
# CD2_2: 0.000332508611939889
# A_ORDER: 2
# A_0_2: -1.90721000727677e-06
# A_1_1: -8.60003273739731e-07
# A_2_0: 2.24300284069064e-07
# B_ORDER: 2
# B_0_2: 3.2381952281861e-07
# B_1_1: 1.72483401416405e-06
# B_2_0: -1.45076761281915e-07
# AP_ORDER: 2
# AP_0_0: -4.25756992798417e-05
# AP_0_1: -9.71822613869689e-07
# AP_0_2: 1.90728744091415e-06
# AP_1_0: -2.21821894592553e-06
# AP_1_1: 8.6019309766401e-07
# AP_2_0: -2.24292313177818e-07
# BP_ORDER: 2
# BP_0_0: 8.35327361814464e-06
# BP_0_1: 8.65681083655182e-07
# BP_0_2: -3.23742686089892e-07
# BP_1_0: -1.94191018876751e-07
# BP_1_1: -1.72496462934498e-06
# BP_2_0: 1.45054107003129e-07
# NOME_FILE_FITS: 20260115_022844.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000007_stelle_trovate_e_catalogate_immagine_085.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,185.25983710149328,471.9242379772604,164.86768405268225,40.43261729536444,26.0,28.0,NO,1316,251.67257162747973,242.40582175318417,263.91,2.79,242.40582175318417,264.50,2.80,225.7382501059153,244.41,2.71,3.592569024482005,run_00000007,85,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,248.86,268.63,2.70,3.98
RA_164.865__DEC_40.434,185.25983710149328,471.9242379772604,164.86768405268225,40.43261729536444,26.0,28.0,NO,1315,251.67257162747973,242.40582175318417,263.98,2.79,242.40582175318417,264.57,2.80,225.7382501059153,244.51,2.72,3.592569024482005,run_00000007,85,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,248.88,268.74,2.69,3.98
RA_164.865__DEC_40.434,185.25983710149328,471.9242379772604,164.86768405268225,40.43261729536444,26.0,28.0,NO,1314,251.67257162747973,242.40582175318417,264.18,2.81,242.40582175318417,264.78,2.82,225.7382501059153,244.75,2.73,3.592569024482005,run_00000007,85,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,248.89,268.96,2.71,3.98
RA_164.865__DEC_40.434,185.25983710149328,471.9242379772604,164.86768405268225,40.43261729536444,26.0,28.0,NO,1313,251.67257162747973,242.40582175318417,263.98,2.79,242.40582175318417,264.57,2.80,225.7382501059153,244.51,2.72,3.592569024482005,run_00000007,85,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,248.88,268.74,2.69,3.98
RA_164.865__DEC_40.434,185.25983710149328,471.9242379772604,164.86768405268225,40.43261729536444,26.0,28.0,NO,1308,251.67257162747973,242.40582175318417,264.03,2.81,242.40582175318417,264.64,2.82,225.7382501059153,244.59,2.74,3.592569024482005,run_00000007,85,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,248.87,268.73,2.71,3.98
RA_164.865__DEC_40.434,185.25983710149328,471.9242379772604,164.86768405268225,40.43261729536444,26.0,28.0,NO,1314,251.67257162747973,242.40582175318417,264.18,2.81,242.40582175318417,264.78,2.82,225.7382501059153,244.75,2.73,3.592569024482005,run_00000007,85,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,248.89,268.96,2.71,3.98
RA_164.865__DEC_40.434,185.25983710149328,471.9242379772604,164.86768405268225,40.43261729536444,26.0,28.0,NO,1315,251.67257162747973,242.40582175318417,263.85,2.78,242.40582175318417,264.46,2.79,225.7382501059153,244.41,2.71,3.592569024482005,run_00000007,85,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,248.87,268.57,2.68,3.98
RA_164.865__DEC_40.434,185.25983710149328,471.9242379772604,164.86768405268225,40.43261729536444,26.0,28.0,NO,1274,251.67257162747973,242.40582175318417,263.59,2.72,242.40582175318417,264.20,2.73,225.7382501059153,244.19,2.62,3.592569024482005,run_00000007,85,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,248.92,268.50,2.63,3.99
RA_165.211__DEC_39.212,869.3667930423063,481.1297928232248,165.21303342540392,39.21319644203797,26.0,41.0,NO,1798,276.0006007740964,271.2814499729903,277.86,2.73,271.2814499729903,277.87,2.73,260.994141606188,264.23,2.77,3.5,run_00000007,85,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,271.28,277.86,2.73,3.5
RA_165.211__DEC_39.212,869.3667930423063,481.1297928232248,165.21303342540392,39.21319644203797,26.0,41.0,NO,1796,276.0006007740964,271.2814499729903,277.86,2.73,271.2814499729903,277.87,2.73,260.994141606188,264.23,2.77,3.5,run_00000007,85,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,271.28,277.86,2.73,3.5
