# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-15T02:37:52.507
# DATE-END: 2026-01-15T02:37:52.651
# TSTART: 1768444672507.44
# TSTOP: 1768444672537.44
# DATE: 2026-01-15T02:37:53
# EXPOSURE: 30000.0
# RA0: -3.130456e-06
# DEC0: 4.591354e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.748504745407
# DEC: 38.2069065617007
# EQUINOX: 2000.0
# CRVAL1: 166.748504745407
# CRVAL2: 38.2069065617007
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000398729815876632
# CD1_2: 0.00178366147704027
# CD2_1: -0.00178233629841143
# CD2_2: 0.000400291801478194
# A_ORDER: 2
# A_0_2: -2.02335815484904e-07
# A_1_1: 5.03663982568144e-07
# A_2_0: -3.12087289686196e-08
# B_ORDER: 2
# B_0_2: 1.24752209453068e-06
# B_1_1: 9.555186479797e-07
# B_2_0: 1.40622771006572e-07
# AP_ORDER: 2
# AP_0_0: 2.83545036154909e-06
# AP_0_1: -8.63911107887043e-08
# AP_0_2: 2.02350831623203e-07
# AP_1_0: 2.92854551342286e-07
# AP_1_1: -5.03686506600853e-07
# AP_2_0: 3.12012359980675e-08
# BP_ORDER: 2
# BP_0_0: 5.52983341203609e-05
# BP_0_1: 3.0453655013784e-06
# BP_0_2: -1.24767436682729e-06
# BP_1_0: 1.64373961163513e-06
# BP_1_1: -9.55651344506035e-07
# BP_2_0: -1.40643917969521e-07
# NOME_FILE_FITS: 20260115_023752.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000007_stelle_trovate_e_catalogate_immagine_112.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,165.5821648159375,523.0036232106019,164.86568342784258,40.43049091005504,26.0,33.0,NO,1316,273.7215183074142,260.10622814138856,263.91,2.79,260.10622814138856,264.50,2.80,233.8488042858062,244.41,2.71,3.6060360900996606,run_00000007,112,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,265.38,268.63,2.70,3.98
RA_164.865__DEC_40.434,165.5821648159375,523.0036232106019,164.86568342784258,40.43049091005504,26.0,33.0,NO,1315,273.7215183074142,260.10622814138856,263.98,2.79,260.10622814138856,264.57,2.80,233.8488042858062,244.51,2.72,3.6060360900996606,run_00000007,112,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,265.4,268.74,2.69,3.98
RA_164.865__DEC_40.434,165.5821648159375,523.0036232106019,164.86568342784258,40.43049091005504,26.0,33.0,NO,1314,273.7215183074142,260.10622814138856,264.18,2.81,260.10622814138856,264.78,2.82,233.8488042858062,244.75,2.73,3.6060360900996606,run_00000007,112,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,265.41,268.96,2.71,3.98
RA_164.865__DEC_40.434,165.5821648159375,523.0036232106019,164.86568342784258,40.43049091005504,26.0,33.0,NO,1313,273.7215183074142,260.10622814138856,263.98,2.79,260.10622814138856,264.57,2.80,233.8488042858062,244.51,2.72,3.6060360900996606,run_00000007,112,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,265.4,268.74,2.69,3.98
RA_164.865__DEC_40.434,165.5821648159375,523.0036232106019,164.86568342784258,40.43049091005504,26.0,33.0,NO,1308,273.7215183074142,260.10622814138856,264.03,2.81,260.10622814138856,264.64,2.82,233.8488042858062,244.59,2.74,3.6060360900996606,run_00000007,112,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,265.39,268.73,2.71,3.98
RA_164.865__DEC_40.434,165.5821648159375,523.0036232106019,164.86568342784258,40.43049091005504,26.0,33.0,NO,1314,273.7215183074142,260.10622814138856,264.18,2.81,260.10622814138856,264.78,2.82,233.8488042858062,244.75,2.73,3.6060360900996606,run_00000007,112,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,265.41,268.96,2.71,3.98
RA_164.865__DEC_40.434,165.5821648159375,523.0036232106019,164.86568342784258,40.43049091005504,26.0,33.0,NO,1315,273.7215183074142,260.10622814138856,263.85,2.78,260.10622814138856,264.46,2.79,233.8488042858062,244.41,2.71,3.6060360900996606,run_00000007,112,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,265.39,268.57,2.68,3.98
RA_164.865__DEC_40.434,165.5821648159375,523.0036232106019,164.86568342784258,40.43049091005504,26.0,33.0,NO,1274,273.7215183074142,260.10622814138856,263.59,2.72,260.10622814138856,264.20,2.73,233.8488042858062,244.19,2.62,3.6060360900996606,run_00000007,112,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,265.46,268.50,2.63,3.99
RA_165.211__DEC_39.212,849.8187054986687,506.9807863682753,165.2115659229732,39.21077527423317,23.0,45.0,NO,1798,269.58052555365737,265.0091467744938,277.86,2.73,265.0091467744938,277.87,2.73,246.4018307162353,264.23,2.77,3.5,run_00000007,112,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,265.01,277.86,2.73,3.5
RA_165.211__DEC_39.212,849.8187054986687,506.9807863682753,165.2115659229732,39.21077527423317,23.0,45.0,NO,1796,269.58052555365737,265.0091467744938,277.86,2.73,265.0091467744938,277.87,2.73,246.4018307162353,264.23,2.77,3.5,run_00000007,112,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,265.01,277.86,2.73,3.5
