# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-15T02:42:34.741
# DATE-END: 2026-01-15T02:42:34.885
# TSTART: 1768444954740.8
# TSTOP: 1768444954770.81
# DATE: 2026-01-15T02:42:35
# EXPOSURE: 30000.0
# RA0: -3.130456e-06
# DEC0: 4.591354e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.11248360482
# DEC: 38.7083676026272
# EQUINOX: 2000.0
# CRVAL1: 166.11248360482
# CRVAL2: 38.7083676026272
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000486421827679011
# CD1_2: 0.00176218785252049
# CD2_1: -0.0017600959086967
# CD2_2: 0.000487409898250054
# A_ORDER: 2
# A_0_2: -2.83414486848313e-06
# A_1_1: 7.59934355064737e-07
# A_2_0: 7.84475276549472e-07
# B_ORDER: 2
# B_0_2: -7.07934888042731e-08
# B_1_1: -8.42207461289921e-07
# B_2_0: 2.71004032714126e-07
# AP_ORDER: 2
# AP_0_0: 1.78607288129721e-07
# AP_0_1: -1.43339162686048e-06
# AP_0_2: 2.8342749574694e-06
# AP_1_0: 2.427898141763e-06
# AP_1_1: -7.5996738666143e-07
# AP_2_0: -7.84532121636516e-07
# BP_ORDER: 2
# BP_0_0: 3.93861978044363e-05
# BP_0_1: 1.87211574694583e-06
# BP_0_2: 7.06404857243513e-08
# BP_1_0: -4.15695406861306e-07
# BP_1_1: 8.42298677984597e-07
# BP_2_0: -2.71021893142393e-07
# NOME_FILE_FITS: 20260115_024234.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000008_stelle_trovate_e_catalogate_immagine_006.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,483.0261455221813,773.0237633800905,164.86443354362066,40.42870050811698,23.0,39.0,NO,1316,265.402420743839,251.8419581334369,276.22,2.78,251.8419581334369,276.33,2.80,232.98480276213616,258.28,2.86,3.5,run_00000008,6,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,253.55,277.27,2.75,3.56
RA_164.865__DEC_40.434,483.0261455221813,773.0237633800905,164.86443354362066,40.42870050811698,23.0,39.0,NO,1315,265.402420743839,251.8419581334369,276.04,2.79,251.8419581334369,276.15,2.81,232.98480276213616,257.96,2.90,3.5,run_00000008,6,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,253.55,277.08,2.76,3.56
RA_164.865__DEC_40.434,483.0261455221813,773.0237633800905,164.86443354362066,40.42870050811698,23.0,39.0,NO,1314,265.402420743839,251.8419581334369,275.87,2.81,251.8419581334369,275.98,2.83,232.98480276213616,257.93,2.90,3.5,run_00000008,6,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,253.55,276.90,2.78,3.56
RA_164.865__DEC_40.434,483.0261455221813,773.0237633800905,164.86443354362066,40.42870050811698,23.0,39.0,NO,1313,265.402420743839,251.8419581334369,275.75,2.81,251.8419581334369,275.86,2.83,232.98480276213616,257.61,2.91,3.5,run_00000008,6,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,253.55,276.78,2.78,3.56
RA_164.865__DEC_40.434,483.0261455221813,773.0237633800905,164.86443354362066,40.42870050811698,23.0,39.0,NO,1308,265.402420743839,251.8419581334369,275.57,2.81,251.8419581334369,275.66,2.83,232.98480276213616,257.56,2.88,3.5,run_00000008,6,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,253.43,276.53,2.78,3.56
RA_164.865__DEC_40.434,483.0261455221813,773.0237633800905,164.86443354362066,40.42870050811698,23.0,39.0,NO,1314,265.402420743839,251.8419581334369,275.87,2.81,251.8419581334369,275.98,2.83,232.98480276213616,257.93,2.90,3.5,run_00000008,6,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,253.55,276.90,2.78,3.56
RA_164.865__DEC_40.434,483.0261455221813,773.0237633800905,164.86443354362066,40.42870050811698,23.0,39.0,NO,1315,265.402420743839,251.8419581334369,276.21,2.78,251.8419581334369,276.30,2.79,232.98480276213616,258.28,2.86,3.5,run_00000008,6,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,253.42,277.18,2.75,3.56
RA_164.865__DEC_40.434,483.0261455221813,773.0237633800905,164.86443354362066,40.42870050811698,23.0,39.0,NO,1274,265.402420743839,251.8419581334369,276.09,2.89,251.8419581334369,276.18,2.90,232.98480276213616,258.10,2.96,3.5,run_00000008,6,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,253.56,277.12,2.86,3.56
RA_164.882__DEC_36.096,2768.138276838819,118.41953221198628,164.8864519567009,36.09604007883357,17.0,17.0,NO,1126,165.3560028886605,152.51834317086897,143.12,1.85,152.51834317086897,143.50,1.92,117.66967658854576,106.77,2.39,3.5,run_00000008,6,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,155.28,145.84,1.93,3.68
RA_164.882__DEC_36.096,2768.138276838819,118.41953221198628,164.8864519567009,36.09604007883357,17.0,17.0,NO,1083,165.3560028886605,152.51834317086897,143.86,1.82,152.51834317086897,144.32,1.89,117.66967658854576,107.85,2.39,3.5,run_00000008,6,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,155.59,146.96,1.91,3.71
