# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-15T02:43:15.190
# DATE-END: 2026-01-15T02:43:15.333
# TSTART: 1768444995189.67
# TSTOP: 1768444995219.67
# DATE: 2026-01-15T02:43:16
# EXPOSURE: 30000.0
# RA0: -3.130456e-06
# DEC0: 4.591354e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.113840181179
# DEC: 38.7076139951335
# EQUINOX: 2000.0
# CRVAL1: 166.113840181179
# CRVAL2: 38.7076139951335
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000493160866157625
# CD1_2: 0.00175566155782214
# CD2_1: -0.00175786956053809
# CD2_2: 0.000489474765874059
# A_ORDER: 2
# A_0_2: 3.75800903557416e-08
# A_1_1: -1.14269289606511e-06
# A_2_0: 3.82823592215411e-07
# B_ORDER: 2
# B_0_2: -2.53545593271756e-06
# B_1_1: 2.58012570038098e-06
# B_2_0: -8.79276709627457e-07
# AP_ORDER: 2
# AP_0_0: -7.33009095217341e-06
# AP_0_1: -3.66149755065009e-06
# AP_0_2: -3.76533889799523e-08
# AP_1_0: 3.47308614540193e-06
# AP_1_1: 1.142715660895e-06
# AP_2_0: -3.82826845856117e-07
# BP_ORDER: 2
# BP_0_0: 0.000198516429267196
# BP_0_1: 1.97519919980114e-05
# BP_0_2: 2.53502641114004e-06
# BP_1_0: -1.23705103924563e-05
# BP_1_1: -2.57981465949637e-06
# BP_2_0: 8.79181714749192e-07
# NOME_FILE_FITS: 20260115_024315.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000008_stelle_trovate_e_catalogate_immagine_008.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,482.387417907225,776.3455438041638,164.86415123735546,40.42889852152741,30.0,47.0,NO,1316,327.8272399778703,309.98855060558367,276.22,2.78,309.98855060558367,276.33,2.80,293.42394670863365,258.28,2.86,3.5,run_00000008,8,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,311.41,277.27,2.75,3.56
RA_164.865__DEC_40.434,482.387417907225,776.3455438041638,164.86415123735546,40.42889852152741,30.0,47.0,NO,1315,327.8272399778703,309.98855060558367,276.04,2.79,309.98855060558367,276.15,2.81,293.42394670863365,257.96,2.90,3.5,run_00000008,8,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,311.41,277.08,2.76,3.56
RA_164.865__DEC_40.434,482.387417907225,776.3455438041638,164.86415123735546,40.42889852152741,30.0,47.0,NO,1314,327.8272399778703,309.98855060558367,275.87,2.81,309.98855060558367,275.98,2.83,293.42394670863365,257.93,2.90,3.5,run_00000008,8,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,311.41,276.90,2.78,3.56
RA_164.865__DEC_40.434,482.387417907225,776.3455438041638,164.86415123735546,40.42889852152741,30.0,47.0,NO,1313,327.8272399778703,309.98855060558367,275.75,2.81,309.98855060558367,275.86,2.83,293.42394670863365,257.61,2.91,3.5,run_00000008,8,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,311.42,276.78,2.78,3.56
RA_164.865__DEC_40.434,482.387417907225,776.3455438041638,164.86415123735546,40.42889852152741,30.0,47.0,NO,1308,327.8272399778703,309.98855060558367,275.57,2.81,309.98855060558367,275.66,2.83,293.42394670863365,257.56,2.88,3.5,run_00000008,8,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,311.32,276.53,2.78,3.56
RA_164.865__DEC_40.434,482.387417907225,776.3455438041638,164.86415123735546,40.42889852152741,30.0,47.0,NO,1314,327.8272399778703,309.98855060558367,275.87,2.81,309.98855060558367,275.98,2.83,293.42394670863365,257.93,2.90,3.5,run_00000008,8,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,311.41,276.90,2.78,3.56
RA_164.865__DEC_40.434,482.387417907225,776.3455438041638,164.86415123735546,40.42889852152741,30.0,47.0,NO,1315,327.8272399778703,309.98855060558367,276.21,2.78,309.98855060558367,276.30,2.79,293.42394670863365,258.28,2.86,3.5,run_00000008,8,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,311.31,277.18,2.75,3.56
RA_164.865__DEC_40.434,482.387417907225,776.3455438041638,164.86415123735546,40.42889852152741,30.0,47.0,NO,1274,327.8272399778703,309.98855060558367,276.09,2.89,309.98855060558367,276.18,2.90,293.42394670863365,258.10,2.96,3.5,run_00000008,8,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,311.43,277.12,2.86,3.56
RA_164.889DEC36.087,2765.2580117547463,114.4567127317577,164.88097593442754,36.08873000596752,16.0,18.0,NO,1126,164.99211656780906,149.27546707442409,143.12,1.85,149.27546707442409,143.50,1.92,113.33432172188714,106.77,2.39,3.5,run_00000008,8,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,152.09,145.84,1.93,3.68
RA_164.889DEC36.087,2765.2580117547463,114.4567127317577,164.88097593442754,36.08873000596752,16.0,18.0,NO,1083,164.99211656780906,149.27546707442409,143.86,1.82,149.27546707442409,144.32,1.89,113.33432172188714,107.85,2.39,3.5,run_00000008,8,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,152.45,146.96,1.91,3.71
