# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-15T02:45:36.757
# DATE-END: 2026-01-15T02:45:36.901
# TSTART: 1768445136756.95
# TSTOP: 1768445136786.96
# DATE: 2026-01-15T02:45:37
# EXPOSURE: 30000.0
# RA0: -3.130456e-06
# DEC0: 4.591354e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.115065164177
# DEC: 38.7094707935203
# EQUINOX: 2000.0
# CRVAL1: 166.115065164177
# CRVAL2: 38.7094707935203
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000512934892325153
# CD1_2: 0.00175127890425208
# CD2_1: -0.00175457467898391
# CD2_2: 0.000514366254138966
# A_ORDER: 2
# A_0_2: -2.37716270241835e-06
# A_1_1: 1.64489470930574e-06
# A_2_0: -3.12699861679427e-07
# B_ORDER: 2
# B_0_2: -2.21425446714584e-06
# B_1_1: 1.43727907565431e-06
# B_2_0: -3.28369957819635e-07
# AP_ORDER: 2
# AP_0_0: 7.9691976622905e-05
# AP_0_1: 6.20224764818441e-06
# AP_0_2: 2.37684585941892e-06
# AP_1_0: -2.75501564611925e-06
# AP_1_1: -1.64472389847804e-06
# AP_2_0: 3.12677855551905e-07
# BP_ORDER: 2
# BP_0_0: 7.70042925757034e-05
# BP_0_1: 5.73473391438773e-06
# BP_0_2: 2.21394028789781e-06
# BP_1_0: -2.40372731349824e-06
# BP_1_1: -1.43712016976808e-06
# BP_2_0: 3.28350362638287e-07
# NOME_FILE_FITS: 20260115_024536.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000008_stelle_trovate_e_catalogate_immagine_015.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,480.2854124838174,787.3483020244945,164.86394577183728,40.43100417142514,27.0,44.0,NO,1316,285.1105898861261,269.0740416100284,276.22,2.78,269.0740416100284,276.33,2.80,251.29546301502543,258.28,2.86,3.5,run_00000008,15,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,270.03,277.27,2.75,3.56
RA_164.865__DEC_40.434,480.2854124838174,787.3483020244945,164.86394577183728,40.43100417142514,27.0,44.0,NO,1315,285.1105898861261,269.0740416100284,276.04,2.79,269.0740416100284,276.15,2.81,251.29546301502543,257.96,2.90,3.5,run_00000008,15,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,270.03,277.08,2.76,3.56
RA_164.865__DEC_40.434,480.2854124838174,787.3483020244945,164.86394577183728,40.43100417142514,27.0,44.0,NO,1314,285.1105898861261,269.0740416100284,275.87,2.81,269.0740416100284,275.98,2.83,251.29546301502543,257.93,2.90,3.5,run_00000008,15,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,270.03,276.90,2.78,3.56
RA_164.865__DEC_40.434,480.2854124838174,787.3483020244945,164.86394577183728,40.43100417142514,27.0,44.0,NO,1313,285.1105898861261,269.0740416100284,275.75,2.81,269.0740416100284,275.86,2.83,251.29546301502543,257.61,2.91,3.5,run_00000008,15,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,270.03,276.78,2.78,3.56
RA_164.865__DEC_40.434,480.2854124838174,787.3483020244945,164.86394577183728,40.43100417142514,27.0,44.0,NO,1308,285.1105898861261,269.0740416100284,275.57,2.81,269.0740416100284,275.66,2.83,251.29546301502543,257.56,2.88,3.5,run_00000008,15,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,269.96,276.53,2.78,3.56
RA_164.865__DEC_40.434,480.2854124838174,787.3483020244945,164.86394577183728,40.43100417142514,27.0,44.0,NO,1314,285.1105898861261,269.0740416100284,275.87,2.81,269.0740416100284,275.98,2.83,251.29546301502543,257.93,2.90,3.5,run_00000008,15,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,270.03,276.90,2.78,3.56
RA_164.865__DEC_40.434,480.2854124838174,787.3483020244945,164.86394577183728,40.43100417142514,27.0,44.0,NO,1315,285.1105898861261,269.0740416100284,276.21,2.78,269.0740416100284,276.30,2.79,251.29546301502543,258.28,2.86,3.5,run_00000008,15,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,269.95,277.18,2.75,3.56
RA_164.865__DEC_40.434,480.2854124838174,787.3483020244945,164.86394577183728,40.43100417142514,27.0,44.0,NO,1274,285.1105898861261,269.0740416100284,276.09,2.89,269.0740416100284,276.18,2.90,251.29546301502543,258.10,2.96,3.5,run_00000008,15,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,270.03,277.12,2.86,3.56
RA_164.882__DEC_36.096,2755.4887781129623,100.12725416248716,164.88104739440718,36.09375966576335,15.0,19.0,NO,1126,153.32318398365442,143.13826044378033,143.12,1.85,143.13826044378033,143.50,1.92,100.81131064898096,106.77,2.39,3.5,run_00000008,15,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,145.76,145.84,1.93,3.68
RA_164.882__DEC_36.096,2755.4887781129623,100.12725416248716,164.88104739440718,36.09375966576335,15.0,19.0,NO,1083,153.32318398365442,143.13826044378033,143.86,1.82,143.13826044378033,144.32,1.89,100.81131064898096,107.85,2.39,3.5,run_00000008,15,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,146.05,146.96,1.91,3.71
RA_164.882__DEC_36.096,2755.4887781129623,100.12725416248716,164.88104739440718,36.09375966576335,15.0,19.0,NO,1123,153.32318398365442,143.13826044378033,143.16,1.81,143.13826044378033,143.59,1.88,100.81131064898096,106.97,2.35,3.5,run_00000008,15,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,146.03,146.22,1.91,3.7
