# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-15T02:46:37.327
# DATE-END: 2026-01-15T02:46:37.471
# TSTART: 1768445197326.91
# TSTOP: 1768445197356.92
# DATE: 2026-01-15T02:46:38
# EXPOSURE: 30000.0
# RA0: -3.130456e-06
# DEC0: 4.591354e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.114516750218
# DEC: 38.7080638239058
# EQUINOX: 2000.0
# CRVAL1: 166.114516750218
# CRVAL2: 38.7080638239058
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000513055206839026
# CD1_2: 0.00175942979421499
# CD2_1: -0.00175351110848599
# CD2_2: 0.000522577540198481
# A_ORDER: 2
# A_0_2: 1.15265207485525e-06
# A_1_1: 2.32432935788742e-07
# A_2_0: -2.10163765277509e-07
# B_ORDER: 2
# B_0_2: 4.44527706039245e-07
# B_1_1: -4.87572878382849e-06
# B_2_0: 3.62585598840753e-06
# AP_ORDER: 2
# AP_0_0: -1.83925693726531e-05
# AP_0_1: 6.67930096057229e-06
# AP_0_2: -1.15232454549746e-06
# AP_1_0: -2.80636655243389e-06
# AP_1_1: -2.32327694567003e-07
# AP_2_0: 2.10023663775491e-07
# BP_ORDER: 2
# BP_0_0: -0.000241494915758741
# BP_0_1: 2.10740123094259e-05
# BP_0_2: -4.43868911114592e-07
# BP_1_0: -2.81669758269863e-05
# BP_1_1: 4.87472483233731e-06
# BP_2_0: -3.62552012487003e-06
# NOME_FILE_FITS: 20260115_024637.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000008_stelle_trovate_e_catalogate_immagine_018.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.885__DEC_40.440,478.49551765784327,792.4892136317432,164.87825789394992,40.43417921489435,24.0,39.0,NO,1315,267.28300965629705,257.8646788863402,276.04,2.79,257.8646788863402,276.15,2.81,227.00875588843783,257.96,2.90,3.5,run_00000008,18,SI (Rank 1),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,258.67,277.08,2.76,3.56
RA_164.885__DEC_40.440,478.49551765784327,792.4892136317432,164.87825789394992,40.43417921489435,24.0,39.0,NO,1313,267.28300965629705,257.8646788863402,275.75,2.81,257.8646788863402,275.86,2.83,227.00875588843783,257.61,2.91,3.5,run_00000008,18,SI (Rank 2),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,258.68,276.78,2.78,3.56
RA_164.889DEC36.087,2750.538096224113,93.84623061214438,164.89075870725424,36.091162186302405,17.0,18.0,NO,1126,175.35075503104306,149.24319697909175,143.12,1.85,149.24319697909175,143.50,1.92,112.61544870217176,106.77,2.39,3.5,run_00000008,18,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,153.85,145.84,1.93,3.68
RA_164.889DEC36.087,2750.538096224113,93.84623061214438,164.89075870725424,36.091162186302405,17.0,18.0,NO,1083,175.35075503104306,149.24319697909175,143.86,1.82,149.24319697909175,144.32,1.89,112.61544870217176,107.85,2.39,3.5,run_00000008,18,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,154.43,146.96,1.91,3.71
RA_164.889DEC36.087,2750.538096224113,93.84623061214438,164.89075870725424,36.091162186302405,17.0,18.0,NO,1123,175.35075503104306,149.24319697909175,143.16,1.81,149.24319697909175,143.59,1.88,112.61544870217176,106.97,2.35,3.5,run_00000008,18,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,154.4,146.22,1.91,3.7
RA_164.889DEC36.087,2750.538096224113,93.84623061214438,164.89075870725424,36.091162186302405,17.0,18.0,NO,1128,175.35075503104306,149.24319697909175,143.12,1.85,149.24319697909175,143.50,1.92,112.61544870217176,106.77,2.39,3.5,run_00000008,18,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,153.85,145.84,1.93,3.68
RA_164.889DEC36.087,2750.538096224113,93.84623061214438,164.89075870725424,36.091162186302405,17.0,18.0,NO,1127,175.35075503104306,149.24319697909175,143.38,1.80,149.24319697909175,143.80,1.86,112.61544870217176,107.04,2.31,3.5,run_00000008,18,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,154.39,146.45,1.89,3.7
RA_165.211__DEC_39.212,1159.3606107416888,733.8665450234811,165.21086580817789,39.211387074512864,29.0,47.0,NO,1798,337.7424699595925,318.5026562667902,295.57,3.14,318.5026562667902,295.57,3.14,310.02862357780543,281.85,3.26,3.5,run_00000008,18,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,318.5,295.57,3.14,3.5
RA_165.211__DEC_39.212,1159.3606107416888,733.8665450234811,165.21086580817789,39.211387074512864,29.0,47.0,NO,1796,337.7424699595925,318.5026562667902,295.57,3.14,318.5026562667902,295.57,3.14,310.02862357780543,281.85,3.26,3.5,run_00000008,18,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,318.5,295.57,3.14,3.5
RA_165.211__DEC_39.212,1159.3606107416888,733.8665450234811,165.21086580817789,39.211387074512864,29.0,47.0,NO,1796,337.7424699595925,318.5026562667902,295.57,3.14,318.5026562667902,295.57,3.14,310.02862357780543,281.85,3.26,3.5,run_00000008,18,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,318.5,295.57,3.14,3.5
