# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-15T02:48:59.696
# DATE-END: 2026-01-15T02:48:59.841
# TSTART: 1768445339695.85
# TSTOP: 1768445339725.85
# DATE: 2026-01-15T02:49:00
# EXPOSURE: 30000.0
# RA0: -3.130456e-06
# DEC0: 4.591354e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.114940656189
# DEC: 38.7100564887636
# EQUINOX: 2000.0
# CRVAL1: 166.114940656189
# CRVAL2: 38.7100564887636
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000541474829656171
# CD1_2: 0.00174480967896777
# CD2_1: -0.00174443394455564
# CD2_2: 0.000541152468644741
# A_ORDER: 2
# A_0_2: 1.89808317144756e-07
# A_1_1: -2.39184172787792e-07
# A_2_0: -1.27942280323203e-07
# B_ORDER: 2
# B_0_2: -5.91975530201739e-07
# B_1_1: 8.29961889912256e-07
# B_2_0: 1.98124773668784e-08
# AP_ORDER: 2
# AP_0_0: -2.90287584208867e-06
# AP_0_1: -2.55572164265254e-07
# AP_0_2: -1.8979684643349e-07
# AP_1_0: 2.0798925355777e-07
# AP_1_1: 2.39167289055314e-07
# AP_2_0: 1.27943352700358e-07
# BP_ORDER: 2
# BP_0_0: 1.45458668276791e-05
# BP_0_1: 1.00578843894348e-06
# BP_0_2: 5.91941434828693e-07
# BP_1_0: -5.789025427762e-07
# BP_1_1: -8.29906746547812e-07
# BP_2_0: -1.98249500438361e-08
# NOME_FILE_FITS: 20260115_024859.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000008_stelle_trovate_e_catalogate_immagine_025.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,477.0545709684994,804.547822883814,164.86407858932984,40.42992119587976,25.0,45.0,NO,1316,276.1022975277128,259.03942800543086,276.22,2.78,259.03942800543086,276.33,2.80,239.1426070278921,258.28,2.86,3.5,run_00000008,25,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,259.89,277.27,2.75,3.56
RA_164.865__DEC_40.434,477.0545709684994,804.547822883814,164.86407858932984,40.42992119587976,25.0,45.0,NO,1315,276.1022975277128,259.03942800543086,276.04,2.79,259.03942800543086,276.15,2.81,239.1426070278921,257.96,2.90,3.5,run_00000008,25,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,259.89,277.08,2.76,3.56
RA_164.865__DEC_40.434,477.0545709684994,804.547822883814,164.86407858932984,40.42992119587976,25.0,45.0,NO,1314,276.1022975277128,259.03942800543086,275.87,2.81,259.03942800543086,275.98,2.83,239.1426070278921,257.93,2.90,3.5,run_00000008,25,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,259.89,276.90,2.78,3.56
RA_164.865__DEC_40.434,477.0545709684994,804.547822883814,164.86407858932984,40.42992119587976,25.0,45.0,NO,1313,276.1022975277128,259.03942800543086,275.75,2.81,259.03942800543086,275.86,2.83,239.1426070278921,257.61,2.91,3.5,run_00000008,25,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,259.89,276.78,2.78,3.56
RA_164.865__DEC_40.434,477.0545709684994,804.547822883814,164.86407858932984,40.42992119587976,25.0,45.0,NO,1308,276.1022975277128,259.03942800543086,275.57,2.81,259.03942800543086,275.66,2.83,239.1426070278921,257.56,2.88,3.5,run_00000008,25,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,259.83,276.53,2.78,3.56
RA_164.865__DEC_40.434,477.0545709684994,804.547822883814,164.86407858932984,40.42992119587976,25.0,45.0,NO,1314,276.1022975277128,259.03942800543086,275.87,2.81,259.03942800543086,275.98,2.83,239.1426070278921,257.93,2.90,3.5,run_00000008,25,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,259.89,276.90,2.78,3.56
RA_164.865__DEC_40.434,477.0545709684994,804.547822883814,164.86407858932984,40.42992119587976,25.0,45.0,NO,1315,276.1022975277128,259.03942800543086,276.21,2.78,259.03942800543086,276.30,2.79,239.1426070278921,258.28,2.86,3.5,run_00000008,25,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,259.82,277.18,2.75,3.56
RA_164.865__DEC_40.434,477.0545709684994,804.547822883814,164.86407858932984,40.42992119587976,25.0,45.0,NO,1274,276.1022975277128,259.03942800543086,276.09,2.89,259.03942800543086,276.18,2.90,239.1426070278921,258.10,2.96,3.5,run_00000008,25,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,259.89,277.12,2.86,3.56
RA_164.889DEC36.087,2740.692595463146,79.11138490059317,164.88466488698066,36.08971796400099,15.0,15.0,NO,1126,158.37886362287887,149.68170763104612,143.12,1.85,149.68170763104612,143.50,1.92,117.38880923386074,106.77,2.39,3.5,run_00000008,25,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,152.42,145.84,1.93,3.68
RA_164.889DEC36.087,2740.692595463146,79.11138490059317,164.88466488698066,36.08971796400099,15.0,15.0,NO,1083,158.37886362287887,149.68170763104612,143.86,1.82,149.68170763104612,144.32,1.89,117.38880923386074,107.85,2.39,3.5,run_00000008,25,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,152.75,146.96,1.91,3.71
