# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-15T02:51:01.272
# DATE-END: 2026-01-15T02:51:01.416
# TSTART: 1768445461272.36
# TSTOP: 1768445461302.36
# DATE: 2026-01-15T02:51:02
# EXPOSURE: 30000.0
# RA0: -3.130456e-06
# DEC0: 4.591354e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.115353582384
# DEC: 38.7090135785283
# EQUINOX: 2000.0
# CRVAL1: 166.115353582384
# CRVAL2: 38.7090135785283
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000560559700599472
# CD1_2: 0.00173422957337042
# CD2_1: -0.00173778057752018
# CD2_2: 0.000558344645407964
# A_ORDER: 2
# A_0_2: -2.74720848052051e-07
# A_1_1: -7.848654566779e-07
# A_2_0: 1.88098833461938e-08
# B_ORDER: 2
# B_0_2: 1.23756539456812e-06
# B_1_1: 1.85198948244798e-06
# B_2_0: -1.14569608554068e-06
# AP_ORDER: 2
# AP_0_0: -1.92308191140689e-05
# AP_0_1: -1.00621230020328e-06
# AP_0_2: 2.74785362608192e-07
# AP_1_0: 8.49401085526202e-07
# AP_1_1: 7.84977085090007e-07
# AP_2_0: -1.88231403217755e-08
# BP_ORDER: 2
# BP_0_0: 9.40351081852716e-05
# BP_0_1: 3.60031276054821e-06
# BP_0_2: -1.23788672797807e-06
# BP_1_0: -1.09018437162697e-06
# BP_1_1: -1.85243971625608e-06
# BP_2_0: 1.14571991851266e-06
# NOME_FILE_FITS: 20260115_025101.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000008_stelle_trovate_e_catalogate_immagine_031.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,474.2478483360372,815.7930778865992,164.862288025366,40.42861766370802,26.0,40.0,NO,1316,297.3208501810643,268.9073758617008,276.22,2.78,268.9073758617008,276.33,2.80,250.0550726635495,258.28,2.86,3.5,run_00000008,31,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,270.34,277.27,2.75,3.56
RA_164.865__DEC_40.434,474.2478483360372,815.7930778865992,164.862288025366,40.42861766370802,26.0,40.0,NO,1315,297.3208501810643,268.9073758617008,276.04,2.79,268.9073758617008,276.15,2.81,250.0550726635495,257.96,2.90,3.5,run_00000008,31,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,270.34,277.08,2.76,3.56
RA_164.865__DEC_40.434,474.2478483360372,815.7930778865992,164.862288025366,40.42861766370802,26.0,40.0,NO,1314,297.3208501810643,268.9073758617008,275.87,2.81,268.9073758617008,275.98,2.83,250.0550726635495,257.93,2.90,3.5,run_00000008,31,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,270.34,276.90,2.78,3.56
RA_164.865__DEC_40.434,474.2478483360372,815.7930778865992,164.862288025366,40.42861766370802,26.0,40.0,NO,1313,297.3208501810643,268.9073758617008,275.75,2.81,268.9073758617008,275.86,2.83,250.0550726635495,257.61,2.91,3.5,run_00000008,31,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,270.34,276.78,2.78,3.56
RA_164.865__DEC_40.434,474.2478483360372,815.7930778865992,164.862288025366,40.42861766370802,26.0,40.0,NO,1308,297.3208501810643,268.9073758617008,275.57,2.81,268.9073758617008,275.66,2.83,250.0550726635495,257.56,2.88,3.5,run_00000008,31,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,270.24,276.53,2.78,3.56
RA_164.865__DEC_40.434,474.2478483360372,815.7930778865992,164.862288025366,40.42861766370802,26.0,40.0,NO,1314,297.3208501810643,268.9073758617008,275.87,2.81,268.9073758617008,275.98,2.83,250.0550726635495,257.93,2.90,3.5,run_00000008,31,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,270.34,276.90,2.78,3.56
RA_164.865__DEC_40.434,474.2478483360372,815.7930778865992,164.862288025366,40.42861766370802,26.0,40.0,NO,1315,297.3208501810643,268.9073758617008,276.21,2.78,268.9073758617008,276.30,2.79,250.0550726635495,258.28,2.86,3.5,run_00000008,31,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,270.23,277.18,2.75,3.56
RA_164.865__DEC_40.434,474.2478483360372,815.7930778865992,164.862288025366,40.42861766370802,26.0,40.0,NO,1274,297.3208501810643,268.9073758617008,276.09,2.89,268.9073758617008,276.18,2.90,250.0550726635495,258.10,2.96,3.5,run_00000008,31,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,270.35,277.12,2.86,3.56
RA_164.889DEC36.087,2730.0712378896487,67.41581549049559,164.891197749323,36.09105815616954,17.0,16.0,NO,1126,180.87228123013583,156.37953388574064,143.12,1.85,156.37953388574064,143.50,1.92,119.13681606926276,106.77,2.39,3.5,run_00000008,31,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,160.37,145.84,1.93,3.68
RA_164.889DEC36.087,2730.0712378896487,67.41581549049559,164.891197749323,36.09105815616954,17.0,16.0,NO,1083,180.87228123013583,156.37953388574064,143.86,1.82,156.37953388574064,144.32,1.89,119.13681606926276,107.85,2.39,3.5,run_00000008,31,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,160.86,146.96,1.91,3.71
