# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-15T02:53:02.877
# DATE-END: 2026-01-15T02:53:02.021
# TSTART: 1768445582877.28
# TSTOP: 1768445582907.29
# DATE: 2026-01-15T02:53:04
# EXPOSURE: 30000.0
# RA0: -3.130456e-06
# DEC0: 4.591354e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.118604152452
# DEC: 38.7061396482816
# EQUINOX: 2000.0
# CRVAL1: 166.118604152452
# CRVAL2: 38.7061396482816
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000576253448416438
# CD1_2: 0.00173355729882472
# CD2_1: -0.00173408522048675
# CD2_2: 0.00057788313012271
# A_ORDER: 2
# A_0_2: 7.07658762207969e-07
# A_1_1: 3.70129385919522e-07
# A_2_0: -3.41005757682966e-07
# B_ORDER: 2
# B_0_2: 1.48163392008626e-07
# B_1_1: 6.07774238388665e-07
# B_2_0: 1.38037672366386e-06
# AP_ORDER: 2
# AP_0_0: 7.43652201228073e-05
# AP_0_1: 1.77718659102734e-06
# AP_0_2: -7.07704831607151e-07
# AP_1_0: 1.29692614680946e-06
# AP_1_1: -3.70219337538443e-07
# AP_2_0: 3.40913027629201e-07
# BP_ORDER: 2
# BP_0_0: 5.95373804010535e-05
# BP_0_1: 1.60648728362551e-06
# BP_0_2: -1.48236514010565e-07
# BP_1_0: 6.99684143066522e-07
# BP_1_1: -6.07986077438747e-07
# BP_2_0: -1.38042605998642e-06
# NOME_FILE_FITS: 20260115_025302.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000008_stelle_trovate_e_catalogate_immagine_037.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,469.7754667451222,825.4370740237737,164.86802780127437,40.43278560505111,28.0,52.0,NO,1316,312.4532810767738,284.7931082586405,276.22,2.78,284.7931082586405,276.33,2.80,261.9354582259245,258.28,2.86,3.5,run_00000008,37,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,286.31,277.27,2.75,3.56
RA_164.865__DEC_40.434,469.7754667451222,825.4370740237737,164.86802780127437,40.43278560505111,28.0,52.0,NO,1315,312.4532810767738,284.7931082586405,276.04,2.79,284.7931082586405,276.15,2.81,261.9354582259245,257.96,2.90,3.5,run_00000008,37,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,286.31,277.08,2.76,3.56
RA_164.865__DEC_40.434,469.7754667451222,825.4370740237737,164.86802780127437,40.43278560505111,28.0,52.0,NO,1314,312.4532810767738,284.7931082586405,275.87,2.81,284.7931082586405,275.98,2.83,261.9354582259245,257.93,2.90,3.5,run_00000008,37,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,286.31,276.90,2.78,3.56
RA_164.865__DEC_40.434,469.7754667451222,825.4370740237737,164.86802780127437,40.43278560505111,28.0,52.0,NO,1313,312.4532810767738,284.7931082586405,275.75,2.81,284.7931082586405,275.86,2.83,261.9354582259245,257.61,2.91,3.5,run_00000008,37,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,286.31,276.78,2.78,3.56
RA_164.865__DEC_40.434,469.7754667451222,825.4370740237737,164.86802780127437,40.43278560505111,28.0,52.0,NO,1308,312.4532810767738,284.7931082586405,275.57,2.81,284.7931082586405,275.66,2.83,261.9354582259245,257.56,2.88,3.5,run_00000008,37,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,286.2,276.53,2.78,3.56
RA_164.865__DEC_40.434,469.7754667451222,825.4370740237737,164.86802780127437,40.43278560505111,28.0,52.0,NO,1314,312.4532810767738,284.7931082586405,275.87,2.81,284.7931082586405,275.98,2.83,261.9354582259245,257.93,2.90,3.5,run_00000008,37,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,286.31,276.90,2.78,3.56
RA_164.865__DEC_40.434,469.7754667451222,825.4370740237737,164.86802780127437,40.43278560505111,28.0,52.0,NO,1315,312.4532810767738,284.7931082586405,276.21,2.78,284.7931082586405,276.30,2.79,261.9354582259245,258.28,2.86,3.5,run_00000008,37,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,286.19,277.18,2.75,3.56
RA_164.865__DEC_40.434,469.7754667451222,825.4370740237737,164.86802780127437,40.43278560505111,28.0,52.0,NO,1274,312.4532810767738,284.7931082586405,276.09,2.89,284.7931082586405,276.18,2.90,261.9354582259245,258.10,2.96,3.5,run_00000008,37,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,286.32,277.12,2.86,3.56
RA_164.889DEC36.087,2717.7978668093,53.7541289791664,164.8883501545908,36.09110146372191,13.0,16.0,NO,1126,149.94529432052337,134.79020602924524,143.12,1.85,134.79020602924524,143.50,1.92,99.36258816463784,106.77,2.39,3.5,run_00000008,37,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,136.86,145.84,1.93,3.68
RA_164.889DEC36.087,2717.7978668093,53.7541289791664,164.8883501545908,36.09110146372191,13.0,16.0,NO,1083,149.94529432052337,134.79020602924524,143.86,1.82,134.79020602924524,144.32,1.89,99.36258816463784,107.85,2.39,3.5,run_00000008,37,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,137.16,146.96,1.91,3.71
RA_164.889DEC36.087,2717.7978668093,53.7541289791664,164.8883501545908,36.09110146372191,13.0,16.0,NO,1123,149.94529432052337,134.79020602924524,143.16,1.81,134.79020602924524,143.59,1.88,99.36258816463784,106.97,2.35,3.5,run_00000008,37,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,137.14,146.22,1.91,3.7
RA_164.889DEC36.087,2717.7978668093,53.7541289791664,164.8883501545908,36.09110146372191,13.0,16.0,NO,1128,149.94529432052337,134.79020602924524,143.12,1.85,134.79020602924524,143.50,1.92,99.36258816463784,106.77,2.39,3.5,run_00000008,37,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,136.86,145.84,1.93,3.68
RA_164.889DEC36.087,2717.7978668093,53.7541289791664,164.8883501545908,36.09110146372191,13.0,16.0,NO,1127,149.94529432052337,134.79020602924524,143.38,1.80,134.79020602924524,143.80,1.86,99.36258816463784,107.04,2.31,3.5,run_00000008,37,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,137.14,146.45,1.89,3.7
RA_165.211__DEC_39.212,1148.207784839537,744.8459176448204,165.21081469095887,39.2121035420313,24.0,47.0,NO,1798,306.19688856725134,293.67598103552126,295.57,3.14,293.67598103552126,295.57,3.14,277.3524433082465,281.85,3.26,3.5,run_00000008,37,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,293.68,295.57,3.14,3.5
RA_165.211__DEC_39.212,1148.207784839537,744.8459176448204,165.21081469095887,39.2121035420313,24.0,47.0,NO,1796,306.19688856725134,293.67598103552126,295.57,3.14,293.67598103552126,295.57,3.14,277.3524433082465,281.85,3.26,3.5,run_00000008,37,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,293.68,295.57,3.14,3.5
RA_165.211__DEC_39.212,1148.207784839537,744.8459176448204,165.21081469095887,39.2121035420313,24.0,47.0,NO,1796,306.19688856725134,293.67598103552126,295.57,3.14,293.67598103552126,295.57,3.14,277.3524433082465,281.85,3.26,3.5,run_00000008,37,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,293.68,295.57,3.14,3.5
RA_166.129__DEC_38.242,1777.06303495756,946.6288760244468,166.1292487279904,38.24176022296858,11.0,25.0,NO,1807,110.9549966819109,111.41890006152936,116.79,1.32,111.41890006152936,116.79,1.32,90.4266274484301,93.72,1.42,3.5,run_00000008,37,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,111.42,116.79,1.32,3.5
RA_166.129__DEC_38.242,1777.06303495756,946.6288760244468,166.1292487279904,38.24176022296858,11.0,25.0,NO,1807,110.9549966819109,111.41890006152936,116.79,1.32,111.41890006152936,116.79,1.32,90.4266274484301,93.72,1.42,3.5,run_00000008,37,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,111.42,116.79,1.32,3.5
RA_166.129__DEC_38.242,1777.06303495756,946.6288760244468,166.1292487279904,38.24176022296858,11.0,25.0,NO,1807,110.9549966819109,111.41890006152936,116.79,1.32,111.41890006152936,116.79,1.32,90.4266274484301,93.72,1.42,3.5,run_00000008,37,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,111.42,116.79,1.32,3.5
RA_166.129__DEC_38.242,1777.06303495756,946.6288760244468,166.1292487279904,38.24176022296858,11.0,25.0,NO,1807,110.9549966819109,111.41890006152936,116.79,1.32,111.41890006152936,116.79,1.32,90.4266274484301,93.72,1.42,3.5,run_00000008,37,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,111.42,116.79,1.32,3.5
RA_166.129__DEC_38.242,1777.06303495756,946.6288760244468,166.1292487279904,38.24176022296858,11.0,25.0,NO,1807,110.9549966819109,111.41890006152936,116.79,1.32,111.41890006152936,116.79,1.32,90.4266274484301,93.72,1.42,3.5,run_00000008,37,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,111.42,116.79,1.32,3.5
RA_166.129__DEC_38.242,1777.06303495756,946.6288760244468,166.1292487279904,38.24176022296858,11.0,25.0,NO,1807,110.9549966819109,111.41890006152936,116.79,1.32,111.41890006152936,116.79,1.32,90.4266274484301,93.72,1.42,3.5,run_00000008,37,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,111.42,116.79,1.32,3.5
RA_166.129__DEC_38.242,1777.06303495756,946.6288760244468,166.1292487279904,38.24176022296858,11.0,25.0,NO,1807,110.9549966819109,111.41890006152936,116.79,1.32,111.41890006152936,116.79,1.32,90.4266274484301,93.72,1.42,3.5,run_00000008,37,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,111.42,116.79,1.32,3.5
RA_166.129__DEC_38.242,1777.06303495756,946.6288760244468,166.1292487279904,38.24176022296858,11.0,25.0,NO,1807,110.9549966819109,111.41890006152936,116.79,1.32,111.41890006152936,116.79,1.32,90.4266274484301,93.72,1.42,3.5,run_00000008,37,SI (Rank 8),II/389/ps1_dr2,1.5389166128101078e+17,166.12835744,38.24191354,13.1504,111.42,116.79,1.32,3.5
RA_166.129__DEC_38.242,1777.06303495756,946.6288760244468,166.1292487279904,38.24176022296858,11.0,25.0,NO,1807,110.9549966819109,111.41890006152936,116.79,1.32,111.41890006152936,116.79,1.32,90.4266274484301,93.72,1.42,3.5,run_00000008,37,SI (Rank 9),II/389/ps1_dr2,1.5388166126503923e+17,166.12665345,38.24053532,14.6034,111.42,116.79,1.32,3.5
RA_167.329__DEC_36.312,2945.7188373738686,1115.7591519106124,167.3329201381198,36.3108217061435,34.0,27.0,NO,1708,372.7717008669099,324.0896636039639,227.10,3.01,325.15071843154084,228.01,3.04,270.64337455169186,191.98,2.81,4.267631115845609,run_00000008,37,SI (Rank 1),I/239/hip_main,54522.0,167.3295003665,36.309378969,5.71,314.5,236.00,2.71,4.03
RA_167.329__DEC_36.312,2945.7188373738686,1115.7591519106124,167.3329201381198,36.3108217061435,34.0,27.0,NO,1705,372.7717008669099,324.0896636039639,227.24,3.02,325.15071843154084,228.12,3.04,270.64337455169186,192.09,2.81,4.267631115845609,run_00000008,37,SI (Rank 2),II/389/ps1_dr2,1.515716732746127e+17,167.32759079,36.31021643,7.0301,314.5,236.00,2.71,4.03
RA_167.329__DEC_36.312,2945.7188373738686,1115.7591519106124,167.3329201381198,36.3108217061435,34.0,27.0,NO,1702,372.7717008669099,324.0896636039639,226.51,3.03,325.15071843154084,227.43,3.06,270.64337455169186,191.62,2.84,4.267631115845609,run_00000008,37,SI (Rank 3),II/389/ps1_dr2,1.5156167327749856e+17,167.3279408,36.3066183,12.6978,314.05,235.34,2.74,4.02
RA_167.329__DEC_36.312,2945.7188373738686,1115.7591519106124,167.3329201381198,36.3108217061435,34.0,27.0,NO,1705,372.7717008669099,324.0896636039639,227.10,3.01,325.15071843154084,228.01,3.04,270.64337455169186,191.98,2.81,4.267631115845609,run_00000008,37,SI (Rank 4),II/389/ps1_dr2,1.515716733020705e+17,167.33020443,36.30815493,12.7953,314.5,236.00,2.71,4.03
RA_167.329__DEC_36.312,2945.7188373738686,1115.7591519106124,167.3329201381198,36.3108217061435,34.0,27.0,NO,1700,372.7717008669099,324.0896636039639,227.24,3.02,325.15071843154084,228.12,3.04,270.64337455169186,192.09,2.81,4.267631115845609,run_00000008,37,SI (Rank 5),II/389/ps1_dr2,1.515716732886958e+17,167.32895151,36.31250412,14.3866,314.5,236.00,2.71,4.03
