# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-15T02:54:03.634
# DATE-END: 2026-01-15T02:54:03.778
# TSTART: 1768445643634.33
# TSTOP: 1768445643664.33
# DATE: 2026-01-15T02:54:04
# EXPOSURE: 30000.0
# RA0: -3.130456e-06
# DEC0: 4.591354e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.113845325737
# DEC: 38.7091539595498
# EQUINOX: 2000.0
# CRVAL1: 166.113845325737
# CRVAL2: 38.7091539595498
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000584528025244793
# CD1_2: 0.00173003845949325
# CD2_1: -0.00172963438232625
# CD2_2: 0.000587251047366767
# A_ORDER: 2
# A_0_2: -3.11054767631867e-07
# A_1_1: 3.54521361360403e-07
# A_2_0: -3.09265598597233e-07
# B_ORDER: 2
# B_0_2: -1.9853711404078e-08
# B_1_1: -7.93816887170651e-07
# B_2_0: 2.49958318003617e-07
# AP_ORDER: 2
# AP_0_0: 1.29330071481822e-06
# AP_0_1: -6.95316928453245e-07
# AP_0_2: 3.11045424121402e-07
# AP_1_0: 7.06659865878226e-07
# AP_1_1: -3.54522027204904e-07
# AP_2_0: 3.09264221333345e-07
# BP_ORDER: 2
# BP_0_0: 4.11849114219838e-06
# BP_0_1: 1.02104502341995e-06
# BP_0_2: 1.98501878435044e-08
# BP_1_0: -6.64519842392972e-07
# BP_1_1: 7.93797462795341e-07
# BP_2_0: -2.49957796685764e-07
# NOME_FILE_FITS: 20260115_025403.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000008_stelle_trovate_e_catalogate_immagine_040.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,471.55394174295526,833.0788580860417,164.86778938084012,40.42978317893747,28.0,39.0,NO,1316,326.6074407155746,308.9445030943537,276.22,2.78,308.9445030943537,276.33,2.80,288.0533925017465,258.28,2.86,3.552330081996516,run_00000008,40,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,309.14,277.27,2.75,3.56
RA_164.865__DEC_40.434,471.55394174295526,833.0788580860417,164.86778938084012,40.42978317893747,28.0,39.0,NO,1315,326.6074407155746,308.9445030943537,276.04,2.79,308.9445030943537,276.15,2.81,288.0533925017465,257.96,2.90,3.552330081996516,run_00000008,40,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,309.14,277.08,2.76,3.56
RA_164.865__DEC_40.434,471.55394174295526,833.0788580860417,164.86778938084012,40.42978317893747,28.0,39.0,NO,1314,326.6074407155746,308.9445030943537,275.87,2.81,308.9445030943537,275.98,2.83,288.0533925017465,257.93,2.90,3.552330081996516,run_00000008,40,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,309.14,276.90,2.78,3.56
RA_164.865__DEC_40.434,471.55394174295526,833.0788580860417,164.86778938084012,40.42978317893747,28.0,39.0,NO,1313,326.6074407155746,308.9445030943537,275.75,2.81,308.9445030943537,275.86,2.83,288.0533925017465,257.61,2.91,3.552330081996516,run_00000008,40,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,309.15,276.78,2.78,3.56
RA_164.865__DEC_40.434,471.55394174295526,833.0788580860417,164.86778938084012,40.42978317893747,28.0,39.0,NO,1308,326.6074407155746,308.9445030943537,275.57,2.81,308.9445030943537,275.66,2.83,288.0533925017465,257.56,2.88,3.552330081996516,run_00000008,40,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,309.03,276.53,2.78,3.56
RA_164.865__DEC_40.434,471.55394174295526,833.0788580860417,164.86778938084012,40.42978317893747,28.0,39.0,NO,1314,326.6074407155746,308.9445030943537,275.87,2.81,308.9445030943537,275.98,2.83,288.0533925017465,257.93,2.90,3.552330081996516,run_00000008,40,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,309.14,276.90,2.78,3.56
RA_164.865__DEC_40.434,471.55394174295526,833.0788580860417,164.86778938084012,40.42978317893747,28.0,39.0,NO,1315,326.6074407155746,308.9445030943537,276.21,2.78,308.9445030943537,276.30,2.79,288.0533925017465,258.28,2.86,3.552330081996516,run_00000008,40,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,309.02,277.18,2.75,3.56
RA_164.865__DEC_40.434,471.55394174295526,833.0788580860417,164.86778938084012,40.42978317893747,28.0,39.0,NO,1274,326.6074407155746,308.9445030943537,276.09,2.89,308.9445030943537,276.18,2.90,288.0533925017465,258.10,2.96,3.552330081996516,run_00000008,40,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,309.15,277.12,2.86,3.56
RA_164.882__DEC_36.096,2715.572059481285,48.85033652463317,164.88684821417587,36.09279768396097,17.0,22.0,NO,1126,178.6093703598632,164.841639270612,143.12,1.85,164.841639270612,143.50,1.92,130.66497257365333,106.77,2.39,3.5,run_00000008,40,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,167.95,145.84,1.93,3.68
RA_164.882__DEC_36.096,2715.572059481285,48.85033652463317,164.88684821417587,36.09279768396097,17.0,22.0,NO,1083,178.6093703598632,164.841639270612,143.86,1.82,164.841639270612,144.32,1.89,130.66497257365333,107.85,2.39,3.5,run_00000008,40,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,168.29,146.96,1.91,3.71
