# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-15T03:17:02.704
# DATE-END: 2026-01-15T03:17:02.849
# TSTART: 1768447022704.49
# TSTOP: 1768447022734.5
# DATE: 2026-01-15T03:17:04
# EXPOSURE: 30000.0
# RA0: -3.130456e-06
# DEC0: 4.591354e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.109572275204
# DEC: 38.7081982649462
# EQUINOX: 2000.0
# CRVAL1: 166.109572275204
# CRVAL2: 38.7081982649462
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000826338659934591
# CD1_2: 0.00162394416018737
# CD2_1: -0.00162453337498944
# CD2_2: 0.000811886362590081
# A_ORDER: 2
# A_0_2: -1.41903031211077e-05
# A_1_1: 4.85229708141908e-06
# A_2_0: 1.92448202841269e-06
# B_ORDER: 2
# B_0_2: 8.043064987463e-06
# B_1_1: -2.07253697073779e-06
# B_2_0: 3.29299685032477e-09
# AP_ORDER: 2
# AP_0_0: -0.00104420426135334
# AP_0_1: -0.00017937748801094
# AP_0_2: 1.42007046745089e-05
# AP_1_0: 3.52692263609233e-05
# AP_1_1: -4.85410608095634e-06
# AP_2_0: -1.92534470324207e-06
# BP_ORDER: 2
# BP_0_0: 0.000455720015086658
# BP_0_1: 0.000104068150833687
# BP_0_2: -8.04816244827711e-06
# BP_1_0: -2.18530047577117e-05
# BP_1_1: 2.07377134120715e-06
# BP_2_0: -2.97311397902541e-09
# NOME_FILE_FITS: 20260115_031702.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000008_stelle_trovate_e_catalogate_immagine_088.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.864__DEC_40.420,454.7390966697099,985.9032900262738,164.86260900831198,40.42139770704534,27.0,40.0,NO,1316,335.28349706254824,296.24374031395007,276.22,2.78,296.24374031395007,276.33,2.80,277.0945711510134,258.28,2.86,3.5,run_00000008,88,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,298.32,277.27,2.75,3.56
RA_164.864__DEC_40.420,454.7390966697099,985.9032900262738,164.86260900831198,40.42139770704534,27.0,40.0,NO,1308,335.28349706254824,296.24374031395007,275.57,2.81,296.24374031395007,275.66,2.83,277.0945711510134,257.56,2.88,3.5,run_00000008,88,SI (Rank 2),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,298.18,276.53,2.78,3.56
RA_164.864__DEC_40.420,454.7390966697099,985.9032900262738,164.86260900831198,40.42139770704534,27.0,40.0,NO,1315,335.28349706254824,296.24374031395007,276.21,2.78,296.24374031395007,276.30,2.79,277.0945711510134,258.28,2.86,3.5,run_00000008,88,SI (Rank 3),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,298.16,277.18,2.75,3.56
RA_165.211__DEC_39.212,1113.9677071606902,806.2982011408592,165.20851349917515,39.21231237746153,26.0,69.0,NO,1798,303.57957059361195,285.3809711139698,295.57,3.14,285.3809711139698,295.57,3.14,268.4691179241997,281.85,3.26,3.5,run_00000008,88,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,285.38,295.57,3.14,3.5
RA_165.211__DEC_39.212,1113.9677071606902,806.2982011408592,165.20851349917515,39.21231237746153,26.0,69.0,NO,1796,303.57957059361195,285.3809711139698,295.57,3.14,285.3809711139698,295.57,3.14,268.4691179241997,281.85,3.26,3.5,run_00000008,88,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,285.38,295.57,3.14,3.5
RA_165.211__DEC_39.212,1113.9677071606902,806.2982011408592,165.20851349917515,39.21231237746153,26.0,69.0,NO,1796,303.57957059361195,285.3809711139698,295.57,3.14,285.3809711139698,295.57,3.14,268.4691179241997,281.85,3.26,3.5,run_00000008,88,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,285.38,295.57,3.14,3.5
RA_166.129__DEC_38.242,1765.6304304498271,913.3042283596924,166.1270780681697,38.24450071092477,13.0,30.0,NO,1807,141.50036152036745,134.33181744619526,116.79,1.32,134.33181744619526,116.79,1.32,98.1049965130224,93.72,1.42,3.5,run_00000008,88,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,134.33,116.79,1.32,3.5
RA_166.129__DEC_38.242,1765.6304304498271,913.3042283596924,166.1270780681697,38.24450071092477,13.0,30.0,NO,1807,141.50036152036745,134.33181744619526,116.79,1.32,134.33181744619526,116.79,1.32,98.1049965130224,93.72,1.42,3.5,run_00000008,88,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,134.33,116.79,1.32,3.5
RA_166.129__DEC_38.242,1765.6304304498271,913.3042283596924,166.1270780681697,38.24450071092477,13.0,30.0,NO,1807,141.50036152036745,134.33181744619526,116.79,1.32,134.33181744619526,116.79,1.32,98.1049965130224,93.72,1.42,3.5,run_00000008,88,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,134.33,116.79,1.32,3.5
RA_166.129__DEC_38.242,1765.6304304498271,913.3042283596924,166.1270780681697,38.24450071092477,13.0,30.0,NO,1807,141.50036152036745,134.33181744619526,116.79,1.32,134.33181744619526,116.79,1.32,98.1049965130224,93.72,1.42,3.5,run_00000008,88,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,134.33,116.79,1.32,3.5
