# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-15T03:18:43.918
# DATE-END: 2026-01-15T03:18:43.062
# TSTART: 1768447123918.02
# TSTOP: 1768447123948.03
# DATE: 2026-01-15T03:18:44
# EXPOSURE: 30000.0
# RA0: -3.130456e-06
# DEC0: 4.591354e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.112533584331
# DEC: 38.7086122026607
# EQUINOX: 2000.0
# CRVAL1: 166.112533584331
# CRVAL2: 38.7086122026607
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000844427679930646
# CD1_2: 0.00161758244473716
# CD2_1: -0.00161913140447526
# CD2_2: 0.000847620469689333
# A_ORDER: 2
# A_0_2: -7.73083360268893e-07
# A_1_1: -3.00480516120648e-07
# A_2_0: 5.61764770678109e-07
# B_ORDER: 2
# B_0_2: -3.10340642015868e-07
# B_1_1: -6.33367474863855e-07
# B_2_0: 1.37381532316052e-06
# AP_ORDER: 2
# AP_0_0: -1.00597005455801e-05
# AP_0_1: -1.54433744029795e-06
# AP_0_2: 7.7303616143358e-07
# AP_1_0: 4.30671995105002e-07
# AP_1_1: 3.0054933107602e-07
# AP_2_0: -5.61741375253009e-07
# BP_ORDER: 2
# BP_0_0: -2.74267897945416e-06
# BP_0_1: -8.98590240217648e-07
# BP_0_2: 3.10326218819889e-07
# BP_1_0: 5.08681835753853e-07
# BP_1_1: 6.33457559551227e-07
# BP_2_0: -1.37382310495631e-06
# NOME_FILE_FITS: 20260115_031843.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000008_stelle_trovate_e_catalogate_immagine_093.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,454.0261981532202,998.4496855588156,164.86753032959533,40.4307496172309,24.0,45.0,NO,1316,240.5536380035671,235.05063611530497,276.22,2.78,235.05063611530497,276.33,2.80,220.5043916565011,258.28,2.86,3.5,run_00000008,93,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,235.79,277.27,2.75,3.56
RA_164.865__DEC_40.434,454.0261981532202,998.4496855588156,164.86753032959533,40.4307496172309,24.0,45.0,NO,1315,240.5536380035671,235.05063611530497,276.04,2.79,235.05063611530497,276.15,2.81,220.5043916565011,257.96,2.90,3.5,run_00000008,93,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,235.79,277.08,2.76,3.56
RA_164.865__DEC_40.434,454.0261981532202,998.4496855588156,164.86753032959533,40.4307496172309,24.0,45.0,NO,1314,240.5536380035671,235.05063611530497,275.87,2.81,235.05063611530497,275.98,2.83,220.5043916565011,257.93,2.90,3.5,run_00000008,93,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,235.79,276.90,2.78,3.56
RA_164.865__DEC_40.434,454.0261981532202,998.4496855588156,164.86753032959533,40.4307496172309,24.0,45.0,NO,1313,240.5536380035671,235.05063611530497,275.75,2.81,235.05063611530497,275.86,2.83,220.5043916565011,257.61,2.91,3.5,run_00000008,93,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,235.8,276.78,2.78,3.56
RA_164.865__DEC_40.434,454.0261981532202,998.4496855588156,164.86753032959533,40.4307496172309,24.0,45.0,NO,1308,240.5536380035671,235.05063611530497,275.57,2.81,235.05063611530497,275.66,2.83,220.5043916565011,257.56,2.88,3.5,run_00000008,93,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,235.75,276.53,2.78,3.56
RA_164.865__DEC_40.434,454.0261981532202,998.4496855588156,164.86753032959533,40.4307496172309,24.0,45.0,NO,1314,240.5536380035671,235.05063611530497,275.87,2.81,235.05063611530497,275.98,2.83,220.5043916565011,257.93,2.90,3.5,run_00000008,93,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,235.79,276.90,2.78,3.56
RA_164.865__DEC_40.434,454.0261981532202,998.4496855588156,164.86753032959533,40.4307496172309,24.0,45.0,NO,1315,240.5536380035671,235.05063611530497,276.21,2.78,235.05063611530497,276.30,2.79,220.5043916565011,258.28,2.86,3.5,run_00000008,93,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,235.75,277.18,2.75,3.56
RA_164.865__DEC_40.434,454.0261981532202,998.4496855588156,164.86753032959533,40.4307496172309,24.0,45.0,NO,1274,240.5536380035671,235.05063611530497,276.09,2.89,235.05063611530497,276.18,2.90,220.5043916565011,258.10,2.96,3.5,run_00000008,93,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,235.8,277.12,2.86,3.56
RA_165.211__DEC_39.212,1110.965609709972,810.7360709382828,165.20932549864986,39.21145965430463,26.0,63.0,NO,1798,309.6487470086681,298.7474861965518,295.57,3.14,298.7474861965518,295.57,3.14,285.6230022451746,281.85,3.26,3.5,run_00000008,93,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,298.75,295.57,3.14,3.5
RA_165.211__DEC_39.212,1110.965609709972,810.7360709382828,165.20932549864986,39.21145965430463,26.0,63.0,NO,1796,309.6487470086681,298.7474861965518,295.57,3.14,298.7474861965518,295.57,3.14,285.6230022451746,281.85,3.26,3.5,run_00000008,93,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,298.75,295.57,3.14,3.5
