# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-15T03:24:46.787
# DATE-END: 2026-01-15T03:24:46.931
# TSTART: 1768447486787.21
# TSTOP: 1768447486817.21
# DATE: 2026-01-15T03:24:48
# EXPOSURE: 30000.0
# RA0: -3.130456e-06
# DEC0: 4.591354e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.4776492459
# DEC: 38.211074959354
# EQUINOX: 2000.0
# CRVAL1: 165.4776492459
# CRVAL2: 38.211074959354
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000915185174942865
# CD1_2: 0.00157930871709068
# CD2_1: -0.00158030148410713
# CD2_2: 0.000915167266560438
# A_ORDER: 2
# A_0_2: 3.06471049254421e-07
# A_1_1: 2.16964743264004e-07
# A_2_0: -1.36809638144972e-07
# B_ORDER: 2
# B_0_2: -3.03213687732876e-06
# B_1_1: 3.11509489293235e-07
# B_2_0: 1.31452724755122e-07
# AP_ORDER: 2
# AP_0_0: -4.78545158031067e-05
# AP_0_1: -1.04172827251305e-06
# AP_0_2: -3.06227865142739e-07
# AP_1_0: -7.39547236709633e-08
# AP_1_1: -2.16922452873478e-07
# AP_2_0: 1.36804048164763e-07
# BP_ORDER: 2
# BP_0_0: 0.000466868747540576
# BP_0_1: 1.06925034788612e-05
# BP_0_2: 3.02974688184341e-06
# BP_1_0: -9.04913530106404e-07
# BP_1_1: -3.1125239080947e-07
# BP_2_0: -1.31424351243394e-07
# NOME_FILE_FITS: 20260115_032446.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000009_stelle_trovate_e_catalogate_immagine_003.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,353.8134280813154,1412.0382244539924,164.8656141537284,40.4306822615298,25.0,36.0,NO,1316,293.10779596044875,263.15314131727547,242.36,3.38,263.15314131727547,242.52,3.41,243.8179776623415,225.95,3.51,3.5,run_00000009,3,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,264.01,242.86,3.39,3.52
RA_164.865__DEC_40.434,353.8134280813154,1412.0382244539924,164.8656141537284,40.4306822615298,25.0,36.0,NO,1315,293.10779596044875,263.15314131727547,241.85,3.36,263.15314131727547,242.00,3.39,243.8179776623415,225.33,3.51,3.5,run_00000009,3,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,263.98,242.33,3.38,3.52
RA_164.865__DEC_40.434,353.8134280813154,1412.0382244539924,164.8656141537284,40.4306822615298,25.0,36.0,NO,1314,293.10779596044875,263.15314131727547,241.85,3.36,263.15314131727547,242.00,3.39,243.8179776623415,225.33,3.51,3.5,run_00000009,3,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,263.98,242.33,3.38,3.52
RA_164.865__DEC_40.434,353.8134280813154,1412.0382244539924,164.8656141537284,40.4306822615298,25.0,36.0,NO,1313,293.10779596044875,263.15314131727547,241.85,3.36,263.15314131727547,242.00,3.39,243.8179776623415,225.33,3.51,3.5,run_00000009,3,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,263.98,242.33,3.38,3.52
RA_164.865__DEC_40.434,353.8134280813154,1412.0382244539924,164.8656141537284,40.4306822615298,25.0,36.0,NO,1308,293.10779596044875,263.15314131727547,242.11,3.40,263.15314131727547,242.27,3.43,243.8179776623415,225.66,3.54,3.5,run_00000009,3,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,264.01,242.61,3.41,3.52
RA_164.865__DEC_40.434,353.8134280813154,1412.0382244539924,164.8656141537284,40.4306822615298,25.0,36.0,NO,1314,293.10779596044875,263.15314131727547,241.85,3.36,263.15314131727547,242.00,3.39,243.8179776623415,225.33,3.51,3.5,run_00000009,3,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,263.98,242.33,3.38,3.52
RA_164.865__DEC_40.434,353.8134280813154,1412.0382244539924,164.8656141537284,40.4306822615298,25.0,36.0,NO,1315,293.10779596044875,263.15314131727547,242.53,3.43,263.15314131727547,242.69,3.46,243.8179776623415,226.10,3.57,3.5,run_00000009,3,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,264.03,243.04,3.45,3.53
RA_164.865__DEC_40.434,353.8134280813154,1412.0382244539924,164.8656141537284,40.4306822615298,25.0,36.0,NO,1274,293.10779596044875,263.15314131727547,242.36,3.38,263.15314131727547,242.52,3.41,243.8179776623415,225.95,3.51,3.5,run_00000009,3,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,264.01,242.86,3.39,3.52
RA_164.882__DEC_36.096,2406.6712346995487,215.7078808353049,164.8848822580831,36.0921118036235,16.0,18.0,NO,1126,171.09315948899112,152.01742637943738,155.98,1.95,152.01742637943738,155.98,1.95,115.32209669976535,127.59,2.15,3.5,run_00000009,3,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,152.02,155.98,1.95,3.5
RA_164.882__DEC_36.096,2406.6712346995487,215.7078808353049,164.8848822580831,36.0921118036235,16.0,18.0,NO,1083,171.09315948899112,152.01742637943738,157.06,1.99,152.01742637943738,157.06,1.99,115.32209669976535,128.58,2.22,3.5,run_00000009,3,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,152.02,157.06,1.99,3.5
