# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-15T04:16:02.534
# DATE-END: 2026-01-15T04:16:02.677
# TSTART: 1768450562533.84
# TSTOP: 1768450562563.85
# DATE: 2026-01-15T04:16:03
# EXPOSURE: 30000.0
# RA0: 4.984169e-22
# DEC0: 4.591635e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.109902812508
# DEC: 37.710709380071
# EQUINOX: 2000.0
# CRVAL1: 166.109902812508
# CRVAL2: 37.710709380071
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00168263859039247
# CD1_2: 0.000717248866485412
# CD2_1: -0.000725698457860609
# CD2_2: 0.00167923165709152
# A_ORDER: 2
# A_0_2: 6.93603173032124e-06
# A_1_1: -5.37134392222461e-07
# A_2_0: -4.97400346915861e-06
# B_ORDER: 2
# B_0_2: -4.01879622543913e-06
# B_1_1: -5.9008171817009e-07
# B_2_0: 4.73172806528782e-06
# AP_ORDER: 2
# AP_0_0: 0.000802488275560146
# AP_0_1: 2.22077413494551e-05
# AP_0_2: -6.93104257653589e-06
# AP_1_0: 4.22400759976202e-05
# AP_1_1: 5.37034980490011e-07
# AP_2_0: 4.97048098350069e-06
# BP_ORDER: 2
# BP_0_0: -0.00101812793514853
# BP_0_1: -1.44643127214482e-05
# BP_0_2: 4.01586779104301e-06
# BP_1_0: -4.71847798796194e-05
# BP_1_1: 5.8899944794468e-07
# BP_2_0: -4.72849882438777e-06
# NOME_FILE_FITS: 20260115_041602.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000010_stelle_trovate_e_catalogate_immagine_035.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_165.211__DEC_39.212,859.4897278258534,1630.4694996269004,165.2090278850115,39.21882142992845,28.0,50.0,NO,1798,276.374180264331,263.46863179629247,249.18,2.33,263.46863179629247,249.18,2.33,249.9946700838549,233.11,2.39,3.5,run_00000010,35,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,263.47,249.18,2.33,3.5
RA_165.211__DEC_39.212,859.4897278258534,1630.4694996269004,165.2090278850115,39.21882142992845,28.0,50.0,NO,1796,276.374180264331,263.46863179629247,249.18,2.33,263.46863179629247,249.18,2.33,249.9946700838549,233.11,2.39,3.5,run_00000010,35,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,263.47,249.18,2.33,3.5
RA_165.211__DEC_39.212,859.4897278258534,1630.4694996269004,165.2090278850115,39.21882142992845,28.0,50.0,NO,1796,276.374180264331,263.46863179629247,249.18,2.33,263.46863179629247,249.18,2.33,249.9946700838549,233.11,2.39,3.5,run_00000010,35,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,263.47,249.18,2.33,3.5
RA_166.129__DEC_38.242,1427.7199272839173,1293.282510688162,166.1292197525899,38.24217449478388,13.0,36.0,NO,1807,133.54746098868603,134.39045695608257,111.66,1.12,134.39045695608257,111.66,1.12,107.86244707420516,94.02,1.23,3.5,run_00000010,35,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,134.39,111.66,1.12,3.5
RA_166.129__DEC_38.242,1427.7199272839173,1293.282510688162,166.1292197525899,38.24217449478388,13.0,36.0,NO,1807,133.54746098868603,134.39045695608257,111.66,1.12,134.39045695608257,111.66,1.12,107.86244707420516,94.02,1.23,3.5,run_00000010,35,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,134.39,111.66,1.12,3.5
RA_166.129__DEC_38.242,1427.7199272839173,1293.282510688162,166.1292197525899,38.24217449478388,13.0,36.0,NO,1807,133.54746098868603,134.39045695608257,111.66,1.12,134.39045695608257,111.66,1.12,107.86244707420516,94.02,1.23,3.5,run_00000010,35,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,134.39,111.66,1.12,3.5
RA_166.129__DEC_38.242,1427.7199272839173,1293.282510688162,166.1292197525899,38.24217449478388,13.0,36.0,NO,1807,133.54746098868603,134.39045695608257,111.66,1.12,134.39045695608257,111.66,1.12,107.86244707420516,94.02,1.23,3.5,run_00000010,35,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,134.39,111.66,1.12,3.5
RA_166.129__DEC_38.242,1427.7199272839173,1293.282510688162,166.1292197525899,38.24217449478388,13.0,36.0,NO,1807,133.54746098868603,134.39045695608257,111.66,1.12,134.39045695608257,111.66,1.12,107.86244707420516,94.02,1.23,3.5,run_00000010,35,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,134.39,111.66,1.12,3.5
RA_166.129__DEC_38.242,1427.7199272839173,1293.282510688162,166.1292197525899,38.24217449478388,13.0,36.0,NO,1807,133.54746098868603,134.39045695608257,111.66,1.12,134.39045695608257,111.66,1.12,107.86244707420516,94.02,1.23,3.5,run_00000010,35,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,134.39,111.66,1.12,3.5
RA_166.129__DEC_38.242,1427.7199272839173,1293.282510688162,166.1292197525899,38.24217449478388,13.0,36.0,NO,1807,133.54746098868603,134.39045695608257,111.66,1.12,134.39045695608257,111.66,1.12,107.86244707420516,94.02,1.23,3.5,run_00000010,35,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,134.39,111.66,1.12,3.5
